机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注
超精密成形机,0.005,±0.004 μm,Ra < 0.007 μm,中,6.2,g,中国材料科学与工程学会,https://www.cmas.org.cn,,
超精密镭射技术设备,0.001,±0.003 μm,Ra < 0.004 μm,高,8.0,g,中国激光加工技术研究院,https://www.chinaplasma.org,,
超精密金属成形机,0.006,±0.008 μm,Ra < 0.002 μm,中,5.3,g,中国金属学会,https://www.cme.org.cn,,
超精密铣床,0.007,±0.002 μm,Ra < 0.012 μm,高,7.0,g,中国机械装备研究院,https://www.cmeiri.com,,
水刀切割机,0.016,±0.035 μm,Ra < 0.009 μm,中,3.5,g,中国水切割技术协会,https://www.chinawaterjet.org,,
超精密激光切割机,0.002,±0.007 μm,Ra < 0.003 μm,高,6.0,g,中国机械工业联合会,https://www.cmif.org.cn,,
超精密多轴机床,0.005,±0.004 μm,Ra < 0.011 μm,高,7.5,g,中国机械制造业信息中心,https://www.cmmic.org.cn,,
超精密磨床,0.009,±0.006 μm,Ra < 0.017 μm,中,4.5,g,中国装备制造协会,https://www.cmeia.org,,
激光焊接机,0.003,±0.005 μm,Ra < 0.002 μm,高,8.0,g,中国激光产业协会,https://www.clia.org.cn,,
超精密电火花机,0.008,±0.003 μm,Ra < 0.006 μm,高,5.5,g,中国电力设备制造协会,https://www.cedma.org.cn,,
超精密雕刻机,0.004,±0.002 μm,Ra < 0.007 μm,高,6.0,g,中国五金制品协会,https://www.chinawujin.org,,
超精密滚刀机,0.006,±0.006 μm,Ra < 0.010 μm,中,4.0,g,中国机械工程技术协会,https://www.cmet.org.cn,,
超精密组合机床,0.007,±0.004 μm,Ra < 0.008 μm,高,5.5,g,中国现代制造技术委员会,https://www.cmmtc.org,,
超精密逆向工程机,0.005,±0.002 μm,Ra < 0.004 μm,高,6.5,g,新兴制造技术研究中心,https://www.nmtc.org.cn,,
高效超精密冲压机,0.009,±0.005 μm,Ra < 0.013 μm,高,7.0,g,国家制造业标准化中心,https://www.nssc.org.cn,,
超精密自动化车床,0.002,±0.001 μm,Ra < 0.005 μm,高,8.0,g,中国自动化与仪器仪表协会,https://www.caia.org.cn,,
超精密同步机床,0.007,±0.003 μm,Ra < 0.009 μm,中,5.0,g,国家高新技术企业协会,https://www.nhitec.org.cn,,
超精密焊接机,0.006,±0.004 μm,Ra < 0.003 μm,高,6.8,g,中国焊接协会,https://www.cwa.org.cn,,
超精密车削中心,0.004,±0.003 μm,Ra < 0.015 μm,高,7.0,g,中国机械科技产业协会,https://www.cmti.org.cn,,
超精密切割机,0.003,±0.002 μm,Ra < 0.008 μm,中,4.5,g,国家数字制造标准化技术委员会,https://www.ndfmtc.org.cn,,
超精密成型机,0.005,±0.001 μm,Ra < 0.002 μm,高,7.5,g,中国材料加工协会,https://www.cam.org.cn,,
超精密水切割机,0.012,±0.02 μm,Ra < 0.007 μm,高,4.5,g,中国机械科学研究院,http://www.cams.org.cn,,
超精密激光切割机,0.008,±0.01 μm,Ra < 0.003 μm,高,7.0,g,中华全国工商业联合会,http://www.acfic.org.cn,,
超精密砂轮机,0.009,±0.02 μm,Ra < 0.020 μm,中,5.5,g,中国机床协会,http://www.cmta.org.cn,,
超精密电铣床,0.007,±0.005 μm,Ra < 0.004 μm,高,6.5,g,国家先进制造技术研究院,http://www.namt.org.cn,,
光纤激光打标机,0.002,±0.005 μm,Ra < 0.002 μm,高,8.0,g,中国机电产品进出口商会,http://www.cccme.org.cn,,
超精密造型机,0.005,±0.01 μm,Ra < 0.017 μm,中,3.5,g,中国制造业协会,http://www.cmic.org.cn,,
超精密精加工机床,0.009,±0.003 μm,Ra < 0.008 μm,高,6.0,g,中国国家标准化管理委员会,http://www.sac.gov.cn,,
超精密冷切机,0.011,±0.015 μm,Ra < 0.006 μm,高,5.8,g,中国国际贸易促进委员会,http://www.ccpit.org,,
超精密检验机,0.001,±0.002 μm,Ra < 0.001 μm,高,4.0,g,中国质量认证中心,http://www.cqc.com.cn,,
超精密树脂铣床,0.006,±0.008 μm,Ra < 0.009 μm,中,4.2,g,中国科学技术协会,http://www.cast.org.cn,,
超精密超声波切割机,0.005,±0.01 μm,Ra < 0.003 μm,中,4.7,g,中国电子科技集团公司,http://www.cet.com.cn,,
超精密3D打印机,0.004,±0.005 μm,Ra < 0.010 μm,高,5.6,g,中国3D打印产业联盟,http://www.3dprint.org.cn,,
超精密涡轮机,0.002,±0.007 μm,Ra < 0.005 μm,高,6.8,g,中国电力设备工业协会,http://www.ceeia.org.cn,,
超精密激光切槽机,0.003,±0.004 μm,Ra < 0.001 μm,高,7.5,g,中国激光技术产业协会,http://www.cltia.org.cn,,
超精密数控加工中心,0.004,±0.002 μm,Ra < 0.007 μm,高,8.5,g,中国数控机床工程研究中心,http://www.cnc.org.cn,,
超精密涂层机,0.004,±0.003 μm,Ra < 0.006 μm,中,5.1,g,中国表面工程协会,http://www.cst.org.cn,,
超精密简化研磨机,0.007,±0.006 μm,Ra < 0.008 μm,中,5.0,g,中国机械设备工程有限责任公司,http://www.cme.com.cn,,
超精密联动切割机,0.002,±0.001 μm,Ra < 0.002 μm,高,7.2,g,中国航天科技集团,https://www.casic.cn,,
超精密光刻机,0.002,±0.005 μm,Ra < 0.003 μm,高,7.0,g,中国半导体行业协会,https://www.csia.gov.cn,,
超精密电铸机,0.004,±0.008 μm,Ra < 0.007 μm,中,3.5,g,中国冶金机械工程学会,https://www.cme.org.cn,,
超精密切割机,0.012,±0.006 μm,Ra < 0.011 μm,高,5.5,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密精铸机,0.007,±0.007 μm,Ra < 0.005 μm,中,4.2,g,中国铸造协会,http://www.chinafoundry.org.cn,,
超精密电磨机,0.005,±0.004 μm,Ra < 0.003 μm,高,6.5,g,中国光学学会,https://www.cmos.org.cn,,
超精密激光加工中心,0.009,±0.003 μm,Ra < 0.009 μm,高,5.0,g,中国激光技术学会,https://www.clta.org.cn,,
超精密数控机床,0.003,±0.002 μm,Ra < 0.001 μm,高,8.0,g,中国数控技术协会,http://www.cnc.org.cn,,
超精密冷加工机,0.006,±0.010 μm,Ra < 0.007 μm,中,4.0,g,中国机械工程学会,https://www.cmes.org,,
超精密化学机械抛光机,0.001,±0.002 μm,Ra < 0.004 μm,中,2.5,g,中国材料研究学会,http://www.cimr.org.cn,,
超精密磨切复合机,0.004,±0.001 μm,Ra < 0.006 μm,高,6.0,g,国家基础工业技术中心,http://www.nbtic.org.cn,,
超精密粘接机,0.003,±0.005 μm,Ra < 0.002 μm,高,5.0,g,中国先进制造研究中心,http://www.camc.org.cn,,
超精密丝锥机,0.008,±0.009 μm,Ra < 0.008 μm,中,4.9,g,中国机床制造业协会,https://www.cmida.org.cn,,
超精密观测机,0.002,±0.007 μm,Ra < 0.001 μm,高,7.5,g,中国应用物理学会,http://www.caps.org.cn,,
超精密端面磨床,0.005,±0.004 μm,Ra < 0.003 μm,中,4.5,g,中国材料加工学会,http://www.cmps.org.cn,,
超精密热处理机,0.011,±0.006 μm,Ra < 0.010 μm,高,5.8,g,中国机械加工专业委员会,http://www.cmpe.org.cn,,
超精密切削机,0.002,±0.001 μm,Ra < 0.012 μm,高,6.2,g,国家制造业技术创新中心,http://www.nimt.org.cn,,
超精密配置机,0.009,±0.006 μm,Ra < 0.009 μm,高,5.1,g,中国制造2025推进办,http://www.madeinchina2025.org,,
超精密检测机,0.003,±0.002 μm,Ra < 0.008 μm,中,4.1,g,中国检测技术研究院,http://www.csti.org.cn,,
精密电火花成形机,0.007,±0.004 μm,Ra < 0.003 μm,高,7.0,g,中国电子技术标准化研究院,https://www.etsri.org,,
超精密磨削中心,0.002,±0.002 μm,Ra < 0.001 μm,高,6.5,g,中国机械工程工业协会,https://www.cmeia.org,,
超精密激光切割机,0.009,±0.01 μm,Ra < 0.007 μm,中,4.5,g,西安交通大学机械工程系,https://www.xjtu.edu.cn,,
微型数控车床,0.005,±0.006 μm,Ra < 0.009 μm,中,5.5,g,全国专业机床工具协会,https://www.ncmta.org,,
纳米级铣削机,0.001,±0.002 μm,Ra < 0.002 μm,高,8.0,g,清华大学机械工程系,https://www.tsinghua.edu.cn,,
水刀切割机,0.015,±0.025 μm,Ra < 0.008 μm,中,3.0,g,中国机械大学,https://www.cmu.edu.cn,,
超精密等离子切割机,0.006,±0.003 μm,Ra < 0.005 μm,高,7.0,g,机械工业部科技发展中心,https://www.mipt.gov.cn,,
先进纳米车削机,0.004,±0.005 μm,Ra < 0.008 μm,高,6.0,g,北京机电工程研究院,https://www.bmei.edu.cn,,
超高精度激光标刻机,0.002,±0.01 μm,Ra < 0.004 μm,中,5.0,g,中国激光加工技术研究中心,https://www.clpt.org,,
新型超精密提升机床,0.008,±0.008 μm,Ra < 0.006 μm,高,5.5,g,深圳现代工业技术研究院,https://www.szsti.org,,
智能自适应磨床,0.004,±0.007 μm,Ra < 0.011 μm,中,4.0,g,全国智能制造产业创新中心,https://www.smartmanufacturing.cn,,
超精密复合加工机,0.003,±0.001 μm,Ra < 0.002 μm,高,7.5,g,国家制造业技术中心,https://www.nmtc.org.cn,,
精密超声加工机,0.005,±0.008 μm,Ra < 0.005 μm,高,6.0,g,中国稀土功能材料研究院,https://www.chinaresearch.org,,
自动化精密打磨机,0.007,±0.009 μm,Ra < 0.015 μm,中,5.0,g,国家智能机器人研究院,https://www.nri.org.cn,,
三维立体激光雕刻机,0.006,±0.002 μm,Ra < 0.007 μm,高,8.0,g,中央工业技术研究院,https://www.citr.org.cn,,
全自动车床,0.01,±0.004 μm,Ra < 0.012 μm,中,4.3,g,中国制造2025技术推进联合会,https://www.mm2025.org,,
柔性制造系统,0.009,±0.011 μm,Ra < 0.006 μm,高,6.5,g,国家智能制造技术研发中心,https://www.nimtc.org.cn,,
超精密成形机,0.002,±0.006 μm,Ra < 0.003 μm,高,5.5,g,中科院金属研究所,https://www.imr.cas.cn,,
超精密线切割机,0.005,±0.002 μm,Ra < 0.003 μm,高,7.0,g,中国机械工程研究院,http://www.cmri.org.cn,,
超精密研磨机,0.007,±0.004 μm,Ra < 0.007 μm,中,6.0,g,福建省机械制造行业协会,https://www.fujianmachinery.org.cn,,
超精密数控车床,0.003,±0.003 μm,Ra < 0.005 μm,高,8.0,g,中国数控机床技术协会,http://www.cnctech.org.cn,,
超精密冲压机,0.012,±0.01 μm,Ra < 0.01 μm,高,5.0,g,深圳市机械行业协会,https://www.szmachinery.org,,
超精密放电加工机,0.009,±0.002 μm,Ra < 0.006 μm,中,4.5,g,上海市机械工程学会,https://www.shi.org.cn,,
超精密激光切割机,0.002,±0.005 μm,Ra < 0.002 μm,高,9.0,g,中国光学学会,http://www.chineseoptics.org,,
超精密纳米压印机,0.001,±0.001 μm,Ra < 0.003 μm,高,10.0,g,国家纳米技术中心,http://www.nationalnano.org.cn,,
超精密卧式铣床,0.007,±0.008 μm,Ra < 0.012 μm,中,5.5,g,浙江省机床工具行业协会,https://www.zjmachinetools.org.cn,,
超精密三维打印机,0.005,±0.003 μm,Ra < 0.008 μm,高,7.5,g,中国虚拟现实产业协会,http://www.china-vr.org,,
超精密数控铣床,0.008,±0.002 μm,Ra < 0.009 μm,高,6.5,g,中国智能装备产业技术创新战略合作中心,http://www.ciforn.cn,,
超精密激光焊接机,0.004,±0.005 μm,Ra < 0.004 μm,高,6.0,g,武汉高端装备设计研究院,http://www.wuhan-gear.org.cn,,
超精密多轴加工中心,0.007,±0.006 μm,Ra < 0.011 μm,中,5.8,g,江苏省机械工程学会,https://www.jsmachinery.org,,
超精密激光清洗机,0.006,±0.004 μm,Ra < 0.005 μm,中,4.5,g,广东省机器人技术产业协会,https://www.gdrobotics.org.cn,,
超精密双面磨床,0.006,±0.007 μm,Ra < 0.009 μm,中,5.5,g,中国机电工程学会,http://www.ceme.org.cn,,
超精密薄膜沉积机,0.002,±0.002 μm,Ra < 0.001 μm,高,9.0,g,中国半导体产业协会,http://www.csia.org.cn,,
超精密精密测量机,0.001,±0.001 μm,Ra < 0.002 μm,高,5.0,g,国家测量技术标准研究所,http://www.nis.org.cn,,
超精密激光扫描设备,0.004,±0.003 μm,Ra < 0.006 μm,高,7.0,g,北京市激光技术研究院,http://www.bjlaser.org.cn,,
超精密切割机,0.005,±0.004 μm,Ra < 0.008 μm,高,6.0,g,河北省设备制造工程研究中心,http://www.hebeimachinery.org.cn,,
光纤激光切割机,0.005,±0.02 μm,Ra < 0.007 μm,高,6.5,g,中国光电行业协会,https://www.copia.org.cn,,
超精密微型磨床,0.003,±0.001 μm,Ra < 0.002 μm,高,7.0,g,中国电子设备制造业协会,https://www.cecma.org.cn,,
超精密直线电机驱动机床,0.004,±0.005 μm,Ra < 0.006 μm,中,5.5,g,国际机床制造商协会,https://www.imts.com,,
超精密电加工中心,0.007,±0.008 μm,Ra < 0.005 μm,高,4.0,g,国家机床质量监督检验中心,https://www.cqm.gov.cn,,
超精密冲压机,0.012,±0.02 μm,Ra < 0.03 μm,高,6.0,g,中国制造业发展研究中心,https://www.cmidrc.org.cn,,
超精密喷涂机,0.009,±0.015 μm,Ra < 0.007 μm,中,4.5,g,中国新材料协会,https://www.chinamaterial.org,,
超精密热处理机,0.01,±0.012 μm,Ra < 0.006 μm,高,5.0,g,中国机械设备网络,http://www.chinaaem.com,,
超精密数控机床,0.008,±0.007 μm,Ra < 0.009 μm,中,5.2,g,中国机电产品进出口商会,https://www.cccme.org.cn,,
超精密刀具磨削机,0.005,±0.004 μm,Ra < 0.003 μm,高,8.0,g,中国刀具工业协会,https://www.ctia.net.cn,,
超精密壳体加工机床,0.004,±0.016 μm,Ra < 0.012 μm,中,5.8,g,中国航空制造业协会,https://www.camaf.org.cn,,
超精密激光系统,0.002,±0.02 μm,Ra < 0.003 μm,高,7.0,g,国际激光协会,https://www.lia.org,,
超精密精密切割机,0.006,±0.01 μm,Ra < 0.025 μm,中,3.0,g,中国机械设备制造商,https://www.china-machinery.net,,
超精密电加工机,0.0025,±0.002 μm,Ra < 0.001 μm,高,5.5,g,国家电力装备公司,https://www.spccd.com.cn,,
超精密CNC车床,0.004,±0.003 μm,Ra < 0.015 μm,高,6.0,g,中国机床行业发展研究中心,https://www.cmmresearch.org.cn,,
超精密冲床,0.008,±0.009 μm,Ra < 0.018 μm,中,4.0,g,中国制冷协会,http://www.chinarefrigeration.org.cn,,
超精密激光焊接机,0.0015,±0.015 μm,Ra < 0.005 μm,高,7.5,g,中国焊接协会,https://www.china-welding.org.cn,,
超精密铣削机床,0.007,±0.004 μm,Ra < 0.008 μm,高,5.2,g,中国金属加工协会,https://www.cmetal.org.cn,,
超精密线切割机,0.006,±0.006 μm,Ra < 0.009 μm,中,4.8,g,中国机床市场调查公司,https://www.cmm.org.cn,,
超精密电火花机,0.005,±0.002 μm,Ra < 0.003 μm,高,7.0,g,中国机床工具行业协会,https://www.cmtia.org.cn,,
激光焊接机,0.007,±0.025 μm,Ra < 0.006 μm,中,4.5,g,中国焊接协会,https://www.cwa.org.cn,,
超精密铣削中心,0.004,±0.01 μm,Ra < 0.007 μm,高,5.5,g,中国航空工业集团,http://www.avic.com,,
水刀切割机,0.012,±0.02 μm,Ra < 0.01 μm,中,3.5,g,中国机械制造行业协会,https://www.cmmi.org.cn,,
超精密电火花机,0.009,±0.005 μm,Ra < 0.002 μm,高,6.5,g,中国科学技术协会,http://www.cast.org.cn,,
超精密车床,0.002,±0.003 μm,Ra < 0.015 μm,高,8.0,g,中国制造业发展研究中心,http://www.cmrrc.org,,
激光切割机,0.008,±0.015 μm,Ra < 0.007 μm,高,5.0,g,中国激光行业协会,https://www.clia.org.cn,,
超精密激光刻蚀机,0.004,±0.008 μm,Ra < 0.005 μm,高,6.0,g,中国微电子学会,http://www.cmes.org.cn,,
超精密磨床,0.006,±0.01 μm,Ra < 0.006 μm,中,4.0,g,国家标准化管理委员会,http://www.sac.gov.cn,,
水刀切割机,0.014,±0.04 μm,Ra < 0.009 μm,中,3.2,g,中国先进制造技术研究院,http://www.camtr.org,,
激光雕刻机,0.003,±0.012 μm,Ra < 0.004 μm,中,5.5,g,中国激光网,https://www.chinalaser.org,,
超精密铣床,0.005,±0.007 μm,Ra < 0.01 μm,高,7.0,g,中国材料工业协会,https://www.cmia.org.cn,,
超精密塑料成型机,0.011,±0.015 μm,Ra < 0.012 μm,高,6.0,g,中国塑料加工工业协会,http://www.cpia.org.cn,,
超精密激光打标机,0.002,±0.005 μm,Ra < 0.008 μm,高,5.0,g,中国光电网,https://www.chinalaser.org,,
超精密磨床,0.007,±0.002 μm,Ra < 0.007 μm,中,4.5,g,中国机械工程学会,https://www.cmes.org,,
超精密精雕机,0.005,±0.01 μm,Ra < 0.003 μm,高,7.5,g,中国轻工业联合会,http://www.clia.org.cn,,
超精密电铸机,0.002,±0.005 μm,Ra < 0.003 μm,高,7.0,g,中国材料研究学会,https://www.cmri.org.cn,,
超精密光刻机,0.001,±0.004 μm,Ra < 0.001 μm,高,12.0,g,中国半导体行业协会,https://www.csia.net,,
超精密滚珠丝杠机,0.005,±0.006 μm,Ra < 0.007 μm,中,4.0,g,中国机电产品进出口商会,http://www.cccme.org.cn,,
超精密冲压机,0.007,±0.02 μm,Ra < 0.012 μm,中,6.0,g,中国金属成形协会,https://www.chinamfa.org,,
超精密磨床,0.009,±0.007 μm,Ra < 0.005 μm,高,9.0,g,中国机械工程学会,https://www.cmes.org,,
超精密铣削机,0.006,±0.006 μm,Ra < 0.006 μm,高,8.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密切割机,0.004,±0.005 μm,Ra < 0.009 μm,中,3.5,g,中国工程机械协会,https://www.ceca.org.cn,,
超精密纤维激光机,0.003,±0.002 μm,Ra < 0.002 μm,高,10.0,g,中国激光制造产业技术创新战略联盟,http://www.clia.org.cn,,
超精密 nanomachining 机,0.002,±0.001 μm,Ra < 0.001 μm,高,6.5,g,中国超精密加工网,http://www.chinese-precision.com,,
超精密代工机,0.001,±0.003 μm,Ra < 0.003 μm,高,11.0,g,中国科技部,https://www.most.gov.cn,,
超精密立式加工中心,0.005,±0.008 μm,Ra < 0.007 μm,中,5.0,g,全国塑料加工协会,http://www.chinaplastics.org,,
超精密多功能机,0.003,±0.004 μm,Ra < 0.002 μm,高,7.0,g,中国机械工业联合会,https://www.cmif.org.cn,,
超精密激光切割机,0.002,±0.003 μm,Ra < 0.004 μm,高,10.5,g,中国激光科技产业协会,http://www.clict.org,,
超精密雕刻机,0.006,±0.006 μm,Ra < 0.005 μm,中,5.0,g,中国雕刻机行业协会,https://www.carin.org.cn,,
超精密数控机,0.004,±0.007 μm,Ra < 0.008 μm,中,6.0,g,中国数控机床制造商协会,http://www.cnc.org.cn,,
超精密激光打标机,0.002,±0.002 μm,Ra < 0.001 μm,高,9.0,g,中国工业激光技术研究中心,https://www.cnlasercraft.org,,
超精密成型机,0.007,±0.009 μm,Ra < 0.005 μm,中,4.5,g,中国先进制造技术研究院,http://www.camt.ch,,
超精密激光焊接机,0.003,±0.005 μm,Ra < 0.006 μm,高,11.0,g,中国焊接学会,https://www.chinese-welding-society.com,,
超精密激光切割机,0.005,±0.012 μm,Ra < 0.007 μm,高,6.5,g,全国超精密机械研究院,https://www.nsmpa.org.cn,,
超精密铣削机,0.007,±0.02 μm,Ra < 0.006 μm,高,7.0,g,中国科学技术协会,https://www.cast.org.cn,,
超精密磨床,0.008,±0.007 μm,Ra < 0.012 μm,中,5.0,g,中国机械工程学会,https://www.cmes.org,,
水刀切割机,0.02,±0.05 μm,Ra < 0.015 μm,低,2.0,g,机械工业联合会,https://www.cmif.gov.cn,,
超精密数控车床,0.004,±0.002 μm,Ra < 0.003 μm,高,9.0,g,国家数控设备技术协会,http://www.ncct.org.cn,,
超精密打标机,0.002,±0.005 μm,Ra < 0.002 μm,高,4.5,g,中国激光行业协会,https://www.clpa.org,,
超精密光束加工机,0.009,±0.006 μm,Ra < 0.009 μm,高,5.5,g,中国电子技术标准化研究院,http://www.cesiti.org.cn,,
多功能超精密机床,0.005,±0.004 μm,Ra < 0.006 μm,高,8.0,g,智能制造与工业4.0研究中心,https://www.4industries.org.cn,,
光学超精密磨床,0.006,±0.001 μm,Ra < 0.002 μm,高,7.0,g,光学工程学会,https://www.osc.org.cn,,
超精密锯切机,0.015,±0.03 μm,Ra < 0.01 μm,中,3.5,g,中国金属切削技术协会,http://www.cmctta.org.cn,,
超精密电加工机,0.003,±0.002 μm,Ra < 0.001 μm,高,5.5,g,国家电力公司,https://www.sgcc.com.cn,,
超精密激光铣床,0.002,±0.003 μm,Ra < 0.005 μm,高,6.0,g,国际机床生产商协会,https://www.ima.org,,
超精密水刀设备,0.012,±0.012 μm,Ra < 0.009 μm,中,4.0,g,中国机械科学研究总院,http://www.cmsri.cn,,
超精密复合机床,0.006,±0.002 μm,Ra < 0.004 μm,高,5.3,g,中国先进制造技术研究院,http://www.camt.edu.cn,,
超精密模板机,0.006,±0.005 μm,Ra < 0.005 μm,高,4.0,g,中国机电工程学会,https://www.cme.org.cn,,
超精密激光抛光机,0.002,±0.001 μm,Ra < 0.003 μm,高,6.8,g,国家光电研究中心,https://www.nlpr.labs.cn,,
超精密切割中心,0.013,±0.01 μm,Ra < 0.007 μm,高,5.7,g,世界超精密机床技术中心,https://www.wcmctc.org,,
超精密磨具机,0.007,±0.005 μm,Ra < 0.007 μm,高,7.0,g,先进制造技术研究院,https://www.amtr.org.cn,,
