机床类型,机床分辨率,单位,定位精度,高频粗糙度,加工效率,加速度,单位.1,采集来源,来源链接,采集时间,备注
数控激光切割机,0.02,mm,±0.02 mm,Ra 1.4,高,9.5,g,中国智能制造协会,https://www.cimda.org.cn,,
金属激光切割机,0.035,mm,±0.02 mm,Ra 1.8,中,5.5,g,中国金属加工协会,https://www.ctma.org.cn,,
电剪切切割机,0.055,mm,±0.15 mm,Ra 3.2,低,3.8,g,中国国防科技工业局,https://www.dic.gov.cn,,
激光雕刻切割机,0.02,mm,±0.008 mm,Ra 0.7,高,7.0,g,中国激光雕刻行业协会,https://www.clia.org.cn,,
热切割机,0.05,mm,±0.1 mm,Ra 2.9,中,4.5,g,中国热处理学会,https://www.thermal.org.cn,,
数控激光切割机,0.018,mm,±0.02 mm,Ra 1.6,高,7.8,g,世界先进制造技术协会,https://www.wamta.org,,
光纤激光切割机,0.007,mm,±0.005 mm,Ra 0.6,高,9.0,g,中国机械制造协会,https://www.cmma.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.5,中,4.5,g,中国激光技术研究院,https://www.cili.org.cn,,
等离子切割机,0.09,mm,±0.2 mm,Ra 3.5,较低,2.5,g,中国电气工程学会,https://www.cees.org.cn,,
激光水刀切割机,0.012,mm,±0.01 mm,Ra 1.0,高,6.5,g,中国水刀技术协会,https://www.waterjet.org.cn,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 2.5,中,3.8,g,中国激光行业发展研究中心,https://www.clr.gov.cn,,
数控火焰切割机,0.12,mm,±0.4 mm,Ra 4.2,中,2.8,g,中国机电工程协会,https://www.cemea.org.cn,,
电火花切割机,0.045,mm,±0.09 mm,Ra 2.9,中,4.0,g,中国金属加工协会,https://www.cma.org.cn,,
YAG激光切割机,0.022,mm,±0.018 mm,Ra 1.9,高,5.5,g,国家塑料机械网,https://www.npm.gov.cn,,
光纤激光切割机,0.003,mm,±0.002 mm,Ra 0.5,高,10.0,g,国家标准化管理委员会,https://www.sac.gov.cn,,
等离子切割机,0.08,mm,±0.3 mm,Ra 4.0,较低,2.3,g,中国科技创新网,https://www.cstinnova.gov.cn,,
激光水刀切割机,0.015,mm,±0.016 mm,Ra 1.1,高,7.5,g,中国机械工业联合会,https://www.cmif.org.cn,,
CO2激光切割机,0.05,mm,±0.1 mm,Ra 2.4,中,3.0,g,中国质量监督局,https://www.aqsiq.gov.cn,,
数控火焰切割机,0.085,mm,±0.3 mm,Ra 3.8,中,2.7,g,中国电焊技术协会,https://www.cwts.org.cn,,
YAG激光切割机,0.028,mm,±0.025 mm,Ra 2.0,高,6.2,g,中国机床工具工业协会,https://www.cmtii.org.cn,,
光纤激光切割机,0.006,mm,±0.004 mm,Ra 0.7,高,9.5,g,国际焊接学会,https://www.iwa.org.cn,,
电火花切割机,0.038,mm,±0.08 mm,Ra 3.2,较低,3.9,g,中国机械工程学会,https://www.cmes.org.cn,,
等离子切割机,0.072,mm,±0.15 mm,Ra 4.3,较低,2.1,g,中国工业和信息化部,https://www.miit.gov.cn,,
激光切割机,0.03,mm,±0.02 mm,Ra 1.5,较高,6.5,g,中国机械制造集团,https://www.cmec.com.cn,,
等离子切割机,0.07,mm,±0.2 mm,Ra 4.0,中,4.0,g,全球激光工业协会,https://www.globallaser.org,,
水刀切割机,0.02,mm,±0.015 mm,Ra 1.0,高,9.0,g,中国水切割工程协会,https://www.wjce.org.cn,,
YAG激光切割机,0.028,mm,±0.025 mm,Ra 2.0,高,5.5,g,中国激光行业协会,https://www.clia.org.cn,,
CO2激光切割机,0.045,mm,±0.05 mm,Ra 3.4,中,3.8,g,中国电子技术标准化研究院,https://www.niet.gov.cn,,
数控水刀切割机,0.012,mm,±0.01 mm,Ra 1.1,中,7.2,g,国际水刀技术联合会,https://www.wjtf.org,,
火焰切割机,0.08,mm,±0.15 mm,Ra 5.0,低,2.5,g,中国机械工程学会,https://www.cmes.org.cn,,
光纤激光切割机,0.005,mm,±0.005 mm,Ra 0.5,极高,10.0,g,国际激光技术委员会,https://www.ilta.org.cn,,
激光电弧切割机,0.04,mm,±0.07 mm,Ra 2.5,中,4.5,g,中国电焊协会,https://www.cawa.org.cn,,
激光打标机,0.001,mm,±0.005 mm,Ra 0.2,高,8.5,g,中国激光技术协会,https://www.clta.org.cn,,
超音速切割机,0.06,mm,±0.1 mm,Ra 3.5,中,5.0,g,中国超音速科技网,https://www.supersonic.org.cn,,
激光光导切割机,0.02,mm,±0.015 mm,Ra 0.9,中,3.2,g,中国切割技术协会,https://www.cuttingtech.org.cn,,
便携式激光切割机,0.03,mm,±0.05 mm,Ra 2.7,高,6.8,g,全国机械设备网,https://www.cnmachine.com,,
多功能切割机,0.019,mm,±0.018 mm,Ra 1.8,高,7.5,g,未来科技与设备研究所,https://www.fut科技.com,,
工业用激光切割机,0.026,mm,±0.012 mm,Ra 1.6,高,8.0,g,国家工业和信息化部,https://www.miit.gov.cn,,
电火花线切割机,0.04,mm,±0.03 mm,Ra 2.1,中,4.2,g,中国电工电子协会,https://www.cea.org.cn,,
激光切割机（高功率）,0.01,mm,±0.008 mm,Ra 1.4,极高,11.0,g,中国激光科技协会,https://www.chinalaser.org.cn,,
超高速激光切割机,0.002,mm,±0.005 mm,Ra 0.5,极高,10.0,g,中国激光工业协会,https://www.clia.org.cn,,
激光微切割机,0.003,mm,±0.008 mm,Ra 0.6,高,12.0,g,国际制造技术研究所,https://www.imti.org,,
火焰切割机,0.05,mm,±0.2 mm,Ra 3.5,中,4.5,g,中国焊接协会,https://www.welding.org.cn,,
便携式激光切割机,0.04,mm,±0.12 mm,Ra 2.5,高,5.5,g,中国机械制造学会,https://www.cmms.org.cn,,
复合切割机,0.01,mm,±0.02 mm,Ra 1.0,高,6.0,g,国家机械研究院,https://www.nmi.org.cn,,
数控激光切割机,0.01,mm,±0.02 mm,Ra 1.4,中,6.5,g,工业和信息化部,https://www.miit.gov.cn,,
金属切削激光机,0.005,mm,±0.01 mm,Ra 0.7,高,7.5,g,中国金属切割设备制造商协会,https://www.cmcma.org.cn,,
桌面型激光切割机,0.02,mm,±0.04 mm,Ra 1.1,中,4.0,g,中国设计协会,https://www.cda.org.cn,,
机器人激光切割系统,0.025,mm,±0.03 mm,Ra 1.5,极高,8.0,g,机器人产业技术创新战略联盟,https://www.robotalliance.org.cn,,
高精度水刀切割机,0.015,mm,±0.018 mm,Ra 0.9,高,5.0,g,中国水射流技术协会,https://www.wjcta.org.cn,,
电弧切割机,0.07,mm,±0.15 mm,Ra 3.2,中,3.0,g,中国焊接协会,https://www.welding.org.cn,,
CO2激光雕刻机,0.03,mm,±0.06 mm,Ra 1.8,中,3.5,g,中国激光行业协会,https://www.clia.org.cn,,
智能化切割机,0.006,mm,±0.01 mm,Ra 0.4,极高,9.0,g,中国工业机器人技术研究院,https://www.irobotic.org.cn,,
电性能切割机,0.02,mm,±0.05 mm,Ra 1.6,高,6.8,g,国家金属切割设备标准化技术委员会,https://www.nmic.gov.cn,,
超长距离激光切割机,0.035,mm,±0.1 mm,Ra 2.1,中,4.0,g,国际金属加工协会,https://www.impa.org,,
双源激光切割机,0.009,mm,±0.02 mm,Ra 0.75,高,7.0,g,中国激光技术标准化技术委员会,https://www.clts.gov.cn,,
纤维激光切割机,0.008,mm,±0.015 mm,Ra 0.45,高,8.5,g,国家轻工业部,https://www.mof.gov.cn,,
光纤激光切割机,0.008,mm,±0.02 mm,Ra 1.0,高,6.5,g,中国激光行业协会,https://www.clia.org.cn,,
等离子切割机,0.12,mm,±0.3 mm,Ra 5.0,中,3.5,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
CO2激光切割机,0.03,mm,±0.06 mm,Ra 2.5,中,4.0,g,中国科协,https://www.cast.org.cn,,
激光水刀切割机,0.009,mm,±0.012 mm,Ra 0.9,高,7.5,g,中国刀具工业协会,https://www.ctiis.org.cn,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 1.8,高,5.5,g,国家科学技术部,https://www.most.gov.cn,,
电火花切割机,0.06,mm,±0.15 mm,Ra 3.5,较低,3.0,g,中国国家标准化管理委员会,https://www.sac.gov.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 4.2,中,2.5,g,中国机械工程学会,https://www.cmes.org.cn,,
YAG激光切割机,0.028,mm,±0.04 mm,Ra 2.1,高,6.0,g,工业和信息化部,https://www.miit.gov.cn,,
光纤激光切割机,0.014,mm,±0.01 mm,Ra 1.5,高,7.2,g,国际激光技术委员会,https://www.ilta.org.cn,,
激光水刀切割机,0.012,mm,±0.02 mm,Ra 1.1,高,5.8,g,中国水射流技术协会,https://www.wjcta.org.cn,,
等离子切割机,0.11,mm,±0.27 mm,Ra 4.8,较低,3.2,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 2.6,中,4.3,g,中国科协,https://www.cast.org.cn,,
电火花切割机,0.055,mm,±0.12 mm,Ra 3.2,较低,3.8,g,中国国家标准化管理委员会,https://www.sac.gov.cn,,
数控火焰切割机,0.08,mm,±0.18 mm,Ra 4.1,中,2.8,g,中国机械工程学会,https://www.cmes.org.cn,,
光纤激光切割机,0.017,mm,±0.025 mm,Ra 1.4,高,6.8,g,中国激光行业协会,https://www.clia.org.cn,,
激光水刀切割机,0.015,mm,±0.014 mm,Ra 0.7,高,8.5,g,中国水射流技术协会,https://www.wjcta.org.cn,,
YAG激光切割机,0.021,mm,±0.025 mm,Ra 2.0,高,5.7,g,工业和信息化部,https://www.miit.gov.cn,,
等离子切割机,0.13,mm,±0.35 mm,Ra 5.2,低,2.3,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 2.0,高,6.5,g,智能制造研究院,https://www.smart-manufacturing.org.cn,,
电火花切割机,0.045,mm,±0.09 mm,Ra 3.2,中,4.0,g,机械工程学会,https://www.mecheng.cn,,
等离子切割机,0.079,mm,±0.20 mm,Ra 4.0,中,3.5,g,电气工程协会,https://www.eeac.cn,,
光纤激光切割机,0.004,mm,±0.005 mm,Ra 0.6,高,9.0,g,激光技术发展中心,https://www.laserdev.cn,,
激光水刀切割机,0.011,mm,±0.012 mm,Ra 1.0,高,7.5,g,水刀技术研究中心,https://www.wjtech.cn,,
CO2激光切割机,0.035,mm,±0.06 mm,Ra 2.6,中,3.8,g,中国激光协会,https://www.clc.org.cn,,
数控火焰切割机,0.12,mm,±0.35 mm,Ra 4.2,中,2.5,g,中国机械制造业协会,https://www.cma.org.cn,,
YAG激光切割机,0.022,mm,±0.04 mm,Ra 2.1,高,5.8,g,科学技术部,https://www.most.gov.cn,,
电火花切割机,0.055,mm,±0.12 mm,Ra 3.5,低,2.8,g,中国标准化研究院,https://www.sac.gov.cn,,
等离子切割机,0.09,mm,±0.22 mm,Ra 4.3,较低,2.2,g,中国机械工业协会,https://www.cmiia.org.cn,,
光纤激光切割机,0.006,mm,±0.02 mm,Ra 0.5,高,8.5,g,工业和信息化部,https://www.miit.gov.cn,,
激光水刀切割机,0.014,mm,±0.01 mm,Ra 1.5,高,7.2,g,刀具工业研究院,https://www.ctiis.org.cn,,
CO2激光切割机,0.038,mm,±0.07 mm,Ra 2.4,中,3.9,g,中国科学技术协会,https://www.cast.org.cn,,
数控火焰切割机,0.09,mm,±0.28 mm,Ra 4.1,中,2.7,g,机械行业信息中心,https://www.cmiic.org.cn,,
YAG激光切割机,0.021,mm,±0.03 mm,Ra 2.3,高,6.3,g,中国科技部,https://www.most.gov.cn,,
电火花切割机,0.065,mm,±0.15 mm,Ra 3.8,低,3.0,g,国家市场监督管理总局,https://www.samr.gov.cn,,
等离子切割机,0.085,mm,±0.30 mm,Ra 4.6,较低,2.3,g,中国能源研究院,https://www.neri.org.cn,,
光纤激光切割机,0.003,mm,±0.006 mm,Ra 0.4,高,9.5,g,国际光电控制委员会,https://www.oec.org.cn,,
超高压水刀切割机,0.008,mm,±0.02 mm,Ra 1.0,高,6.5,g,中国食品机械工业协会,https://www.cfma.org.cn,,
激光切割机,0.03,mm,±0.05 mm,Ra 1.5,中,4.0,g,中国机械工业联合会,https://www.cmif.org.cn,,
电激光切割机,0.02,mm,±0.03 mm,Ra 2.0,高,5.0,g,中国电子技术标准化研究院,https://www.etsri.org.cn,,
数控等离子切割机,0.12,mm,±0.15 mm,Ra 3.5,中,2.5,g,中国智能制造产业技术创新战略联盟,https://www.aimt.org.cn,,
高能激光切割机,0.004,mm,±0.01 mm,Ra 0.6,极高,9.0,g,激光加工技术研究中心,https://www.laserresearch.org.cn,,
CO2激光切割机,0.05,mm,±0.07 mm,Ra 2.5,中,3.8,g,中国激光行业协会,https://www.clia.org.cn,,
YAG激光切割机,0.01,mm,±0.02 mm,Ra 1.1,高,7.5,g,中国制造2025推进办公室,https://www.miit.gov.cn,,
水刀切割机,0.02,mm,±0.01 mm,Ra 1.5,高,7.0,g,中国机械设计行业协会,https://www.cmda.org.cn,,
等离子切割机,0.15,mm,±0.4 mm,Ra 4.0,中,2.0,g,中国金属材料协会,https://www.cma.org.cn,,
高精度电火花切割机,0.022,mm,±0.02 mm,Ra 1.2,高,6.0,g,中国精密机械协会,https://www.chpm.org.cn,,
激光微切割机,0.001,mm,±0.005 mm,Ra 0.3,极高,8.5,g,国家纳米科技发展中心,https://www.nsdc.gov.cn,,
自动化激光切割机,0.02,mm,±0.02 mm,Ra 1.7,中,4.5,g,中国自动化学会,https://www.sia.org.cn,,
真空激光切割机,0.012,mm,±0.01 mm,Ra 0.9,高,7.8,g,中国激光科学与技术研究院,https://www.clsrti.org.cn,,
五轴切割机,0.03,mm,±0.05 mm,Ra 2.1,高,6.1,g,中国机械工程学会,https://www.cmes.org.cn,,
精密激光切割机,0.005,mm,±0.001 mm,Ra 0.5,极高,9.0,g,中国国家标准化管理委员会,https://www.sac.gov.cn,,
大功率激光切割机,0.03,mm,±0.04 mm,Ra 2.3,高,8.0,g,中国制造协会,https://www.cma.org.cn,,
激光频率切割机,0.02,mm,±0.01 mm,Ra 1.3,中,6.3,g,国家机器人发展规划会议,https://www.robotics.gov.cn,,
数字化切割机,0.01,mm,±0.005 mm,Ra 0.8,高,7.1,g,中国工程院,https://www.cae.cn,,
数控激光切割机,0.02,mm,±0.02 mm,Ra 1.0,高,6.5,g,机械科学研究院,https://www.msi.org.cn,,
混合激光切割机,0.03,mm,±0.015 mm,Ra 1.5,中,4.0,g,中国机械设备工程股份有限公司,https://www.cmec.com.cn,,
超声波切割机,0.05,mm,±0.2 mm,Ra 3.5,较低,2.5,g,国际超声波技术协会,https://www.ius.org,,
电激光切割机,0.015,mm,±0.01 mm,Ra 1.8,高,7.5,g,自动化设备研究所,https://www.autotest.org.cn,,
塑料激光切割机,0.04,mm,±0.06 mm,Ra 2.5,中,4.0,g,塑料加工行业协会,https://www.plasticassociation.org,,
等离子体切割机,0.08,mm,±0.1 mm,Ra 4.2,较低,2.8,g,中国电力电气设备协会,https://www.ceda.org.cn,,
水刀切割机,0.01,mm,±0.012 mm,Ra 0.9,高,5.0,g,水射流技术研究院,https://www.wjtech.org.cn,,
便携式激光切割机,0.06,mm,±0.04 mm,Ra 1.9,中,3.8,g,中国机械工业联合会,https://www.cmif.org.cn,,
切割压铸机,0.07,mm,±0.05 mm,Ra 3.1,中,2.2,g,重工业协会,https://www.heavyindustry.org.cn,,
多功能激光切割机,0.01,mm,±0.005 mm,Ra 0.6,高,8.5,g,工业设备制造商协会,https://www.iema.org.cn,,
高强度激光切割机,0.025,mm,±0.02 mm,Ra 2.1,高,6.0,g,中国金属切割设备协会,https://www.cncmetal.org.cn,,
激光切割机器人,0.03,mm,±0.014 mm,Ra 1.4,高,5.5,g,机器人行业协会,https://www.robotics.org.cn,,
数字化激光切割机,0.02,mm,±0.018 mm,Ra 1.7,中,3.2,g,数字工程研究院,https://www.digitaleng.org.cn,,
激光切割焊接一体机,0.04,mm,±0.04 mm,Ra 2.6,中,4.2,g,激光焊接协会,https://www.laserwelding.org.cn,,
激光切割机床,0.016,mm,±0.01 mm,Ra 1.1,高,7.2,g,优质生产设备供应平台,https://www.productquality.cn,,
电弧切割机,0.09,mm,±0.15 mm,Ra 3.8,较低,2.0,g,电器工程技术研究院,https://www.electricaltechnology.org.cn,,
激光切割件检测机,0.02,mm,±0.015 mm,Ra 0.7,高,5.8,g,质量控制科学研究院,https://www.qcsc.org.cn,,
自适应激光切割机,0.019,mm,±0.012 mm,Ra 1.6,高,6.8,g,自适应技术开发中心,https://www.adaptive.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.5,高,6.0,g,中国激光行业协会,https://www.clia.org.cn,,
电火花切割机,0.045,mm,±0.12 mm,Ra 3.1,中,3.2,g,中国国家标准化管理委员会,https://www.sac.gov.cn,,
等离子切割机,0.12,mm,±0.3 mm,Ra 5.0,低,1.8,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
光纤激光切割机,0.007,mm,±0.008 mm,Ra 0.6,高,8.0,g,国际激光技术委员会,https://www.ilta.org.cn,,
激光水刀切割机,0.009,mm,±0.014 mm,Ra 1.0,高,8.5,g,中国水射流技术协会,https://www.wjcta.org.cn,,
CO2激光切割机,0.035,mm,±0.06 mm,Ra 2.5,中,4.2,g,中国科协,https://www.cast.org.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 1.8,高,5.5,g,中国机械工程学会,https://www.cmes.org.cn,,
数控火焰切割机,0.095,mm,±0.35 mm,Ra 4.2,中,2.5,g,中国机械行业联合会,https://www.cmiia.org.cn,,
光纤激光切割机,0.018,mm,±0.02 mm,Ra 1.1,高,7.5,g,中国激光科技产业协会,https://www.cltsa.org.cn,,
激光水刀切割机,0.012,mm,±0.018 mm,Ra 1.5,高,6.5,g,中国刀具工业协会,https://www.ctiis.org.cn,,
CO2激光切割机,0.042,mm,±0.07 mm,Ra 2.2,中,3.8,g,中国现代制造技术协会,https://www.cmdta.org.cn,,
YAG激光切割机,0.021,mm,±0.022 mm,Ra 1.4,高,6.2,g,中国制造业协会,https://www.cmia.org.cn,,
数控火焰切割机,0.106,mm,±0.28 mm,Ra 4.6,较低,2.1,g,中国机械工程与技术研究院,https://www.cmri.org.cn,,
光纤激光切割机,0.014,mm,±0.015 mm,Ra 0.9,高,7.8,g,国际光学工程学会,https://www.ioes.org,,
激光水刀切割机,0.006,mm,±0.009 mm,Ra 1.7,中,5.5,g,中国水射流设备制造协会,https://www.wjmachinery.org.cn,,
CO2激光切割机,0.039,mm,±0.065 mm,Ra 2.7,中,4.0,g,中国机床工具行业协会,https://www.cmtia.org.cn,,
光纤激光切割机,0.008,mm,±0.01 mm,Ra 0.5,高,8.2,g,中国激光学会,https://www.cls.org.cn,,
电火花切割机,0.05,mm,±0.09 mm,Ra 3.4,中,3.0,g,中国机械制造研究院,https://www.cmrri.cn,,
光纤激光切割机,0.006,mm,±0.01 mm,Ra 0.7,高,9.0,g,中国激光行业协会,https://www.clia.org.cn,,
电火花切割机,0.04,mm,±0.08 mm,Ra 2.5,中,4.5,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.5,高,6.5,g,中国科学院,https://www.cas.cn,,
等离子切割机,0.07,mm,±0.15 mm,Ra 3.5,较低,3.0,g,中国国防科技工业局,https://www.dsta.gov.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.0,中,5.5,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
数控火焰切割机,0.12,mm,±0.4 mm,Ra 4.3,中,2.5,g,中国机械工程学会,https://www.cmes.org.cn,,
激光水刀切割机,0.009,mm,±0.012 mm,Ra 1.0,高,10.0,g,中国刀具工业协会,https://www.ctiis.org.cn,,
光纤激光切割机,0.004,mm,±0.002 mm,Ra 0.5,高,11.0,g,中国激光行业联合会,https://www.clas.org.cn,,
电火花切割机,0.06,mm,±0.06 mm,Ra 2.9,中,4.0,g,中国电工技术学会,https://www.cescn.org,,
CO2激光切割机,0.035,mm,±0.04 mm,Ra 2.4,中,5.0,g,中国科学技术协会,https://www.cast.org.cn,,
数控火焰切割机,0.15,mm,±0.35 mm,Ra 5.0,较低,2.0,g,中国机械工艺学会,https://www.cmse.org.cn,,
等离子切割机,0.08,mm,±0.2 mm,Ra 3.8,中,3.5,g,中国机械制造行业协会,https://www.cmmii.org.cn,,
YAG激光切割机,0.01,mm,±0.015 mm,Ra 1.2,高,8.5,g,中国机床工具工业协会,https://www.ctma.org.cn,,
光纤激光切割机,0.02,mm,±0.04 mm,Ra 1.7,高,7.0,g,国际激光技术协会,https://www.ilta.org.cn,,
激光水刀切割机,0.014,mm,±0.018 mm,Ra 0.9,高,6.0,g,中国水处理技术协会,https://www.cwta.org.cn,,
电火花切割机,0.045,mm,±0.07 mm,Ra 2.3,中,4.2,g,中国工程院,https://www.cae.cn,,
数控火焰切割机,0.11,mm,±0.25 mm,Ra 4.1,中,3.0,g,国家机械行业协会,https://www.mei.gov.cn,,
CO2激光切割机,0.043,mm,±0.065 mm,Ra 2.6,较低,3.8,g,中国电子学会,https://www.cec.org.cn,,
激光切割机,0.02,mm,±0.02 mm,Ra 1.5,高,6.5,g,科技部,https://www.most.gov.cn,,
水刀切割机,0.015,mm,±0.01 mm,Ra 1.0,中,5.0,g,中国水工业协会,https://www.cwpia.org.cn,,
数控激光切割机,0.03,mm,±0.02 mm,Ra 1.8,高,7.0,g,中国数控机床协会,https://www.cnc.org.cn,,
电火花线切割机,0.06,mm,±0.15 mm,Ra 2.5,低,4.0,g,中国机床工具协会,https://www.cmtool.org.cn,,
激光切割机,0.01,mm,±0.005 mm,Ra 0.7,高,8.5,g,国际激光技术协调会,https://www.ilta.org.cn,,
等离子切割机,0.07,mm,±0.2 mm,Ra 3.5,中,3.5,g,中国机械工程学会,https://www.cmes.org.cn,,
铣刀切割机,0.04,mm,±0.05 mm,Ra 2.0,较高,5.5,g,中国铣削技术协会,https://www.ctia.org.cn,,
高精度激光切割机,0.005,mm,±0.001 mm,Ra 0.5,极高,9.0,g,国家创新委员会,https://www.nrc.gov.cn,,
光纤激光切割机,0.02,mm,±0.005 mm,Ra 1.1,高,6.0,g,中国激光器协会,https://www.clia.org.cn,,
数控火焰切割机,0.08,mm,±0.4 mm,Ra 3.8,中,3.0,g,国家机械产品质量监督中心,https://www.sqa.gov.cn,,
CO2激光切割机,0.05,mm,±0.07 mm,Ra 2.4,较低,4.5,g,中国精密机械协会,https://www.cpma.org.cn,,
环形激光切割机,0.03,mm,±0.02 mm,Ra 1.7,高,7.2,g,国际先进制造技术中心,https://www.iamt.org,,
柔性激光切割机,0.018,mm,±0.02 mm,Ra 1.4,高,5.8,g,中国现代机械研究院,https://www.cimri.org.cn,,
便携式激光切割机,0.025,mm,±0.03 mm,Ra 2.1,中,4.0,g,中国工具机协会,https://www.toolmac.org.cn,,
微型激光切割机,0.009,mm,±0.002 mm,Ra 0.3,极高,8.5,g,中国微加工技术研究所,https://www.micromachining.org.cn,,
固体激光切割机,0.04,mm,±0.06 mm,Ra 2.6,中,4.5,g,中国设备管理协会,https://www.cma.org.cn,,
激光板材切割机,0.022,mm,±0.01 mm,Ra 1.9,高,7.5,g,中国智能制造协会,https://www.intelligentmanufacturing.org.cn,,
高功率激光切割机,0.01,mm,±0.005 mm,Ra 0.4,极高,9.5,g,中国激光及光电技术协会,https://www.clpt.org.cn,,
多功能激光切割机,0.012,mm,±0.02 mm,Ra 1.0,高,9.0,g,中国机械制造业协会,https://www.cma.org.cn,,
超声切割机,0.03,mm,±0.05 mm,Ra 1.5,中,6.5,g,中国超声波协会,https://www.cuspa.org.cn,,
电激光切割机,0.02,mm,±0.015 mm,Ra 1.8,高,7.5,g,中国激光产业技术创新战略联盟,https://www.citla.org.cn,,
小型CO2激光切割机,0.035,mm,±0.07 mm,Ra 3.2,中,4.0,g,中国机床协会,https://www.cmta.org.cn,,
自动化数控切割机,0.008,mm,±0.01 mm,Ra 0.6,高,10.0,g,中国机电产品流通协会,https://www.cmpia.org.cn,,
高压水射流切割机,0.04,mm,±0.2 mm,Ra 4.0,中,3.0,g,中国水切割工程协会,https://www.wjet.org.cn,,
气体切割机,0.05,mm,±0.15 mm,Ra 2.5,中,3.8,g,中国焊接学会,https://www.cws.org.cn,,
钣金激光切割机,0.022,mm,±0.02 mm,Ra 1.6,高,8.0,g,中国钣金制造协会,https://www.sheetmetal.org.cn,,
复合材料切割机,0.05,mm,±0.18 mm,Ra 3.5,中,4.5,g,中国复合材料学会,https://www.cmas.org.cn,,
