可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范可见光通信系统类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,,,,,,,,,备注【疑问汇总】
农业监控光通信系统,光通信,1,2023-09-30,郑州农业科技有限公司,已完成,2023-10-01,合格,郑州农业科技有限公司,环境监测模块,郑州农业科技有限公司,VLC-028-2024,电子教育,无,标准型,V1.0,郑州市农业局,http://zzagri.gov.cn/,2024-10-17,,,,,,,,,,
智能交通光网络系统,光网络,3,2023-09-12,合肥智能交通科技有限公司,进行中,2023-09-13,审核中,合肥智能交通科技有限公司,交通监控模块,合肥智能交通科技有限公司,VLC-004-2024,计算机技术,无,高级型,V2.2,合肥市交通管理局,http://hftraffic.gov.cn/,2024-10-17,,,,,,,,,,
新一代可见光数据传输系统,光通信,1,2023-09-05,浙江光电科技股份有限公司,已完成,2023-09-06,合格,浙江光电科技股份有限公司,高速数据链路模块,浙江光电科技股份有限公司,VLC-009-2024,网络通信,无,标准型,V1.0,浙江省科技局,http://www.zjsti.gov.cn/,2024-10-17,,,,,,,,,,
集成化光计算加速器,光计算,2,2023-08-25,江苏光电研究院,审核中,2023-08-26,待定,江苏光电研究院,光子处理单元,江苏光电研究院,VLC-015-2024,企业服务,无,高级型,V2.0,南方科技大学,http://www.sustech.edu.cn/,2024-10-17,,,,,,,,,,
光信号增强与处理系统,光通信,1,2023-09-12,北京光通信技术开发有限公司,已完成,2023-09-13,合格,北京光通信技术开发有限公司,信号增强模块,北京光通信技术开发有限公司,VLC-022-2024,教育研究,无,标准型,V1.0,北京市经济和信息化局,http://www.bjwe.gov.cn/,2024-10-17,,,,,,,,,,
智能光网络控制系统,光网络,3,2023-07-30,天津智能网络股份有限公司,审核中,2023-08-01,待定,天津智能网络股份有限公司,光网络控制单元,天津智能网络股份有限公司,VLC-028-2024,交通监控,无,高级型,V2.1,天津市科技局,http://www.tjkj.gov.cn/,2024-10-17,,,,,,,,,,
高效能光传输网络系统,光通信,1,2023-09-18,四川光电科技有限公司,已完成,2023-09-19,合格,四川光电科技有限公司,光链路模块,四川光电科技有限公司,VLC-035-2024,计算机视觉,无,标准型,V1.0,四川省科技厅,http://www.scst.gov.cn/,2024-10-17,,,,,,,,,,
超高频光处理系统,光计算,2,2023-08-22,湖南省光学技术研究所,已完成,2023-08-23,合格,湖南省光学技术研究所,数据解析单元,湖南省光学技术研究所,VLC-041-2024,物联网技术,无,高级型,V2.0,湖南省科技厅,http://www.hnst.gov.cn/,2024-10-17,,,,,,,,,,
无人机光通信技术系统,光通信,1,2023-09-15,海南远程通信有限公司,审核中,2023-09-16,待定,海南远程通信有限公司,无人机通信模块,海南远程通信有限公司,VLC-047-2024,监控技术,无,标准型,V1.0,海南省科技厅,http://www.hn.gov.cn/,2024-10-17,,,,,,,,,,
智慧城市光网络系统,光网络,3,2023-09-20,重庆智慧科技有限公司,审核中,2023-09-21,待定,重庆智慧科技有限公司,城市光网络模块,重庆智慧科技有限公司,VLC-053-2024,云计算,无,高级型,V2.1,重庆市科技局,http://www.cq.gov.cn/,2024-10-17,,,,,,,,,,
可穿戴光通信设备,光通信,1,2023-09-30,新疆智能科技有限公司,已完成,2023-10-01,合格,新疆智能科技有限公司,光传输模块,新疆智能科技有限公司,VLC-061-2024,穿戴设备,无,标准型,V1.0,新疆维吾尔自治区科技局,http://www.xj.gov.cn/,2024-10-17,,,,,,,,,,
智能农业光通信系统,光通信,1,2023-09-05,杭州农业科技有限公司,已完成,2023-09-06,合格,杭州农业科技有限公司,光信号采集模块,杭州农业科技有限公司,VLC-002-2024,绿色农业,作物生长监测,标准型,V1.0,浙江省农业部门管理系统,http://zjgys.zj.gov.cn/,2024-10-17,,,,,,,,,,
室内定位光通信系统,光通信,2,2023-09-10,广州定位技术有限公司,审核中,2023-09-11,待定,广州定位技术有限公司,定位信号模块,广州定位技术有限公司,VLC-005-2024,物联网,室内导航,高级型,V2.0,广州市科技局信息化系统,http://gztjj.gov.cn/,2024-10-17,,,,,,,,,,
智能家居光网络系统,光网络,1,2023-09-15,北京智能家居科技有限公司,已完成,2023-09-16,合格,北京智能家居科技有限公司,光控智能模块,北京智能家居科技有限公司,VLC-008-2024,住宅智能化,家庭照明控制,标准型,V1.0,北京市智能家居协会,http://bjtj.gov.cn/,2024-10-17,,,,,,,,,,
车载光通信控制系统,光通信,3,2023-09-20,天津交通科技有限公司,审核中,2023-09-21,待定,天津交通科技有限公司,信息交互模块,天津交通科技有限公司,VLC-011-2024,车载通信,自动驾驶,高级型,V2.0,天津市交通管理局,http://tj.gov.cn/,2024-10-17,,,,,,,,,,
智能健康监测光通信系统,光计算,1,2023-09-25,南京健康科技有限公司,已完成,2023-09-26,合格,南京健康科技有限公司,生理参数监测模块,南京健康科技有限公司,VLC-014-2024,医疗健康,健康监测,标准型,V1.0,江苏省健康管理中心,http://jsmed.gov.cn/,2024-10-17,,,,,,,,,,
可见光灌溉监控系统,光网络,2,2023-09-30,福州农业科技有限公司,审核中,2023-10-01,待定,福州农业科技有限公司,灌溉监控模块,福州农业科技有限公司,VLC-017-2024,现代农业,作物健康监测,高级型,V2.1,福建省农业委员会,http://fjagri.gov.cn/,2024-10-17,,,,,,,,,,
光通信诗词朗读系统,光计算,1,2023-10-05,西安文化科技公司,已完成,2023-10-06,合格,西安文化科技公司,文本处理模块,西安文化科技公司,VLC-020-2024,教育科技,语言学习,标准型,V1.0,陕西省教育局,http://sxedu.gov.cn/,2024-10-17,,,,,,,,,,
公共安全光通信系统,光通信,3,2023-10-10,成都公共安全技术公司,审核中,2023-10-11,待定,成都公共安全技术公司,安全监控模块,成都公共安全技术公司,VLC-023-2024,公共安全,人流监控,高级型,V2.2,四川省公安厅,http://scga.gov.cn/,2024-10-17,,,,,,,,,,
交通信号光控制系统,光通信,2,2023-10-15,武汉交通科技有限公司,已完成,2023-10-16,合格,武汉交通科技有限公司,信号控制模块,武汉交通科技有限公司,VLC-026-2024,智能交通,交通流量监测,标准型,V1.0,湖北省交通运输厅,http://hubeitransport.gov.cn/,2024-10-17,,,,,,,,,,
超高速光连接系统,光通信,1,2023-09-01,杭州光科技有限公司,已完成,2023-09-02,合格,杭州光科技有限公司,高频发射器与接收器,杭州光科技有限公司,VLC-029-2024,先进通信技术,无,标准型,V1.0,杭州科技发展局,http://hz.gov.cn/,2024-10-17,,,,,,,,,,
室内智能光网络系统,光网络,2,2023-09-05,武汉智能科技有限公司,审核中,2023-09-06,待定,武汉智能科技有限公司,光传输与路由模块,武汉智能科技有限公司,VLC-023-2024,物联网技术,无,高级型,V2.0,武汉市科技委,http://wh.gov.cn/,2024-10-17,,,,,,,,,,
光计算优化系统,光计算,1,2023-09-10,南京先进计算技术研究所,已完成,2023-09-11,合格,南京先进计算技术研究所,计算处理组件,南京先进计算技术研究所,VLC-045-2024,计算机科学,无,标准型,V1.0,南京科技信息平台,http://nj.gov.cn/,2024-10-17,,,,,,,,,,
智能可见光定位系统,光网络,3,2023-09-15,重庆智联科技有限责任公司,审核中,2023-09-16,待定,重庆智联科技有限责任公司,定位信号接收器,重庆智联科技有限责任公司,VLC-087-2024,位置服务,无,高级型,V2.1,重庆市数字经济局,http://cq.gov.cn/,2024-10-17,,,,,,,,,,
新型光分发系统,光通信,1,2023-09-20,青岛光电国际有限公司,已完成,2023-09-21,合格,青岛光电国际有限公司,光信号增强器,青岛光电国际有限公司,VLC-012-2024,先进通信技术,无,标准型,V1.0,青岛经济技术开发区,http://qd.gov.cn/,2024-10-17,,,,,,,,,,
光电传感网络系统,光网络,2,2023-09-25,厦门先进光电技术公司,审核中,2023-09-26,待定,厦门先进光电技术公司,传感器模块,厦门先进光电技术公司,VLC-056-2024,传感技术,无,高级型,V2.0,厦门市科技局,http://xm.gov.cn/,2024-10-17,,,,,,,,,,
未来光束无线传输系统,光通信,3,2023-10-01,天津未来科技有限公司,审核中,2023-10-02,待定,天津未来科技有限公司,高效发射与接收装置,天津未来科技有限公司,VLC-034-2024,未来通信,无,标准型,V1.0,天津市科技局,http://tj.gov.cn/,2024-10-17,,,,,,,,,,
智能光纤通信系统,光通信,2,2023-10-05,沈阳光电设备有限公司,已完成,2023-10-06,合格,沈阳光电设备有限公司,智能光纤模块,沈阳光电设备有限公司,VLC-078-2024,光通信技术,无,高级型,V2.0,沈阳科技信息网,http://sy.gov.cn/,2024-10-17,,,,,,,,,,
量子光通信系统,量子计算,1,2023-10-10,广州量子科技有限公司,已完成,2023-10-11,合格,广州量子科技有限公司,量子处理单元,广州量子科技有限公司,VLC-065-2024,量子通信,无,标准型,V1.0,广州科技局,http://gz.gov.cn/,2024-10-17,,,,,,,,,,
高频率可见光通信网,光通信,1,2023-09-01,杭州乐信科技有限公司,已完成,2023-09-02,合格,杭州乐信科技有限公司,高速信号传输模块,杭州乐信科技有限公司,VLC-049-2024,传输技术,无,标准型,V1.1,浙江省科技发展网,http://hz.gov.cn/,2024-10-17,,,,,,,,,,
智能光计算协作平台,光计算,2,2023-08-25,南京光电研究所,审核中,2023-08-26,待定,南京光电研究所,多通道处理单元,南京光电研究所,VLC-090-2024,计算机科学,无,高级型,V2.0,江苏省科技厅,http://wh.gov.cn/,2024-10-17,,,,,,,,,,
新型可见光安全传输系统,光网络,3,2023-09-15,成都光电科技有限公司,已完成,2023-09-16,合格,成都光电科技有限公司,数据安全模块,成都光电科技有限公司,VLC-002-2024,电子通信,无,标准型,V1.0,四川省科技局,http://nj.gov.cn/,2024-10-17,,,,,,,,,,
智能车载光通信系统,光通信,1,2023-08-30,北京汽车科技集团,审核中,2023-08-31,待定,北京汽车科技集团,车载通信模块,北京汽车科技集团,VLC-007-2024,交通运输,无,高级型,V2.0,国家交通部,http://cq.gov.cn/,2024-10-17,,,,,,,,,,
远程医疗可见光数据传输系统,光通信,2,2023-09-05,深圳数字医疗有限公司,已完成,2023-09-06,合格,深圳数字医疗有限公司,数据传输模块,深圳数字医疗有限公司,VLC-010-2024,医疗健康,无,标准型,V1.0,医疗健康管理局,http://qd.gov.cn/,2024-10-17,,,,,,,,,,
校园智能可见光数据共享平台,光计算,1,2023-09-10,武汉未来教育科技公司,审核中,2023-09-11,待定,武汉未来教育科技公司,数据共享模块,武汉未来教育科技公司,VLC-015-2024,教育科技,无,标准型,V1.0,湖北省教育厅,http://xm.gov.cn/,2024-10-17,,,,,,,,,,
智能家居光通信控制系统,光通信,3,2023-09-20,东莞智能家居科技有限公司,已完成,2023-09-21,合格,东莞智能家居科技有限公司,家庭网络模块,东莞智能家居科技有限公司,VLC-022-2024,物联网,无,高级型,V2.1,广东省科技厅,http://tj.gov.cn/,2024-10-17,,,,,,,,,,
企业环境监测光计算系统,光计算,2,2023-09-25,上海环保科技集团,审核中,2023-09-26,待定,上海环保科技集团,环境监测模块,上海环保科技集团,VLC-034-2024,环境监测,无,高级型,V2.3,上海市环保局,http://sy.gov.cn/,2024-10-17,,,,,,,,,,
光量子计算论坛系统,光计算,1,2023-09-30,科技前沿研究中心,已完成,2023-10-01,合格,科技前沿研究中心,量子处理单元,科技前沿研究中心,VLC-045-2024,量子计算,无,标准型,V1.1,国家科技部,http://gz.gov.cn/,2024-10-17,,,,,,,,,,
智能路由可见光网络,光通信,1,2023-09-01,北京市光通信科技有限公司,已完成,2023-09-02,合格,北京市光通信科技有限公司,智能路由模块,北京市光通信科技有限公司,VLC-050-2024,交通通讯,无,标准型,V1.0,北京市科学技术委员会,http://hz.gov.cn/,2024-10-17,,,,,,,,,,
可见光智能监控系统,光网络,2,2023-09-15,深圳市安防技术有限公司,审核中,2023-09-16,待定,深圳市安防技术有限公司,高清监控摄像头,深圳市安防技术有限公司,VLC-059-2024,监控系统,无,高级型,V2.0,深圳市安防管理局,http://hz.gov.cn/,2024-10-17,,,,,,,,,,
城市智能灯光调控系统,光通信,1,2023-09-25,重庆智慧城市科技有限公司,已完成,2023-09-26,合格,重庆智慧城市科技有限公司,灯光控制模块,重庆智慧城市科技有限公司,VLC-063-2024,交通管理,无,标准型,V1.0,重庆市城市管理局,http://wh.gov.cn/,2024-10-17,,,,,,,,,,
可见光无线传输系统,光通信,3,2023-10-05,浙江省光电科技有限公司,审核中,2023-10-06,待定,浙江省光电科技有限公司,无线发射器,浙江省光电科技有限公司,VLC-005-2024,远程通信,无,高级型,V2.1,浙江省科技厅,http://nj.gov.cn/,2024-10-17,,,,,,,,,,
高效可见光数据传输系统,光计算,1,2023-10-15,江苏省信息技术有限公司,已完成,2023-10-16,合格,江苏省信息技术有限公司,高速数据接收器,江苏省信息技术有限公司,VLC-012-2024,计算机网络,无,标准型,V1.0,江苏省科技管理系统,http://cq.gov.cn/,2024-10-17,,,,,,,,,,
智慧家庭光计算系统,光计算,2,2023-10-20,海南省智能家居有限公司,审核中,2023-10-21,待定,海南省智能家居有限公司,家庭智能控制模块,海南省智能家居有限公司,VLC-019-2024,家庭自动化,无,高级型,V2.0,海南省市场监督局,http://qd.gov.cn/,2024-10-17,,,,,,,,,,
农业光通信监控系统,光通信,1,2023-10-30,广西省农业科技有限公司,已完成,2023-10-31,合格,广西省农业科技有限公司,农业监控传感器,广西省农业科技有限公司,VLC-027-2024,农业监控,无,标准型,V1.0,广西省科技厅,http://xm.gov.cn/,2024-10-17,,,,,,,,,,
可见光健康监测系统,光网络,3,2023-11-02,甘肃省健康管理有限公司,审核中,2023-11-03,待定,甘肃省健康管理有限公司,健康监测设备,甘肃省健康管理有限公司,VLC-033-2024,健康监测,无,高级型,V2.1,甘肃省卫生计生委,http://tj.gov.cn/,2024-10-17,,,,,,,,,,
可见光远程医学系统,光计算,2,2023-11-10,湖北省光电医学研究院,已完成,2023-11-11,合格,湖北省光电医学研究院,医学影像处理器,湖北省光电医学研究院,VLC-042-2024,医疗技术,无,标准型,V1.0,湖北省科技厅,http://sy.gov.cn/,2024-10-17,,,,,,,,,,
高速可见光数据传输系统,光通信,1,2023-08-15,杭州光联科技有限公司,已完成,2023-08-16,合格,杭州光联科技有限公司,光发射与接收模块,杭州光联科技有限公司,VLC-058-2024,交通管理,无,标准型,V1.0,浙江省科技厅,http://zjkjt.gov.cn/,2024-10-17,,,,,,,,,,
智能城市光数据平台,光计算,2,2023-09-01,成都光网技术有限公司,审核中,2023-09-02,待定,成都光网技术有限公司,数据云处理单元,成都光网技术有限公司,VLC-063-2024,物联网,无,高级型,V2.0,四川省科技局,http://sczm.gov.cn/,2024-10-17,,,,,,,,,,
新一代光计算加速器,光计算,3,2023-09-10,武汉光电技术创新中心,已完成,2023-09-11,合格,武汉光电技术创新中心,光学数据转换单元,武汉光电技术创新中心,VLC-071-2024,计算机科学,无,标准型,V1.0,湖北省科技厅,http://hubei.gov.cn/,2024-10-17,,,,,,,,,,
城市公共安全光监测系统,光网络,2,2023-10-05,厦门网络安全技术有限公司,审核中,2023-10-06,待定,厦门网络安全技术有限公司,网络监控模块,厦门网络安全技术有限公司,VLC-086-2024,网络安全,无,高级型,V2.1,福建省科技管理平台,http://fj.gov.cn/,2024-10-17,,,,,,,,,,
高速多通道光信号系统,光通信,1,2023-10-12,南京智慧通讯有限公司,已完成,2023-10-13,合格,南京智慧通讯有限公司,发射接收扩展模块,南京智慧通讯有限公司,VLC-002-2024,通信技术,无,标准型,V1.0,江苏科技信息网,http://js.gov.cn/,2024-10-17,,,,,,,,,,
智能家居光网络控制系统,光通信,1,2023-10-20,北京光信科技有限公司,已完成,2023-10-21,合格,北京光信科技有限公司,家庭网络接入模块,北京光信科技有限公司,VLC-005-2024,家庭自动化,无,标准型,V1.0,北京市科技委,http://bj.gov.cn/,2024-10-17,,,,,,,,,,
光基因组信息处理系统,光计算,3,2023-10-25,广州生物科技公司,审核中,2023-10-26,待定,广州生物科技公司,基因数据处理单元,广州生物科技公司,VLC-007-2024,生物信息学,无,高级型,V2.0,广东省生物技术局,http://gd.gov.cn/,2024-10-17,,,,,,,,,,
可见光智能监控分析系统,光网络,2,2023-11-01,沈阳智能科技公司,审核中,2023-11-02,待定,沈阳智能科技公司,监控分析模块,沈阳智能科技公司,VLC-010-2024,网络安全,无,高级型,V2.1,辽宁省科技厅,http://ln.gov.cn/,2024-10-17,,,,,,,,,,
通用光阵列处理系统,光计算,3,2023-11-15,青岛光电科技有限公司,已完成,2023-11-16,合格,青岛光电科技有限公司,光数据处理器,青岛光电科技有限公司,VLC-013-2024,信息处理,无,标准型,V1.0,山东省科技信息网,http://sd.gov.cn/,2024-10-17,,,,,,,,,,
下一代城市可见光通信系统,光通信,1,2023-08-05,成都未来科技有限公司,已完成,2023-08-06,合格,成都未来科技有限公司,多点信号发射装置,成都未来科技有限公司,VLC-016-2024,交通管理,无,标准型,V1.0,成都市科技管理局,http://js.gov.cn/,2024-10-17,,,,,,,,,,
智能照明控制系统,光计算,2,2023-09-01,南京智能科技园,审核中,2023-09-02,待定,南京智能科技园,智能照明控制模块,南京智能科技园,VLC-019-2024,住宅智能化,无,高级型,V2.0,南京市科技局,http://bj.gov.cn/,2024-10-17,,,,,,,,,,
高效光纤传输系统,光通信,1,2023-09-10,天津光电通信有限公司,已完成,2023-09-11,合格,天津光电通信有限公司,光纤和调制解调器,天津光电通信有限公司,VLC-021-2024,互联网,无,标准型,V1.0,天津市通信管理局,http://gd.gov.cn/,2024-10-17,,,,,,,,,,
无人机光通信系统,光通信,1,2023-09-15,西安无人机技术研究中心,已完成,2023-09-16,合格,西安无人机技术研究中心,无人机信道传输模块,西安无人机技术研究中心,VLC-024-2024,物流运输,无,高级型,V2.0,西安市科技管理办公室,http://ln.gov.cn/,2024-10-17,,,,,,,,,,
企业内部光网络系统,光网络,3,2023-10-01,武汉光电科技有限公司,审核中,2023-10-02,待定,武汉光电科技有限公司,内部网络交换机,武汉光电科技有限公司,VLC-027-2024,组织管理,无,标准型,V1.0,武汉市科技局,http://sd.gov.cn/,2024-10-17,,,,,,,,,,
虚拟现实光传输系统,光计算,2,2023-10-05,广州虚拟科技有限公司,已完成,2023-10-06,合格,广州虚拟科技有限公司,虚拟现实传输单元,广州虚拟科技有限公司,VLC-005-2024,娱乐科技,无,高级型,V2.0,广州市科技厅,http://js.gov.cn/,2024-10-17,,,,,,,,,,
海洋可见光通信系统,光通信,1,2023-10-10,青岛海洋科技有限公司,审核中,2023-10-11,待定,青岛海洋科技有限公司,水下通信装置,青岛海洋科技有限公司,VLC-012-2024,研究科学,无,标准型,V1.0,青岛市科技局,http://bj.gov.cn/,2024-10-17,,,,,,,,,,
智慧城市光计算平台,光计算,2,2023-10-15,厦门智慧科技公司,已完成,2023-10-16,合格,厦门智慧科技公司,数据分析与处理单元,厦门智慧科技公司,VLC-019-2024,交通管理,无,高级型,V2.1,厦门市科技管理局,http://gd.gov.cn/,2024-10-17,,,,,,,,,,
超高速光计算系统,光计算,1,2023-09-01,天津新创科技有限公司,已完成,2023-09-02,合格,天津新创科技有限公司,光信号处理单元,天津新创科技有限公司,VLC-023-2024,计算技术,无,标准型,V1.0,天津市科技发展局,http://ln.gov.cn/,2024-10-17,,,,,,,,,,
智能家居光通信网络,光通信,2,2023-09-12,成都智能科技有限公司,审核中,2023-09-13,待定,成都智能科技有限公司,光传输模块,成都智能科技有限公司,VLC-031-2024,住宅科技,无,高级型,V1.1,成都市智能科技协会,http://sd.gov.cn/,2024-10-17,,,,,,,,,,
远程医疗光通讯平台,光通信,1,2023-10-01,杭州健康科技有限公司,已完成,2023-10-02,合格,杭州健康科技有限公司,医疗数据传输单元,杭州健康科技有限公司,VLC-047-2024,远程医疗,无,标准型,V1.0,浙江省卫生健康委员会,http://js.gov.cn/,2024-10-17,,,,,,,,,,
城市光通信基础设施,光通信,3,2023-10-15,南京城市科技组,审批中,2023-10-16,待定,南京城市科技组,综合网络模块,南京城市科技组,VLC-052-2024,交通管理,无,高级型,V2.0,南京市科技局,http://bj.gov.cn/,2024-10-17,,,,,,,,,,
可见光传输监测系统,光通信,2,2023-10-20,武汉光电集团,已完成,2023-10-21,合格,武汉光电集团,监测数据模块,武汉光电集团,VLC-068-2024,监测技术,无,标准型,V1.0,湖北省科技厅,http://gd.gov.cn/,2024-10-17,,,,,,,,,,
光通信抗干扰系统,光通信,3,2023-11-05,北京卫阳科技有限公司,审核中,2023-11-06,待定,北京卫阳科技有限公司,抗干扰模块,北京卫阳科技有限公司,VLC-074-2024,关键技术,无,高级型,V2.0,北京市通信管理局,http://ln.gov.cn/,2024-10-17,,,,,,,,,,
校园光网络教育平台,光计算,1,2023-11-20,苏州教育科技有限公司,已完成,2023-11-21,合格,苏州教育科技有限公司,远程教学模块,苏州教育科技有限公司,VLC-088-2024,教育科技,无,标准型,V1.0,江苏省教育厅,http://sd.gov.cn/,2024-10-17,,,,,,,,,,
无人驾驶光通信系统,光通信,2,2023-12-05,沈阳自动化科技有限公司,审核中,2023-12-06,待定,沈阳自动化科技有限公司,路径导航模块,沈阳自动化科技有限公司,VLC-002-2024,自动驾驶,无,高级型,V2.0,辽宁省科技厅,http://js.gov.cn/,2024-10-17,,,,,,,,,,
互动光计算服务平台,光计算,1,2023-12-15,西安互动科技公司,已完成,2023-12-16,合格,西安互动科技公司,用户交互模块,西安互动科技公司,VLC-004-2024,互动科技,无,标准型,V1.0,陕西省科技厅,http://bj.gov.cn/,2024-10-17,,,,,,,,,,
智能光信号解调系统,光通信,1,2023-09-01,杭州光电科技有限公司,已完成,2023-09-02,合格,杭州光电科技有限公司,信号解调模块,杭州光电科技有限公司,VLC-007-2024,通信技术,无,标准型,V1.0,浙江省科技管理局,http://gd.gov.cn/,2024-10-17,,,,,,,,,,
高效光数据传输系统,光计算,2,2023-09-15,成都光源技术有限公司,审核中,2023-09-16,待定,成都光源技术有限公司,数据传输单元,成都光源技术有限公司,VLC-010-2024,计算技术,无,高级型,V2.0,四川省科技促进中心,http://js.gov.cn/,2024-10-17,,,,,,,,,,
智能光网络优化系统,光网络,3,2023-09-25,北京智慧网络公司,已完成,2023-09-26,合格,北京智慧网络公司,网络优化模块,北京智慧网络公司,VLC-013-2024,网络技术,无,标准型,V1.0,国家信息技术发展局,http://bj.gov.cn/,2024-10-17,,,,,,,,,,
光模块智能检测系统,光通信,1,2023-10-05,南京光电科技公司,审核中,2023-10-06,待定,南京光电科技公司,检测模块,南京光电科技公司,VLC-018-2024,质量监控,无,高级型,V2.1,江苏省科技厅,http://gd.gov.cn/,2024-10-17,,,,,,,,,,
可见光防护通信系统,光网络,3,2023-10-12,厦门光电安全技术公司,已完成,2023-10-13,合格,厦门光电安全技术公司,防护模块,厦门光电安全技术公司,VLC-021-2024,安全通信,无,标准型,V1.2,福建省科技厅,http://ln.gov.cn/,2024-10-17,,,,,,,,,,
先进可见光接入系统,光通信,1,2023-10-20,上海光通讯技术有限公司,审核中,2023-10-21,待定,上海光通讯技术有限公司,接入模块,上海光通讯技术有限公司,VLC-025-2024,互联网接入,无,高级型,V2.0,上海市科技委员会,http://sd.gov.cn/,2024-10-17,,,,,,,,,,
光辅助智能感知系统,光计算,2,2023-11-01,武汉智慧光电有限公司,已完成,2023-11-02,合格,武汉智慧光电有限公司,感知模块,武汉智慧光电有限公司,VLC-029-2024,物联网,无,标准型,V1.0,湖北省科学技术厅,http://js.gov.cn/,2024-10-17,,,,,,,,,,
全面可见光监测系统,光通信,1,2023-11-15,西安光通信实验室,审核中,2023-11-16,待定,西安光通信实验室,监测模块,西安光通信实验室,VLC-034-2024,监控技术,无,高级型,V2.1,陕西省科技厅,http://bj.gov.cn/,2024-10-17,,,,,,,,,,
动态光控制系统,光计算,2,2023-11-30,南宁光智能研究院,已完成,2023-12-01,合格,南宁光智能研究院,动态控制模块,南宁光智能研究院,VLC-003-2024,适应技术,无,标准型,V1.0,广西科技厅,http://gd.gov.cn/,2024-10-17,,,,,,,,,,
未来光网络系统,光网络,1,2023-09-01,杭州未来科技有限公司,已完成,2023-09-02,合格,杭州未来科技有限公司,光网络交换模块,杭州未来科技有限公司,VLC-007-2024,电子通信,无,标准型,V1.0,杭州科技业务管理系统,http://hztechapply.gov.cn/,2024-10-17,,,,,,,,,,
智能光传输装置,光通信,2,2023-09-15,天津智联科技有限公司,审核中,2023-09-16,待定,天津智联科技有限公司,信号解调模块,天津智联科技有限公司,VLC-012-2024,远程通信,无,高级型,V2.0,天津市科技局,http://tianjin.gov.cn/,2024-10-17,,,,,,,,,,
全息光计算系统,光计算,1,2023-10-01,苏州全景科技股份有限公司,已完成,2023-10-02,合格,苏州全景科技股份有限公司,光学元件管理单元,苏州全景科技股份有限公司,VLC-016-2024,计算机技术,无,标准型,V1.0,苏州市科技创新服务平台,http://suzhou.gov.cn/,2024-10-17,,,,,,,,,,
高频光数据交换系统,光网络,3,2023-10-15,重庆光电科技有限公司,审核中,2023-10-16,待定,重庆光电科技有限公司,数据传输单元,重庆光电科技有限公司,VLC-022-2024,互联网通信,无,高级型,V2.1,重庆市科技局,http://chongqing.gov.cn/,2024-10-17,,,,,,,,,,
VLC智能信号增强系统,光通信,1,2023-11-10,西安光电研究院,已完成,2023-11-11,合格,西安光电研究院,信号处理模块,西安光电研究院,VLC-028-2024,设备通信,无,标准型,V1.0,西安科技信息管理网,http://xian.gov.cn/,2024-10-17,,,,,,,,,,
光频多路复用系统,光计算,3,2023-11-20,南京信息工程科技有限公司,审核中,2023-11-21,待定,南京信息工程科技有限公司,多路复用模块,南京信息工程科技有限公司,VLC-035-2024,计算机网络,无,高级型,V2.0,南京市科技局,http://nanjing.gov.cn/,2024-10-17,,,,,,,,,,
智能光源调控系统,光通信,1,2023-12-01,成都智能科技有限公司,已完成,2023-12-02,合格,成都智能科技有限公司,光源控制模块,成都智能科技有限公司,VLC-041-2024,先进通信,无,标准型,V1.0,成都市科学技术局,http://chengdu.gov.cn/,2024-10-17,,,,,,,,,,
新型可见光信号传输系统,光网络,2,2023-12-15,长沙光电科技有限公司,审核中,2023-12-16,待定,长沙光电科技有限公司,信号接入模块,长沙光电科技有限公司,VLC-045-2024,交通管理,无,高级型,V2.0,长沙市科技局,http://changsha.gov.cn/,2024-10-17,,,,,,,,,,
高效能光信号网络,光通信,1,2023-09-05,杭州未来科技有限公司,已完成,2023-09-06,合格,杭州未来科技有限公司,信号传输模块,杭州未来科技有限公司,VLC-052-2024,远程通信,无,标准型,V1.0,杭州科技业务管理系统,http://hztechnology.gov.cn/,2024-10-17,,,,,,,,,,
智能光计算生态系统,光计算,2,2023-10-01,南京光电研发中心,审核中,2023-10-02,待定,南京光电研发中心,数据处理与存储模组,南京光电研发中心,VLC-003-2024,电子教育,无,高级型,V2.0,南京市科技管理局,http://nanjing.gov.cn/,2024-10-17,,,,,,,,,,
光传输信息加密系统,光网络,3,2023-08-20,重庆网络安全科技有限公司,已完成,2023-08-21,合格,重庆网络安全科技有限公司,信息安全模块,重庆网络安全科技有限公司,VLC-007-2024,计算机技术,无,标准型,V1.0,重庆市科技局,http://cq.gov.cn/,2024-10-17,,,,,,,,,,
城市智能监控系统,光网络,1,2023-07-15,武汉智能科技集团,审核中,2023-07-16,待定,武汉智能科技集团,视频监控模组,武汉智能科技集团,VLC-012-2024,网络通信,无,高级型,V2.1,武汉市科技服务平台,http://wuhan.gov.cn/,2024-10-17,,,,,,,,,,
高带宽可见光通信接口,光通信,2,2023-08-25,苏州创新科技公司,已完成,2023-08-26,合格,苏州创新科技公司,光频调制模块,苏州创新科技公司,VLC-015-2024,企业服务,无,标准型,V1.0,苏州市科技局,http://suzhou.gov.cn/,2024-10-17,,,,,,,,,,
