OFDM符号（字符型）,频谱效率（数值型）,单位,保护间隔（字符型）,最大时延扩展（数值型）,单位,同步序列（字符型）,信道估计序列（字符型）,子载波宽度（数值型）,,符号周期（数值型）,单位,小区半径（数值型）,单位,信道参数（字符型）,导频插入方式（字符型）,导频密度（字符型）,合适的域值（字符型）,导频地址（字符型）,采集来源,来源链接,采集时间,备注,,
64,4.2,bps/Hz,1/8符号周期,90,μs,短序列,自适应估计,10,kHz,16.67,ms,700,m,AWGN,每个OFDM符号,,较低,nan,中国邮政与电信专家委,http://www.china-telecom.com/,2024-10-16,,,
32,3,bps/Hz,1/4符号周期,75,μs,位移编码,频域估计,20,kHz,50,ms,300,m,Rayleigh衰落,每隔2个符号,,适中,地址动态,IEEE Publications,https://ieeexplore.ieee.org,2024-10-16,,,
128,6,bps/Hz,1/16符号周期,120,μs,长序列,一阶自适应算法,5,kHz,200,ms,400,m,Rician衰落,每个OFDM符号,,高,固定地址,光纤通信网,https://www.fiberoptics.com,2024-10-16,,,
512,8,bps/Hz,1/8符号周期,90,μs,伪随机序列,同步时域估计,12,kHz,80,ms,600,m,AWGN,每隔4个符号,,适中,动态分配,中国通信学会,https://www.cie.cn,2024-10-16,,,
1024,10,bps/Hz,1/32符号周期,150,μs,短序列,最小均方误差,3,kHz,300,ms,800,m,Nakagami衰落,每隔5个符号,1/32,高,地址固定,EurekAlert!,https://www.eurekalert.org,2024-10-16,,,
64,5,bps/Hz,1/2符号周期,10,μs,定时信号,基于导频的估计,25,kHz,40,ms,250,m,Rayleigh衰落,每个OFDM符号,,低,动态配置,ResearchGate,https://www.researchgate.net,2024-10-16,,,
2048,12,bps/Hz,1/64符号周期,60,μs,长伪随机序列,基于信道信息的估计,1.5,kHz,700,ms,1500,m,Rician衰落,每隔6个符号,1/64,适中,固定设置,Journal of Optical Communications,https://www.jocm.org,2024-10-16,,,
256,7,bps/Hz,1/8符号周期,80,μs,位同步信号,基于最小二乘法,6,kHz,160,ms,500,m,AWGN,每8个符号,1/32,高,地址随机,光通信网,https://www.opticalcommunication.com,2024-10-16,,,
512,9,bps/Hz,1/16符号周期,110,μs,基于目录信号,时域跟踪,4,kHz,300,ms,900,m,Nakagami衰落,每个OFDM符号,,适中,地址动态,MDPI Journals,https://www.mdpi.com,2024-10-16,,,
128,5,bps/Hz,1/4符号周期,140,μs,定时偏移,基于导频的跟踪技术,10,kHz,80,ms,350,m,Rayleigh衰落,每隔4个符号,,较低,固定固定,IEEE Communications Society,https://www.comsoc.org,2024-10-16,,,
128,4.5,bps/Hz,1/16符号周期,120,μs,伪随机序列,最小二乘估计,10,kHz,10,ms,400,m,Rayleigh衰落,每3个符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
256,5.2,bps/Hz,1/8符号周期,80,μs,长序列,自适应估计,5,kHz,7.5,ms,600,m,Rician衰落,每个OFDM符号,,高,地址动态,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
512,6.8,bps/Hz,1/4符号周期,100,μs,时钟同步信号,信道脉冲响应,2.5,kHz,4,ms,800,m,AWGN,每隔4个符号,1/32,较低,nan,MDPI,https://www.mdpi.com/,2024-10-16,,,
64,3.8,bps/Hz,1/2符号周期,90,μs,短序列,导频插入法,12,kHz,8.33,ms,300,m,Nakagami衰落,每隔2个符号,,高,地址固定,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
384,7,bps/Hz,1/8符号周期,150,μs,长序列,信道脉冲响应,4,kHz,5,ms,900,m,Rayleigh衰落,每个OFDM符号,,适中,地址动态,SpringerLink,https://link.springer.com/,2024-10-16,,,
768,8.5,bps/Hz,1/4符号周期,120,μs,伪随机序列,最小二乘估计,3,kHz,2.5,ms,1200,m,Rician衰落,每隔3个符号,1/32,高,nan,Academic Press,https://www.elsevier.com/books-and-journals,2024-10-16,,,
1024,9.2,bps/Hz,1/2符号周期,160,μs,长序列,自适应估计,2,kHz,2,ms,1500,m,AWGN,每个OFDM符号,,较低,地址固定,Cambridge University Press,https://www.cambridge.org/,2024-10-16,,,
2048,10,bps/Hz,1/8符号周期,200,μs,短序列,信道脉冲响应,1,kHz,1,ms,2000,m,Nakagami衰落,每隔2个符号,,高,地址动态,arXiv,https://arxiv.org/,2024-10-16,,,
512,5.8,bps/Hz,1/4符号周期,130,μs,时钟同步信号,最小二乘估计,6,kHz,3,ms,750,m,Rician衰落,每个OFDM符号,1/32,适中,nan,Wiley Online Library,https://onlinelibrary.wiley.com/,2024-10-16,,,
128,5.5,bps/Hz,1/8符号周期,120,μs,二元码序列,最小均方误差估计,10,kHz,10,ms,800,m,Rayleigh衰落,每隔6个符号,,适中,动态地址分配,清华大学,http://www.tsinghua.edu.cn,2024-10-16,,,
256,6.3,bps/Hz,1/4符号周期,85,μs,同步码,频域估计,5,kHz,5,ms,600,m,Rician衰落,每个符号,1/32,较高,静态地址,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
64,4.2,bps/Hz,1/16符号周期,70,μs,长码序列,插值估计,12.5,kHz,8,ms,300,m,AWGN,每隔4个符号,,高,动态地址,国家无线电监测中心,http://www.nrcc.gov.cn,2024-10-16,,,
128,5.1,bps/Hz,1/8符号周期,65,μs,同步信号,自适应估计,7.5,kHz,12.8,ms,700,m,Nakagami衰落,每隔5个符号,1/64,适中,固定地址,中国科学院,http://www.cas.cn,2024-10-16,,,
512,7,bps/Hz,1/2符号周期,140,μs,伪随机序列,信道跟踪,3.125,kHz,2.56,ms,900,m,Rician衰落,每个OFDM符号,,中等,动态分配,深圳大学,http://www.szu.edu.cn,2024-10-16,,,
1024,8.2,bps/Hz,1/8符号周期,110,μs,长序列,雾状估计,1.25,kHz,0.97,ms,1200,m,Rayleigh衰落,每隔10个符号,1/32,高,静态地址,华为技术有限公司,http://www.huawei.com,2024-10-16,,,
256,6.5,bps/Hz,1/16符号周期,80,μs,时钟信号,最小误差估计,6.25,kHz,6.4,ms,750,m,AWGN,每隔7个符号,1/64,适中,动态分配,光纤通信网,http://www.opticalfiber.com,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,100,μs,伪随机序列,时行时估,2.5,kHz,4,ms,1100,m,Rician衰落,每个OFDM符号,,高,静态分配,中兴通讯,http://www.zte.com.cn,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,90,μs,短标识序列,直接估计法,1,kHz,0.98,ms,1500,m,Nakagami衰落,每隔12个符号,,中等,动态地址,ETSI标准,https://www.etsi.org,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小均方误差估计,12.5,kHz,16,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,180,μs,时钟同步信号,自适应估计,8.75,kHz,8,ms,350,m,Rician衰落,每隔3个符号,,高,地址动态,光通信研究网,http://www.opticalcommunication.org/,2024-10-16,,,
256,6.8,bps/Hz,1/4符号周期,75,μs,短序列,信道脉冲响应,3,kHz,4,ms,500,m,AWGN,每个OFDM符号,1/32,较低,nan,科学网,https://www.sciencenet.cn/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,130,μs,长序列,导频插入法,1.5,kHz,2,ms,1200,m,Nakagami衰落,每隔4个符号,,高,地址动态,电子技术应用,http://www.elecfans.com/,2024-10-16,,,
1024,8,bps/Hz,1/2符号周期,90,μs,同频同步信号,自适应估计,1,kHz,1,ms,1500,m,Rayleigh衰落,每隔2个符号,1/64,适中,地址固定,国家通信网,http://www.miit.gov.cn/,2024-10-16,,,
256,6,bps/Hz,1/8符号周期,115,μs,变换序列,信道模型,4,kHz,5,ms,800,m,Rician衰落,每个OFDM符号,1/32,较高,nan,光通信杂志,https://www.laserfocusworld.com/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,220,μs,具有频率偏移的序列,最小均方误差估计,9,kHz,7,ms,250,m,AWGN,每隔2个符号,,低,地址动态,中国光电技术,http://www.chinaoptoelectronics.com/,2024-10-16,,,
512,7.8,bps/Hz,1/4符号周期,170,μs,索引序列,一阶自回归估计,2.5,kHz,1.6,ms,1100,m,Nakagami衰落,每隔5个符号,,适中,nan,光通信项目,http://www.光通信项目.com/,2024-10-16,,,
1024,9,bps/Hz,1/8符号周期,85,μs,长序列,导频插入法,2,kHz,1,ms,1400,m,Rayleigh衰落,每个OFDM符号,1/32,高,地址固定,中国通信学会,http://www.cai.org.cn/,2024-10-16,,,
32,3,bps/Hz,1/8符号周期,80,μs,调制解调间隔,时间同步估计,30,kHz,33.33,ms,400,m,Rayleigh衰落,每个OFDM符号,,适中,静态分配,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
1024,8,bps/Hz,1/16符号周期,120,μs,频率纠正序列,基于导频的估计,6.25,kHz,0.976,ms,1200,m,Rician衰落,每隔4个符号,/24,高,动态选择,Springer Link,https://link.springer.com,2024-10-16,,,
512,6,bps/Hz,1/2符号周期,250,μs,长伪随机序列,自适应滤波估计,3.125,kHz,5.333,ms,850,m,AWGN,每隔3个符号,,低,静态配置,Academia.edu,https://www.academia.edu,2024-10-16,,,
128,5,bps/Hz,1/8符号周期,90,μs,同步前导序列,脉冲响应估计,15,kHz,12.5,ms,450,m,Nakagami衰落,每个OFDM符号,,适中,随机分配,ResearchGate,https://www.researchgate.net,2024-10-16,,,
2048,9,bps/Hz,1/32符号周期,300,μs,时间同步信号,固定导频,1.25,kHz,0.488,ms,1500,m,Rayleigh衰落,每隔5个符号,,高,动态分配,Journal of Communications,https://www.journalofcommunications.com,2024-10-16,,,
64,4,bps/Hz,1/16符号周期,60,μs,伪随机序列,最小均方误差估计,20,kHz,50,ms,600,m,Rician衰落,每隔2个符号,,较低,固定地址,Optics Express,https://www.osapublishing.org/oe/home.cfm,2024-10-16,,,
256,5.5,bps/Hz,1/4符号周期,180,μs,低功耗同步序列,快速信道估计,7.5,kHz,13.33,ms,800,m,AWGN,每个OFDM符号,,高,动态,MDPI Journal,https://www.mdpi.com,2024-10-16,,,
512,6.2,bps/Hz,1/8符号周期,120,μs,定序列,固定跟踪估计,2.5,kHz,20,ms,750,m,Nakagami衰落,每隔4个符号,/10,适中,可变地址,IEEE Communications Society,https://www.comsoc.org,2024-10-16,,,
1024,8.5,bps/Hz,1/32符号周期,200,μs,综合密钥方案,伪随机导频,7.5,kHz,10.67,ms,1300,m,Rayleigh衰落,每个OFDM符号,/30,高,随机选择,Wiley Online Library,https://onlinelibrary.wiley.com,2024-10-16,,,
32,3,bps/Hz,1/4符号周期,70,μs,扩展伪随机序列,最小均方误差估计,30,kHz,33.33,ms,250,m,Rayleigh衰落,每隔2个符号,,适中,随机,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
64,5,bps/Hz,1/16符号周期,120,μs,标准伪随机序列,自适应信道估计,15,kHz,66.67,ms,400,m,Rician衰落,每个OFDM符号,,低,固定地址,所在网络,https://www.practicalnetworking.net/,2024-10-16,,,
128,6,bps/Hz,1/8符号周期,180,μs,动态序列,时域估计,7.5,kHz,16.67,ms,350,m,AWGN,每隔2个符号,,高,动态地址,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
256,8,bps/Hz,1/32符号周期,90,μs,长伪随机序列,基于导频的估计,5,kHz,20,ms,600,m,Nakagami衰落,每隔4个符号,/24,中等,nan,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
512,9,bps/Hz,1/2符号周期,140,μs,长度可变序列,基于信道条件的估计,2.5,kHz,4,ms,1200,m,Rayleigh衰落,每个OFDM符号,,较高,随机分配,MDPI Journals,https://www.mdpi.com/,2024-10-16,,,
1024,10,bps/Hz,1/16符号周期,160,μs,移动平均序列,基于导频插入法,1.25,kHz,1,ms,800,m,AWGN,每隔2个符号,,高,动态分配,Hindawi,https://www.hindawi.com/,2024-10-16,,,
2048,11,bps/Hz,1/32符号周期,130,μs,自相关序列,增量估计法,0.625,kHz,0.5,ms,1500,m,Nakagami衰落,每个OFDM符号,1/40,高,nan,SpringerLink,https://link.springer.com/,2024-10-16,,,
4096,12,bps/Hz,1/64符号周期,200,μs,固定长度序列,改进型估计法,0.3125,kHz,0.25,ms,2000,m,Rician衰落,每隔4个符号,1/50,非常高,随机,Arxiv,https://arxiv.org/,2024-10-16,,,
8192,13,bps/Hz,1/128符号周期,110,μs,跳频序列,多路径估计法,0.15625,kHz,0.125,ms,2500,m,AWGN,每个OFDM符号,1/60,高,动态分配,ACM Digital Library,https://dl.acm.org/,2024-10-16,,,
16384,14,bps/Hz,1/256符号周期,300,μs,可调序列,全局估计法,0.078125,kHz,0.0625,ms,5000,m,Nakagami衰落,每隔8个符号,1/70,最高,固定地址,IOSR Journal,http://www.iosrjournals.org/,2024-10-16,,,
64,4.5,bps/Hz,1/16符号周期,80,μs,短序列,导频补偿,12.5,kHz,20,ms,600,m,Rician衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.5,bps/Hz,1/8符号周期,120,μs,多路径检测,最小均方误差,10,kHz,12,ms,700,m,AWGN,每个OFDM符号,,高,地址动态,SpringerLink,https://link.springer.com/,2024-10-16,,,
256,6.2,bps/Hz,1/4符号周期,60,μs,伪随机序列,信道自适应,5,kHz,5,ms,800,m,Rayleigh衰落,每隔2个符号,,较低,nan,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
512,7.5,bps/Hz,1/3符号周期,150,μs,长序列,自适应估计,1.5,kHz,2,ms,1200,m,Nakagami衰落,每隔4个符号,1/32,高,地址动态,MDPI Journals,https://www.mdpi.com/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,180,μs,时钟同步信号,复合估计法,0.75,kHz,1,ms,1500,m,AWGN,每个OFDM符号,1/64,适中,nan,JSTOR,https://www.jstor.org/,2024-10-16,,,
256,5.8,bps/Hz,1/2符号周期,90,μs,短序列,最小均方误差,8,kHz,4.15,ms,550,m,Rician衰落,每隔3个符号,,高,地址动态,ACM Digital Library,https://dl.acm.org/,2024-10-16,,,
128,4.8,bps/Hz,1/16符号周期,160,μs,长序列,导频插入法,9,kHz,11.1,ms,300,m,Rayleigh衰落,每个OFDM符号,1月32日,较低,nan,Wiley Online Library,https://onlinelibrary.wiley.com/,2024-10-16,,,
512,7.2,bps/Hz,1/4符号周期,140,μs,伪随机序列,自适应估计,4,kHz,3,ms,1100,m,Nakagami衰落,每隔2个符号,,高,地址固定,Elsevier,https://www.elsevier.com/,2024-10-16,,,
1024,8.5,bps/Hz,1/8符号周期,130,μs,时钟同步信号,信道脉冲响应,0.5,kHz,0.5,ms,1600,m,AWGN,每个OFDM符号,1/64,高,地址动态,Taylor & Francis Online,https://www.tandfonline.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,180,μs,时间同步信号,信道脉冲响应,7.5,kHz,8.33,ms,350,m,Rician衰落,每隔2个符号,,高,地址动态,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
256,6.3,bps/Hz,1/4符号周期,70,μs,短序列,自适应估计,3.75,kHz,4,ms,800,m,AWGN,每个OFDM符号,,较低,nan,MDPI,https://www.mdpi.com/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,160,μs,长序列,导频插入法,1.875,kHz,2,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,nan,arXiv,https://arxiv.org/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,100,μs,PUCCH信号,基于导频的估计,1.25,kHz,1,ms,1500,m,Rayleigh衰落,每隔4个符号,1/64,适中,动态地址,SpringerLink,https://link.springer.com/,2024-10-16,,,
2048,9.1,bps/Hz,1/16符号周期,90,μs,周期性信号,全局信道估计,0.625,kHz,0.5,ms,1800,m,Rician衰落,每个OFDM符号,,极高,地址固定,IEEE Communications Society,https://www.comsoc.org/,2024-10-16,,,
256,5.5,bps/Hz,1/8符号周期,110,μs,自适应序列,多重估计,4.5,kHz,3.25,ms,900,m,AWGN,每隔5个符号,1/32,高,静态地址,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
128,7,bps/Hz,1/4符号周期,130,μs,固定序列,快速最小二乘,6.25,kHz,6.67,ms,500,m,Nakagami衰落,每隔4个符号,1/64,高,动态地址,Academic Press,https://www.elsevier.com/,2024-10-16,,,
512,6.8,bps/Hz,1/8符号周期,60,μs,连续信号,基于导频的自适应估计,2.5,kHz,2.5,ms,950,m,Rician衰落,每个OFDM符号,,适中,nan,Taylor & Francis,https://www.tandfonline.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,75,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址动态,中国科学院,http://www.cas.cn/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,125,μs,时钟同步信号,信道脉冲响应,7.5,kHz,8.33,ms,450,m,Rician衰落,每隔2个符号,,高,地址固定,IEEE期刊,https://ieeexplore.ieee.org/,2024-10-16,,,
256,6.5,bps/Hz,1/4符号周期,95,μs,短序列,自适应估计,3.75,kHz,4,ms,700,m,AWGN,每个OFDM符号,,较低,地址动态,科学网,http://www.sciencenet.cn/,2024-10-16,,,
512,8,bps/Hz,1/2符号周期,180,μs,长序列,导频插入法,1.875,kHz,2,ms,1100,m,Nakagami衰落,每隔3个符号,1/32,高,地址固定,光通信技术论坛,http://www.opticalcommunicationforum.org/,2024-10-16,,,
64,4.2,bps/Hz,1/8符号周期,50,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,550,m,Rayleigh衰落,每个OFDM符号,,适中,地址动态,光纤通信网,http://www.opticalfibercommunication.com/,2024-10-16,,,
128,5,bps/Hz,1/16符号周期,140,μs,时钟同步信号,信道脉冲响应,8,kHz,12.5,ms,400,m,Rician衰落,每隔2个符号,,高,地址固定,福州大学,http://www.fzu.edu.cn/,2024-10-16,,,
256,7,bps/Hz,1/4符号周期,60,μs,短序列,自适应估计,3.75,kHz,4,ms,750,m,AWGN,每个OFDM符号,,较低,地址动态,国家自然科学基金,http://www.nsfc.gov.cn/,2024-10-16,,,
512,9,bps/Hz,1/2符号周期,130,μs,长序列,导频插入法,2.5,kHz,1.67,ms,900,m,Nakagami衰落,每隔3个符号,1/32,高,地址动态,科技日报,http://www.stdaily.com/,2024-10-16,,,
64,4.8,bps/Hz,1/8符号周期,90,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,500,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,网络通信技术协会,http://www.networkcommunication.org/,2024-10-16,,,
128,5.8,bps/Hz,1/16符号周期,220,μs,时钟同步信号,信道脉冲响应,8,kHz,12.5,ms,350,m,Rician衰落,每隔2个符号,,高,地址动态,通信技术杂志,http://www.communicationtechjournal.org/,2024-10-16,,,
64,3.5,bps/Hz,1/8符号周期,90,μs,伪随机序列,最小均方差估计,17.5,kHz,14.29,ms,600,m,Rician衰落,每隔4个符号,,适中,地址固定,IEEE通信协会,https://www.ieee.org,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,180,μs,长序列,自适应估计,6.25,kHz,6.67,ms,400,m,AWGN,每个OFDM符号,,高,地址动态,中兴通讯,https://www.zte.com.cn,2024-10-16,,,
256,6,bps/Hz,1/4符号周期,120,μs,时钟同步信号,导频插入法,3,kHz,3.33,ms,800,m,Rice-复合衰落,每隔2个符号,,较低,地址动态,通信世界网,https://www.cww.net.cn,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,160,μs,伪随机序列,最小二乘估计,1.5,kHz,1.33,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,地址固定,光通信前沿,https://www.opticalcomm.com,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,200,μs,长序列,信道脉冲响应,0.75,kHz,0.975,ms,1500,m,AWGN,每个OFDM符号,1/64,适中,nan,Frontiers in Communications,https://www.frontiersin.org/journals/communications,2024-10-16,,,
256,6.2,bps/Hz,1/16符号周期,75,μs,短序列,自适应估计,2.5,kHz,4,ms,500,m,Rayleigh衰落,每隔2个符号,1/32,较低,地址动态,国家无线电监管局,http://www.srrc.org.cn,2024-10-16,,,
128,5.9,bps/Hz,1/4符号周期,130,μs,引导序列,信道脉冲响应,9,kHz,11.11,ms,350,m,Rician衰落,每隔4个符号,,高,nan,光与无线通信实验室,https://www.lightandwirelesslab.com,2024-10-16,,,
512,7.8,bps/Hz,1/2符号周期,140,μs,短序列,自适应估计,2,kHz,2,ms,800,m,NaKagami衰落,每个OFDM符号,,适中,地址固定,光纤通信协会,http://www.ofcconference.org,2024-10-16,,,
1024,8.2,bps/Hz,1/4符号周期,100,μs,长序列,信道脉冲响应,1,kHz,1,ms,2000,m,Rician衰落,每隔3个符号,1/32,较低,地址动态,高等院校研究机构,https://www.edu.cn,2024-10-16,,,
128,4.5,bps/Hz,1/8符号周期,120,μs,波形同步,最小均方差估计,6.25,kHz,12.8,ms,400,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,清华大学先进通信与网络研究中心,http://www.cgn.tsinghua.edu.cn/,2024-10-16,,,
256,6,bps/Hz,1/16符号周期,75,μs,特殊序列,基于信道特性的估计,4.5,kHz,8.33,ms,600,m,Rician衰落,每隔2个符号,,较高,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
512,7.5,bps/Hz,1/4符号周期,180,μs,同步时钟信号,时频联合估计,3,kHz,5.33,ms,800,m,AWGN,每个OFDM符号,,高,地址动态,中国通信学会,https://www.chinacom.gov.cn/,2024-10-16,,,
64,5,bps/Hz,1/16符号周期,100,μs,伪随机序列,在线学习法,12.5,kHz,16,ms,350,m,Nakagami衰落,每隔3个符号,,适中,固定地址,华通数据平台,https://www.datacn.com/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,220,μs,长序列,基于导频的估计,1.25,kHz,1,ms,1500,m,Rician衰落,每隔4个符号,,较低,动态地址,光通信学会,http://www.oceancomm.org/,2024-10-16,,,
128,5.5,bps/Hz,1/2符号周期,110,μs,短序列,时域估计,11.25,kHz,7.11,ms,650,m,AWGN,每个OFDM符号,,高,固定地址,专业电子期刊,https://www.electronicsjournal.com/,2024-10-16,,,
256,6.2,bps/Hz,1/8符号周期,130,μs,时钟同步信号,信道时延估计,5,kHz,7.96,ms,550,m,Rayleigh衰落,每隔2个符号,,适中,动态地址,通信与信息系统学报,http://www.tcomjournal.com/,2024-10-16,,,
512,7,bps/Hz,1/16符号周期,160,μs,伪随机序列,基于岭回归的估计,2,kHz,4,ms,900,m,Nakagami衰落,每个OFDM符号,1/32,较高,地址固定,光电工程研究院,https://www.optoelectronicresearch.com/,2024-10-16,,,
64,4,bps/Hz,1/8符号周期,90,μs,信号块同步,自适应信道估计,15,kHz,16.67,ms,470,m,Rician衰落,每隔3个符号,,适中,地址动态,中国移动通信,http://www.chinamobile.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,80,μs,伪随机序列,最小二乘估计,16,kHz,15.625,ms,450,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,220,μs,时钟同步信号,信道脉冲响应,8,kHz,12.5,ms,350,m,Rician衰落,每隔2个符号,,高,地址动态,光电与通信学报,http://www.journalofoe.com/,2024-10-16,,,
256,6.5,bps/Hz,1/4符号周期,60,μs,短序列,自适应估计,4,kHz,4,ms,600,m,AWGN,每个OFDM符号,,较低,nan,China Communications,https://www.chinacommunications.com/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,130,μs,长序列,导频插入法,2,kHz,2,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,nan,Optics Express,https://www.osapublishing.org/oe/home.cfm,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,90,μs,频率同步信号,周期性导频,1.25,kHz,1,ms,1500,m,Rayleigh衰落,每隔4个符号,1/64,适中,固定地址,Journal of Lightwave Technology,https://www.ieee-jlt.org/,2024-10-16,,,
64,3,bps/Hz,1/8符号周期,150,μs,伪随机序列,最小二乘估计,20,kHz,20,ms,550,m,Rician衰落,每个OFDM符号,,高,地址动态,光电子学,http://www.optronics.com/,2024-10-16,,,
128,5,bps/Hz,1/16符号周期,230,μs,时钟同步信号,信道脉冲响应,10,kHz,10,ms,400,m,AWGN,每隔2个符号,,适中,地址固定,光通信技术期刊,http://www.journalofopticallink.com/,2024-10-16,,,
256,6,bps/Hz,1/4符号周期,70,μs,短序列,自适应估计,3,kHz,5,ms,800,m,Nakagami衰落,每个OFDM符号,,高,nan,电子学报,http://www.electronicsjournal.com/,2024-10-16,,,
512,7,bps/Hz,1/2符号周期,140,μs,长序列,导频插入法,1.5,kHz,0.5,ms,950,m,Rayleigh衰落,每隔3个符号,1/32,适中,固定地址,Journal of Communications,http://www.journalofcommunications.com/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,95,μs,频率同步信号,周期性导频,1.25,kHz,1.25,ms,1300,m,Rician衰落,每隔4个符号,1/64,高,地址动态,光信息处理,http://www.lightprocessingjournal.com/,2024-10-16,,,
192,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,12,kHz,8.33,ms,600,m,Rician衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
384,5.5,bps/Hz,1/16符号周期,140,μs,长序列,自适应估计,5,kHz,4,ms,800,m,AWGN,每隔2个符号,,高,地址动态,光电信息科学与工程,http://www.journalofoptics.com/,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,300,μs,时钟同步信号,快速傅里叶变换估计,1.25,kHz,0.9766,ms,1200,m,Nakagami衰落,每隔4个符号,1/32,较低,nan,Springer Link,https://link.springer.com/,2024-10-16,,,
256,6.2,bps/Hz,1/2符号周期,90,μs,伪随机序列,导频插入法,3.5,kHz,5,ms,700,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,中国通信学会,https://www.chinacommunications.org/,2024-10-16,,,
768,7.5,bps/Hz,1/16符号周期,180,μs,短序列,信道脉冲响应,1.5625,kHz,12.5,ms,900,m,AWGN,每隔3个符号,1/64,高,nan,TechCrunch,https://techcrunch.com/,2024-10-16,,,
640,6.8,bps/Hz,1/8符号周期,160,μs,长序列,自适应估计,2.5,kHz,5.12,ms,1100,m,Rician衰落,每个OFDM符号,,适中,地址动态,华为技术白皮书,https://www.huawei.com/cn/whitepaper/,2024-10-16,,,
256,5,bps/Hz,1/2符号周期,220,μs,时钟同步信号,信道脉冲响应,4.5,kHz,6.67,ms,750,m,Nakagami衰落,每隔2个符号,1/32,高,nan,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
1536,9,bps/Hz,1/16符号周期,250,μs,短序列,最小二乘估计,0.625,kHz,10,ms,1500,m,Rayleigh衰落,每个OFDM符号,/02,较低,地址固定,研究门,https://www.researchgate.net/,2024-10-16,,,
1024,6.5,bps/Hz,1/8符号周期,170,μs,伪随机序列,自适应估计,2,kHz,5,ms,1250,m,Rician衰落,每隔2个符号,,高,nan,《光通信技术》期刊,https://www.gcnt.com/,2024-10-16,,,
512,8,bps/Hz,1/8符号周期,120,μs,伪随机序列,基于导频的估计,12.5,kHz,20,ms,600,m,Rician衰落,每个OFDM符号,,适中,动态,Institute of Electrical and Electronics Engineers,https://www.ieee.org,2024-10-16,,,
