试验题目（字符型）,登记号（字符型）,可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注,,,,
高速可见光通信系统测试,20240104,超高速VLC系统,实验室测试,完成,第三阶段,基础研究,浙江大学,浙江大学光电研究中心,2024-03-01,2024-03-05,2024-05-05,2024-05-06,新申请,浙江科技有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
基于可见光通信的物流跟踪,20240105,物流跟踪平台,应用研究,进行中,第一阶段,项目开发,南开大学,南开大学信息科技学院,2024-03-10,2024-03-15,待定,2024-10-05,初步申请,九州物流公司,项目报告,中国,南开大学官网,https://www.nankai.edu.cn/,2024-10-17,,,,,
可见光通信与智能家居的结合,20240106,智能家居控制系统,产品测试,即将开始,第一阶段,系统测试,武汉大学,武汉大学光电实验室,2024-03-12,2024-04-01,2024-08-01,待定,新技术,家居科技有限公司,行业报告,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
光计算系统的智能优化,20240107,智能光计算平台,系统集成,进行中,第二阶段,技术开发,哈尔滨工业大学,哈尔滨工业大学电子学院,2024-04-01,2024-04-10,2024-09-10,2024-10-01,改进申请,光电智能公司,技术期刊,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
基于可见光的车载通信系统,20240108,车载VLC测试平台,应用研究,准备中,第一阶段,交通测试,同济大学,同济大学交通学院,2024-04-15,待定,待定,待定,初步申请,智行科技有限公司,技术分析,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
多光源可见光通信的研究,20240109,多光源VLC系统,基础研究,进行中,第二阶段,技术研究,中国科学技术大学,中国科学技术大学光电学院,2024-04-20,2024-04-25,2024-10-15,2024-10-02,新申请,光源科技有限公司,行业杂志,中国,中国科学技术大学官网,https://www.ustc.edu.cn/,2024-10-17,,,,,
光计算系统的应用于智能电网,20240110,智能电网光计算平台,应用研究,即将开始,第一阶段,技术开发,东南大学,东南大学电气学院,2024-04-30,2024-05-05,待定,待定,技术改进,电力科技有限公司,行业分析,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
高灵敏度可见光通信系统研究,20240111,高灵敏度VLC设备,基础研究,等待中,第三阶段,研究开发,厦门大学,厦门大学光电科学与工程系,2024-05-01,待定,待定,待定,新申请,厦门光电公司,科研报告,中国,厦门大学官网,https://www.xmu.edu.cn/,2024-10-17,,,,,
多天线可见光通信系统实验,20240104,多天线VLC系统,技术研究,完成,第三阶段,标准测试,复旦大学,复旦大学工学院,2024-01-12,2024-01-20,2024-05-15,2024-05-16,新申请,复旦光电公司,项目实验数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
可见光通信与5G融合研究,20240105,5G-VLC融合平台,应用开发,进行中,第一阶段,技术合作,哈尔滨工程大学,哈尔滨光电研究中心,2024-01-15,2024-01-25,2024-09-25,2024-10-01,改进申请,黑龙江光讯公司,合作研究,中国,哈尔滨工程大学官网,https://www.hrbeu.edu.cn/,2024-10-17,,,,,
智能家居中的可见光通信应用,20240106,智能家居VLC系统,市场研究,准备中,第一阶段,产品设计,南方科技大学,南科大创新实验室,2024-01-18,待定,待定,待定,新技术,南方智能科技公司,市场调研,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
室内定位的可见光通信实验,20240107,室内定位系统,实验室测试,完成,第二阶段,系统集成,浙江大学,浙江大学信息学院,2024-01-22,2024-02-05,2024-04-30,2024-05-01,新申请,浙江光通科技,实验报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
基于光计算的深度学习研究,20240108,光计算与AI系统,前沿研究,进行中,第一阶段,技术研发,中山大学,中山大学光电研究所,2024-01-25,2024-02-10,待定,2024-10-05,技术改进,广州光电科技有限公司,实验室数据,中国,中山大学官网,https://www.sysu.edu.cn/,2024-10-17,,,,,
智慧城市中的可见光通信研究,20240109,城市VLC系统,应用研究,准备中,第一阶段,技术评估,南京大学,南京大学学院,2024-02-01,待定,待定,待定,新提案,南京光电有限公司,城市发展报告,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
高速可见光网络技术开发,20240110,VLC高速通信系统,实验室测试,进行中,第二阶段,技术研发,西安交通大学,西安交大电气工程,2024-02-05,2024-02-15,2024-08-15,2024-10-07,新技术,西安光速科技,项目数据,中国,西安交大官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
高效能光计算网络架构实验,20240111,光计算网络架构,前沿研究,待定,第一阶段,技术测试,电子科技大学,电子科技大学实验室,2024-02-12,待定,待定,待定,新申请,成都光电技术公司,实验室研究,中国,电子科技大学官网,https://www.uestc.edu.cn/,2024-10-17,,,,,
智能家居可见光通信应用测试,20240104,智能家居可见光系统,应用研究,进行中,第一阶段,系统测试,浙江大学,浙江大学智能实验室,2024-01-09,2024-01-20,2024-03-01,2024-10-15,新申请,智能家居科技有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
城市照明系统的光通信实验,20240105,城市可见光通信平台,基础研究,准备中,第一阶段,基础研究,华东师范大学,华东光电研究所,2024-01-12,待定,待定,待定,初步申请,城市光能科技有限公司,行业研究,中国,城市光电官网,http://www.ecust.edu.cn/,2024-10-17,,,,,
光计算算法效能测试,20240106,先进光计算平台,技术开发,完成,第二阶段,技术验证,复旦大学,复旦大学光电中心,2024-01-15,2024-02-05,2024-03-15,2024-10-16,技术评估,光计算技术有限公司,内部数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
基于可见光的室内定位实验,20240107,室内定位系统,应用研究,进行中,第三阶段,系统应用,哈尔滨工业大学,哈尔滨光电技术研究中心,2024-02-01,2024-02-20,待定,2024-10-17,技术改进,智能定位科技有限公司,行业报告,中国,哈尔滨工业大学官网,http://www.hit.edu.cn/,2024-10-17,,,,,
针对抗干扰技术的光计算试验,20240108,抗干扰光计算平台,技术开发,进行中,第一阶段,系统开发,南京大学,南京大学光相关实验室,2024-01-22,2024-02-10,待定,2024-10-18,新申请,南京光电创新科技公司,研究发展报告,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
基于可见光的AR系统开发,20240109,可见光增强现实平台,产品开发,准备中,第一阶段,产品研发,南方科技大学,南方科技大学光电研究中心,2024-02-12,待定,待定,待定,初步申请,AR科技有限公司,市场分析,中国,南方科技大学官网,http://www.sustech.edu.cn/,2024-10-17,,,,,
基于视觉信号的无人机通信实验,20240110,无人机光通信系统,实验室测试,进行中,第二阶段,技术研发,西北工业大学,西北工业大学无人机实验室,2024-02-15,2024-03-01,待定,2024-10-19,新技术,无人机光通信有限公司,实验室数据,中国,西北工业大学官网,http://www.nwpu.edu.cn/,2024-10-17,,,,,
基于机器学习的光计算优化实验,20240111,机器学习光计算平台,基础研究,完成,第一阶段,技术探讨,厦门大学,厦门大学智能科技中心,2024-02-20,2024-03-15,2024-05-01,2024-10-20,技术申请,智能科技研究所,科研论文,中国,厦门大学官网,http://www.xmu.edu.cn/,2024-10-17,,,,,
室内可见光通信网络研究,20240104,室内VLC网络系统,实验室测试,进行中,第一阶段,基础研究,复旦大学,复旦大学电子工程系,2024-01-15,2024-01-20,2024-04-20,2024-10-12,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
城市可见光通信系统应用开发,20240105,城市VLC应用平台,应用研究,准备中,第二阶段,系统集成,华南理工大学,华南理工大学信息学院,2024-01-18,待定,待定,待定,初步申请,广州智讯科技有限公司,项目报告,中国,华南理工大学官方媒体,https://www.scut.edu.cn/,2024-10-17,,,,,
可见光与网络融合技术实验,20240106,融合技术测试平台,实用研究,进行中,第一阶段,技术开发,吉林大学,吉林大学光电研究中心,2024-02-01,2024-02-10,2024-06-10,2024-10-10,新技术,吉林光电科技公司,实验室数据,中国,吉林大学官网,https://www.jlu.edu.cn/,2024-10-17,,,,,
基于可见光的智能交通系统研究,20240107,VLC智能交通平台,应用实验,完成,第三阶段,应用开发,武汉大学,武汉大学交通研究所,2024-02-05,2024-02-15,2024-11-01,2024-10-10,技术改进,武汉智行科技有限公司,项目报告,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
可见光通信与AI技术融合实验,20240108,AI智能VLC系统,研究开发,进行中,第二阶段,系统测试,浙江大学,浙江大学光子学研究中心,2024-02-10,2024-02-20,2024-07-20,2024-10-11,新申请,浙江光电科技有限责任公司,实验数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光计算与网络协议创新实验,20240109,VLC协议测试平台,基础研究,完成,第一阶段,技术研究,东南大学,东南大学光电通信实验室,2024-02-15,2024-02-20,2024-05-15,2024-10-10,修正申请,南京光电技术有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
防干扰可见光通信技术研究,20240110,防干扰VLC系统,产品测试,准备中,第二阶段,应用开发,厦门大学,厦门大学电子科学研究院,2024-03-01,待定,待定,待定,新技术,厦门光电科技有限公司,项目研究,中国,厦门大学官网,https://www.xmu.edu.cn/,2024-10-17,,,,,
新型可见光通信设备研发实验,20240111,新型VLC设备,产品开发,进行中,第一阶段,技术研发,南京大学,南京大学信息工程学院,2024-03-05,2024-03-10,2024-09-01,2024-10-12,新申请,南京光电科技有限责任公司,实验室数据,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
新型可见光通信模块实验,20240104,模块化可见光通信系统,产品研发,进行中,第三阶段,技术开发,复旦大学,复旦大学光电实验室,2024-02-01,2024-02-10,2024-06-15,2024-10-10,新申请,复旦光电技术有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
光计算系统网络扩展研究,20240105,智能光计算系统,实验室研发,完成,第一阶段,基础研究,西安电子科技大学,西电光通信实验室,2024-03-03,2024-03-05,2024-04-20,2024-10-12,技术申请,光计算技术公司,项目报告,中国,西安电子科技大学官网,https://www.xidian.edu.cn/,2024-10-17,,,,,
可见光通信与5G融合实验,20240106,5G-VLC融合系统,应用研究,进行中,第二阶段,系统测试,中山大学,中山大学网络与通信研究所,2024-04-01,2024-04-10,2024-09-30,2024-10-11,改进申请,中山光电有限公司,实验室数据,中国,中山大学官网,https://www.sysu.edu.cn/,2024-10-17,,,,,
基于可见光的智能家居系统,20240107,智能家居VLC系统,产品测试,准备中,第一阶段,系统开发,华南理工大学,华南理工大学光电研究所,2024-05-01,待定,待定,待定,初步申请,华南智能科技有限公司,市场调研报告,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
光计算与数据融合技术研究,20240108,数据处理光计算平台,科研项目,进行中,第二阶段,应用开发,浙江大学,浙江大学智能科技研究所,2024-06-01,2024-06-15,2024-12-31,2024-10-09,技术开发,浙江光电有限公司,实验室报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
基于光计算的网络拓扑优化研究,20240109,网络拓扑优化平台,理论研究,完成,第一阶段,基础研究,东北大学,东北大学信息技术研究所,2024-07-01,2024-07-10,2024-08-20,2024-09-15,技术报告,东北光电技术有限公司,研究成果集,中国,东北大学官网,https://www.neu.edu.cn/,2024-10-17,,,,,
基于人工智能的光通信系统,20240110,AI-VLC系统,创新研究,进行中,第二阶段,应用开发,南京理工大学,南京理工大学智能系统实验室,2024-08-05,2024-08-15,2025-01-01,2024-10-10,技术改进,南京光电科技有限公司,研究项目,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
量子光通信安全性研究,20240111,量子安全光通信系统,前沿研究,完成,第一阶段,应用测试,清华大学,清华量子研究中心,2024-09-10,2024-09-15,2024-10-30,2024-10-15,技术研究,清华光电子公司,实验室数据,中国,清华大学官网,https://www.tsinghua.edu.cn/,2024-10-17,,,,,
高效光通信网络性能优化,20240104,O2O光通信系统,实验室测试,进行中,第一阶段,基础研究,复旦大学,复旦大学光电实验室,2024-01-12,2024-01-20,待定,2024-10-15,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
基于光计算的图像处理系统研究,20240105,光图像处理系统,应用研究,完成,第二阶段,技术开发,哈尔滨工业大学,哈工大智能光学实验室,2024-01-20,2024-02-01,2024-04-15,2024-10-14,新技术申请,哈工大科技公司,项目数据,中国,哈工大官网,https://www.hit.edu.cn/,2024-10-17,,,,,
可见光通信的高容错技术研究,20240106,高容错VLC系统,技术研究,进行中,第一阶段,系统测试,西安电子科技大学,西电光学通信实验室,2024-01-25,2024-02-10,待定,2024-10-13,项目申请,西电科技有限公司,实验室数据,中国,西安电子科技大学官网,https://www.xidian.edu.cn/,2024-10-17,,,,,
光计算在智能交通中的应用研究,20240107,光交通信号系统,应用研究,完成,第三阶段,项目开发,浙江大学,浙大智能交通实验室,2024-02-01,2024-02-15,2024-06-30,2024-10-08,新技术申请,浙江交通科技有限公司,项目报表,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
多用户环境下的可见光通信网络,20240108,多用户VLC系统,实验室测试,准备中,第一阶段,基础研究,南京航空航天大学,南航光学网络实验室,2024-02-05,待定,待定,待定,初步申请,南京光电科技有限公司,实验室数据,中国,南京航空航天大学官网,https://www.nuaa.edu.cn/,2024-10-17,,,,,
