可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,可见光通信与光计算系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
VLC-Wireless,无线通信,数据传输,智慧城市管理,无线基站,临床试验,包络带宽提升,MIMO技术结合LED,城市监控、交通管理,公私合营,通信与照明,上海交通大学,VLC-Wireless结合MIMO与LED技术，旨在提升城市参与感和监控质量。,IEEE期刊,https://www.ieee.org,2024-10-16,,,,
SmartLiFi,无线光网络,智能家居,家庭用户,智能设备,产品上市,家庭联网便捷性,可见光数据传输技术,家庭自动化,行业伙伴合作,智能家居,小米科技,SmartLiFi通过智能设备实现家庭内数据快速流通，提升用户体验。,小米官网,https://www.mi.com,2024-10-16,,,,
VLC健康监测,健康技术,数据采集,医疗机构,医疗设备,产品开发,实时健康监控,使用光信号通讯护士与患者,远程医疗,医院合作,医疗健康,华大基因,VLC健康监测系统通过LED灯与监测器实现数据流通，实现实时监测病患生理数据。,清华大学医疗论坛,https://www.tsinghua.edu.cn,2024-10-16,,,,
LiFi校园网络,校园网络,数据传输,高校师生,校园部署,现场测试,提升校园网络容量,基于LED灯提供网络连接,教育行业,教育合作,科技教育,北京大学,LiFi校园网络通过LED灯传输数据，为师生提供高速网络，可用于课堂学习与科研活动。,教育部官网,https://www.moe.gov.cn,2024-10-16,,,,
光速数据中心,数据中心技术,数据存储与管理,大型企业,综合解决方案,商业化运行,数据处理效率提升,光信号控制数据存储,企业数据管理,各大企业合作,信息技术,阿里巴巴,光速数据中心采用最新光通信技术来优化数据存储与管理效率。,阿里云,https://www.aliyun.com,2024-10-16,,,,
VLC影视制作,娱乐技术,视频传输,影片制作人,生产工具,应用开发,提升视频流质量,使用LED实现无线视频传输,影视制作,生态圈合作,娱乐行业,北京电影学院,VLC影视制作利用LED技术，旨在提供流畅的影视内容流媒体传输。,娱乐科技论坛,https://www.media.com,2024-10-16,,,,
地铁LiFi系统,公共交通通信,移动数据传输,地铁乘客,信号覆盖,实际应用,提升地铁网络覆盖率,LED灯传输地铁内数据,公共交通,政府与企业合作,交通运输,交通运输部,地铁LiFi系统为乘客提供高速移动互联网服务，提升旅行体验。,交通部官网,https://www.mot.gov.cn,2024-10-16,,,,
VLC农业监测,农业技术,环境监测,农业生产者,环境监测设备,技术验证中,提升农作物健康,使用LED对农田进行光谱分析,智能农业,农业科技合作,农业,中国农业科学院,VLC农业监测系统通过特殊光谱分析农作物健康与生长。,农业部官网,https://www.moa.gov.cn,2024-10-16,,,,
LiFi技术展览,技术展示,公众教育,普通大众,展览活动,动态展示,提升公众对光通信的认知,互动展示LiFi供安全传输,市场推广,学院与行业联合,教育与培训,光通信协会,LiFi技术展览旨在通过互动形式让公众了解新兴的光通信解决方案。,技术协会官网,https://www.lifitechnology.com,2024-10-16,,,,
VLC Smart Home,智能家居系统,家庭自动化,家庭用户,集成硬件+软件,市场推广,提高家庭网络效率,光信号与Wi-Fi集成,家庭娱乐,企业与科研合作,智能家居,某科技公司,VLC Smart Home使用可见光通信技术，通过LED灯提供高速家庭网络，实现家庭设备的智能互联。,CN Tech Post,https://www.cntechpost.com,2024-10-16,,,,
LightWay定位系统,室内定位服务,精准导航,商场用户,设备部署,认证应用,高精度室内定位,基于灯光信号的测距,零售业,产业合作,商用定位,国际商学研究所,LightWay定位系统通过LED灯实现室内导航与定位，大幅提高顾客流动分析能力，被广泛应用于购物中心和大型商超。,IEEE Spectrum,https://spectrum.ieee.org,2024-10-16,,,,
光信号数据网络,数据通信,高速传输,企业用户,全光纤网络,实验阶段,最大化传输速度,采用可见光进行数据加速,互联网服务,跨国企业合作,信息技术,多国科技机构,光信号数据网络通过调制光信号传输数据，目标是实现无延迟的互联网体验，尤其适用于企业内网。,TechCrunch,https://techcrunch.com,2024-10-16,,,,
PhotoNet高性能计算,计算平台,数据分析,科研机构,云计算,前沿研究,提升分析能力,光波并行计算,生命科学,科研合作,高性能计算,国内外科研中心,PhotoNet利用光波技术实现快速数据分析，为生命科学等领域的研究提供高效数据处理方案。,Nature,https://www.nature.com,2024-10-16,,,,
校园VLC系统,教育系统,信息传输,学生、教师,交互式学习,推广应用,优化教学体验,图像和数据同步传输,在线教育,教育机构合作,在线教育,国家教育部,校园VLC系统为教室提供高速无线网络，支持实时图像与数据传输，科技助力教育的革命。,教育信息网,https://www.eduinfo.gov.cn,2024-10-16,,,,
LED数据传输系统,数据传输,实时数据共享,公共设施,灯光基础设施,应用现实,实时监控,通过LED灯实现数据连接,城市管理,城市项目合作,城市基础设施,市政府部门,LED数据传输系统通过公共照明灯具实现城市监控数据的实时传输，提升城市管理效率。,城市科技网,https://www.citytech.gov,2024-10-16,,,,
VLC医疗监护系统,医疗设备,患者数据传输,医院、诊所,智能腕带+监护设备,实用化阶段,监测患者健康,光信号实时传输,健康监护,医疗机构合作,医疗器械,国家医疗研究中心,VLC医疗监护系统通过可见光信号实时传输患者数据，助力健康监测与管理。,Health Tech Magazine,https://www.healthtechmagazine.com,2024-10-16,,,,
企业VLC网络,企业应用网络,数据传输,办公企业,集成系统,商业应用,提升办公效率,通过LED灯提供网络连接,办公室互联,IT解决方案合作,商业智能,知名IT公司,企业VLC网络使用可见光通信技术提高办公环境的数据传输速度，大幅度提升工作效率。,MIT Technology Review,https://www.technologyreview.com,2024-10-16,,,,
VLC驱动机器人,机器人技术,智能控制,工业企业,机器人+传感器,实验室阶段,提高自动化水平,利用光信号进行导航,自动化控制,工业合作,机器人技术,各大高科技企业,VLC驱动机器人集成了可见光通信技术，实现智能厂房内的导航与控制，提升了工业自动化水平。,Robotics Monthly,https://www.roboticsmonthly.com,2024-10-16,,,,
SmartLightCom,智能照明通信,数据传输与环境监测,智能家居用户,集成设备,产品测试,优化环境控制,智能LED调光与数据传输,家庭智能化,跨行业合作,智能家居,MIT媒介实验室,SmartLightCom结合可见光通信与智能照明技术，支持数据传输和环境监控功能，提升用户体验。,MIT技术评论,https://www.technologyreview.com,2024-10-16,,,,
VLC-Medical,医疗通信系统,数据传输,医疗机构,应用软件,临床试验阶段,实时数据传输,基于LED的医疗信息通信,医院智能化,行业联盟,医疗技术,清华大学附属医院,VLC-Medical利用LED灯进行患者数据传输，提高医疗信息管理的效率和安全性。,HealthTech,https://www.healthtechmagazine.net,2024-10-16,,,,
EduVLC系统,教育工具,学习资源分享,学生、教师,软件平台,教育推广,促进互动学习,基于VLC的学习内容分发,在线教育,高校合作,教育产业,北京大学,EduVLC系统采用可见光通信技术实现无缝的学习资源分享，提高课堂互动性。,教育部报告,https://www.moe.gov.cn,2024-10-16,,,,
VLC-Transport,交通管理系统,数据传输与定位,城市交通管理,智能基础设施,城市实验项目,提升交通效率,通过LED信号实现车辆定位,智慧交通,政府与企业合作,交通运输,深圳交通研究院,VLC-Transport系统在城市交通管理中利用可见光通信提高交通流量监控与车辆定位精度。,深圳日报,https://www.sznews.com,2024-10-16,,,,
VLC-Security,安全通信系统,安全数据传输,金融机构,硬件+软件系统,实施阶段,增强数据保护,基于光信号的加密技术,金融信息安全,联合研发,金融科技,多家银行,VLC-Security系统通过光信号加密技术提供高安全性的信号传输解决方案，适用于银行和金融服务。,金融科技杂志,https://www.fintechmagazine.com,2024-10-16,,,,
VLC-Agriculture,农业监控系统,数据传输与环境监测,农场主,传感器网络,现场测试,提高作物产量,利用LED进行环境数据采集,智能农业,农业科技公司合作,农业科技,农业大学,VLC-Agriculture系统通过可见光传输环境数据，帮助农场主实时监控和管理作物生长条件。,农业科技通信,https://www.agritechnews.com,2024-10-16,,,,
VLC-Event,活动管理系统,实时信息传递,活动组织者,移动应用,产品开发,增强参与者体验,基于LED信息广播,大型活动管理,活动公司合作,活动管理,多家活动策划公司,VLC-Event系统利用LED灯进行信息传递，提升大型活动的参与者导航和互动体验。,会议与活动杂志,https://www.eventmanagement.com,2024-10-16,,,,
VLC-Drones,无人机通信系统,无人机控制与数据传输,无人机运营商,控制平台,研究阶段,优化无人机网络,利用LED信号实现无人机间的数据通信,无人机技术,学术与商业合作,无人机行业,多所在大学,VLC-Drones系统为无人机之间提供高效的控制与数据通信机制，提升飞行任务的安全性和效率。,无人机技术杂志,https://www.dronetechmag.com,2024-10-16,,,,
VLC-Retail,零售信息系统,顾客互动与信息分享,零售商,商业应用,市场测试,提升顾客购物体验,通过LED灯传递即刻优惠信息,智能零售,零售业供应商合作,零售行业,商业创新实验室,VLC-Retail系统通过LED信号提供即时优惠信息和商品推荐，增强购物体验。,零售科技平台,https://www.retailtechnews.com,2024-10-16,,,,
SmartLiFi,增强现实通信,数据传输,游戏开发者、企业,软件+硬件,商业试点,增强互动体验,基于LiFi的AR设备,增强现实、游戏,跨行业合作,娱乐技术,清华大学、阿里巴巴,SmartLiFi是一种基于可见光技术的增强现实通信系统，旨在提升互动体验，特别适用于游戏和企业展示。,CSDN博客,https://blog.csdn.net/smartlifi/article/details/130000000,2024-10-16,,,,
VLC智能家居系统,智能家居,数据共享,家庭用户,家庭自动化,开发中,提高设备互联性,LED灯数据同步,智能家居,技术合作,物联网,华为技术有限公司,该系统通过可见光通信技术令家庭中的智能设备实现快速数据共享，增强用户体验。,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,,
GlobeVLC,全球通信,跨国数据传输,国际企业,云平台支持,技术成熟,实现全球连接,高效光信号网络,大规模数据传输,国际合作,通信服务,国际通信联盟,GlobeVLC利用全球光信号网络实现高速和低延迟的跨国数据传输，目标是提高国际沟通效率。,ITU报告,https://www.itu.int/en/ITU-T/Pages/default.aspx,2024-10-16,,,,
VLC医疗通信系统,医疗通信,数据传输,医院、医疗机构,设备集成,试点项目,提升医疗数据安全性,LED灯数据传输,医疗信息化,行业合作,医疗技术,清华大学医院、联想集团,该系统用于医院内通过可见光通信安全传输医疗数据，提升患者隐私保护。,医学信息杂志,https://www.journalofmedicalinformatics.com/,2024-10-16,,,,
