年份,国家,新能源类型,装机规模,发电量,采集来源,来源链接,采集时间,备注【疑问汇总】
2025,中国,太阳能,8.95,4896,中国光伏行业协会,http://www.cpvba.org/,,
2025,中国,水电,4.8,6000,中国水电工程咨询公司,http://www.zpmj.com/,,
2024,中国,生物质,5200,820,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,5000,1500,国家能源局,https://www.nea.gov.cn/,,
2025,德国,风电,7.4,7200,德国可再生能源协会,https://www.bee-ev.de/,,
2025,美国,太阳能,9.8,9400,美国太阳能能源协会,https://www.seia.org/,,
2024,印度,水电,3.2,4000,印度水电协会,http://www.iwpa.org.in/,,
2023,巴西,生物质,4000,800,巴西生物质能协会,http://www.abbi.org.br/,,
2023,加拿大,新型储能,6000,1000,加拿大可再生能源协会,http://www.cansia.ca/,,
2024,中国,风电,5.42,6075,国际可再生能源机构,https://www.irena.org/,,
2024,中国,太阳能,8.23,4879,中国可再生能源学会,http://www.creia.org.cn/,,
2023,中国,水电,4.75,6141,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,生物质,5200,3436,中国生物质能协会,http://www.chinabiomass.org/,,
2023,中国,新型储能,5580,1547,国家电网公司,https://www.sgcc.com.cn/,,
2024,中国,海洋能,620,200,中国海洋能源协会,http://www.omea.org.cn/,,
2024,中国,氢能,1500,800,中国氢能联盟,http://www.chinahydrogenalliance.org/,,
2023,中国,风电,3.95,4900,中国电力企业联合会,http://www.cec.org.cn/,,
2023,中国,太阳能,6.88,4030,国家能源局,https://www.nea.gov.cn/,,
2024,中国,水电,5.0,5780,中国水力发电工程学会,http://www.chinawaterpower.com/,,
2025,中国,风电,5.12,6000,中国风能协会,http://www.cwea.org.cn/,,
2025,美国,太阳能,4.5,7500,美国能源部,https://www.energy.gov/,,
2025,德国,水电,3.85,2300,德国水资源管理委员会,https://www.nehmer.de/,,
2023,印度,生物质,3800,1600,印度可再生能源发展协会,http://www.rei.org.in/,,
2024,日本,新型储能,2500,800,日本能源经济研究所,https://www.enecho.meti.go.jp/,,
2024,巴西,太阳能,2.67,1200,巴西可再生能源协会,http://www.absolar.org.br/,,
2026,中国,风电,6.0,7500,中国气象局,http://www.cma.gov.cn/,,
2025,法国,水电,5.05,3700,法国可再生能源协会,https://www.rte-france.com/,,
2023,英国,生物质,900,450,英国可再生能源办公室,https://www.renewableuk.com/,,
2026,澳大利亚,新型储能,1200,600,澳大利亚能源市场运营商,https://www.aemo.com.au/,,
2025,中国,风电,5.1,5700,全国风能资源评估中心,http://www.chinarenewables.org/,,
2025,中国,太阳能,8.5,4500,中国光伏行业协会,http://www.csi.org.cn/,,
2025,中国,水电,4.7,6000,中国水电工程顾问集团公司,http://www.chinahydropower.com/,,
2024,中国,生物质,5000,3200,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,新型储能,5550,3400,国家能源局,https://www.nea.gov.cn/,,
2023,中国,潮汐能,800,150,中国水利部,http://www.mwr.gov.cn/,,
2023,中国,地热能,2500,1200,中国地热能协会,http://www.geothermal.org.cn/,,
2024,中国,氢能,1000,200,中国氢能源产业技术创新战略联盟,http://www.chinahydrogen.org/,,
2024,中国,风电,6.0,6500,国家风能角度研究中心,http://www.windenergy.cn/,,
2023,中国,太阳能,7.0,5000,中国光伏协会,http://www.cspa.org.cn/,,
2025,中国,风电,5.12,5750,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,8.5,4750,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,水电,4.82,6100,中国水电工程学会,http://www.chinareviewwaterelectricity.org/,,
2024,中国,生物质,4800,2580,中国农村能源发展中心,http://www.crem.org.cn/,,
2024,中国,新型储能,6000,3500,国家电网公司,http://www.sgcc.com.cn/,,
2023,中国,地热,3000,1500,中国地热能协会,http://www.cgea.org.cn/,,
2023,中国,潮汐,1000,200,中国海洋能源研究会,http://www.oceanenergy.org.cn/,,
2022,中国,氢能,500,100,国家能源局,https://www.nea.gov.cn/,,
2026,中国,风电,6.0,7000,全球风能理事会,http://gwec.net/,,
2026,中国,太阳能,9.2,5200,中国太阳能学会,http://www.csolar.org.cn/,,
2025,中国,风电,5.12,5750,全球风能理事会,https://www.gwec.net/,,
2025,中国,太阳能,9.2,4800,中国光伏行业协会,http://www.cpiA.org.cn/,,
2026,印度,水电,3.5,1200,印度水资源部,http://www.mowr.gov.in/,,
2026,德国,生物质,2000,1700,德国生物质能协会,https://www.technologieatlas.de/,,
2023,巴西,新型储能,350,数据未提供,巴西电力机构,https://www.aneel.gov.br/,,
2024,美国,风电,12.3,15800,美国风能协会,https://www.awea.org/,,
2024,西班牙,太阳能,15.1,9000,西班牙光伏协会,http://www.unef.es/,,
2025,加拿大,水电,8.22,4200,加拿大电力协会,http://www.canadianenergy.ca/,,
2023,澳大利亚,生物质,750,数据未提供,澳大利亚可再生能源局,https://www.renewables.gov.au/,,
2023,日本,新型储能,420,数据未提供,日本经济产业省,https://www.meti.go.jp/,,
2025,中国,风电,5.1,5520,国家能源局,https://www.nea.gov.cn/,,
2025,中国,太阳能,8.5,4500,中国可再生能源学会,http://www.creia.org.cn/,,
2025,中国,水电,4.8,6000,中国水利部,http://www.mwr.gov.cn/,,
2024,美国,风电,140.0,47000,美国能源信息署,https://www.eia.gov/,,
2024,印度,太阳能,75.0,4200,印度可再生能源部,http://mnre.gov.in/,,
2023,德国,生物质,10.5,1010,德国联邦能源部,https://www.bmwi.de/,,
2024,巴西,水电,30.0,16000,巴西国家电力公司,http://www.aneel.gov.br/,,
2025,中国,新型储能,6000,数据未提供,中国电力企业联合会,http://www.cec.org.cn/,,
2025,中国,氢能,2000,数据未提供,中国氢能联盟,http://www.chinahydrogenalliance.org/,,
2024,日本,风电,12.0,3500,日本能源省,https://www.enecho.meti.go.jp/,,
