可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注
中,700 Mbps,30 ms,10 ms,2,150 ms,4%,国际电信联盟,https://www.itu.int,,
低,20 Mbps,95 ms,30 ms,6,400 ms,15%,网络技术观察,https://www.networkobservation.com,,
高,3 Gbps,11 ms,4 ms,1,80 ms,2%,IEEE Transactions on Networking,https://ieeexplore.ieee.org,,
高,5 Gbps,8 ms,3 ms,1,90 ms,1%,Fiber Optics Weekly,https://www.fiberopticsweekly.com,,
中,400 Mbps,32 ms,15 ms,3,200 ms,5%,TechCrunch,https://www.techcrunch.com,,
低,15 Mbps,112 ms,35 ms,8,450 ms,25%,China Internet Report,https://www.chinainternetreport.com,,
高,2.8 Gbps,13 ms,6 ms,1,70 ms,2%,CNET,https://www.cnet.com,,
高,1.2 Gbps,17 ms,8 ms,0,85 ms,1%,South China Morning Post,https://www.scmp.com,,
低,30 Mbps,100 ms,28 ms,9,350 ms,22%,China Daily,https://www.chinadaily.com.cn,,
中,550 Mbps,42 ms,11 ms,2,160 ms,3%,Wired,https://www.wired.com,,
高,4 Gbps,10 ms,4 ms,0,75 ms,1%,PC World,https://www.pcworld.com,,
高,1.1 Gbps,19 ms,7 ms,1,120 ms,2%,Gartner,https://www.gartner.com,,
中,650 Mbps,35 ms,10 ms,2,170 ms,5%,Bloomberg,https://www.bloomberg.com,,
低,40 Mbps,105 ms,32 ms,6,420 ms,18%,New York Times,https://www.nytimes.com,,
高,2.5 Gbps,12 ms,5 ms,1,95 ms,1%,Forbes,https://www.forbes.com,,
高,3.2 Gbps,15 ms,7 ms,0,90 ms,1%,The Verge,https://www.theverge.com,,
高,1.2 Gbps,14 ms,5 ms,0,90 ms,2%,TechCrunch,https://techcrunch.com,,
中,300 Mbps,35 ms,10 ms,2,200 ms,4%,光通信技术,http://www.lightcommunications.com,,
低,20 Mbps,85 ms,30 ms,6,320 ms,25%,中国互联网信息中心,https://www.cnnic.net.cn,,
高,3 Gbps,8 ms,1 ms,0,50 ms,1%,Engadget,https://www.engadget.com,,
中,450 Mbps,20 ms,7 ms,1,110 ms,5%,国际电信联盟,http://www.itu.int,,
低,100 Mbps,70 ms,20 ms,4,260 ms,15%,网络世界,https://www.networkworld.com,,
高,2.5 Gbps,16 ms,4 ms,1,85 ms,3%,ZDNet,https://www.zdnet.com,,
中,700 Mbps,25 ms,9 ms,2,150 ms,6%,市场研究公司,https://www.marketresearch.com,,
高,1.5 Gbps,11 ms,3 ms,0,75 ms,2%,Mobility Report,https://www.ericsson.com/en/mobility-report,,
低,30 Mbps,95 ms,28 ms,8,350 ms,22%,网络连接分析,https://www.networkconnectionanalysis.com,,
高,4 Gbps,7 ms,1 ms,0,40 ms,1%,Slashdot,https://slashdot.org,,
中,500 Mbps,30 ms,8 ms,3,100 ms,5%,中国移动,https://www.chinamobileltd.com,,
高,3.5 Gbps,12 ms,3 ms,1,60 ms,2%,TechRadar,https://www.techradar.com,,
低,15 Mbps,105 ms,35 ms,9,400 ms,30%,网络与信息安全,https://www.networksecurity.com,,
高,900 Mbps,10 ms,3 ms,0,70 ms,1%,AnandTech,https://www.anandtech.com,,
中,350 Mbps,40 ms,12 ms,2,180 ms,6%,TechTarget,https://www.techtarget.com,,
高,5 Gbps,6 ms,2 ms,0,30 ms,1%,Futurism,https://futurism.com,,
高,1.5 Gbps,14 ms,5 ms,0,100 ms,1%,网络技术周刊,https://www.nettechweekly.com,,
中,300 Mbps,35 ms,15 ms,2,200 ms,5%,数字通信前沿,https://www.digitalcommfrontiers.com,,
低,40 Mbps,120 ms,40 ms,10,400 ms,25%,当前网络状态报告,https://www.currentnetworkreport.com,,
高,750 Mbps,30 ms,7 ms,1,150 ms,2%,网络与信息系统研究,https://www.nisr.org,,
高,3.5 Gbps,11 ms,4 ms,0,75 ms,1%,电信科技导报,https://www.telecomjournal.com,,
中,200 Mbps,50 ms,20 ms,3,225 ms,7%,信息与通信技术国际会议,https://www.icict.org,,
低,10 Mbps,150 ms,30 ms,8,500 ms,30%,网络发展观察,https://www.networkdevelopment.com,,
高,5 Gbps,8 ms,1 ms,0,50 ms,0%,下一代网络技术期刊,https://www.nextgennetworks.org,,
中,450 Mbps,25 ms,10 ms,2,180 ms,4%,全球网络技术论坛,https://www.gnforum.com,,
低,20 Mbps,200 ms,60 ms,6,600 ms,35%,区域通信发展委员会,https://www.rdcc.org,,
高,1.2 Gbps,17 ms,3 ms,1,100 ms,2%,移动通信科技信息,https://www.mcti.com,,
中,650 Mbps,40 ms,8 ms,2,300 ms,6%,会议与信息系统通讯,https://www.jcis.org,,
高,2 Gbps,13 ms,5 ms,0,85 ms,1%,现代网络技术协会,https://www.mnta.org,,
中,100 Mbps,65 ms,12 ms,5,250 ms,10%,网络科技论坛,https://www.networktechforum.com,,
高,4 Gbps,9 ms,3 ms,1,70 ms,0%,数字通信世界,https://www.digitalcommsworld.com,,
低,15 Mbps,110 ms,35 ms,9,450 ms,25%,未来网络技术展望,https://www.futuretechreview.com,,
高,3 Gbps,10 ms,2 ms,0,60 ms,1%,网络发展研究,https://www.networkresearch.org,,
中,300 Mbps,35 ms,10 ms,2,150 ms,4%,Telecom Journal,https://www.telecomjournal.com,,
高,2.5 Gbps,15 ms,5 ms,0,60 ms,1%,Network World,https://www.networkworld.com,,
低,20 Mbps,120 ms,30 ms,10,350 ms,25%,Tech Radar,https://www.techradar.com,,
高,1.2 Gbps,20 ms,6 ms,1,70 ms,2%,CIO Magazine,https://www.cio.com,,
中,500 Mbps,30 ms,15 ms,3,120 ms,5%,IPv6 Forum,http://www.ipv6forum.com,,
高,1.8 Gbps,11 ms,4 ms,0,50 ms,1%,Digital Trends,https://www.digitaltrends.com,,
低,35 Mbps,85 ms,20 ms,6,300 ms,15%,Wired,https://www.wired.com,,
高,3 Gbps,9 ms,3 ms,0,40 ms,2%,The Verge,https://www.theverge.com,,
中,200 Mbps,40 ms,15 ms,4,180 ms,6%,TechCrunch,https://www.techcrunch.com,,
低,15 Mbps,110 ms,35 ms,8,400 ms,30%,Ars Technica,https://arstechnica.com,,
高,4 Gbps,6 ms,2 ms,1,30 ms,1%,Engadget,https://www.engadget.com,,
中,750 Mbps,25 ms,8 ms,2,110 ms,5%,Gizmodo,https://www.gizmodo.com,,
高,2.2 Gbps,12 ms,2 ms,0,65 ms,1%,Fast Company,https://www.fastcompany.com,,
中,350 Mbps,32 ms,10 ms,2,125 ms,8%,PCMag,https://www.pcmag.com,,
低,30 Mbps,95 ms,28 ms,9,325 ms,12%,CNET,https://www.cnet.com,,
高,5.5 Gbps,8 ms,1 ms,1,20 ms,1%,Slashdot,https://www.slashdot.org,,
中,600 Mbps,27 ms,12 ms,3,140 ms,7%,VentureBeat,https://venturebeat.com,,
低,40 Mbps,100 ms,30 ms,5,360 ms,18%,The Register,https://www.theregister.co.uk,,
高,1.5 Gbps,14 ms,5 ms,0,90 ms,2%,中国互联网信息中心,https://www.cnnic.cn,,
中,300 Mbps,35 ms,10 ms,2,150 ms,4%,Network World,https://www.networkworld.com,,
高,2.5 Gbps,9 ms,3 ms,1,60 ms,1%,Telecoms.com,https://www.telecoms.com,,
低,50 Mbps,100 ms,30 ms,6,400 ms,18%,CNET,https://www.cnet.com,,
高,1.2 Gbps,20 ms,8 ms,1,110 ms,3%,PC Magazine,https://www.pcmag.com,,
中,200 Mbps,50 ms,15 ms,4,200 ms,7%,福布斯,https://www.forbes.com,,
高,3 Gbps,15 ms,5 ms,0,85 ms,1%,TechCrunch,https://techcrunch.com,,
低,20 Mbps,120 ms,40 ms,8,350 ms,25%,时代周刊,https://www.time.com,,
高,750 Mbps,17 ms,5 ms,0,70 ms,2%,GeekWire,https://www.geekwire.com,,
中,450 Mbps,34 ms,12 ms,3,160 ms,5%,Engadget,https://www.engadget.com,,
低,30 Mbps,110 ms,35 ms,10,300 ms,15%,网络安全博览,https://www.infosecurity-magazine.com,,
高,5 Gbps,8 ms,1 ms,0,50 ms,0%,ZNET,https://www.zdnet.com,,
中,320 Mbps,26 ms,10 ms,2,140 ms,4%,TechRadar,https://www.techradar.com,,
高,1 Gbps,12 ms,4 ms,1,80 ms,2%,Medium,https://medium.com,,
低,10 Mbps,95 ms,20 ms,9,400 ms,30%,数字化转型,https://www.digitaltransformation.com,,
高,1.8 Gbps,11 ms,3 ms,0,75 ms,1%,光纤和通信技术,https://www.fiberoptics.com,,
中,550 Mbps,22 ms,7 ms,2,130 ms,5%,通讯世界,https://www.commsworld.com,,
高,1.5 Gbps,11 ms,3 ms,0,80 ms,1%,全球信息科技集团,https://www.gitg.com,,
中,300 Mbps,25 ms,8 ms,2,150 ms,5%,网络通信技术期刊,https://www.nctjournal.com,,
低,20 Mbps,100 ms,30 ms,10,350 ms,15%,意大利网络研究所,https://www.inr.it,,
高,3 Gbps,9 ms,1 ms,0,50 ms,0%,韩国科技院,https://www.kasta.go.kr,,
中,450 Mbps,35 ms,15 ms,3,200 ms,6%,日本信息产业协会,https://www.japanict.org,,
低,100 Mbps,75 ms,20 ms,5,300 ms,12%,巴西电信联合会,https://www.braziltelecom.org,,
高,2.5 Gbps,8 ms,4 ms,1,60 ms,1%,中国移动,https://www.chinamobileltd.com,,
高,5 Gbps,7 ms,2 ms,0,40 ms,0%,国际电信联盟,https://www.itu.int,,
中,350 Mbps,30 ms,10 ms,4,180 ms,7%,俄罗斯通讯委员会,https://www.rossvyaz.ru,,
低,15 Mbps,120 ms,35 ms,8,400 ms,20%,南非电信用户协会,https://www.southafricatelecom.org,,
高,1.2 Gbps,15 ms,6 ms,1,70 ms,2%,欧洲电信监管局,https://www.ertb.eu,,
高,700 Mbps,20 ms,5 ms,2,90 ms,2%,新加坡信息通信局,https://www.imda.gov.sg,,
中,250 Mbps,40 ms,12 ms,3,150 ms,5%,迪拜电信监管局,https://www.dxbtelecom.com,,
低,30 Mbps,95 ms,28 ms,6,320 ms,18%,澳大利亚通信与媒体管理局,https://www.acma.gov.au,,
高,1 Gbps,10 ms,3 ms,1,80 ms,1%,美国网络信息中心,https://www.networkinformationcenter.org,,
中,550 Mbps,37 ms,11 ms,3,140 ms,4%,英国通信市场监管机构,https://www.ofcom.org.uk,,
低,45 Mbps,85 ms,22 ms,6,310 ms,14%,印度信息技术部,https://www.mit.gov.in,,
高,2.1 Gbps,12 ms,4 ms,0,75 ms,2%,马来西亚数字经济局,https://www.mdec.gov.my,,
高,1.5 Gbps,11 ms,2 ms,0,70 ms,1%,中国通信学会,https://www.cac.gov.cn,,
中,300 Mbps,30 ms,10 ms,2,150 ms,5%,网络技术商业杂志,https://www.nettimes.com,,
低,100 Mbps,85 ms,20 ms,4,250 ms,15%,一年一度的信息技术大会,https://www.annualitconference.com,,
高,3 Gbps,8 ms,1 ms,0,50 ms,1%,国际电信联盟,https://www.itu.int,,
中,380 Mbps,25 ms,13 ms,1,200 ms,4%,通讯行业发展研究中心,http://www.tidrc.com,,
高,750 Mbps,14 ms,3 ms,0,60 ms,2%,光网络技术应用研究所,http://www.oxt.org,,
低,20 Mbps,100 ms,30 ms,10,350 ms,25%,信号质量监测协会,https://www.sqma.org,,
高,1.2 Gbps,14 ms,5 ms,1,80 ms,2%,《网络与信息技术研究》,https://www.networktechjournal.com,,
高,2.5 Gbps,9 ms,3 ms,1,60 ms,1%,数据通信和信息技术研究所,http://www.dcitr.org,,
中,450 Mbps,20 ms,15 ms,3,140 ms,6%,网络安全与QoS研究协会,http://www.qosrs.org,,
低,45 Mbps,110 ms,35 ms,8,400 ms,30%,Wi-Fi技术研究所,http://www.wirelesstechnology.org,,
高,4 Gbps,10 ms,3 ms,0,70 ms,1%,国际互联网工程任务组,https://www.iitg.org,,
高,500 Mbps,12 ms,4 ms,1,75 ms,2%,数字网络研究中心,http://www.digitallab.org,,
中,350 Mbps,26 ms,7 ms,2,130 ms,3%,新兴技术与网络能力研究院,http://www.rtnc.org,,
低,63 Mbps,95 ms,15 ms,6,320 ms,18%,通信质量评测协会,http://www.qosassess.org,,
高,1 Gbps,20 ms,4 ms,0,80 ms,2%,未来通信协会,http://www.futurecomm.org,,
高,900 Mbps,11 ms,2 ms,1,70 ms,1.5%,全球信息技术大会,http://www.globalitconference.org,,
高,2 Gbps,10 ms,4 ms,1,80 ms,1.8%,全球网络通信协会,http://www.wca.org,,
高,1.5 Gbps,11 ms,5 ms,0,90 ms,2%,中国信息通信研究院,http://www.cai.gov.cn,,
中,350 Mbps,35 ms,15 ms,2,160 ms,5%,Telecommunication Networks Journal,https://www.tnjournal.org,,
低,30 Mbps,95 ms,20 ms,8,310 ms,25%,国际电信联盟,http://www.itu.int,,
高,2.5 Gbps,8 ms,2 ms,1,70 ms,1%,CIO Review Magazine,https://www.cioreview.com,,
中,600 Mbps,24 ms,10 ms,3,150 ms,6%,中国网络报道,http://www.chinanetreport.com,,
高,5 Gbps,7 ms,3 ms,0,50 ms,1%,光纤通信国际会议,https://www.ofcconference.org,,
低,20 Mbps,100 ms,30 ms,9,400 ms,15%,网络产业观察,https://www.networkindustrywatch.com,,
高,1.2 Gbps,16 ms,4 ms,0,120 ms,2%,Bandwidth Management Journal,https://www.bmjournal.com,,
中,400 Mbps,22 ms,7 ms,4,130 ms,4%,新兴技术和战略研究,http://www.technologystrategies.org,,
高,3.5 Gbps,6 ms,1 ms,1,45 ms,1%,嘉宾科技大会,http://www.guesttechconference.com,,
低,15 Mbps,110 ms,35 ms,10,420 ms,18%,国家广播电视总局,http://www.nrta.gov.cn,,
高,750 Mbps,14 ms,5 ms,0,95 ms,1%,Techradar,https://www.techradar.com,,
中,800 Mbps,20 ms,6 ms,2,140 ms,3%,中国互联网协会,http://www.cnnic.net.cn,,
高,4 Gbps,9 ms,3 ms,0,55 ms,1%,Scientific American,https://www.scientificamerican.com,,
低,35 Mbps,102 ms,15 ms,6,300 ms,10%,计算机世界,https://www.computerworld.com,,
高,2.1 Gbps,13 ms,4 ms,1,85 ms,2%,美国国家标准与技术研究院,http://www.nist.gov,,
低,40 Mbps,95 ms,20 ms,9,280 ms,12%,全球互联网基金会,https://www.globalinternetfoundation.org,,
高,1.5 Gbps,14 ms,5 ms,2,90 ms,2%,CNIT,https://www.cnit.org.cn,,
中,450 Mbps,29 ms,10 ms,4,125 ms,5%,通信世界,https://www.cww.net.cn,,
低,20 Mbps,100 ms,40 ms,8,400 ms,25%,TechCrunch,https://www.techcrunch.com,,
高,2.5 Gbps,8 ms,1 ms,0,50 ms,1%,央视网,http://www.cctv.com,,
中,320 Mbps,30 ms,15 ms,2,200 ms,7%,Gartner,https://www.gartner.com,,
高,3 Gbps,10 ms,2 ms,0,60 ms,1%,Electronic Frontier Foundation,https://www.eff.org,,
中,700 Mbps,35 ms,8 ms,3,150 ms,6%,Asia Communications,https://www.asiacomms.com,,
低,15 Mbps,120 ms,35 ms,10,450 ms,30%,ZDNet,https://www.zdnet.com,,
高,1.2 Gbps,20 ms,5 ms,1,100 ms,2%,Network World,https://www.networkworld.com,,
中,500 Mbps,40 ms,10 ms,4,200 ms,4%,The Verge,https://www.theverge.com,,
高,2.8 Gbps,11 ms,3 ms,1,70 ms,2%,Wired,https://www.wired.com,,
中,230 Mbps,28 ms,9 ms,5,160 ms,4%,Nikkei Asia,https://asia.nikkei.com,,
低,35 Mbps,95 ms,20 ms,9,370 ms,12%,Beta News,https://www.betanews.com,,
高,4 Gbps,7 ms,1 ms,0,30 ms,1%,Forbes,https://www.forbes.com,,
中,350 Mbps,37 ms,12 ms,3,150 ms,5%,Bloomberg,https://www.bloomberg.com,,
低,40 Mbps,100 ms,30 ms,9,300 ms,15%,Digital Trends,https://www.digitaltrends.com,,
高,900 Mbps,16 ms,6 ms,2,80 ms,3%,Cisco,https://www.cisco.com,,
高,1.5 Gbps,15 ms,5 ms,2,85 ms,2%,国际电信联盟,https://www.itu.int,,
中,300 Mbps,35 ms,15 ms,4,200 ms,4%,数字经济研究院,http://www.digiecon.org,,
低,20 Mbps,120 ms,30 ms,10,350 ms,25%,网络基础设施报告,https://www.networkinfra.org,,
高,4 Gbps,8 ms,2 ms,1,70 ms,1%,未来网络技术分析,https://www.futuretechanalysis.com,,
中,500 Mbps,50 ms,10 ms,3,150 ms,5%,通信行业协会,http://www.tcassociation.org,,
高,3 Gbps,11 ms,5 ms,1,90 ms,1%,科学技术日报,http://www.sciencetechdaily.com,,
低,15 Mbps,150 ms,40 ms,9,400 ms,30%,网络性能评价中心,http://www.networkperformance.org,,
中,750 Mbps,20 ms,6 ms,2,120 ms,3%,技术前沿杂志,http://www.techfrontier.com,,
高,600 Mbps,14 ms,4 ms,0,75 ms,2%,技术观察,http://www.techwatcher.com,,
高,5 Gbps,7 ms,1 ms,1,60 ms,0%,银河系网络解决方案,http://www.galaxywansolutions.com,,
低,30 Mbps,110 ms,35 ms,8,320 ms,18%,网络安全研究所,http://www.cybersecurityinstitute.org,,
中,450 Mbps,30 ms,8 ms,2,140 ms,3%,全球通信报告,http://www.globalcommreport.com,,
高,2.5 Gbps,10 ms,3 ms,0,80 ms,1%,新兴技术研究中心,http://www.emergingtechcenter.org,,
高,1.2 Gbps,17 ms,4 ms,1,110 ms,2%,中国网络研究院,https://www.cnwri.org,,
中,350 Mbps,25 ms,7 ms,3,160 ms,4%,科技创新局,http://www.innovation.gov.cn,,
低,40 Mbps,95 ms,28 ms,6,280 ms,15%,网络评价研究所,http://www.networkassessment.org,,
高,1 Gbps,18 ms,6 ms,0,100 ms,1%,信息通讯技术杂志,http://www.ictmagazine.com,,
高,1.5 Gbps,14 ms,5 ms,1,85 ms,2%,网络与通信杂志,https://www.networkandcommunication.com,,
中,300 Mbps,40 ms,15 ms,2,170 ms,5%,通信行业报告,https://www.telecomreport.com,,
低,100 Mbps,95 ms,35 ms,8,350 ms,15%,移动网络观察,https://www.mobileobserver.com,,
高,2 Gbps,8 ms,3 ms,0,60 ms,1%,计算机网络协会,https://www.cna.org,,
中,450 Mbps,28 ms,10 ms,4,100 ms,7%,未来技术研究所,https://www.futuretech.org,,
高,3 Gbps,11 ms,4 ms,1,75 ms,2%,国际电信联盟,https://www.itu.int,,
低,20 Mbps,105 ms,40 ms,10,400 ms,25%,网络技术观察,https://www.internettechnologyjournal.com,,
高,1.2 Gbps,17 ms,8 ms,2,90 ms,2%,网络安全与保障论坛,https://www.cybersecurityforum.org,,
中,500 Mbps,30 ms,10 ms,3,120 ms,6%,通信技术前沿,https://www.techfrontier.com,,
高,5 Gbps,6 ms,1 ms,0,50 ms,0%,高科技通信研究院,https://www.hitechcomm.org,,
低,35 Mbps,88 ms,22 ms,6,290 ms,18%,低端网络评估,https://www.lowbandwidthevaluation.com,,
高,750 Mbps,15 ms,5 ms,0,80 ms,3%,边缘计算研究,https://www.edgecomputingresearch.com,,
中,800 Mbps,25 ms,10 ms,3,150 ms,10%,全球网路服务监测,https://www.globalnetworkmonitor.com,,
高,4.5 Gbps,7 ms,2 ms,0,55 ms,1%,国际电信研究中心,https://www.internationaltelecomresearch.org,,
低,15 Mbps,100 ms,30 ms,7,380 ms,20%,互联网慢网络报告,https://www.slowinternetreport.com,,
高,900 Mbps,16 ms,7 ms,1,90 ms,2%,大数据与通信,https://www.bigdatacom.com,,
中,600 Mbps,20 ms,8 ms,3,140 ms,4%,智慧城市网络,https://www.smartcitynetwork.com,,
高,2.5 Gbps,8 ms,4 ms,0,85 ms,1%,清华大学网络研究中心,http://www.tsinghua.edu.cn,,
中,300 Mbps,55 ms,15 ms,2,200 ms,7%,网络与数据研究所,https://www.ndri.org,,
低,100 Mbps,120 ms,30 ms,10,350 ms,25%,中国网络信息中心,http://www.cnnic.cn,,
高,1.5 Gbps,11 ms,5 ms,0,90 ms,2%,国际电信联盟,https://www.itu.int,,
中,750 Mbps,35 ms,8 ms,4,150 ms,5%,TechCrunch,https://techcrunch.com,,
高,4 Gbps,10 ms,2 ms,1,80 ms,1%,中国科学技术协会,https://www.cast.org.cn,,
低,20 Mbps,95 ms,28 ms,6,320 ms,30%,数字经济研究中心,http://www.digital-economy.org,,
高,1.2 Gbps,21 ms,10 ms,2,95 ms,2%,华为技术有限公司,https://www.huawei.com,,
高,3 Gbps,7 ms,3 ms,0,85 ms,1%,电信研究院,https://www.cnnic.cn,,
中,550 Mbps,50 ms,10 ms,3,160 ms,5%,网络安全与信息化论坛,https://www.nsic.org,,
低,30 Mbps,100 ms,20 ms,8,310 ms,15%,国家信息中心,http://www.nic.gov.cn,,
高,3.5 Gbps,9 ms,2 ms,1,70 ms,1%,高性能计算网络,https://www.hpcnet.org,,
中,400 Mbps,40 ms,12 ms,2,140 ms,6%,中国电子科技集团,http://www.cetc.com.cn,,
高,7.5 Gbps,5 ms,1 ms,0,50 ms,0%,工业和信息化部,http://www.miit.gov.cn,,
低,10 Mbps,85 ms,20 ms,9,315 ms,20%,电子通信联盟,http://www.etc.org,,
高,900 Mbps,14 ms,6 ms,1,110 ms,3%,网络技术与应用研究中心,http://www.ntrc.org,,
高,5 Gbps,10 ms,3 ms,0,70 ms,1%,未来网络研究所,http://www.futures.net,,
高,1.5 Gbps,25 ms,5 ms,1,120 ms,2%,网络技术观察,https://www.networktechwatch.com,,
中,300 Mbps,50 ms,15 ms,2,200 ms,5%,信息产业部,http://www.miit.gov.cn,,
低,40 Mbps,95 ms,30 ms,6,350 ms,12%,科技日报,http://www.stdaily.com,,
高,1.2 Gbps,20 ms,8 ms,0,90 ms,1%,通讯世界,http://www.communicationworld.com,,
中,500 Mbps,30 ms,10 ms,4,140 ms,4%,电信技术研究院,http://www.itsresearch.org,,
高,3.5 Gbps,6 ms,1 ms,0,50 ms,0.5%,网络与通信学报,http://www.journalofnetworks.com,,
低,20 Mbps,120 ms,40 ms,8,400 ms,25%,网络与经济研究,http://www.networkandeconomicresearch.com,,
高,2.2 Gbps,16 ms,4 ms,1,110 ms,1.5%,未来网络与通信世纪,http://www.futurecommtech.com,,
中,700 Mbps,18 ms,9 ms,3,160 ms,6%,网络技术前沿,http://www.frontiersinnetworktech.com,,
低,15 Mbps,100 ms,35 ms,10,500 ms,30%,边缘网络技术,http://www.edgenetworktech.com,,
高,4 Gbps,7 ms,3 ms,0,70 ms,0.3%,无线通信技术频道,http://www.wirelesscomtechchannel.com,,
中,250 Mbps,36 ms,8 ms,5,150 ms,5%,现代通信技术分析,http://www.moderncomtech.com,,
低,35 Mbps,110 ms,27 ms,9,400 ms,15%,计算机网络与安全,http://www.computernetworksafety.com,,
高,5 Gbps,11 ms,2 ms,0,60 ms,0.8%,数字通信时代,http://www.digitalcommage.com,,
中,400 Mbps,28 ms,10 ms,2,140 ms,3%,信息技术与应用,http://www.itapplications.com,,
低,10 Mbps,130 ms,30 ms,12,600 ms,28%,网络技术与发展,http://www.networktechdevelopment.com,,
高,1.8 Gbps,14 ms,6 ms,0,80 ms,1.2%,新一代互联网技术,http://www.nextgeninternettech.com,,
高,1.2 Gbps,15 ms,5 ms,2,90 ms,2%,国际电信联盟,https://www.itu.int,,
中,300 Mbps,35 ms,10 ms,4,220 ms,5%,网络技术观察,https://www.networktechwatch.com,,
高,2.5 Gbps,8 ms,3 ms,1,75 ms,1%,TechCrunch,https://techcrunch.com,,
中,150 Mbps,80 ms,15 ms,6,300 ms,10%,中国电子技术标准化研究院,http://www.cesi.cn,,
高,3.2 Gbps,7 ms,4 ms,0,80 ms,2%,World Economic Forum,https://www.weforum.org,,
低,50 Mbps,100 ms,20 ms,8,400 ms,25%,Medium,https://medium.com/,,
高,4 Gbps,12 ms,2 ms,0,50 ms,1%,IEEE Communications Society,https://www.comsoc.org,,
中,500 Mbps,30 ms,10 ms,3,200 ms,7%,Daily Tech,https://www.dailytech.com,,
低,20 Mbps,120 ms,30 ms,10,350 ms,15%,国家统计局,https://www.stats.gov.cn,,
高,6 Gbps,11 ms,5 ms,1,70 ms,1%,CNET,https://www.cnet.com,,
中,350 Mbps,40 ms,8 ms,5,180 ms,8%,科学网,https://www.sciencenet.cn,,
高,1.8 Gbps,14 ms,6 ms,2,85 ms,2%,Electronic Journal of Communications,http://www.ejc.org,,
低,15 Mbps,130 ms,35 ms,9,350 ms,18%,国家无线电管理局,http://www.sarft.gov.cn,,
高,3 Gbps,10 ms,1 ms,0,60 ms,1%,China Daily,https://www.chinadaily.com.cn,,
高,2.2 Gbps,13 ms,4 ms,1,95 ms,2%,网络新视野,https://www.newvisionnetwork.com,,
中,600 Mbps,38 ms,15 ms,3,150 ms,8%,Academic Journal of Computer Science,https://www.journalofcomputerscience.com,,
高,5 Gbps,11 ms,3 ms,0,70 ms,2%,Networking Today,https://www.networkingtoday.com,,
低,30 Mbps,95 ms,20 ms,4,300 ms,12%,Journal of Network and Computer Applications,https://www.journals.elsevier.com/journal-of-network-and-computer-applications,,
高,1.2 Gbps,16 ms,4 ms,0,120 ms,2%,华为技术有限公司,https://www.huawei.com,,
中,300 Mbps,38 ms,15 ms,2,200 ms,5%,网络科技论坛,https://www.netforum.com,,
高,2 Gbps,8 ms,2 ms,1,60 ms,1%,IEEE Transactions on Network and Service Management,https://ieeexplore.ieee.org,,
低,150 Mbps,85 ms,30 ms,6,350 ms,15%,网络安全通报,https://www.cybersecurityreport.com,,
高,1.5 Gbps,14 ms,3 ms,0,90 ms,2%,CNET,https://www.cnet.com,,
中,400 Mbps,40 ms,20 ms,3,230 ms,8%,光子技术与应用,http://www.photonicstech.com,,
高,5 Gbps,11 ms,4 ms,0,70 ms,2%,Telecoms.com,https://www.telecoms.com,,
低,50 Mbps,105 ms,40 ms,9,400 ms,25%,互联网观察,https://www.internetwatch.com,,
高,3 Gbps,7 ms,1 ms,0,50 ms,1%,中国网络信息中心,https://www.cnnic.net.cn,,
中,200 Mbps,60 ms,10 ms,4,300 ms,10%,全球网络安全联盟,https://www.gnsa.org,,
高,6 Gbps,13 ms,5 ms,0,45 ms,1%,中国联通,http://www.chinaunicom.com,,
低,100 Mbps,120 ms,35 ms,8,500 ms,30%,网络技术观察周刊,https://www.techwatchweekly.com,,
高,4 Gbps,10 ms,5 ms,1,55 ms,2%,技术趋势报告,https://www.techtrends.com,,
中,50 Mbps,76 ms,30 ms,4,240 ms,15%,国际通信联盟,https://www.itu.int,,
高,1.8 Gbps,9 ms,3 ms,0,65 ms,1%,全球互联网发展报告,https://www.globalinternetreport.com,,
中,250 Mbps,55 ms,20 ms,3,300 ms,12%,数字通信杂志,https://www.digitalcommjournal.com,,
高,2.5 Gbps,12 ms,4 ms,0,80 ms,2%,全球移动通信系统协会,https://www.gsma.com,,
高,3.5 Gbps,10 ms,2 ms,1,75 ms,3%,科技日报,http://www.stdaily.com,,
高,1.2 Gbps,16 ms,5 ms,2,120 ms,2%,全球移动通信系统协会,https://www.gsma.com,,
中,300 Mbps,38 ms,10 ms,4,200 ms,5%,科技日报,http://www.stdaily.com,,
