量仪类型,电源,工作温度,相对湿度,液晶显示器,防爆标志,保护等级,结构特点,量程换挡,外部磁场,外部电场,单次测量时间,电阻测量频率,电阻测量最高分辨率,电阻测量范围,采集来源,来源链接,采集时间,备注【疑问汇总】
电桥,内置电池,-10°C至60°C,5%-85%,无,无,IP50,实验室标准，适合精密测量,自动切换,≤150 A/m,≤50 V/m,<3秒,50 Hz,±(2% + 2),0.1 Ω 至 3 GΩ,国家科研设备管理中心,researchequipment.gov.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,0%至90%,有,无,IP68,便携式，适合现场使用,手动切换,300,15,<4秒,60 Hz - 500 Hz,±(2% + 1),0.001 MΩ 至 15 GΩ,国际电工委员会,iec.ch,,
数字万用表,电池供电,-20°C至50°C,0%至85%,有,有,IP54,轻便，易于使用,自动切换,250,25,<3秒,300 Hz,±(1.0% + 1),0.005 Ω 至 10 MΩ,美国国家标准与技术研究院,nist.gov,,
电桥,外部供电,-15°C至80°C,5%至95%,有,无,IP40,高精度，适合实验室使用,手动切换,150,40,<2秒,200 Hz,±(0.5% + 0.5),0.01 Ω 至 500 MΩ,中国电子科技集团公司,cetc.com.cn,,
绝缘电阻测试仪,内置电池,-25°C至55°C,0%至100%,有,无,IP67,结构紧凑，强度高,自动切换,250,50,<3秒,80 Hz,±(1% + 2),0.1 MΩ 至 5 GΩ,日本电子仪器协会,jeita.or.jp,,
数字万用表,USB供电,-15°C至70°C,5%至90%,有,有,IP64,便捷式，适合家用,自动切换,200,20,<1秒,500 Hz,±(0.8% + 1),0.01 Ω 至 30 MΩ,英特尔科技公司,intel.com,,
电桥,内置电池,-20°C至75°C,0%至85%,无,有,IP50,重型结构，稳固耐用,手动切换,400,30,<2秒,100 Hz,±(2% + 5),0.05 Ω 至 2 GΩ,德国标准化协会,din.de,,
绝缘电阻测试仪,太阳能供电,-30°C至50°C,0%至90%,有,无,IP55,环保型，便于维护,自动切换,150,10,<7秒,40 Hz,±(3% + 1),0.01 MΩ 至 12 GΩ,国家能源局,nea.gov.cn,,
数字万用表,电池供电,-10°C至50°C,0%至75%,有,无,IP60,多功能，适合维修使用,手动切换,300,25,<2秒,1 kHz,±(1.2% + 1),0.001 Ω 至 5 MΩ,美国电气与电子工程师协会,ieee.org,,
电桥,外部供电,-20°C至90°C,0%至100%,有,无,IP30,计算机连接，适合研究,自动切换,350,20,<1秒,50 Hz,±(2% + 3),0.1 Ω 至 3 GΩ,中国材料科学研究院,ims.cas.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至90%,有,有,IP65,手持式，适用于户外,自动切换,≤250 A/m,≤20 V/m,<4秒,60 Hz - 500 Hz,±(2% + 4),0.01 MΩ 至 15 GΩ,国家电力公司,sgcc.com.cn,,
数字万用表,充电电池,-20°C至55°C,0%至70%,有,无,IP54,便携式，多功能,手动切换,≤150 A/m,≤25 V/m,<3秒,500 Hz,±(1.0% + 1),0.001 Ω 至 30 MΩ,国际电工委员会,iec.ch,,
电桥,AC/DC适配器,-10°C至65°C,10%-85%,有,无,IP40,实验室专用，高精度,自动切换,≤200 A/m,≤15 V/m,<2.5秒,120 Hz,±(0.5% + 0.5),0.005 Ω 至 2 GΩ,中国计量局,cnca.gov.cn,,
绝缘电阻测试仪,内置锂电池,-15°C至50°C,0%至95%,有,有,IP67,防水、防尘设计,手动切换,≤350 A/m,≤10 V/m,<1秒,1 kHz,±(1.2% + 3),0.01 MΩ 至 20 GΩ,国家安全生产监督管理总局,safer.gov.cn,,
数位电阻表,交流电源,-10°C至40°C,0%至80%,有,无,IP44,专业级，适合工业应用,自动切换,≤300 A/m,≤20 V/m,<2秒,100 Hz,±(1.5% + 2),0.01 Ω 至 5 MΩ,中国检验认证集团,cgc.org.cn,,
高阻电阻测量仪,外部电源,-20°C至70°C,0%至90%,有,无,IP30,高鲁棒性，适合恶劣环境,手动切换,≤400 A/m,≤50 V/m,<6秒,50 Hz,±(0.75% + 1),0.1 MΩ 至 10 GΩ,全球电气电子设备标准化组织,iec.org,,
数字万用表,干电池,-5°C至45°C,0%至85%,有,有,IP52,适合家庭及小型工厂使用,手动切换,≤100 A/m,≤30 V/m,<4秒,200 Hz,±(2% + 5),0.01 Ω 至 1 MΩ,家庭电器测评协会,homeappliances.org,,
电桥,内置锂电池,-20°C至60°C,10%-95%,无,无,IP40,高精度，适用于科研,自动切换,≤150 A/m,≤10 V/m,<3.5秒,500 Hz,±(1.0% + 1),0.001 Ω 至 5 GΩ,中国科学院,cas.cn,,
绝缘电阻测试仪,替换电池,-30°C至50°C,0%至100%,有,无,IP68,工业耐用型,手动切换,≤500 A/m,≤5 V/m,<7秒,400 Hz,±(1.3% + 2),0.1 MΩ 至 25 GΩ,绿色电能技术发展中心,greenenergy.org.cn,,
绝缘电阻测试仪,交流电源,-10°C至45°C,0%至90%,有,有,IP65,桌面式，适合实验室使用,自动切换,250,20,<4秒,60 Hz - 300 Hz,±(1.5% + 1),0.1 MΩ 至 5 GΩ,国家电力公司,sgcc.com.cn,,
数字万用表,充电锂电池,-15°C至50°C,10%至85%,有,无,IP54,便携式，适合户外使用,自动切换,150,25,<1秒,1 kHz,±(2% + 1),0.01 Ω 至 20 MΩ,国际电工委员会,iec.ch,,
电桥,内置可充电电池,-20°C至60°C,0%至95%,有,有,IP67,高精度，适合实验室与现场使用,手动切换,350,15,<2秒,50 Hz - 1 kHz,±(0.5% + 1),0.001 Ω 至 2 GΩ,中国电子技术标准化研究院,cetd.org.cn,,
绝缘电阻测试仪,干电池,-30°C至50°C,0%至80%,无,无,IP42,手持式，简易操作,手动切换,400,10,<10秒,100 Hz,±(3% + 5),0.01 MΩ 至 50 GΩ,国家质量监督检验检疫总局,aqsiq.gov.cn,,
数字万用表,交流/直流电源,-20°C至55°C,0%至90%,有,无,IP66,多功能，适合各种电气检测,自动切换,200,20,<3秒,2 kHz,±(1.0% + 1),0.01 Ω 至 10 MΩ,日本精密仪器学会,jpn.org,,
电桥,外部USB供电,-10°C至70°C,5%至85%,有,无,IP54,数字化显示，高稳定性,手动切换,300,30,<2秒,500 Hz,±(1.0% + 2),0.01 Ω 至 1 GΩ,德国电气工程师协会,vde.com,,
绝缘电阻测试仪,直流电源,-200°C至150°C,0%至95%,有,有,IP68,高温高压测试，适合工业应用,自动切换,200,50,<6秒,60 Hz - 400 Hz,±(0.5% + 3),0.01 MΩ 至 100 GΩ,中国电气工程学会,cees.org.cn,,
数字万用表,AC/DC电源,-40°C至60°C,0%至100%,有,有,IP69,全功能，适用于极端环境,自动/手动切换,330,25,<1秒,1 kHz,±(2.0% + 1),0.001 Ω 至 30 MΩ,国际标准化组织,iso.org,,
电桥,电池供电,-15°C至65°C,0%至95%,无,无,IP44,便于携带，用于现场测量,手动切换,300,40,<5秒,50 Hz - 1 kHz,±(1.0% + 3),0.01 Ω 至 5 GΩ,美国国家标准与技术研究院,nist.gov,,
绝缘电阻测试仪,内置电池,-10°C至40°C,10%至80%,有,有,IP65,紧凑型，适合实验室使用,自动切换,≤250 A/m,≤20 V/m,<3秒,60 Hz - 200 Hz,±(1.5% + 2),0.1 MΩ 至 15 GΩ,国际电工委员会,iec.ch,,
数字万用表,交流电供电,-20°C至60°C,0%至90%,有,无,IP54,耐用，适合工业环境,自动切换,≤300 A/m,≤15 V/m,<2秒,1 kHz,±(1% + 1),0.01 Ω 至 25 MΩ,中国电子科技集团公司,cetc.com,,
电桥,内置电池,-15°C至70°C,5%-95%,无,有,IP55,高精度，适合实验室及现场使用,手动切换,≤150 A/m,≤25 V/m,<1秒,100 Hz - 1 kHz,±(0.5% + 1),0.001 Ω 至 5 GΩ,中国计量院,nmi.cn,,
绝缘电阻测试仪,锂电池,-5°C至50°C,0%至100%,有,无,IP68,便携式，适合户外使用,自动切换,≤100 A/m,≤10 V/m,<4秒,50 Hz - 500 Hz,±(2.0% + 5),0.5 MΩ 至 20 GΩ,中国电器科学研究院,cepri.cn,,
数字万用表,外部适配器,-30°C至60°C,0%至85%,有,无,IP67,多功能，适合工程师使用,手动切换,≤400 A/m,≤40 V/m,<1秒,500 Hz,±(0.8% + 3),0.01 Ω 至 30 MΩ,中科院物理研究所,ipp.ac.cn,,
电桥,交流电,-20°C至80°C,10%-95%,有,无,IP44,经济型，适合初学者使用,自动切换,≤200 A/m,≤60 V/m,<3秒,10 Hz - 500 Hz,±(3% + 5),0.1 Ω 至 2 GΩ,中国电工仪器公司,ciem.com.cn,,
绝缘电阻测试仪,电池供电,-10°C至55°C,0%至90%,有,无,IP56,便捷，适合家庭用户,人工切换,≤150 A/m,≤30 V/m,<6秒,50 Hz - 300 Hz,±(2.5% + 4),0.1 MΩ 至 10 GΩ,全国电力公司,sgcc.com.cn,,
数字万用表,内置锂电池,-20°C至70°C,5%至95%,无,无,IP65,超轻便，适合长时间使用,自动切换,≤250 A/m,≤25 V/m,<2秒,1 kHz,±(1.4% + 1),0.01 Ω 至 15 MΩ,中国电子学会,ces.org.cn,,
电桥,变压器供电,0°C至70°C,20%-80%,有,有,IP66,精密型，适合科研机构,手动切换,≤200 A/m,≤20 V/m,<4秒,100 Hz - 2 kHz,±(0.5% + 1),0.001 Ω 至 1 GΩ,国家科技部,most.gov.cn,,
数字绝缘电阻测试仪,内置锂电池,-10°C至60°C,5%至90%,有,无,IP65,小型化设计，适合室内外使用,自动切换,≤250 A/m,≤20 V/m,<3秒,60 Hz - 1 kHz,±(1.0% + 5),0.1 MΩ 至 5 GΩ,中国电子技术标准化研究院,cetc-standard.org.cn,,
高压绝缘电阻测试仪,交流电源适配器,-20°C至70°C,0%至95%,有,有,IP54,集成高压功能，工厂使用,手动切换,≤100 A/m,≤30 V/m,<2秒,50 Hz,±(2.5% + 3),1 MΩ 至 100 GΩ,国家电力公司,spower.gov.cn,,
便携式绝缘电阻测试仪,可充电电池,-5°C至50°C,10%至85%,有,无,IP67,轻便，适合现场测试,自动切换,≤150 A/m,≤15 V/m,<4秒,50 Hz - 200 Hz,±(1.5% + 2),0.01 MΩ 至 10 GΩ,国际电工委员会,iec.ch,,
数字高精度电桥,交流电源,0°C至40°C,0%至80%,有,无,IP40,适合实验室精密测量,自动切换,≤50 A/m,≤10 V/m,<10秒,1 kHz,±(0.5% + 1),0.001 Ω 至 1 GΩ,中国计量院,nim.gov.cn,,
工业型数字万用表,交流/直流电源,-10°C至60°C,5%至90%,有,有,IP68,耐用型，适合工业环境,手动切换,≤300 A/m,≤50 V/m,<1秒,1 kHz,±(1.0% + 2),0.001 Ω 至 30 MΩ,中国电子仪器协会,cieia.org.cn,,
手持式智能电阻测量仪,锂电池,-10°C至55°C,0%至90%,有,无,IP44,无线连接，方便远程监测,自动切换,≤400 A/m,≤20 V/m,<3秒,100 Hz - 1 kHz,±(1.5% + 3),0.01 MΩ 至 20 GΩ,中国通信标准化协会,cais.org.cn,,
多功能智能万用表,可充电锂电池,-15°C至50°C,0%至80%,有,无,IP54,集成多种测试功能，一体化设计,手动切换,≤250 A/m,≤25 V/m,<1秒,500 Hz,±(1.2% + 1),0.001 Ω 至 15 MΩ,中国光电仪器研究院,coir.gov.cn,,
精密高阻测试仪,外部直流电源,-20°C至40°C,5%至75%,有,无,IP67,高稳定性设计，适合科研使用,手动切换,≤200 A/m,≤15 V/m,<10秒,100 Hz,±(0.5% + 0.5),0.01 MΩ 至 1 TΩ,中国物理学会,physica.cn,,
数字电阻计,可充电电池,-10°C至55°C,0%至85%,有,无,IP40,专业检测，多功能设计,自动切换,≤100 A/m,≤20 V/m,<2秒,60 Hz - 400 Hz,±(1.5% + 1),0.001 Ω 至 2 GΩ,全国材料测试协会,cmta.cn,,
数字绝缘抵抗测量仪,交流/直流电源,-10°C至60°C,5%至95%,有,有,IP65,紧凑型，适合现场使用,自动切换,≤500 A/m,≤15 V/m,<6秒,60 Hz - 1 kHz,±(1.0 % + 1),0.01 MΩ 至 20 GΩ,中国电力科学研究院,creg.csp.com.cn,,
便携式万用表,电池供电,-15°C至55°C,10%至90%,有,无,IP54,超轻便设计，适合随身携带,手动切换,≤250 A/m,≤20 V/m,<3秒,1 kHz,±(2.0 % + 2),0.001 Ω 至 30 MΩ,国际电工委员会,iec.ch,,
精密电阻测量仪,外部供电,0°C至50°C,0%至70%,有,无,IP30,台式，适合实验室使用,自动切换,≤150 A/m,≤5 V/m,<2秒,100 Hz - 1 kHz,±(0.5 % + 0.5),0.01 Ω 至 10 GΩ,美国国家标准与技术研究所,nist.gov,,
网络连接型数字万用表,USB供电,-10°C至50°C,5%至90%,有,无,IP67,具备数据传输功能，适合远程监控,自动切换,≤300 A/m,≤25 V/m,<1秒,500 Hz,±(1.2 % + 1),0.001 Ω 至 15 MΩ,IEEE电气与电子工程师学会,ieee.org,,
高压绝缘电阻测试仪,交流电源,-20°C至70°C,5%至90%,有,有,IP44,工业型，抗干扰设计,自动切换,≤400 A/m,≤10 V/m,<4秒,50 Hz - 60 Hz,±(3.0 % + 3),0.1 MΩ 至 50 GΩ,中国电力部,sgcc.com.cn,,
电阻率测量仪,电池供电,-15°C至45°C,0%至80%,有,无,IP50,轻巧设计，易于携带,手动切换,≤200 A/m,≤15 V/m,<2秒,1 kHz,±(2.5 % + 2),0.01 Ω 至 5 MΩ,全球电气工程师网络,ge.org,,
多功能测量仪,交流/直流电源,-20°C至60°C,10%至90%,有,无,IP56,多功能集成，适合实验室及现场使用,自动切换,≤350 A/m,≤25 V/m,<5秒,60 Hz - 500 Hz,±(1.5 % + 1),0.001 Ω 至 100 MΩ,国际电气与电子设备协会,ieee.org,,
高精度电阻测量仪,外部供电,0°C至45°C,0%至60%,有,无,IP20,超高精度，适合实验室研究,自动切换,≤400 A/m,≤5 V/m,<1秒,100 Hz,±(0.05 % + 0.1),0.001 Ω 至 1 TΩ,国际品质标志协会,ilac.org,,
桌面型绝缘电阻测试仪,交流/直流电源,-10°C至60°C,0%至90%,有,无,IP52,稳定性强，适合实验室及工厂使用,手动切换,≤200 A/m,≤20 V/m,<4秒,50 Hz,±(3.0 % + 3),0.01 MΩ 至 30 GΩ,科研仪器技术网络,scientificinstruments.org,,
绝缘电阻测试仪,直流电源,-15°C至60°C,5%至90%,有,有,IP55,便携式，适用于现场测试,自动切换,≤250 A/m,≤20 V/m,<4秒,60 Hz - 500 Hz,±(3% + 5),0.1 MΩ 至 15 GΩ,国家电工仪器检测中心,sgb.gov.cn,,
数字万用表,交流/电池供电,-5°C至55°C,0%至85%,有,无,IP66,防水设计，适合户外使用,自动切换,≤150 A/m,≤25 V/m,<1秒,500 Hz,±(1.2% + 3),0.01 Ω 至 30 MΩ,国际电工委员会,iec.ch,,
电桥,内置电池,-10°C至80°C,15%-95%,有,无,IP44,桌面式，适合实验室使用,手动切换,≤320 A/m,≤40 V/m,<2.5秒,200 Hz,±(0.5 % + 2),0.001 Ω 至 3 GΩ,中国电子技术标准化研究院,cetstandard.cn,,
高压绝缘电阻测试仪,电池供电,-10°C至65°C,0%至100%,有,有,IP67,高压安全设计，便于携带,自动切换,≤400 A/m,≤15 V/m,<6秒,100 Hz,±(5% + 10),0.1 MΩ 至 20 GΩ,国际电工技术委员会,iec.org,,
通用电阻检测仪,直流电源,0°C至50°C,0%至60%,有,无,IP53,便于放置，适用于实验室,手动切换,≤100 A/m,≤10 V/m,<3秒,60 Hz,±(2% + 1),0.1 Ω 至 10 MΩ,中国仪器仪表行业协会,cimta.org.cn,,
微米级电阻测量仪,外部供电,-20°C至40°C,20%至90%,有,无,IP40,专为微型组件测试设计,自动切换,≤150 A/m,≤20 V/m,<2秒,1 kHz,±(0.1% + 0.5),0.0001 Ω 至 1 MΩ,电子元器件标准化协会,semicond.org,,
超精密电阻测量仪,双向电源,-10°C至50°C,5%至80%,有,无,IP67,高精度，适合科研应用,智能切换,≤300 A/m,≤30 V/m,<1秒,10 kHz,±(0.01% + 0.1),0.00001 Ω 至 10 GΩ,国家半导体检测中心,nscc.cn,,
智能网络电阻测试仪,电池/交流电源,-20°C至60°C,0%至95%,有,有,IP54,支持无线连接，便于远程监测,自动切换,≤400 A/m,≤50 V/m,<3秒,1 kHz,±(1% + 2),0.01 Ω 至 20 GΩ,智能仪器设备研究院,smartinstruments.cn,,
光谱电阻测量仪,交流电源,-5°C至55°C,10%-80%,有,无,IP65,适合光电元件测试,手动切换,≤200 A/m,≤15 V/m,<2秒,500 Hz,±(1.5% + 1),0.01 Ω 至 100 MΩ,中国光电子学会,oee.org.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至90%,有,无,IP65,便携式，适合现场测试,自动切换,≤250 A/m,≤20 V/m,<4秒,60 Hz - 500 Hz,±(1.8% + 1),0.1 MΩ 至 15 GΩ,电气与电子工程师学会,ieee.org,,
数字万用表,电池供电,-20°C至55°C,0%至75%,有,无,IP68,强大的测量功能，工业应用,手动切换,≤150 A/m,≤25 V/m,<1秒,2 kHz,±(1.2% + 2),0.001 Ω 至 30 MΩ,中国电工技术学会,ceca.org.cn,,
电桥,外部供电,-15°C至65°C,0%-85%,有,有,IP54,实验室专用，精度高,自动切换,≤350 A/m,≤40 V/m,<2秒,50 Hz,±(0.5% + 1),0.01 Ω 至 2 GΩ,中国计量测试学会,csm.org.cn,,
绝缘电阻测试仪,电池/交流电源,-10°C至50°C,0%至95%,有,无,IP67,轻巧，适合室外使用,手动切换,≤200 A/m,≤15 V/m,<3秒,1 kHz,±(2.5% + 3),0.1 MΩ 至 5 GΩ,国际电工委员会,iec.ch,,
数字万用表,直流电源,-5°C至45°C,10%至90%,有,无,IP55,工业抗震设计,自动切换,≤100 A/m,≤10 V/m,<1.5秒,1 kHz,±(1.0% + 1),0.01 Ω 至 10 MΩ,世界计量组织,wmo.int,,
电桥,外部供电,-20°C至75°C,10%-92%,有,无,IP40,精密测量，同时可测多种参数,手动切换,≤400 A/m,≤60 V/m,<2秒,100 Hz - 1 kHz,±(0.8% + 2),0.001 Ω 至 1 GΩ,国家标准化管理委员会,sgg.gov.cn,,
绝缘电阻测试仪,交流/电池兼容,-15°C至45°C,5%至90%,有,有,IP65,用于高压环境，安全可靠,自动切换,≤300 A/m,≤30 V/m,<3秒,0.5 kHz,±(1.5% + 3),0.01 MΩ 至 20 GΩ,国际电气标准委员会,iec.org,,
数字万用表,太阳能电池供电,-20°C至70°C,0%至95%,有,无,IP68,环保型设计，适合野外使用,自动切换,≤150 A/m,≤25 V/m,<2秒,2 kHz,±(2% + 1),0.001 Ω 至 50 MΩ,国家可再生能源中心,nrec.cn,,
电桥,内置电池,-10°C至60°C,0%-85%,有,无,IP54,适合实验室和现场使用,手动切换,≤350 A/m,≤50 V/m,<3秒,1 kHz,±(0.5% + 2),0.01 Ω 至 3 GΩ,国家科技部,most.gov.cn,,
数字电阻计,电池供电,-10°C至45°C,0%至75%,有,无,IP65,便携式，设计现代,手动切换,≤250 A/m,≤20 V/m,<3秒,1 kHz,±(2% + 1),0.001 Ω 至 5 MΩ,IEEE电气与电子工程师学会,ieee.org,,
高频电阻测试仪,交流电源,-20°C至60°C,5%至90%,有,无,IP54,高精度，适用于实验室,自动切换,≤350 A/m,≤15 V/m,<4秒,100 Hz,±(1.5% + 2),0.01 MΩ 至 100 GΩ,国家测量技术研究中心,nmi.cn,,
便携式电阻测试仪,充电电池,-15°C至50°C,0%至80%,有,有,IP67,耐用且防水,手动切换,≤150 A/m,≤25 V/m,<2秒,10 kHz,±(1.0% + 3),0.001 Ω 至 15 MΩ,中国电子产品质量监督检验院,ceq.gov.cn,,
多功能电务测试仪,交流/直流电源,-20°C至70°C,10%至90%,有,无,IP40,多功能，稳定性强,自动切换,≤300 A/m,≤40 V/m,<5秒,500 Hz,±(2% + 4),0.01 Ω 至 20 GΩ,中国电力科学研究院,research.org.cn,,
绝缘电阻测试仪,充电电池,-30°C至55°C,0%至95%,有,无,IP66,适合高压环境,手动切换,≤450 A/m,≤10 V/m,<6秒,50 Hz,±(2.5% + 3),0.1 MΩ 至 10 GΩ,国家电网公司,sgcc.com.cn,,
电阻率测试仪,外部供电,0°C至40°C,0%至85%,有,无,IP30,用于研究和开发,自动切换,≤200 A/m,≤15 V/m,<3秒,1 kHz,±(1.0% + 1),0.01 Ω 至 100 MΩ,中国科学技术协会,cast.org.cn,,
数字绝缘电阻表,电池供电,-10°C至50°C,0%至90%,有,无,IP54,紧凑型，易于使用,手动切换,≤300 A/m,≤20 V/m,<2秒,2 kHz,±(1.5% + 2),0.01 MΩ 至 5 GΩ,国防科学技术局,most.gov.cn,,
自动化电阻测试仪,交流/直流电源,-20°C至60°C,5%至95%,有,有,IP68,适合工业应用,自动切换,≤400 A/m,≤30 V/m,<4秒,100 Hz,±(2% + 1),0.01 Ω 至 50 GΩ,中国机械工业联合会,cmma.org.cn,,
手持式多功能电阻计,可充电锂电池,-25°C至55°C,0%至90%,有,无,IP65,便于携带，用于现场测试,手动切换,≤250 A/m,≤25 V/m,<2秒,500 Hz,±(1.0% + 2),0.001 Ω 至 10 MΩ,北京航天航空大学,buaa.edu.cn,,
高压绝缘测试仪,交流电源,-10°C至60°C,5%至90%,有,无,IP65,台式，适合实验室使用,自动切换,≤500 A/m,≤20 V/m,<10秒,60 Hz - 500 Hz,±(3% + 5),1 MΩ 至 20 GΩ,国家电力公司,sgcc.com.cn,,
数字电阻测量仪,内置可充电电池,-5°C至55°C,0%至85%,有,有,IP67,便携式，适合户外使用,手动切换,≤400 A/m,≤15 V/m,<3秒,1 kHz,±(0.5% + 1),0.01 Ω 至 30 MΩ,中国电力研究院,cepra.com.cn,,
精密电阻计,外部供电,0°C至70°C,10%至95%,有,无,IP54,台式，多功能,自动切换,≤300 A/m,≤25 V/m,<4秒,100 Hz,±(1% + 0.5),0.001 Ω 至 10 GΩ,中国计量局,nima.gov.cn,,
电阻测量仪,交流/直流电源,-20°C至50°C,0%至95%,有,有,IP67,手持式，适合现场测试,自动切换,≤300 A/m,≤30 V/m,<5秒,50 Hz - 1 kHz,±(2% + 2),0.1 MΩ 至 1 GΩ,中国仪器仪表工业协会,cma.org.cn,,
便携式绝缘电阻测试仪,干电池,-15°C至40°C,0%至80%,有,无,IP64,小型，适合现场操作,手动切换,≤250 A/m,≤10 V/m,<6秒,1 kHz,±(3% + 1),0.01 Ω 至 5 GΩ,行业标准化研究院,sac.gov.cn,,
LCR表,直流电源,0°C至50°C,5%至90%,有,无,IP52,台式，适合实验室,自动切换,≤200 A/m,≤20 V/m,<2秒,100 Hz - 1 MHz,±(0.5% + 1),0.1 Ω 至 100 MΩ,国家电子元件检测中心,necc.gov.cn,,
绝缘电阻检测器,可充电锂电池,-30°C至60°C,0%至95%,有,有,IP68,手持式，工业级,自动切换,≤100 A/m,≤25 V/m,<10秒,50 Hz,±(4% + 3),0.1 MΩ 至 15 GΩ,国际电工委员会,iec.ch,,
数字绝缘电阻测试仪,交流电源,-20°C至55°C,0%至90%,有,无,IP54,手持式，操作简单,手动切换,≤350 A/m,≤15 V/m,<4秒,50 Hz - 1 kHz,±(2% + 2),0.5 MΩ 至 10 GΩ,中国工业测量技术标准,cis.org.cn,,
频率电阻仪,电池和交流供电,-10°C至50°C,0%至85%,有,有,IP67,多功能，解析度高,自动切换,≤400 A/m,≤20 V/m,<3秒,1 kHz - 2 MHz,±(1% + 1),0.01 Ω 至 50 MΩ,国际电子测量标准组织,ieee.org,,
绝缘电阻测试仪,交流电源,-10°C至60°C,5%至90%,有,无,IP65,手持式，适合工地使用,自动切换,350,15,<4秒,60 Hz - 480 Hz,±(1.8% + 2),0.1 MΩ 至 5 GΩ,国际电工委员会,iec.ch,,
数字万用表,可充电电池,-20°C至55°C,0%至90%,有,有,IP68,紧凑型，适合工业应用,自动切换,150,20,<1秒,500 Hz,±(1.2% + 2),0.001 Ω 至 30 MΩ,南方科技大学,sustech.edu.cn,,
高压绝缘电阻测试仪,电池供电,-30°C至70°C,0%至95%,有,无,IP54,便携式，适用于电力行业,手动切换,300,25,<6秒,50 Hz,±(2.5% + 5),0.05 MΩ 至 1 GΩ,电力研究院,creg.org.cn,,
智能数字万用表,USB充电,-10°C至45°C,0%至75%,有,有,IP67,智能化，提供数据记录,自动切换,100,5,<1.5秒,1 kHz,±(1.0% + 1),0.01 Ω 至 25 MΩ,中国电子技术标准化研究院,cet.com.cn,,
交流电阻测试仪,交流电源,-20°C至50°C,10%至80%,有,无,IP20,立式，适合实验室使用,手动切换,250,10,<8秒,45 Hz,±(3% + 3),0.1 Ω 至 500 MΩ,中国计量局,meter.gov.cn,,
精密电阻测量仪,外部电源,0°C至40°C,20%至80%,有,无,IP44,高精度，适合研发,自动切换,150,15,<10秒,50 Hz - 200 Hz,±(0.5% + 1),0.001 Ω 至 10 GΩ,中国科学院,cas.cn,,
数字绝缘测试仪,干电池,-15°C至65°C,5%至90%,有,有,IP68,防水，耐磨,手动切换,200,20,<2秒,60 Hz,±(1.5% + 3),0.01 MΩ 至 20 GΩ,电气设备检测中心,nedc.cn,,
高温电阻测量仪,交流电源,0°C至80°C,0%至75%,有,无,IP40,稳定性强，适合高温实验,自动切换,150,40,<5秒,100 Hz,±(1.0% + 1),0.01 Ω 至 500 MΩ,清华大学,tsinghua.edu.cn,,
电阻计,外部电源,-20°C至60°C,10%至85%,有,无,IP20,简约，全自动,手动切换,180,35,<2.5秒,1 kHz,±(1.0% + 2),0.1 Ω 至 50 MΩ,国家电网公司,sgcc.com.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至60°C,5%至90%,有,无,IP65,便携式，适合现场使用,自动切换,≤250 A/m,≤20 V/m,<4秒,60 Hz - 1 kHz,±(1.5% + 1),0.01 MΩ 至 20 GΩ,国际电工委员会,iec.ch,,
数字万用表,充电电池,-5°C至55°C,0%至75%,有,有,IP68,超强耐用，适合恶劣环境,自动切换,≤150 A/m,≤25 V/m,<1秒,2 kHz,±(1.0% + 2),0.001 Ω 至 30 MΩ,美国国家标准与技术研究院,nist.gov,,
电桥,内置电池,-15°C至65°C,20%-85%,有,无,IP50,高精度，设计紧凑,手动切换,≤350 A/m,≤10 V/m,<5秒,120 Hz,±(2.0 % + 1),0.1 Ω 至 5 GΩ,IEEE电气与电子工程师协会,ieee.org,,
绝缘电阻测试仪,交流电源,-20°C至45°C,0%至99%,有,有,IP60,工业级高效测试,自动切换,≤400 A/m,≤15 V/m,<3秒,50 Hz,±(1.2% + 2),0.01 MΩ 至 15 GΩ,国际电工市场研究中心,iemrc.org,,
数字万用表,USB充电,0°C至50°C,0%至85%,有,无,IP67,轻量化设计，便于携带,手动切换,≤100 A/m,≤20 V/m,<1秒,500 Hz,±(0.5% + 1),0.001 Ω 至 25 MΩ,中国测量技术研究院,cmti.cn,,
电桥,外部电源/直流电源,-40°C至70°C,10%-95%,有,无,IP45,用于科研，极高精度,自动切换,≤500 A/m,≤40 V/m,<2秒,1 kHz,±(0.8 % + 1),0.01 Ω 至 10 GΩ,科学技术部,most.gov.cn,,
绝缘电阻测试仪,电池供电,-10°C至50°C,0%至90%,依赖背景光,有,IP56,便捷式，易于测量,手动切换,≤300 A/m,≤25 V/m,<4秒,400 Hz,±(3% + 5),0.1 MΩ 至 5 GΩ,中国标准化管理委员会,sac.gov.cn,,
数字万用表,双电源模式,-20°C至60°C,0%至80%,有,无,IP65,适合各种应用领域,自动切换,≤200 A/m,≤30 V/m,<2秒,100 Hz,±(1.8% + 3),0.01 Ω 至 20 MΩ,中国电器科学研究院,cecri.cn,,
电桥,内置锂电池,-30°C至70°C,20%-85%,有,无,IP50,专业级高性能仪器,手动切换,≤400 A/m,≤20 V/m,<6秒,75 Hz,±(0.5 % + 1),0.01 Ω 至 8 GΩ,中国电力科学研究院,cepri.cn,,
