试验题目（字符型）,登记号（数字型）,系统名称（字符型）,适用领域（字符型）,申办者类型（字符型）,申办者（字符型）,合作者类型（字符型）,合作者（字符型）,研究类型（字符型）,试验状态（字符型）,试验分期（数字型）,注册地区（字符型）,试验国家/地区（字符型）,登记日期（日期型）,开始日期（日期型）,完成日期（日期型）,最新变更日期（日期型）,系统构成（字符型）,采集来源,来源链接,采集时间,备注
心理健康AI干预系统实验,,智能心理辅导,心理健康,企业,MindMate,大学,哥伦比亚大学,临床研究,已完成,2,欧洲,英国,2022-05-01,2022-06-15,2023-05-30,2024-08-20,包括情感分析、心理评估和干预方案,Psychology Today,https://www.psychologytoday.com/,2024-10-10,
智能安全监控系统实验,,智慧安全助手,安全监控,政府,国家安全局,科技公司,Palantir Technologies,技术开发,招募中,3,北美,加拿大,2023-08-01,2023-09-01,2024-12-01,2024-10-15,包括视频监控、异常检测和报警系统,Security Magazine,https://www.securitymagazine.com/,2024-10-10,
智能养老护理辅助系统实验,,养老助手,医疗健康,企业,百老汇,医院,梅奥诊所,临床研究,招募中,1,北美,美国,2023-02-15,2023-03-10,2024-01-15,2024-09-30,包括健康监测、个性化调度和社交互动,AARP,https://www.aarp.org/,2024-10-10,
智能物流配送系统实验,Jilin-QingKe-20241105 S0019,物流优化助手,物流与运输,企业,顺丰快递,科技公司,亚马逊,应用研究,已完成,2,亚洲,中国,2023-01-20,2023-03-01,2024-02-15,2024-09-15,包括路线优化、实时监控和需求预测,Logistics Management,https://www.logisticsmgmt.com/,2024-10-10,
智能农业灌溉系统实验,,智能灌溉助手,农业,科研机构,法国农业大学,企业,巴斯夫,应用研究,招募中,1,欧洲,法国,2023-06-10,2023-07-15,2024-05-20,2024-10-05,包括土壤湿度监测、自动控制和数据分析,Agricultural Sciences,https://www.royalsocietyofchemistry.org/,2024-10-10,
智能物流管理系统试验,,智能物流优化系统,物流与运输,企业,亚马逊,大学,斯坦福大学,应用研究,已完成,2,北美,美国,2022-04-10,2022-05-15,2023-07-30,2023-10-01,包括运输优化、库存管理和实时跟踪,Logistics Management,https://www.logisticsmgmt.com,2024-10-10,
机器学习在气候预测中的应用试验,,气候智能预测系统,环境科学,研究机构,气象局,大学,剑桥大学,基础研究,招募中,1,欧洲,英国,2023-08-20,2023-10-01,2025-05-01,2024-03-15,包括数据集成、预测模型和可视化工具,BBC News,https://www.bbc.com/news/science_and_environment,2024-10-10,
AI驱动的个人金融助手研究,Zhejiang-BaiDu-20241021 S0004,智能财务顾问,金融科技,初创公司,Mint AI,大学,新加坡国立大学,市场研究,招募中,1,亚洲,新加坡,2023-09-05,2023-10-10,2024-12-01,2024-06-15,包括预算管理、投资建议和报表生成,Finance Today,https://financetoday.com,2024-10-10,
基于AI的疫情响应系统实验,Henan-JunJian-20241022 S0005,智能疫情追踪系统,公共卫生,政府,世界卫生组织,科研机构,中国疾病预防控制中心,应用研究,进行中,2,全球,多个国家,2023-06-25,2023-07-10,2025-01-15,2024-02-20,包括数据收集、风险评估和公共健康响应,WHO,https://www.who.int,2024-10-10,
科技企业中的人工智能伦理研究,,AI伦理审查系统,企业管理,企业,Salesforce,研究机构,麻省理工学院,政策研究,已完成,1,北美,美国,2023-03-14,2023-04-20,2023-12-15,2023-11-01,包括伦理评估、合规工具和审计功能,TechCrunch,https://techcrunch.com,2024-10-10,
AI辅助的个性化医疗研究试验,,个性化医疗助手,医疗健康,企业,费森尤斯医疗,大学,约翰霍普金斯大学,临床研究,招募中,1,北美,美国,2023-05-20,2023-07-01,2024-08-30,2024-07-15,包括基因组分析、病历记录和个性化治疗建议,Health Affairs,https://www.healthaffairs.org,2024-10-10,
社交媒体上AI的应用研究,,社交媒体互动系统,社交媒体,企业,Meta,大学,加州大学伯克利分校,社会科学研究,已完成,2,北美,美国,2022-10-05,2022-11-15,2023-05-30,2023-06-20,包括用户行为分析、内容推荐和反馈机制,Social Media Examiner,https://www.socialmediaexaminer.com,2024-10-10,
基于AI的城市环境优化试验,,城市智能管理系统,城市规划,政府,城市发展局,企业,IBM,应用研究,招募中,1,北美,美国,2023-08-01,2023-09-01,2025-01-01,2024-01-10,包括交通流量监测、空气质量分析和资源配置,Smart Cities World,https://www.smartcitiesworld.net,2024-10-10,
基于人工智能的精准医疗试验,Liaoning-YuanChuang-20241027 S0010,精准AI医疗系统,医疗健康,企业,阿里健康,大学,复旦大学,基础研究,招募中,1,亚洲,中国,2023-04-05,2023-06-15,2024-04-15,2024-10-01,包括基因分析、健康监测和决策支持,HealthTech,https://www.healthtech.com,2024-10-10,
人工智能在教育中的应用,,智能课堂助手,教育行业,企业,IBM,学校,斯坦福大学,应用研究,已完成,2,北美,美国,2022-10-01,2022-11-15,2023-09-10,2023-09-20,包括个性化学习机器人和数据分析,EdTech,https://www.edtech.com,2024-10-10,
人工智能在农业管理中的应用,Shanghai-WeiXin-20241029 S0012,智能农业决策系统,农业,政府,农业科技部,科研机构,中国农科院,技术开发,招募中,1,亚洲,中国,2023-01-20,2023-03-01,2024-06-01,2024-09-15,包括作物监测、数据处理和产量预测,AgriTech,https://www.agritech.com,2024-10-10,
AI驱动的金融监控系统试验,,AI金融咨询系统,金融服务,企业,摩根士丹利,大学,清华大学,应用研究,招募中,1,北美,美国,2023-05-01,2023-07-01,2024-08-01,2024-10-01,包括数据挖掘、风险预测和实时分析,FinanceNews,https://www.financenews.com,2024-10-10,
智慧城市环境感知试验,,智能环境监测系统,城市管理,政府,城市管理局,企业,微软,应用研究,进行中,2,欧洲,法国,2022-12-05,2023-02-01,2024-03-30,2024-09-20,包括传感器网络、数据分析和可视化,SmartCity,https://www.smartcity.com,2024-10-10,
基于AI的食品安全监测实验,Guangxi-ShengXing-20241101 S0015,食品智能监测系统,食品安全,企业,雀巢,科研机构,北京理工大学,应用研究,招募中,1,亚洲,中国,2023-02-25,2023-03-10,2024-01-20,2024-10-01,包括食品监测、数据追踪和质量控制,FoodSafety,https://www.foodsafety.com,2024-10-10,
人工智能辅助城市交通优化研究,Yunnan-ZhiHui-20241102 S0016,交通流量管理系统,交通运输,公司,Uber,大学,新加坡国立大学,应用研究,进行中,2,亚洲,新加坡,2023-08-10,2023-09-05,2024-12-31,2024-09-15,包括实时交通监测、数据分析和优化算法,UrbanTech,https://www.urbantech.com,2024-10-10,
AI与人类合作的社交网络分析实验,,社交智能助手,社交媒体,企业,Facebook,大学,麻省理工学院,融合研究,招募中,1,北美,美国,2023-03-15,2023-05-05,2024-06-15,2024-09-20,包括情感分析、用户交互和内容推荐,SocialInsights,https://www.socialinsights.com,2024-10-10,
基于AI的心理健康监测,,心理健康AI助手,心理健康,企业,IBM,医院,梅奥诊所,观察性研究,招募中,1,北美,美国,2023-08-01,2023-09-15,2024-03-01,2024-10-01,包括情绪分析、实时反馈和日记记录功能,ClinicalTrials,https://clinicaltrials.gov,2024-10-10,
智能化教育评估系统探索,,AI教育评估平台,教育行业,科研机构,斯坦福大学,企业,微软,技术开发,已完成,2,北美,美国,2022-12-20,2023-01-15,2023-10-10,2023-11-01,包括自动评测、个性化学习路径和数据分析,EdSurge,https://www.edsurge.com,2024-10-10,
智能农业病虫害预测系统,Ningxia-JiZhi-20241106 S0020,农业智能助手,农业,企业,阿里巴巴,大学,南京农业大学,应用研究,招募中,1,亚洲,中国,2023-02-22,2023-03-01,2024-02-15,2024-09-22,包括图像识别、数据分析和农艺决策支持,TechCrunch,https://techcrunch.com,2024-10-10,
智能城市安全监控系统,Sichuan-XinTian-20241020 S0002,智能监控AI系统,城市安全,政府,新加坡内政部,企业,戴尔,应用研究,进行中,1,亚洲,新加坡,2023-04-05,2023-05-10,2024-05-10,2024-09-30,包括视频分析、事件检测和报警系统,Smart Cities World,https://www.smartcitiesworld.net,2024-10-10,
量子计算助力的数据分析系统,,量子AI分析器,数据分析,企业,IBM,科研机构,加州大学伯克利分校,基础研究,招募中,1,北美,美国,2023-03-15,2023-06-01,2025-01-01,2024-08-01,包括量子计算、机器学习和大数据处理,IEEE Spectrum,https://spectrum.ieee.org,2024-10-10,
机器人辅助的老年护理系统,Zhejiang-BaiDu-20241021 S0004,智能护理机器人,老年护理,企业,丰田,医院,东京大学医院,临床研究,招募中,1,亚洲,日本,2023-05-25,2023-09-01,2024-08-01,2024-10-01,包括照护监测、互动交流和健康管理,Japan Times,https://www.japantimes.co.jp,2024-10-10,
社交媒体中信息真假辨别系统,,AI真伪检测平台,社交媒体,企业,Facebook,科研机构,麻省理工学院,应用研究,进行中,1,北美,美国,2023-07-05,2023-08-15,2024-06-30,2024-09-20,包括数据挖掘、内容分析和用户交互,Pew Research,https://www.pewresearch.org,2024-10-10,
机器学习促进的个性化医疗,,个性化医疗AI,医疗健康,大学,剑桥大学,企业,阿斯利康,临床研究,招募中,1,欧洲,英国,2023-10-01,2023-11-01,2024-05-15,2024-10-01,包括基因组分析、健康监测和个性化治疗建议,NIH,https://www.nih.gov,2024-10-10,
基于人工智能的肺癌早筛系统,Hubei-YunXing-20241024 S0007,AI肺癌筛查助手,医疗健康,企业,阿里健康,医院,上海华东医院,临床研究,招募中,1,亚洲,中国,2023-03-01,2023-04-15,2024-04-14,2024-09-20,包括影像识别、数据分析和健康监测,ClinicalTrials,https://clinicaltrials.gov,2024-10-10,
金融智能客服系统实验,Anhui-XingFu-20241025 S0008,智能客服助手,金融服务,企业,腾讯,大学,复旦大学,应用研究,进行中,1,亚洲,中国,2023-06-01,2023-07-01,2024-06-01,2024-10-05,包括自然语言处理、数据挖掘和用户反馈分析,TechCrunch,https://techcrunch.com,2024-10-10,
动物监控与疾病预警系统实验,Jiangxi-QiXiang-20241026 S0009,动物健康AI助手,农业,科研机构,中国农业科学院,企业,京东物流,技术开发,已完成,2,亚洲,中国,2022-12-01,2023-01-10,2023-12-01,2024-08-01,包括视频监控、数据分析和预警机制,ScienceDirect,https://www.sciencedirect.com,2024-10-10,
人工智能环境监测系统实验,Liaoning-YuanChuang-20241027 S0010,智能环境监测助手,环境保护,政府,生态环境部,大学,清华大学,基础研究,进行中,1,亚洲,中国,2023-08-20,2023-09-01,2024-09-01,2024-10-15,包括实时数据监控、标准化分析和报告生成,Environmental Science & Technology,https://www.esciweb.com,2024-10-10,
城市智能安防系统实验,Beijing-ZhiNeng-20241028 S0011,城市安全AI助手,公共安全,政府,某市警察局,企业,华为,应用研究,招募中,1,亚洲,中国,2023-09-01,2023-10-01,2024-09-30,2024-09-30,包括监控摄像头、数据分析与事件响应,Security Magazine,https://www.securitymagazine.com,2024-10-10,
智能药物研发辅助手段,,AI药物研发助手,制药,企业,辉瑞制药,大学,耶鲁大学,技术开发,进行中,2,北美,美国,2023-04-01,2023-05-01,2024-05-01,2024-10-01,包括机器学习、数据挖掘和仿真模型,Nature,https://www.nature.com,2024-10-10,
智慧城市气候适应性系统实验,,气候智能城市助手,城市规划,政府,城市规划局,科研机构,斯坦福大学,基础研究,招募中,1,北美,美国,2023-07-15,2023-08-15,2024-08-15,2024-10-01,包括气候模型、数据分析和政策建议,Environmental Protection Agency,https://www.epa.gov,2024-10-10,
智能制造协作系统实验,,智能制造助手,制造业,企业,西门子,大学,慕尼黑工业大学,技术开发,进行中,1,欧洲,德国,2023-10-01,2023-11-01,2024-11-01,2024-10-10,包括生产调度、数据分析和智能决策,IndustryWeek,https://www.industryweek.com,2024-10-10,
机器人辅助手术研究,,AI外科机器人,医疗健康,企业,赛默飞世尔科技,科研机构,斯坦福大学,临床研究,招募中,1,北美,美国,2023-03-11,2023-07-01,2024-04-01,2024-09-12,包括导航系统、实时成像和机器人控制,ClinicalTrials,https://clinicaltrials.gov,2024-10-10,
城市空气质量监测系统实验,,智能环境监测系统,环境科学,政府,市政府环境局,企业,IBM,应用研究,已完成,2,欧洲,英国,2022-10-20,2023-01-10,2023-12-15,2023-11-05,包括传感器网络、数据分析和报告生成,EnvironmentalTech,https://www.environmentaltech.com,2024-10-10,
智能行业投资决策系统研究,,AI投资助手,金融服务,企业,摩根士丹利,大学,牛津大学,技术开发,招募中,1,北美,美国,2023-04-16,2023-08-01,2024-06-30,2024-09-01,包括市场分析、风险评估和投资建议,FinancialNews,https://www.financialnews.com,2024-10-10,
个性化教育系统开发实验,Hunan-JingZhi-20241104 S0018,智能辅导系统,教育行业,科研机构,加州大学,企业,百度教育,应用研究,招募中,1,亚洲,中国,2023-02-20,2023-05-01,2024-03-01,2024-09-01,包括学习路径个性化、实时反馈和数据分析,EdTech Magazine,https://www.edtechmagazine.com,2024-10-10,
智能物流管理系统实验,,智慧物流系统,交通运输,企业,亚马逊,科研机构,麻省理工学院,应用研究,已完成,2,北美,美国,2022-09-14,2022-12-01,2023-11-30,2023-10-01,包括运输优化、库存管理和预测分析,Logistics Management,https://www.logisticsmgmt.com,2024-10-10,
智能家庭安防系统实验,Ningxia-JiZhi-20241106 S0020,AI安防助手,家庭安防,企业,华为,大学,南开大学,技术开发,招募中,1,亚洲,中国,2023-01-22,2023-03-15,2024-01-30,2024-09-10,包括监控视频分析、报警系统和访客识别,Smart Home News,https://www.smarthomenews.com,2024-10-10,
智能农业决策支持系统实验,Sichuan-XinTian-20241020 S0002,精准农业决策系统,农业,政府,中国农业部,企业,阿里巴巴,应用研究,招募中,1,亚洲,中国,2023-06-15,2023-08-01,2024-08-01,2024-09-15,包括土壤优化、作物生长监测和市场预测,AgriTech,https://www.agritech.com,2024-10-10,
智能健康管理平台实验,,健康监测助理,健康管理,企业,桑达科技,医疗机构,梅奥诊所,临床研究,招募中,1,北美,美国,2023-09-10,2023-12-01,2024-06-01,2024-09-20,包括健康数据分析、远程监测和个性化建议,HealthTech,https://www.healthtech.com,2024-10-10,
AI在药物发现中的突破,,智能药物开发平台,医药研发,企业,辉瑞,科研机构,斯坦福大学,基础研究,招募中,1,北美,美国,2023-08-10,2023-09-20,2024-12-15,2024-11-01,包括化合物筛选、毒性测试和数据分析,Nature Reviews,https://www.nature.com/nr/,2024-10-10,
智能客服系统优化实验,Henan-JunJian-20241022 S0005,智能助理客户服务系统,客户服务,企业,阿里巴巴,企业,IBM,应用研究,进行中,1,亚洲,中国,2023-09-05,2023-09-15,2024-03-30,2024-10-02,包括自然语言处理、情感分析和自动响应,Forbes,https://www.forbes.com/,2024-10-10,
基于AI的个性化教育系统开发,,个性化学习助手,教育,科研机构,加州大学洛杉矶分校,企业,Khan Academy,技术开发,招募中,1,北美,美国,2023-06-21,2023-10-11,2024-06-25,2024-09-09,包括学习进度追踪、推荐系统和动态评估,EdTech Magazine,https://edtechmagazine.com/,2024-10-10,
智能农业决策系统实验,Hubei-YunXing-20241024 S0007,农业智能决策助手,农业,政府,农业科技部,大学,中国农业大学,应用研究,已完成,2,亚洲,中国,2023-03-18,2023-04-25,2024-01-10,2024-10-05,包括气候分析、作物预测和资源管理,农业科技杂志,https://www.agriculturejournal.com/,2024-10-10,
