公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注
元心科技,制造业、自动化,智能制造解决方案,生产线数字化监控,工业互联网与智能控制,元心官网,http://www.yuanxin.com,,
华为技术有限公司,政府、城市管理,智能政务平台,政务信息实时共享与服务优化,云计算与物联网,华为官网,https://www.huawei.com/cn/solutions/government,,
科大讯飞,教育、人工智能,智能学习助手,个性化学习辅助与评估分析,自然语言处理与AI,科大讯飞官网,https://www.iflytek.com/education,,
博彦科技,金融、支付,数字支付解决方案,交易安全与效率提升,区块链与加密技术,博彦官网,https://www.boyan.com/solutions/payment,,
云天励飞,智慧城市、安防,智能监控系统,实时视频分析与报警,计算机视觉与图像处理,云天励飞官网,https://www.yuntianlfei.com/smartcity,,
光环新网,云计算、IT服务,云计算服务平台,云资源优化与弹性扩展,虚拟化与大数据,光环新网官网,https://www.chaohuang.com/cloud,,
盛大网络,娱乐、数字内容,游戏云服务解决方案,高并发用户管理与数据分析,实时计算与网络技术,盛大官网,https://www.snda.com/gaming,,
腾讯云,企业服务、云计算,企业级云应用平台,全渠道数据整合与分析,数据挖掘与自动化,腾讯官网,https://cloud.tencent.com/solutions,,
中兴通讯,网络、通信,5G智能网络解决方案,通讯稳定性与安全性提升,5G技术与网络优化,中兴官网,https://www.zte.com.cn/cn/5g/solutions,,
金蝶软件,财务、企业管理,财务云服务平台,财务实时分析与报告,云计算与企业资源计划,金蝶官网,https://www.kd88.com/products/cloud_finance,,
用友网络,企业管理、财务,企业数字化转型解决方案,数据驱动决策支持,AI与大数据分析,用友官网,https://www.yonyou.com/products/digital_transformation,,
安恒信息,网络安全、信息保护,智能安全防护平台,实时风险监测与响应,安全大数据与人工智能,安恒官网,https://www.anheng.com/security,,
艾讯科技,物流、交通,智能物流管理系统,运输效率提升与数据可视化,机器学习与优化算法,艾讯官网,https://www.axun.com/logistics,,
美团科技,O2O、餐饮,餐饮数据分析平台,客户行为分析与服务优化,大数据分析与推荐系统,美团官网,https://www.meituan.com/data,,
百度云,AI、云服务,AI云服务平台,机器学习模型开发与管理,深度学习与云计算,百度官网,https://cloud.baidu.com/solutions/ai,,
京东云,零售、云计算,电商云解决方案,供应链管理与优化,大数据与AI推荐,京东官网,https://www.jd.com/cloud,,
铂涛集团,酒店、旅游,酒店客房管理系统,客户体验提升与数据分析,云服务与移动应用,铂涛官网,https://www.plateno.com/hotel,,
360企业安全集团,计算机安全、IT服务,全面安全防护方案,虚拟环境安全与监控,网络安全技术与AI,360官网,https://www.360.com/security,,
阿里云,电商、IT服务,电商云托管平台,可靠的在线交易处理与数据分析,大数据与云原生技术,阿里云官网,https://www.aliyun.com/product/ecommerce,,
华为技术有限公司,智慧城市、公共安全,智能监控与管理系统,实时城市监控与分析,人工智能与边缘计算,华为官网,https://www.huawei.com/cn/solutions/smart-city,,
阿里云计算,电子商务、信息技术,云数据分析平台,消费者行为分析与预测,大数据处理与AI算法,阿里云官网,https://www.aliyun.com/product/data-analysis,,
小米科技,家居、IoT,智能家居管理系统,家居设备集中控制与监控,物联网技术与云服务,小米官网,https://www.mi.com/smarthome,,
百度,搜索引擎、广告,智能搜索优化平台,广告精准投放与效果监测,自然语言处理与机器学习,百度官网,https://www.baidu.com/solutions/advertising,,
京东数字科技,金融、电子商务,智能信贷风控系统,信贷申请审核与风险评估,大数据与AI分析,京东官网,https://www.jd.com/digital-finance,,
腾讯云,在线游戏、社交网络,云游戏解决方案,低延迟在线游戏体验,流媒体技术与云计算,腾讯云官网,https://cloud.tencent.com/solutions/gaming,,
中兴通讯,电信、网络,5G网络优化方案,网络流量分析与管理,5G技术与网络安全,中兴官网,https://www.zte.com.cn/cn/5g,,
快手科技,视频传播、社交媒体,视频内容优化平台,视频流量与数据分析,数据挖掘与智能推荐,快手官网,https://www.kuaishou.com/solutions/media,,
字节跳动,社交媒体、信息推荐,个性化推荐引擎,用户偏好分析与内容推荐,机器学习与数据库管理,字节跳动官网,https://www.bytedance.com/solutions/recommendation,,
国防科技大学,国防、军事,军事信息化服务平台,实时数据监控与决策支持,信息系统与安全技术,国防科技大学官网,https://www.nudt.edu.cn/solutions/military,,
用友网络,企业管理、ERP,智能财务管理系统,财务数据分析与报告生成,云服务与财务自动化,用友官网,https://www.yonyou.com/solutions/financial,,
赛迪顾问,咨询、市场研究,市场智能分析平台,行业报告生成与数据挖掘,数据科学与商业智能,赛迪官网,http://www.ccidconsulting.com/,,
东方明珠新媒体,传媒、广播,数字传媒综合平台,媒体内容管理与分发,云计算与数据安全,东方明珠官网,http://www.dfmp.com/,,
智慧云科技,云服务、IT运维,全面云化运维解决方案,运维自动化与监控,云原生技术与自动化管理,智慧云官网,https://www.zhiwei.com/operations,,
网易,在线教育、培训,在线培训与评估平台,在线课程管理与评估工具,大数据与教育科技,网易官网,https://www.163.com/solutions/education,,
光环新网,云计算、IT服务,跨境电商物流管理解决方案,物流信息跟踪与数据分析,云计算与数据处理,光环官网,http://www.guanghuan.com/,,
小米科技,智能家居、物联网,智能家居控制系统,远程设备控制与自动化管理,物联网通信技术,小米官网,https://www.mi.com,,
亿联网络,通信、会议,云会议系统,多方视频会议与协同工作,视频编码与传输技术,亿联官网,https://www.yealink.com,,
用友网络,金融、企业管理,智能财务解决方案,实时财务数据分析与风险控制,人工智能与大数据,用友官网,https://www.yonyou.com,,
达梦数据库,数据库解决方案,高可用数据库架构,数据备份与恢复管理,分布式计算与存储,达梦官网,https://www.dameng.com,,
蓝宸科技,区块链、金融科技,区块链供应链管理系统,透明数据追踪与验证,智能合约技术,蓝宸官网,https://www.lancechain.com,,
神州数码,云计算、IT服务,多云管理平台,跨云资源监控与管理,云服务集成,神州数码官网,https://www.digibear.com,,
红杉资本,创业咨询、投资,初创企业投资评估系统,风险分析与领域研究,大数据评估模型,红杉官网,https://www.sequoiacap.com,,
奇安信,网络安全、IT系统,企业安全风险评估工具,实时跟踪与漏洞管理,AI安全监测,奇安信官网,https://www.qianxin.com,,
科大讯飞,人工智能、语音识别,智能语音助手平台,自然语言处理与语音转文本,深度学习模型,科大讯飞官网,https://www.iflytek.com,,
航天科工,智能制造、工业4.0,智能生产管理系统,生产流程优化与监控,智能化制造技术,航天科工官网,https://www.aask.com.cn,,
犀牛云,云计算、服务管理,云服务门户,服务管理与资源调度,多租户架构,犀牛云官网,https://www.xiniuyun.com,,
华为技术,通讯、网络技术,5G网络解决方案,高速数据传输与低延迟,通信技术创新,华为官网,https://www.huawei.com,,
中兴通讯,软件开发、通信,全栈云计算平台,资源整合与成本控制,大规模分布式系统,中兴官网,https://www.zte.com.cn,,
阿里巴巴,电子商务、云计算,电商智能推荐系统,个性化推荐与用户分析,机器学习算法,阿里巴巴官网,https://www.alibaba.com,,
金蝶软件,企业管理、财务,企业资源规划系统,全流程财务自动化,云端ERP解决方案,金蝶官网,https://www.kdsoft.com,,
泰豪科技,安全、监控,城市安全监控系统,实时监控与数据分析,视频分析与处理技术,泰豪官网,https://www.thuir.com,,
深信服,网络安全、云计算,安全云解决方案,全面网络安全防护,人工智能安全技术,深信服官网,https://www.sangfor.com,,
大数据科技,旅游、数据分析,智能旅行规划平台,个性化旅行方案推荐,机器学习与大数据挖掘,大数据科技官网,https://www.databig.com,,
北冥科技,金融、区块链,区块链资产管理系统,资产透明化与跟踪,区块链技术与智能合约,北冥科技官网,https://www.beimingtech.com,,
优客工场,创业、企业服务,共享办公管理系统,空间资源与客户管理,物联网与大数据分析,优客工场官网,https://www.youke.org,,
同方威视,安防、监控,智能监控管理平台,实时视频分析与警报,视频分析与深度学习,同方威视官网,https://www.thunder-safety.com,,
车联网科技,交通、汽车,智能交通解决方案,实时交通流量监测,车联网与大数据分析,车联网科技官网,https://www.carnetwork.com,,
钛动科技,教育、在线学习,虚拟教室解决方案,实时在线互动教学,AR/VR技术与平台开发,钛动科技官网,https://www.taidong.com,,
凯立德,导航、数据服务,智能地图服务,实时路况与定位服务,大数据地理信息与算法,凯立德官网,https://www.kailide.com,,
华为云,云计算、IT服务,云安全解决方案,多层级安全防护,云计算与信息安全,华为官网,https://www.huawei.com,,
云服务集团,IT服务、云计算,企业资源规划系统,财务与人力资源管理,云平台与数据平台,云服务集团官网,https://www.cloudservicegroup.com,,
机器人科技,制造、自动化,智能生产管理系统,生产线效率优化,机器人及自动化技术,机器人科技官网,https://www.robotics-tech.com,,
校园云科技,教育、管理,校园管理平台,动态资源调配与管理,云计算与数据集成,校园云科技官网,https://www.campuscloud.com,,
微盟科技,电子商务、服务,智能商户管理平台,销售数据分析与预测,大数据与商业智能,微盟官网,https://www.weimob.com,,
大漠数据,数据服务、分析,数据湖管理平台,多来源数据整合与分析,数据湖技术与云存储,大漠数据官网,https://www.damodata.com,,
物联科技,物联网、智能家居,家庭智能管控系统,家庭设备集中管理,物联网平台与智能硬件,物联科技官网,https://www.iottech.com,,
金融科技公司,金融、投资,投资管理系统,投资组合风险分析,算法交易与数据分析,金融科技公司官网,https://www.fintechcompany.com,,
亲子宝,育儿、教育,智能育儿助手,育儿知识及健康监测,AI智能分析与数据管理,亲子宝官网,https://www.qinzi.com,,
云图科技,城市管理、数据分析,智慧社区管理平台,社区服务优化与数据分析,数据挖掘与机器学习,云图科技官网,https://www.yuntu.com,,
华为云,金融科技,智能支付系统,快速支付处理与风险控制,区块链与机器学习,华为官网,https://www.huawei.com/cn/solutions/cloud/,,
