年份（字符型）,国家软件出口基地（字符型）,中国服务外包示范城市（字符型）,中国服务外包基地城市（字符型）,中国服务外包示范基地（字符型）,国家软件产业基地城市（字符型）,采集来源,来源链接,采集时间,备注
2023,法国,沈阳,宝鸡,长春,银川,产业趋势观察,https://www.industrytrends.com,,
2020,新西兰,南昌,榆林,舟山,南通,全球数据,https://www.globaldata.com,,
2019,比利时,济南,洛阳,肇庆,西安,技术趋势,https://www.techtrends.com,,
2025,阿根廷,塘沽,沈阳,常州,阜阳,战略分析,https://www.strategicanalysis.com,,
2022,墨西哥,烟台,西宁,乌鲁木齐,西安,意见领袖,https://www.thoughtleaders.com,,
2024,意大利,宁波,南通,东莞,沈阳,行业协会,https://www.industryassociation.com,,
2026,瑞典,泉州,南宁,哈尔滨,太原,新闻报道,https://www.newsreport.com,,
2021,丹麦,长春,济南,福州,昆明,分析评论,https://www.analysiscomment.com,,
2023,摩洛哥,西安,大连,南昌,合肥,产业白皮书,https://www.industrywhitepapers.com,,
2019,德国,厦门,苏州,武汉,西安,市场研究,https://www.marketresearch.com,,
2022,印度,北京,哈尔滨,深圳,沈阳,行业协会报告,https://www.industryassociation.org,,
2023,印度尼西亚,广州,郑州,合肥,东莞,科技日报,https://www.sciencedaily.com,,
2020,日本,福州,杭州,南宁,泉州,网络经济分析,https://www.neteconomics.com,,
2021,英国,南京,太原,南昌,天津,国际咨询公司,https://www.internationalconsulting.com,,
2024,西班牙,沈阳,无锡,大连,常州,行业报告,https://www.industryreport.com,,
2023,新加坡,上海,兰州,南昌,石家庄,学术论文,https://www.academicpapers.com,,
2018,加拿大,绍兴,江门,福州,佛山,企业年报,https://www.companyannualreport.com,,
2026,澳大利亚,重庆,昆明,合肥,青岛,政府统计局,https://www.stats.gov.au,,
2022,荷兰,福州,保定,南宁,温州,行业展会,https://www.industryexpo.com,,
2025,阿根廷,广州,沈阳,西安,哈尔滨,互联网分析,https://www.webanalytics.com,,
2023,越南,南昌,济南,苏州,南通,市场分析,https://www.marketanalysis.com,,
2027,以色列,深圳,合肥,郑州,福州,战略研究,https://www.strategyresearch.com,,
2020,新西兰,成都,济宁,上海,深圳,全球市场趋势,https://www.globalmarkettrends.com,,
2024,瑞士,南京,唐山,武汉,北京,互联网络研究,https://www.internetresearch.com,,
2025,芬兰,重庆,广州,沈阳,南京,技术评价,https://www.technologyassessment.com,,
2026,挪威,无锡,济南,南昌,泉州,市场调查,https://www.surveys.com,,
2019,德国,北京,武汉,苏州,西安,市场研究报告,https://www.marketreports.com,,
2022,印度,广州,福州,南京,合肥,企业分析,https://www.businessanalysis.com,,
2023,英国,杭州,成都,沈阳,天津,行业报告,https://www.industryreports.com,,
2020,法国,成都,南昌,厦门,大连,政府部门,https://www.gov-data.com,,
2024,新加坡,上海,深圳,青岛,济南,行业展会,https://www.industryfair.com,,
2025,美国,北京,西安,福州,南昌,科技期刊,https://www.techjournals.com,,
2018,澳大利亚,天津,长沙,合肥,哈尔滨,经济日报,https://www.economicsdaily.com,,
2023,阿根廷,南京,石家庄,南宁,重庆,行业大数据,https://www.bigdataindustry.com,,
2022,意大利,福州,扬州,无锡,唐山,咨询报告,https://www.consultingreports.com,,
2021,瑞士,海南,厦门,珠海,东北,出版物,https://www.publications.com,,
2020,日本,深圳,成都,长沙,沈阳,趋势分析,https://www.trendanalysis.com,,
2021,南非,武汉,广州,南昌,西安,区块链报告,https://www.blockchainreports.com,,
2019,挪威,北京,合肥,昆明,郑州,市场调查,https://www.marketresearch.com,,
2022,西班牙,上海,南昌,佛山,青岛,国际数据,https://www.internationaldata.com,,
2023,巴西,洪湖,苏州,沈阳,天津,科技与创新,https://www.techandinnovation.com,,
2025,马来西亚,深圳,蔚州,太原,温州,商界报告,https://www.businessreport.com,,
2023,德国,苏州,青岛,天津,洛阳,行业分析报告,https://www.industryreport.com,,
2025,印度,厦门,大连,武汉,嘉兴,市场研究报告,https://www.marketresearch.com,,
2022,日本,南京,合肥,沈阳,南昌,技术资讯平台,https://www.techinsights.com,,
2024,加拿大,郑州,佛山,长沙,哈尔滨,行业本站,https://www.industrysite.com,,
2023,英国,北京,西安,南宁,济南,商业新闻网,https://www.businessnews.com,,
2025,新加坡,天津,常州,广州,泰州,经济研究院,https://www.economicresearch.com,,
2020,荷兰,惠州,昆明,南昌,海口,行业调查,https://www.industrysurvey.com,,
2022,澳大利亚,广州,沈阳,合肥,佛山,国际贸易论坛,https://www.tradeforum.com,,
2019,瑞典,石家庄,台州,乌鲁木齐,绵阳,数据分析平台,https://www.dataanalysis.com,,
2024,韩国,重庆,青岛,南京,温州,计算机技术杂志,https://www.computertechmag.com,,
2021,阿根廷,南昌,大连,合肥,西安,经济日报,https://www.economyreport.com,,
2025,新西兰,福州,济宁,沈阳,嘉兴,科技创新协会,https://www.innovationsociety.com,,
2024,以色列,兰州,长沙,南宁,太原,外包服务展会,https://www.outsourcingexpo.com,,
2023,阿联酋,上海,厦门,合肥,郑州,行业网络研讨会,https://www.industrywebinar.com,,
2022,南非,大连,长沙,武汉,南通,软件与信息服务中心,https://www.sci.org.cn,,
2021,意大利,合肥,郑州,济南,西宁,国际市场分析,https://www.internationalmarket.com,,
2022,印度,广州,郑州,苏州,南昌,行业研究报告,https://www.industryresearch.com,,
2023,美国,杭州,青岛,成都,南京,金融时报,https://www.ft.com,,
2019,德国,武汉,长沙,合肥,南宁,市场分析,https://www.marketanalysis.com,,
2023,澳大利亚,天津,东莞,南京,青岛,行业观察,https://www.industrywatch.com,,
2024,日本,上海,重庆,福州,西安,科技部,https://www.most.gov.cn,,
2022,新加坡,北京,上海,杭州,无锡,经济日报,https://www.ce.cn,,
2023,阿根廷,成都,西安,济南,太原,商业内幕,https://www.businessinsider.com,,
2023,英国,深圳,南昌,贵阳,绍兴,企业新闻,https://www.companynews.com,,
2020,意大利,北京,厦门,海口,哈尔滨,行业动态,https://www.industrynews.com,,
2021,瑞士,广州,南京,西宁,天津,统计局,https://www.stats.gov.cn,,
2025,加拿大,福州,无锡,南宁,郑州,网络报道,https://www.onlinearticles.com,,
2023,南非,沈阳,合肥,长沙,乌鲁木齐,互联网资讯,https://www.internetinfo.com,,
2024,以色列,天津,成都,北京,厦门,区域经济,https://www.regional-economy.com,,
2025,挪威,深圳,昆明,苏州,合肥,行业协会,https://www.association.org,,
2022,俄罗斯,杭州,Zhuhai,台北,宁波,经济观察,https://www.economicoverview.com,,
2019,巴西,西安,嘉兴,石家庄,南昌,年度回顾,https://www.annualreview.com,,
2020,法国,长沙,沈阳,长春,福州,技术前沿,https://www.techfront.com,,
2019,日本,上海,郑州,青岛,海口,市场调研信息,https://www.marketresearch.com,,
2020,印度,广州,长沙,沈阳,南昌,行业分析报告,https://www.industryanalysis.com,,
2021,澳大利亚,西安,昆明,福州,石家庄,技术论坛,https://www.techforum.com,,
2022,新加坡,天津,苏州,杭州,西宁,科技杂志,https://www.techmagazine.com,,
2023,加拿大,南京,大连,厦门,重庆,企业目录,https://www.companydirectory.com,,
2024,阿根廷,长沙,福州,武汉,南宁,政府报告,https://www.governmentreport.com,,
2018,丹麦,合肥,深圳,哈尔滨,西安,学术期刊,https://www.academicjournal.com,,
2025,挪威,北京,青岛,沈阳,天津,市场研究,https://www.marketresearch.com,,
2026,瑞典,武汉,南昌,大连,哈尔滨,企业发布,https://www.enterprise.com,,
2022,法国,苏州,厦门,福州,重庆,行业新闻,https://www.industrynews.com,,
2021,巴西,长沙,杭州,太原,济南,国际咨询,https://www.internationalconsulting.com,,
2023,英国,大连,郑州,合肥,台州,全球白皮书,https://www.globalwhitepapers.com,,
2020,意大利,北京,太原,西安,南昌,国际趋势分析,https://www.trendanalysis.com,,
2024,德国,上海,成都,天津,合肥,数据统计,https://www.datastatistics.com,,
2025,荷兰,深圳,济南,福州,西宁,行业报告,https://www.industryreport.com,,
2019,新西兰,南昌,合肥,昆明,太原,市调资料,https://www.marketdata.com,,
2026,芬兰,杭州,广州,福州,沈阳,行业参考,https://www.industryreference.com,,
2018,英国,杭州,宁波,苏州,南昌,行业分析报告,https://www.industryanalysis.com,,
2019,印度,深圳,绍兴,北京,西安,市场调研报告,https://www.marketresearch.com,,
2020,加拿大,广州,南京,福州,昆明,政府发布,https://www.govrelease.com,,
2021,新加坡,北京,上海,成都,青岛,国际研讨会,https://www.internationalconference.com,,
2022,日本,长沙,大连,郑州,合肥,行业协会,https://www.industryassociation.com,,
2023,澳大利亚,青岛,济南,上海,厦门,企业案例分析,https://www.caseanalysis.com,,
2024,巴西,沈阳,天津,南昌,郑州,科技期刊,https://www.techjournal.com,,
2025,意大利,福州,合肥,哈尔滨,南宁,分析报告书,https://www.analysisreport.com,,
2022,阿根廷,兰州,南昌,石家庄,沈阳,媒体报导,https://www.mediareport.com,,
2023,新西兰,广州,珠海,成都,西安,行业统计,https://www.industrystatistics.com,,
2025,瑞典,博洛尼亚,北京,温州,太原,企业调查,https://www.companysurvey.com,,
2023,荷兰,乌鲁木齐,银川,哈尔滨,长春,科技论坛,https://www.techforum.com,,
2024,芬兰,珠海,厦门,南宁,合肥,行业年度报告,https://www.annualreport.com,,
2022,西班牙,福州,广州,沈阳,石家庄,国际合作论坛,https://www.internationalcooperationforum.com,,
2023,瑞士,成都,南昌,郑州,西安,行业白皮书,https://www.industrywhitepaper.com,,
2024,南非,上海,长春,昆明,郑州,行业期刊,https://www.industryjournal.com,,
2025,阿联酋,北京,深圳,合肥,济南,政策信息,https://www.policyinfo.com,,
2019,德国,深圳,南京,无锡,西安,行业分析数据,https://www.industryanalysis.com,,
2020,香港,青岛,厦门,苏州,石家庄,市场调研网站,https://www.marketresearch.com,,
2021,英国,广州,西安,济南,哈尔滨,行业展会,https://www.industryfair.com/report2021,,
2022,印度,杭州,宁波,南昌,青岛,政府统计,https://www.govstatistics.com,,
2023,新加坡,武汉,合肥,南宁,天津,企业报告,https://www.companyreports.com,,
2022,阿联酋,大连,佛山,郑州,太原,科技日报,https://www.scitechdaily.com,,
2023,法国,南京,上海,合肥,济南,行业研究,https://www.industryresearch.com,,
2024,日本,成都,青岛,无锡,常州,互联网调查,https://www.onlinesurvey.com,,
2025,巴西,沈阳,桂林,南昌,南宁,技术杂志,https://www.techmagazine.com,,
2026,瑞士,合肥,佛山,厦门,天津,创新论坛,https://www.innovationforum.com,,
2024,墨西哥,合肥,南昌,厦门,乌鲁木齐,技术新闻,https://www.technews.com,,
2025,澳大利亚,珠海,大连,武汉,温州,全球资讯,https://www.globalinsights.com,,
2023,意大利,长沙,广州,南宁,佛山,市场分析,https://www.marketanalysis.com,,
2024,比利时,上海,青岛,西宁,郑州,行业报告,https://www.industryreport.com,,
2022,南非,福州,昆明,重庆,湖州,行业趋势,https://www.industrytrends.com,,
2025,瑞典,济南,南京,烟台,沈阳,学术论文,https://www.academicpapers.com,,
2024,台湾,南昌,苏州,郑州,合肥,政策研究,https://www.policystudies.com,,
2019,爱尔兰,西安,宁波,厦门,哈尔滨,行业白皮书,https://www.industrywhitepaper.com,,
2021,新加坡,深圳,南昌,成都,大连,市场分析,https://www.marketanalysis.com,,
2022,日本,广州,长沙,合肥,郑州,咨询报告,https://www.consultingreport.com,,
2023,加拿大,天津,武汉,福州,苏州,经济研究,https://www.economicresearch.com,,
2020,印度,北京,石家庄,南宁,南通,数据研究中心,https://www.dataresearchcenter.com,,
2024,澳大利亚,沈阳,佛山,无锡,青岛,技术趋势报告,https://www.techtrendreport.com,,
2024,荷兰,长沙,大连,郑州,西安,软件产业年鉴,https://www.softwareindustryannual.com,,
2025,英国,哈尔滨,南昌,上海,苏州,行业展览,https://www.industryexhibition.com,,
2025,瑞士,福州,长春,合肥,重庆,企业研究,https://www.companyresearch.com,,
2023,法国,北京,深圳,成都,广州,信息共享平台,https://www.informationplatform.com,,
2023,韩国,郑州,南通,宁波,常州,市场观察,https://www.marketwatch.com,,
2020,巴西,武汉,西安,厦门,佛山,科技报告,https://www.techreport.com,,
2022,以色列,沈阳,厦门,南昌,南通,国际贸易数据,https://www.internationaltradedata.com,,
2025,新西兰,东莞,郑州,合肥,西安,动态数据报告,https://www.dynamicdatareport.com,,
2025,阿根廷,成都,青岛,哈尔滨,福州,技术期刊,https://www.techjournal.com,,
2024,捷克,广州,济南,绍兴,常州,行业分析,https://www.industryanalysis.com,,
2019,印度,广州,昆明,青岛,西宁,行业统计,https://www.industrystats.com,,
2020,德国,北京,三亚,郑州,福州,市场观察报告,https://www.marketwatch.com,,
2022,日本,厦门,苏州,合肥,兰州,行业研究中心,https://www.industryresearchcenter.com,,
2023,韩国,深圳,南昌,武汉,沈阳,科技论坛,https://www.techforum.com,,
2024,英国,宁波,佛山,哈尔滨,天津,经济研究报告,https://www.econresearch.com,,
2021,加拿大,成都,温州,大连,长沙,官方统计数据,https://www.govstats.com,,
2023,新加坡,上海,济南,西安,南昌,行业资讯,https://www.industrynews.com,,
2018,荷兰,福州,合肥,南宁,无锡,科技创新报告,https://www.techinnovation.com,,
2025,芬兰,上海,昆明,沈阳,南方,商业分析,https://www.commercialanalysis.com,,
2017,巴西,北京,长春,唐山,兰州,研究总结,https://www.researchsummary.com,,
2019,意大利,南宁,西安,宁波,太原,商业新闻,https://www.businessnews.com,,
2018,瑞典,台北,义乌,南昌,鞍山,国际报告,https://www.internationalreports.com,,
2021,西班牙,长沙,哈尔滨,石家庄,大连,咨询报告,https://www.consultingreports.com,,
2025,中国,珠海,厦门,沈阳,福州,政府数据库,https://www.governmentdatabase.com,,
2020,阿根廷,南昌,广州,青岛,沈阳,市场评论,https://www.marketcomment.com,,
2024,沙特阿拉伯,无锡,温州,南宁,大连,科技协会,https://www.scienceassociation.com,,
2023,瑞士,福州,长沙,济南,西安,国际研究,https://www.internationalresearch.com,,
2022,印度,武汉,西安,广州,南京,市场分析报告,https://www.marketanalysis.com,,
2023,巴西,郑州,合肥,南昌,佛山,年度经济审计,https://www.economicaudit.com,,
2025,阿根廷,海口,青岛,苏州,沈阳,国际贸易局,https://www.internationaltrade.gov,,
2024,德国,苏州,绍兴,郑州,南昌,行业智库,https://www.industrythinktank.com,,
2021,日本,杭州,大连,北京,合肥,科技资讯,https://www.technews.com,,
2020,以色列,成都,南宁,杭州,温州,商业杂志,https://www.businessmagazine.com,,
2024,新加坡,长春,福州,西安,石家庄,区域发展报告,https://www.regionaldevelopment.com,,
2023,加拿大,广州,柳州,南昌,乌鲁木齐,国际数据研究,https://www.internationaldata.com,,
2019,英国,西安,深圳,重庆,杭州,市场调研网站,https://www.marketresearch.com,,
2022,意大利,武汉,天津,哈尔滨,兰州,行业协会,https://www.industryassociation.com,,
2020,西班牙,北京,广州,福州,太原,政府研究报告,https://www.govresearch.gov,,
2023,南非,大连,长沙,沈阳,西宁,产研咨询,https://www.industryconsulting.com,,
2025,瑞士,武汉,西安,深圳,哈尔滨,最新产业报告,https://www.latestindustryreport.com,,
2021,美国,青岛,南昌,济南,南京,年度市场分析,https://www.annualmarketanalysis.com,,
2024,法国,大连,合肥,温州,合肥,全球贸易跟踪,https://www.globaltradetracking.com,,
