标准编号（字符型）,标准名称（字符型）,每秒帧数（数值型）,单位,像素深度（字符型）,视频质量（字符型）,宽长比（字符型）,实施日期（日期型）,实施范围（字符型）,采集来源,来源链接,采集时间,备注
H.264/AVC-LT,低延迟视频编码标准,30.0,fps,10bit,普通清晰度,16:09,2022-06-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264,,
H.265/HEVC-LT,低延迟高效编码标准,60.0,fps,10bit,超高清晰度,21:09,2023-07-15,全球,IEEE,https://www.ieee.org,,
H.265/HEVC-RT,实时高效视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-10-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
H.266/VVC-1,新一代视频编码与压缩标准,240.0,fps,12bit,超高清晰度,16:09,2024-01-01,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
ITU-T H.661,高清视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2024-01-15,全球,ITU,https://www.itu.int,,
DVB-UHD,超高清视频广播标准,30.0,fps,12bit,超高清晰度,21:09,2022-10-01,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23002,视频编解码框架标准,24.0,fps,8bit,高清晰度,16:09,2023-07-20,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2018-11-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
H.267/VVC,视频压缩标准,60.0,fps,10bit,超高清晰度,21:09,2022-08-31,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
AVS3,视频编码新标准,60.0,fps,12bit,超高清晰度,16:09,2021-09-15,中国,AVS工作组,http://www.avs.org.cn,,
IEEE 1857.1,视频流标准,120.0,fps,12bit,超高清晰度,21:09,2020-12-01,全球,IEEE,https://www.ieee.org,,
SMPTE ST 2110-20,各种媒体流标准,60.0,fps,10bit,高质量,16:09,2019-05-01,全球,SMPTE,https://www.smpte.org,,
AV1,开放视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2020-01-15,全球,Alliance for Open Media,https://aomediacodec.github.io,,
H.264.2,更新版高级视频编码标准,30.0,fps,10bit,高清晰度,16:09,2023-03-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
H.265.1,高级视频编码扩展标准,60.0,fps,10bit,超高清晰度,21:09,2021-04-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
DVB-S2X,卫星视频播送标准,30.0,fps,10bit,高清晰度,16:09,2022-07-01,全球,DVB,https://www.dvb.org,,
AVS+,视频压缩与传输标准,120.0,fps,10bit,超高清晰度,21:09,2019-11-15,中国,AVS工作组,http://www.avs.org.cn,,
ATSC 3.0,高级电视系统标准,60.0,fps,10bit,超高清晰度,16:09,2023-01-01,北美,ATSC,https://www.atsc.org,,
DASH,动态自适应流媒体标准,30.0,fps,10bit,高清晰度,16:09,2022-12-01,全球,MPEG,https://mpeg.chiariglione.org,,
H.266.1,下一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2022-05-01,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
JPEG XS,低延迟视频编码标准,120.0,fps,10bit,高清晰度,16:09,2021-03-30,全球,JPEG,https://jpeg.org,,
ITU-T H.661,下一代视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2024-01-15,全球,ITU,https://www.itu.int,,
DVB-T2,第二代数字视频广播标准,25.0,fps,8bit,高清晰度,16:09,2018-03-15,欧洲,DVB,https://www.dvb.org,,
IEC 62107,视频流编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-07-01,全球,IEC,https://www.iec.ch,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2013-07-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
SMPTE ST 2022,直播视频传输标准,30.0,fps,10bit,高品质,16:09,2018-12-12,北美,SMPTE,https://www.smpte.org,,
AVS3,第三代视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2022-05-01,中国,AVS工作组,https://www.avs.org.cn,,
H.264/AVC 2.0,改进的高级视频编码标准,30.0,fps,12bit,超高清晰度,16:09,2023-10-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
JPEG XS,超低延迟视频编码标准,60.0,fps,10bit,高画质,16:09,2021-06-15,全球,JPEG,https://jpeg.org,,
HEVC 2.1,高效视频编码标准第二版,120.0,fps,10bit,超高清晰度,21:09,2025-05-01,全球,ITU,https://www.itu.int,,
SMPTE ST 2110-22,专业视频传输标准,50.0,fps,10bit,高品质,16:09,2019-09-01,全球,SMPTE,https://www.smpte.org,,
AV1 1.0,开放视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2020-12-01,全球,Alliance for Open Media,https://aomediacodec.github.io,,
H.266 1.1,视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2022-08-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
IEEE 1857-2020,高效视频编解码标准,120.0,fps,12bit,超高清晰度,21:09,2020-11-01,全球,IEEE,https://www.ieee.org,,
DVB-C2,第二代数字有线广播标准,50.0,fps,10bit,高清晰度,16:09,2024-03-01,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23001-6,视频内容描述标准,100.0,fps,12bit,超高清晰度,21:09,2023-09-01,全球,ISO,https://www.iso.org,,
ITU-T H.662,视频传输标准升级版,75.0,fps,10bit,超高清晰度,16:09,2025-05-01,全球,ITU,https://www.itu.int,,
MPEG-I,多媒体编码标准,60.0,fps,10bit,高清晰度,16:09,2023-02-01,全球,MPEG,https://mpeg.chiariglione.org,,
ITU-T H.761,高效视频传输标准,30.0,fps,10bit,超高清晰度,16:09,2022-09-01,全球,ITU,https://www.itu.int,,
DVB-S2X,增强型数字视频广播标准,60.0,fps,12bit,超高清晰度,21:9,2020-11-15,全球,DVB,https://www.dvb.org,,
AVS3,视频编码新标准,120.0,fps,12bit,超高清晰度,16:09,2024-06-01,中国,AVS工作组,https://www.avs.org.cn,,
HEVC,高效视频编码标准,60.0,fps,10bit,高画质,16:09,2013-04-01,全球,ITU,https://www.itu.int/en/ITU-T,,
ITU-R BT.2020,超高清电视建议标准,50.0,fps,10bit,超高清晰度,16:09,2018-01-01,全球,ITU,https://www.itu.int/en/ITU-R,,
SMPTE ST 2094,动态范围标准,24.0,fps,12bit,超高清晰度,16:09,2021-09-15,全球,SMPTE,https://www.smpte.org,,
AV1,开放视频编码标准,90.0,fps,10bit,超高清晰度,21:9,2023-02-01,全球,Alliance for Open Media,https://aomediacodec.github.io/av1-specification/,,
ISO/IEC 13818-2,关于视频编码的国际标准,30.0,fps,8bit,高清晰度,4:3,2004-12-15,全球,ISO,https://www.iso.org,,
H.265,改进的高效视频编码标准,50.0,fps,12bit,超高清晰度,16:9,2016-01-01,全球,ITU,https://www.itu.int/en/ITU-T,,
SMPTE ST 2110-20,视频流媒体传输标准,60.0,fps,10bit,高品质,16:9,2019-07-30,全球,SMPTE,https://www.smpte.org,,
DASH,动态自适应流媒体标准,30.0,fps,10bit,高清晰度,16:9,2022-03-15,全球,MPEG,https://mpeg.chiariglione.org,,
H.264/AVC,广泛应用的视频编码标准,30.0,fps,8bit,高清晰度,16:9,2006-08-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
ITU-R BT.2100,HDR视频传输标准,60.0,fps,12bit,超高清晰度,16:9,2017-12-15,全球,ITU,https://www.itu.int/en/ITU-R,,
H.265/HEVC,高效视频编码与压缩,120.0,fps,12bit,超高清晰度,21:9,2018-10-01,全球,ITU,https://www.itu.int/en/ITU-T,,
ISO/IEC 23001,媒体内容的编码标准,60.0,fps,10bit,高清晰度,16:9,2022-05-01,全球,ISO,https://www.iso.org,,
ITU-T H.667,下一代视频编码标准,30.0,12bit,超高清晰度,16:09,2022-01-15,全球,ITU,https://www.itu.int,fps,,
DVB-T2,数字视频广播标准第二版,50.0,8bit,高清晰度,16:09,2019-06-01,欧洲,DVB,https://www.dvb.org,fps,,
ISO/IEC 23001,媒体数据传输标准,60.0,10bit,超高清晰度,21:09,2021-10-01,全球,ISO,https://www.iso.org,fps,,
H.265/HEVC,高效视频编码标准,120.0,10bit,超高清晰度,16:09,2020-08-01,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,fps,,
MPEG-H HEVC,MPEG高效视频编码,60.0,10bit,高清晰度,16:09,2019-11-01,全球,MPEG,https://mpeg.chiariglione.org,fps,,
H.264/AVC,双向视频编码标准,25.0,8bit,高清晰度,16:09,2015-05-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,fps,,
AVS3,音视频编码标准,120.0,12bit,超高清晰度,16:09,2022-04-22,中国,AVS联盟,http://www.avs.org.cn,fps,,
HEVC 2.0,下一代视频编解码标准,60.0,10bit,超高清晰度,21:09,2023-01-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,fps,,
SMPTE ST 2022,专业视频传输标准,60.0,12bit,高品质,16:09,2018-12-15,全球,SMPTE,https://www.smpte.org,fps,,
AV2,下一代视频编码标准,100.0,10bit,超高清晰度,16:09,2021-07-01,全球,AVS,http://www.avs.org.cn,fps,,
MPEG-DASH,动态自适应流媒体标准,30.0,8bit,高清晰度,16:09,2020-05-01,全球,MPEG,https://mpeg.chiariglione.org,fps,,
H.263,低比特率视频编码,30.0,8bit,中等质量,4:3,2000-11-30,全球,ITU,https://www.itu.int,fps,,
DASH 2.0,动态自适应流标准更新版,60.0,10bit,超高清晰度,16:09,2022-09-01,全球,Dash-IF,https://dashif.org,fps,,
AV1.0,开放视频编码标准更新,120.0,10bit,超高清晰度,16:09,2018-08-01,全球,Alliance for Open Media,https://aomediacodec.github.io,fps,,
H.264/AVC 5.0,H.264约定更新,30.0,8bit,高清晰度,16:09,2023-03-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,fps,,
ITU-T H.661,高清视频传输标准,30.0,fps,10bit,高清晰度,16:09,2023-09-15,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
DVB-S2X,卫星广播标准,50.0,fps,12bit,超高清晰度,21:09,2022-06-01,全球,DVB,https://www.dvb.org,,
ISO/IEC 21122,媒体流传输与处理标准,24.0,fps,10bit,高画质,4:3,2023-04-11,亚太地区,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2021-12-30,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
SMPTE ST 2111,专业媒体流传输标准,120.0,fps,12bit,超高清晰度,16:09,2022-08-05,北美,SMPTE,https://www.smpte.org,,
AVS3,视频编码标准,48.0,fps,10bit,超高清晰度,16:09,2023-05-20,中国,智能视频技术,https://www.ivt.org.cn,,
AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2022-02-28,全球,Alliance for Open Media,https://aomediacodec.github.io,,
IEEE 1857-1,高效视频编解码,30.0,fps,12bit,超高清晰度,21:09,2022-09-15,全球,IEEE,https://www.ieee.org,,
H.278,新一代视频编码标准,30.0,fps,12bit,超高清晰度,16:09,2023-03-10,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
SMPTE ST 2022,实时媒体流标准,60.0,fps,10bit,高画质,16:09,2021-04-01,北美,SMPTE,https://www.smpte.org,,
MPEG-DASH,动态自适应流媒体标准,25.0,fps,10bit,高清晰度,16:09,2022-12-20,全球,MPEG,https://www.mpeg.org,,
H.264/AVC,新版本高级视频编码标准,30.0,fps,8bit,高清晰度,16:09,2023-10-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
IETF RFC 8621,视频编码传输协议,50.0,fps,8bit,标准清晰度,16:09,2023-07-22,北美,IETF,https://www.ietf.org,,
AOMedia AV1,开放的音视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2023-01-15,全球,Alliance for Open Media,https://aomediacodec.github.io,,
H.262/MPEG-2,早期视频编码标准,30.0,fps,8bit,标准画质,4:3,2023-08-15,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,,
ETSI TS 103 433,互动媒体标准,50.0,fps,10bit,高清晰度,16:09,2023-06-15,欧洲,ETSI,https://www.etsi.org,,
ITU-T H.661,增强视频传输标准,30.0,fps,超高清晰度,16:09,2023-07-15,全球,ITU,https://www.itu.int,10bit,,
H.265/HEVC,高效视频编码标准,60.0,fps,超高清晰度,16:09,2018-05-20,全球,ITU,https://www.itu.int/en/ITU-T/guidelines,10bit,,
SMPTE ST 2022,实时视频流标准,50.0,fps,高品质,16:09,2022-01-01,全球,SMPTE,https://www.smpte.org,12bit,,
AVS3,下一个视频编码标准,120.0,fps,超高清晰度,21:09,2023-02-15,中国,中国音像与数字出版协会,http://www.capp.org.cn,10bit,,
IEEE 1939,动态视频传输标准,24.0,fps,高清晰度,16:09,2024-04-12,全球,IEEE,https://www.ieee.org,10bit,,
DVB-S2X,新一代卫星广播标准,50.0,fps,高清晰度,16:09,2022-11-10,欧洲,DVB,https://www.dvb.org,10bit,,
H.264/AVC-Future,未来视频编码标准,60.0,fps,超高清晰度,21:09,2025-01-01,全球,ITU,https://www.itu.int,12bit,,
DASH-AVC,动态自适应流标准,30.0,fps,高画质,16:09,2019-06-15,全球,MPEG,https://mpeg.chiariglione.org,8bit,,
H.267,下一个视频编码标准,120.0,fps,超高清晰度,21:09,2024-03-01,全球,IET,https://www.theiet.org,12bit,,
AVC2.0,下一代视频编码标准,48.0,fps,超高清晰度,16:09,2023-09-01,全球,ISO,https://www.iso.org,10bit,,
SMPTE ST 2111,音频视频同步标准,60.0,fps,高品质,16:09,2022-08-01,全球,SMPTE,https://www.smpte.org,10bit,,
H.264E,增强视频编码标准,30.0,fps,高清晰度,16:09,2018-02-15,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,8bit,,
HEVC Main10,高效视频编码主标准,40.0,fps,超高清晰度,16:09,2020-11-15,全球,ITU,https://www.itu.int,10bit,,
ATSC 3.0,先进电视系统委员会标准,30.0,fps,超高清晰度,16:09,2019-02-01,美国,ATSC,https://www.atsc.org,12bit,,
DVB-T2,数字视频广播第二代标准,50.0,fps,高清晰度,16:09,2016-07-01,欧洲,DVB,https://www.dvb.org,10bit,,
RFC 7748,现代编解码标准,60.0,fps,高品质,16:09,2021-09-01,全球,IETF,https://www.ietf.org,10bit,,
HE-AAC,增强音频编码标准,30.0,fps,高清晰度,16:09,2020-10-11,全球,ISO,https://www.iso.org,8bit,,
ITU-T H.661,下一代视频传输标准,50.0,fps,12bit,超高清晰度,16:09,2024-01-10,全球,ITU,https://www.itu.int,,
DVB-T2,第二代数字视频广播标准,30.0,fps,8bit,高清晰度,16:09,2011-04-01,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23091,补充视频编码标准,24.0,fps,10bit,高画质,21:09,2022-09-15,全球,ISO,https://www.iso.org,,
HEVC,高效视频编码,60.0,fps,10bit,超高清晰度,16:09,2013-04-30,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
SMPTE ST 2110-40,实时视频流标准,60.0,fps,10bit,极高质量,16:09,2023-05-15,全球,SMPTE,https://www.smpte.org,,
AVS3,新一代视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2022-11-01,中国,AVS标准组织,https://www.avsstandard.org,,
AV1.1,开放视频编码标准修订版,60.0,fps,10bit,超高清晰度,16:09,2024-06-30,全球,Alliance for Open Media,https://aomediacodec.github.io,,
IEEE 1858,视频编解码效率改善标准,30.0,fps,10bit,高清晰度,21:09,2023-01-20,全球,IEEE,https://www.ieee.org,,
H.265/HEVC,高效视频编码标准修订版,60.0,fps,12bit,超高清晰度,16:09,2022-03-01,全球,Wikipedia,https://en.wikipedia.org/wiki/High_Efficiency_Video_Coding,,
ETSI TS 103 660,移动快速视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2024-07-15,欧洲,ETSI,https://www.etsi.org,,
H.661,下一代高效视频编码标准,60.0,fps,10bit,高画质,16:09,2022-12-01,全球,ITU,https://www.itu.int,,
RFC 7798,高效互联网视频编解码标准,30.0,fps,8bit,高清晰度,16:09,2023-08-25,全球,IETF,https://www.ietf.org,,
DASH-AVC,动态自适应流媒体标准,60.0,fps,10bit,超高清晰度,16:09,2022-02-20,全球,MPEG,https://mpeg.chiariglione.org,,
H.264+,增强型高清编码标准,30.0,fps,10bit,高清晰度,16:09,2023-09-01,全球,MPEG,https://mpeg.chiariglione.org,,
DCI 4K,数字电影倡议标准,24.0,fps,12bit,超高清晰度,17:09,2012-06-01,全球,DCI,https://www.digitalcinema.com,,
H.664,视频传输效率优化标准,50.0,fps,10bit,超高清视频,16:09,2024-03-15,全球,ITU,https://www.itu.int,,
ITU-T H.661,下一代视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2023-09-15,全球,ITU,https://www.itu.int,,
AVS3,视频编码新标准,30.0,fps,12bit,超高清晰度,16:09,2022-03-01,中国,中国标准化管理委员会,http://www.sac.gov.cn,,
DVB-S2X,增强数字视频广播卫星标准,50.0,fps,10bit,高清晰度,16:09,2022-11-01,全球,DVB,https://www.dvb.org,,
H.265/HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2013-01-20,全球,Wikipedia,https://en.wikipedia.org/wiki/High_Efficiency_Video_Coding,,
SMPTE ST 2022,专业的媒体流传输标准,60.0,fps,10bit,高品质,16:09,2018-05-01,全球,SMPTE,https://www.smpte.org,,
ISO/IEC 14496-10,基于视音频通用编码标准,24.0,fps,8bit,高清视频,16:09,2009-12-30,全球,ISO,https://www.iso.org,,
H.264/AVC,高级视频编码标准,30.0,fps,8bit,高清晰度,16:09,2004-05-01,全球,Youtube,https://www.youtube.com,,
H.263,视频编码标准,30.0,fps,8bit,中等质量,4:3,1996-02-01,全球,ITU,https://www.itu.int,,
ETSI TS 103 395,数字视频广播标准,50.0,fps,8bit,高清晰度,16:09,2021-07-01,欧洲,ETSI,https://www.etsi.org,,
H.266/VVC,视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2021-12-10,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2018-07-15,全球,Alliance for Open Media,https://aomediacodec.github.io,,
MPEG-DASH,动态自适应流传输标准,50.0,fps,8bit,高清视频,16:09,2015-04-20,全球,MPEG,https://mpeg.chiariglione.org,,
H.265/HEVC,高效视频编码标准,30.0,fps,10bit,超高清晰度,16:09,2014-06-15,全球,ITU,https://www.itu.int,,
ISDB-T,日本数字地面广播标准,30.0,fps,10bit,高清晰度,16:09,2003-12-01,日本,NHK,https://www.nhk.or.jp,,
ARIB STD-B24,数字电视广播标准,60.0,fps,10bit,高清晰度,16:09,2020-04-01,日本,ARIB,https://www.arib.or.jp,,
ITU-R BT.2100,超高清电视标准,60.0,fps,10bit,超高清晰度,16:09,2016-06-06,全球,ITU,https://www.itu.int,,
ITU-R BT.2020,高动态范围视频标准,60.0,fps,10bit,超高清晰度,16:09,2019-11-20,全球,ITU,https://www.itu.int/en/ITU-R/index.html,,
H.265/HEVC,高效视频编码标准,30.0,fps,10bit,高清晰度,16:09,2013-12-01,全球,ITU,https://www.itu.int/en/ITU-T/technology/Pages/hevc.aspx,,
DASH-IF,动态自适应流传输,60.0,fps,8bit,高画质,21:09,2020-06-15,全球,DASH-IF,https://dashif.org,,
VP9,开放视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2016-03-31,全球,Google,https://developers.google.com/media/vp9,,
ISO/IEC 23001-4,媒体内容描述标准,59.94,fps,10bit,高清晰度,16:09,2022-07-15,国际,ISO,https://www.iso.org/iso-iec-23001-4.html,,
AVS3,视频编码杜甫标准,120.0,fps,12bit,超高清晰度,16:09,2023-01-10,中国,AVS,http://www.avs.org.cn,,
SMPTE ST 2022,高效视频监测标准,60.0,fps,10bit,高画质,16:09,2021-10-01,全球,SMPTE,https://www.smpte.org/standards,,
REC. ITU-R BT.2100,超高清电视标准,120.0,fps,12bit,超高清晰度,16:09,2022-05-25,全球,ITU,https://www.itu.int/en/ITU-R/index.html,,
HEVC-MP,视频编码标准,60.0,fps,10bit,高清晰度,16:09,2023-02-10,北美,MPEG,https://mpeg.chiariglione.org,,
RTP,实时传输协议,30.0,fps,8bit,中等画质,16:09,1996-01-01,全球,IETF,https://ietf.org/rfc/rfc3550,,
ATSC 3.0,下一代广播标准,60.0,fps,10bit,超高清晰度,16:09,2020-03-01,美国,ATSC,https://www.atsc.org,,
AV1.1,最新开放视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-09-15,全球,Alliance for Open Media,https://aomediacodec.github.io/av1-specification/,,
H.264/120,高清视频标准,60.0,fps,10bit,高画质,16:09,2019-12-05,全球,MPEG,https://mpeg.chiariglione.org/standards/h264,,
SMPTE ST 2117,媒体流布局标准,60.0,fps,12bit,超高清晰度,16:09,2022-04-21,全球,SMPTE,https://www.smpte.org/standards,,
IEEE 2020,未来视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-03-15,全球,IEEE,https://www.ieee.org,,
DVB-S2X,增强的卫星广播标准,60.0,fps,10bit,高清晰度,16:09,2019-07-01,欧洲,DVB,https://www.dvb.org,,
ITU-T H.661,下一代视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2024-07-01,全球,ITU,https://www.itu.int,,
DVB-S2X,数字视频广播标准增强版,50.0,fps,12bit,超高清晰度,16:09,2022-10-15,欧洲,DVB,https://www.dvb.org,,
AVS3,第三代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-09-01,中国,中国音视频编码标准,http://www.avs.org.cn,,
HEVC/720p,720p高效视频编解码标准,30.0,fps,8bit,高清晰度,16:09,2016-06-01,全球,ITU,https://www.itu.int,,
JPEG XS,视频压缩性能优化标准,60.0,fps,10bit,高质量,16:09,2021-11-01,全球,JPEG,https://jpeg.org,,
H.265/HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2018-02-15,全球,ITU,https://www.itu.int/en/ITU-T/H.265,,
CMAF,通用媒体存档格式标准,30.0,fps,10bit,高质量,16:09,2020-05-21,全球,CMAF,https://cmaf.org,,
AV1-RV,开放视频编码标准修订版,120.0,fps,10bit,超高清晰度,16:09,2023-01-31,全球,Alliance for Open Media,https://aomediacodec.github.io,,
MPEG-5,第5代视频编码标准,30.0,fps,8bit,高清晰度,16:09,2022-12-01,全球,MPEG,https://mpeg.chiariglione.org,,
