品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注
位置传感器,GPS模块 + 数据处理单元 + 通讯设备,感知层、应用层,定位科技有限公司,集成式,智能导航网,https://www.smartnavigation.com,,
压力传感器,敏感元件 + 信号调理器 + 数据接口,感知层、处理层、应用层,工业设备有限公司,模块式,机械工程网,https://www.mechengineering.com,,
空气质量传感器,敏感元件 + 数据处理器 + 通信模块,监测层、数据层,环境保护技术集团,集成式,城市环境研究中心,https://www.urbanenvironment.org,,
电流传感器,敏感元件 + 放大器 + 模拟输出,检测层、反馈层,电力监控公司,模块式,电力行业网,https://www.powerindustry.com,,
水位监测传感器,敏感元件 + 信号处理单元 + 数据传输组件,监测层、信息层,水利科技,集成式,水利部,http://www.mwr.gov.cn,,
智能门锁传感器,生物识别元件 + 数据处理器 + 通讯模块,安全层、控制层,智能安防科技,集成式,智能家居网,https://www.smart-home-tech.com,,
营养监测传感器,敏感元件 + 数据分析模块 + 通讯接口,健康层、分析层,营养科技有限公司,集成式,健康管理网,https://www.healthmanagement.com,,
操纵杆传感器,敏感元件 + 信号处理电路 + 输入接口,输入层、反馈层,人机交互技术,模块式,游戏技术网,https://www.gametechnology.com,,
心率监测传感器,敏感元件 + 微处理器 + 蓝牙模块,健康监测层、数据层,智能穿戴科技,集成式,健康科技平台,https://www.healthtechplatform.com,,
土壤pH传感器,敏感元件 + 数据处理单元 + 无线模块,农艺监测层、分析层,农业科技,模块式,农业科学期刊,https://www.agriculturalsciencejournal.com,,
电磁场传感器,敏感元件 + 信号调理器 + 警报系统,监测层、反馈层,科学仪器有限公司,集成式,科技发展论坛,https://www.sciencedevelopmentforum.com,,
无人机监测传感器,敏感元件 + 遥控模块 + 数据传输单元,飞行层、监控层,先进航空科技,集成式,无人机技术网,https://www.drone-technology.com,,
交通流量传感器,敏感元件 + 处理模块 + 数据存储单元,监测层、获取层,智能交通科技,集成式,交通管理网站,https://www.trafficmanagement.org,,
智能电表传感器,采样元件 + 数据处理单元 + 通信模块,监测层、记录层,智能电网技术,集成式,电力新动态,https://www.powernews.com,,
方位传感器,敏感元件 + 处理电路 + 输出端口,感知层、反馈层,空间技术有限公司,模块式,航空航天技术网,https://www.aerospace-tech.com,,
睡眠质量传感器,敏感元件 + 数据分析器 + 通信链路,健康层、分析层,健康监测科技,集成式,睡眠科学研究所,https://www.sleepresearchinstitute.com,,
电流传感器,敏感元件 + 信号调理单元 + 数据记录模块,采集层、处理层、输出层,电力技术研究院,集成式,电力行业月刊,https://www.energyindustrymonthly.com,,
气体传感器,敏感元件 + 信号处理单元 + 远程监控模块,探测层、监控层、决策层,天康科技,模块式,环境监测报告,https://www.environmentalreport.com,,
运动传感器,敏感元件 + 数据处理单元 + 通讯模块,感知层、分析层,动能科技公司,集成式,运动科学杂志,https://www.sportsciencejournal.com,,
辐射传感器,敏感元件 + 处理单元 + 显示界面,监测层、报告层,辐射防护研究所,模块式,辐射安全资讯网,https://www.radprotectionnews.com,,
压力传感器,灵敏元件 + 调理电路 + 输出接口,感知层、控制层,压力测量技术中心,集成式,仪器仪表展览会,https://www.instrumentexpo.com,,
流量传感器,敏感元件 + 数据处理单元 + 显示模块,采集层、处理层、显示层,流体动力学研究院,模块式,流动测量论坛,https://www.flowmeasurementforum.com,,
光强传感器,光敏元件 + 信号调理单元 + 数字输出,探测层、输出层、控制层,光电传感器开发团队,集成式,科技前沿报告,https://www.techfrontreports.com,,
紫外线传感器,紫外线敏感元件 + 数据分析单元 + 接口模块,探测层、监控层,环保科技公司,模块式,环保研究所,https://www.environmentresearchinstitute.com,,
智能家居传感器,传感元件 + 控制模块 + 数据处理单元,用户交互层、控制层、云层,交互性家居智能科技,集成式,家居设计杂志,https://www.home-designmag.com,,
红外线传感器,红外敏感元件 + 信号识别模块 + 输出接口,感知层、控制层、应用层,红外技术公司,模块式,光电显象技术论坛,https://www.opticaldisplaytechforum.com,,
氧气传感器,敏感元件 + 信号处理单元 + 数据传输模块,探测层、监控层、数据层,医保科技,集成式,医学技术周刊,https://www.medicaltechnologyweekly.com,,
智能交通传感器,传感元件 + 数据处理单元 + 通信模块,交通监测层、数据分析层,交通科技研究中心,模块式,交通科技论坛,https://www.transportationtechforum.com,,
声波传感器,声敏元件 + 信号处理单元 + 输出接口,监测层、反馈层,声学发展协会,集成式,声学研究月刊,https://www.acousticresearchmonthly.com,,
多用途传感器,多元元件 + 处理单元 + 通信接口,集成层、监控层、分析层,综合技术研究院,集成式,技术发展杂志,https://www.technologydevelopmentmagazine.com,,
电子鼻传感器,气体敏感元件 + 数据处理单元 + 按需输出模块,检测层、分析层、监控层,智能气味科技公司,模块式,嗅觉科技期刊,https://www.smelltechnologyjournal.com,,
地震监测传感器,敏感元件 + 信号处理单元 + 数据传输模块,探测层、信号层、分析层,地震监测中心,集成式,地震研究所,https://www.seismologyinstitute.com,,
电池状态监测传感器,电池敏感元件 + 数据分析单元 + 输出接口,监测层、控制层,电能管理科技,模块式,电池技术期刊,https://www.batterytechnologyjournal.com,,
气体探测传感器,敏感元件 + 气体采集管 + 数据处理单元,采集层、传输层、数据处理层,中科院智能制造研究所,模块式,智能制造网,https://www.intelligent-manufacturing.cn,,
光照传感器,光敏元件 + 信号调理模块,采集层、输出层,奈米科技有限公司,集成式,奈米科技官网,https://www.nanotech.com,,
压力传感器,压电元件 + 模拟信号处理单元,传感层、信号调理层,华为机械工程部,集成式,电子工程师杂志,https://www.electronicengineer.com,,
运动传感器,加速度计 + 处理器 + 通信模块,感知层、控制层、应用层,安卓技术公司,模块式,安卓开发社区,https://www.androiddevcommunity.com,,
磷酸盐监测传感器,化学敏感元件 + 数据分析单元,监测层、数据分析层,水质监测技术研究中心,集成式,水质研究期刊,https://www.waterqualityjournal.com,,
纳米颗粒传感器,纳米传感器 + 通信模块 + 数据处理单元,监测层、传输层、应用层,中国纳米科技公司,模块式,纳米科学网,https://www.nanoscience.cn,,
气象传感器,温湿度传感器 + 风速计 + 日照计,感知层、决策层、应用层,气象科技研究所,集成式,中国气象局,http://www.cma.gov.cn,,
室内空气质量监测传感器,气体传感器 + 粉尘传感器 + 数据处理单元,采集层、分析层、输出层,健康科技研究中心,模块式,健康科技论坛,https://www.healthtechforum.com,,
心率监测传感器,光学传感元件 + 通信模块 + 数据分析单元,健康监控层、数据处理层,医疗科技创新公司,集成式,医疗科技研究期刊,https://www.medicaltechjournal.com,,
土壤温湿度传感器,敏感元件 + 通信模块,感知层、传输层,农田管理科技,模块式,农业科技创新网,https://www.agritechinnovation.cn,,
核辐射探测传感器,辐射探测器 + 处理模块,监测层、数据分析层,核工业科技公司,集成式,核安全研究机构,http://www.nuclearsafety.org,,
智能门锁传感器,触摸传感器 + 数据加密模块,安全层、控制层,智能家居科技有限公司,集成式,家居安全网,https://www.homesecurity.com,,
电流传感器,电流感应元件 + 数据处理单元,感知层、控制层,电气工程实验室,模块式,电力技术会议,https://www.powertechconference.com,,
围栏监测传感器,红外传感器 + 通信模块,监测层、警报层,安防科技公司,集成式,安防技术网,https://www.securitytech.net,,
多通道生物识别传感器,生物识别元件 + 数据分析模块,身份验证层、记录层,生物识别科技研究所,集成式,生物识别期刊,https://www.biometricjournal.com,,
虚拟现实传感器,动作捕捉设备 + 数据传输单元,感知层、互动层,虚拟现实科技公司,模块式,VR科技杂志,https://www.vrtechnologyjournal.com,,
高精度导航传感器,全球定位系统模块 + 数据处理单元,感知层、导航层、应用层,空间科技研究院,集成式,航空航天网站,https://www.aerospace.gov,,
气体传感器,敏感元件 + 数据处理模块 + 输出接口,检测层、处理层、通讯层,环境监测研究所,集成式,环境科学期刊,https://www.environmentalsciencejournal.com,,
辐射传感器,敏感元件 + 放大电路 + 数字输出模块,监测层、分析层,辐射防护中心,模块式,辐射安全与防护,https://www.radiationsafety.com,,
光照传感器,灵敏元件 + 信号调理模块 + 数据接口,感知层、处理层,光电技术研究所,集成式,光电科技研究,https://www.opticaltech.org,,
噪声传感器,敏感元件 + 分析处理单元 + 通讯模块,监测层、分析层,声环境研究中心,模块式,声学研究论坛,https://www.acousticsforum.com,,
温湿度传感器,敏感元件 + 控制模块 + 云接口,感知层、存储层、应用层,智慧气候技术公司,集成式,国际气候科技协会,https://www.climate-tech.org,,
心率监测传感器,光学传感元件 + 数据处理单元 + 通讯模块,监测层、健康层,健康监测科技有限公司,集成式,数字健康杂志,https://www.digitalhealthjournal.com,,
运动传感器,惯性测量单元 + 数据处理模块 + 信号输入,感知层、处理层、输出层,运动科学研究所,模块式,运动科技论坛,https://www.sports-techforum.com,,
触摸传感器,电容元件 + 数据处理单元 + 驱动电路,输入层、处理层,智能电子科技,集成式,电子技术应用,https://www.electronicapplications.com,,
生物迹象传感器,生物敏感元件 + 数据分析模块 + 输出接口,监测层、分析层,生物医药研究院,集成式,生物医学杂志,https://www.biomedicaljournal.com,,
电流传感器,电感元件 + 信号处理模块 + 采样接口,采集层、处理层,能源技术公司,模块式,电力科技研究,https://www.powerscience.com,,
流量传感器,流体敏感元件 + 处理单元 + 通讯模块,采集层、分析层、输出层,流量监测科技,集成式,流体动力研究会议,https://www.fluidpowerconference.com,,
压力传感器,敏感元件 + 温度补偿单元 + 输出接口,感知层、处理层,工业传感器技术,模块式,工业技术杂志,https://www.industrytechjournal.com,,
烟雾传感器,烟雾检测元件 + 信号处理单元 + 控制电路,检测层、报警层,公共安全技术研究院,集成式,安全技术杂志,https://www.safetytechjournal.com,,
