材料简称,化学式,晶体结构,理论密度,单位,振实密度,单位.1,压实密度,单位.2,理论容量,单位.3,实际容量,单位.4,质量比能量,单位.5,平均电压,单位.6,电压范围,循环性,环保性,安全性能,适用温度,成本,优点,缺点,应用领域,采集来源,来源链接,采集时间,备注
锰酸锂材料,LiMn?O?,尖晶石结构,4.4,g/cm3,2.5,g/cm3,3,g/cm3,148,mAh/g,135,mAh/g,100,Wh/kg,4,V,3.7-4.5 V,优秀,环保性强,高,-30°C至60°C,较低,相对安全、价格低,能量密度较低、循环性能受限,电动车、储能设备,环境保护部,http://www.mee.gov.cn/,2024-09-17,
钛酸锂材料,Li4Ti5O12,尖晶石结构,4.2,g/cm3,2.1,g/cm3,2.8,g/cm3,175,mAh/g,170,mAh/g,80,Wh/kg,2.4,V,1.0-2.5 V,优良,强,非常安全,-40°C至60°C,适中,高安全性、长寿命,能量密度一般,电动车、储能系统,新材料研究院,http://www.nml.edu.cn/,2024-09-17,
硅基材料,SiO,无定形结构,2.3,g/cm3,1,g/cm3,1.4,g/cm3,420,mAh/g,400,mAh/g,300,Wh/kg,0.5,V,0.0-1.0 V,差,较环保,低,-10°C至70°C,较高,极高的理论容量,循环寿命短、膨胀明显,电动车、手机,清华大学材料科学系,http://www.mat.tsinghua.edu.cn/,2024-09-17,
锂铁锰材料,LiFeMnO?,层状结构,4.5,g/cm3,2.4,g/cm3,3.1,g/cm3,160,mAh/g,150,mAh/g,120,Wh/kg,3.4,V,3.0-4.1 V,优,环保性强,安全性高,-20°C至70°C,适中,良好的经济性、环境友好,能量密度相对较低,电动车、储能,中国科学院化学研究所,http://www.iccas.ac.cn/,2024-09-17,
聚合物材料,C6H10O5,无定形,1.2,g/cm3,0.9,g/cm3,1,g/cm3,200,mAh/g,180,mAh/g,60,Wh/kg,2.8,V,2.0-3.5 V,中等,强,安全性好,-10°C至50°C,低,轻便、用途广泛,能量密度有限,移动电子、医疗设备,工信部材料研究中心,http://www.miit.gov.cn/,2024-09-17,
有机电极材料,C8H10O4S,单斜晶体结构,1.5,g/cm3,1.2,g/cm3,1.5,g/cm3,300,mAh/g,290,mAh/g,150,Wh/kg,3.1,V,2.0-4.0 V,良好,环保性强,较安全,-20°C至60°C,中等,高容量、环境友好,稳定性有待改善,可穿戴设备、智能手机,深圳新材料研究所,http://www.szrc.ac.cn/,2024-09-17,
高铝石材料,LiAlO?,立方晶体结构,3.8,g/cm3,2.1,g/cm3,2.7,g/cm3,135,mAh/g,125,mAh/g,110,Wh/kg,3.5,V,2.9-4.1 V,优良,环保性较强,安全性高,-25°C至65°C,中等,高稳定性、环境友好,能量密度相对较低,新型能源电池、消费电子,北京有色金属研究总院,http://www.bimr.ch/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.4,g/cm3,2.5,g/cm3,3,g/cm3,148,mAh/g,145,mAh/g,120,Wh/kg,3.7,V,3.0-4.3 V,较好,环保性强,较安全,-20°C至70°C,中等,高热稳定性、较好的安全性,能量密度较低、寿命尚可,电动车、储能系统,中国科学院电源研究所,http://www.iapc.cas.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.2,g/cm3,2.9,g/cm3,3.4,g/cm3,140,mAh/g,135,mAh/g,170,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,较安全,-10°C至50°C,高,高能量密度、较长的循环寿命,成本高、资源稀缺,高端消费电子、智能设备,国际电池协会,http://www.ibattery.org/,2024-09-17,
改性镍钴锰材料,LiNi?.6Co?.2Mn?.2O?,层状晶体结构,4.9,g/cm3,2.7,g/cm3,3.3,g/cm3,190,mAh/g,180,mAh/g,215,Wh/kg,3.65,V,3.0-4.5 V,优良,较环保,较安全,-20°C至55°C,较高,高能量密度、优异的功率特性,较高的成本和复杂的生产过程,电动车、动力工具,新能源汽车研究院,http://www.nerc.org.cn/,2024-09-17,
钛酸锂材料,Li?Ti?O??,尖晶石结构,4.5,g/cm3,1.9,g/cm3,2.4,g/cm3,175,mAh/g,170,mAh/g,80,Wh/kg,2.5,V,1.5-3.0 V,优良,环保性强,安全性高,-30°C至70°C,中等,极佳的安全性能、快速充电,能量密度较低、制造成本偏高,混合动力车、储能设备,清华大学能源研究所,http://www.tsinghua.edu.cn/,2024-09-17,
氟掺锂钴氧化物,LiCoO?F,层状晶体结构,5.1,g/cm3,3,g/cm3,3.7,g/cm3,155,mAh/g,150,mAh/g,190,Wh/kg,3.8,V,3.2-4.5 V,较好,较环保,安全性高,-20°C至65°C,高,优异的高能量密度、良好的循环性能,昂贵的制作成本、带有毒性,电动车、高端电子产品,可再生能源学院,http://www.renewableenergy.edu.cn/,2024-09-17,
氟化硼锂材料,LiBF?,非晶体结构,3,g/cm3,1.8,g/cm3,2.2,g/cm3,140,mAh/g,135,mAh/g,120,Wh/kg,3.5,V,3.0-4.0 V,优秀,环保性强,安全性高,-10°C至60°C,中等,良好的化学稳定性、较高的热稳定性,能量密度较低、耐温性需提高,电动车、移动设备,电池技术研究中心官网,http://www.batterytech.edu.cn/,2024-09-17,
高镍三元材料,LiNi?.8Co?.1Mn?.1O?,层状晶体结构,5,g/cm3,2.8,g/cm3,3.2,g/cm3,220,mAh/g,200,mAh/g,245,Wh/kg,3.6,V,3.0-4.6 V,良好,较环保,较安全,-20°C至60°C,高,极高的容量、较好的放电性能,高成本、热稳定性略逊,高端电动车、储能电站,国家电动汽车技术创新中心,http://www.electricvehicle.org.cn/,2024-09-17,
锌钴氧化物,LiZnCoO?,层状晶体结构,5,g/cm3,3,g/cm3,3.9,g/cm3,160,mAh/g,150,mAh/g,190,Wh/kg,3.6,V,3.4-4.6 V,优秀,环境友好,安全性高,-10°C至65°C,较低,良好的循环性能、较好的放电特性,密度较低、能量存储需要提高,电动车、工业设备,电池行业研究院,http://www.batteryindustry.ac.cn/,2024-09-17,
铝掺锂材料,LiAlO?,立方晶体结构,3,g/cm3,1.5,g/cm3,2.1,g/cm3,130,mAh/g,128,mAh/g,110,Wh/kg,3.1,V,2.5-4.0 V,较好,环保性强,较安全,-20°C至60°C,低,更好的电子导电性、成本效益高,能量密度尚可、循环寿命有限,低成本设备、消费电子,中国电池技术协会,http://www.cnbattery.org/,2024-09-17,
