受理号（数字型）,技术名称（字符型）,技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,地区代码（字符型）,审评结论（字符型）,规范企业名称（字符型）,实施方式（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,技术领域（字符型）,注册版本（字符型）,采集来源,来源链接,采集时间,备注
CN10-1773/TJ,高效火箭发动机测试,性能测试,空天技术,2,2023/11/10,高精度推进技术公司,无,已受理,450000,合格,推进技术公司,地面测试,高精度推进技术公司,2023-011,空天技术,V1.0,航天信息网,http://www.spaceinfo.cn/,2024-10-09,
CN10-1782/TJ,高空风测系统改进,系统设计,空天技术,1,2023/12/1,风环境研究中心,无,完成,420000,合格,风动力公司,气动测试,风环境研究中心,2023-012,空天技术,V1.1,中国气象局,http://www.cma.gov.cn/,2024-10-09,
CN10-1819/TJ,下一代低空观测设备,仪器研发,空天技术,2,2023/12/15,低空飞行研究所,国防科技大学,计划中,540000,待审,低空科技公司,现场测试,低空飞行研究所,2023-013,空天技术,V1.0,中国国家空天局,http://www.csa.gov.cn/,2024-10-09,
CN10-1815/TJ,地基传感器网络优化,系统设计,空天技术,1,2023/8/30,地面传感器技术公司,无,已完成,350000,合格,传感器科技有限公司,数据测试,地面传感器技术公司,2023-014,空天技术,V1.0,中国工程院,http://www.cae.cn/,2024-10-09,
CN10-1785/TJ,卫星轨道预测与管理系统,系统开发,空天技术,1,2023/2/22,卫星导航技术研究院,地理信息科学有限公司,已受理,410000,合格,导航科技公司,系统测试,卫星导航技术研究院,2023-006,空天技术,V1.2,河南省科技厅,http://www.hnstd.gov.cn,2024-10-09,
CN10-1710/TJ,无人机遥感数据集成平台,数据集成,空天技术,2,2023/4/11,南方无人机科技有限公司,省级航空科技研究所,完成,450000,合格,南方无人机科技,数据汇总,南方无人机科技有限公司,2023-007,空天技术,V1.0,广西科技厅,http://www.gxst.gov.cn,2024-10-09,
CN10-1787/TJ,高精度三维地形建模技术,建模技术,空天技术,1,2023/5/30,空间数据科技有限公司,省遥感中心,正在进行,220000,待审,空间科技公司,实地校验,空间数据科技有限公司,2023-008,空天技术,V2.0,吉林省科技厅,http://www.jlst.gov.cn,2024-10-09,
CN10-1742/TJ,火星探测器通信系统优化,系统优化,空天技术,2,2023/7/15,宇宙探索科技有限公司,国家航天局,完成,450000,合格,宇宙科技公司,模拟实验,宇宙探索科技有限公司,2023-009,空天技术,V1.3,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1813/TJ,气象卫星数据实时分析技术,数据分析,空天技术,1,2023/8/20,气象科技研究所,国家气象局,待审,110000,待审,气象科技公司,数据处理,气象科技研究所,2023-010,空天技术,V1.0,中央气象台,http://www.cma.gov.cn,2024-10-09,
CN10-1790/TJ,空间地质勘测技术,勘测技术,空天技术,1,2023/9/1,空间勘探科技有限公司,地质研究院,完成,520000,合格,地质科技公司,实验室测试,空间勘探科技有限公司,2023-011,空天技术,V1.1,贵州省科技厅,http://www.gzst.gov.cn,2024-10-09,
CN10-1773/TJ,太阳能卫星动力系统,动力系统,空天技术,2,2023/10/5,新能源动力科技有限公司,国际航天组织,正在进行,310000,待审,新能源科技公司,原型测试,新能源动力科技有限公司,2023-012,空天技术,V1.0,中国能源网,http://www.cec.org.cn,2024-10-09,
CN10-1782/TJ,空间材料性能评估技术,性能评估,空天技术,1,2023/11/1,航空材料性能研究所,国家航天局,完成,330000,合格,航空材料科技公司,性能测试,航空材料性能研究所,2023-013,空天技术,V1.0,浙江省科技厅,http://www.zj.gov.cn,2024-10-09,
CN10-1819/TJ,导航系统信息安全技术,信息安全,空天技术,2,2023/12/10,信息安全科技有限公司,网络安全研究院,待审,640000,待审,信息科技公司,安全评测,信息安全科技有限公司,2023-014,空天技术,V1.0,宁夏科技厅,http://www.nxst.gov.cn,2024-10-09,
CN10-1815/TJ,量子态探测技术,前沿技术,空天技术,1,2023/10/1,量子科技有限公司,未来科技公司,已受理,510000,合格,量子探测技术公司,实验室测试,量子科技有限公司,2023-006,空天技术,V1.0,中国宇航报,http://www.spaceflight.cn/,2024-10-09,
CN10-1785/TJ,卫星通信技术优化,系统优化,空天技术,2,2023/9/20,星际通信公司,宇宙网络公司,正在进行,420000,待审,卫星通信科技公司,系统测试,星际通信公司,2023-007,空天技术,V1.1,通信技术网,http://www.tcn.com/,2024-10-09,
CN10-1710/TJ,深空通信频率仿真,频率仿真,空天技术,1,2023/11/15,深空网络实验室,未来航天公司,已完成,410000,合格,深空通信科技,软件仿真,深空网络实验室,2023-008,空天技术,V1.0,中国航天科技集团,http://www.cast.cn/,2024-10-09,
CN10-1787/TJ,空天飞行器材料研发,材料研究,空天技术,2,2023/12/5,航天材料研究院,新材料科技公司,正在进行,430000,待审,航空材料科技公司,实验室测试,航天材料研究院,2023-009,空天技术,V1.0,中国材料研究网,http://www.cmater.org/,2024-10-09,
CN10-1742/TJ,空间站微重力实验平台,实验平台,空天技术,1,2023/10/30,空间科技集团,宇宙探测有限公司,已受理,440000,合格,空间站技术发展公司,实验室测试,空间科技集团,2023-010,空天技术,V1.1,中国科学技术协会,http://www.cast.org.cn/,2024-10-09,
CN10-1813/TJ,可重复使用火箭技术,火箭技术,空天技术,2,2023/11/1,宇航工程公司,宇宙飞行科技研究中心,正在进行,310000,待审,可重用航天技术公司,性能评估,宇航工程公司,2023-011,空天技术,V1.0,航空航天网,http://www.aerospace.cn/,2024-10-09,
CN10-1790/TJ,空间遥感数据分析技术,数据分析,空天技术,1,2023/12/15,遥感数据处理中心,空间技术公司,已完成,330000,合格,遥感科技研究所,数据分析,遥感数据处理中心,2023-012,空天技术,V1.0,中国科学技术出版网,http://www.cstp.cn/,2024-10-09,
CN10-1791/TJ,空间激光通信技术,通信技术,空天技术,2,2023/10/10,激光通信研究所,星际网络公司,正在进行,500000,待审,激光通信科技公司,技术验证,激光通信研究所,2023-013,空天技术,V1.0,航天工程网,http://www.aerospaceengineering.cn/,2024-10-09,
CN10-1802/TJ,无人机侦察技术,技术开发,空天技术,1,2023/11/25,无人系统技术公司,机器人科技发展中心,已受理,620000,合格,无人机科技公司,现场测试,无人系统技术公司,2023-014,空天技术,V1.1,机器人技术网,http://www.robotics.net.cn/,2024-10-09,
CN10-1733/TJ,空间环境模拟实验系统,实验设备,空天技术,1,2023/2/28,空间科学研究所,宇航实验室,已受理,120000,合格,空间研究科技公司,实验室测试,空间科学研究所,2023-006,空天技术,V1.0,天津市科技局,http://www.tj.gov.cn/jianzheng/,2024-10-09,
CN10-1824/TJ,低轨卫星通信终端技术,通信系统,空天技术,2,2023/4/15,卫星通信工程公司,互联网公司,完成,450000,合格,卫星科技公司,现场测试,卫星通信工程公司,2023-007,空天技术,V1.1,广西科技厅,http://www.gxst.gov.cn/,2024-10-09,
CN10-1695/TJ,空间量测技术与设备,测量设备,空天技术,1,2023/7/9,高精度测量公司,科研院所,正在进行,310000,待审,测量科技公司,实地测试,高精度测量公司,2023-008,空天技术,V1.0,上海科学技术委员会,http://stsj.sh.gov.cn/,2024-10-09,
CN10-1656/TJ,先进无人机导航与控制技术,控制系统,空天技术,1,2023/5/18,无人机研发公司,航空工程公司,已完成,440000,合格,无人机科技公司,实验室测试,无人机研发公司,2023-009,空天技术,V1.0,广东省科技厅,http://gdstc.gd.gov.cn/,2024-10-09,
CN10-1857/TJ,量子通信卫星技术,通信技术,空天技术,1,2023/8/24,量子通信研究中心,电信科技公司,待审,110000,待审,量子科技公司,实验室测试,量子通信研究中心,2023-010,空天技术,V1.0,北京市科技局,http://www.bjkw.gov.cn/,2024-10-09,
CN10-1108/TJ,新型火箭推进系统,发动机设计,空天技术,1,2023/9/2,火箭技术公司,航天动力研究所,已受理,410000,合格,火箭动力科技公司,实验室测试,火箭技术公司,2023-011,空天技术,V1.0,河南省科技厅,http://www.hnkw.gov.cn/,2024-10-09,
CN10-1879/TJ,再生资源处理卫星技术,卫星系统,空天技术,2,2023/10/14,卫星资源回收企业,环保科技公司,完成,430000,合格,资源科技公司,现场验证,卫星资源回收企业,2023-012,空天技术,V1.1,湖南省科技厅,http://www.hnst.gov.cn/,2024-10-09,
CN10-1420/TJ,月球探测罗盘技术,探测设备,空天技术,2,2023/11/1,月球探索公司,航天探索研究所,正在进行,620000,待审,月球科技公司,实地测试,月球探索公司,2023-013,空天技术,V1.0,甘肃省科技厅,http://www.gsks.gov.cn/,2024-10-09,
CN10-1773/TJ,先进气动控制材料,材料技术,空天技术,1,2023/11/20,航空材料研究所,材料科技公司,已完成,540000,合格,航空材料公司,实验室测试,航空材料研究所,2023-014,空天技术,V1.0,西藏自治区科技局,http://www.xzst.gov.cn/,2024-10-09,
CN10-1782/TJ,卫星轨道确定算法,系统设计,空天技术,1,2023/10/1,轨道科技有限公司,中国空间技术有限公司,已受理,120000,合格,轨道科技集团,模拟测试,轨道科技有限公司,2023-006,空天技术,V1.0,宇航期刊,http://www.spacejournal.cn,2024-10-09,
CN10-1819/TJ,近地空间探测技术,探测技术,空天技术,2,2023/9/15,深空探测技术研究所,全球探测科技有限公司,完成,450000,合格,深空科技有限公司,现场探测,深空探测技术研究所,2023-007,空天技术,V1.1,国家地球科学院,https://www.geoscience.gov.cn,2024-10-09,
CN10-1815/TJ,空中加油无人机系统,系统集成,空天技术,1,2023/5/25,无人机技术有限公司,航空工程研究院,正在进行,510000,待审,无人机科技企业,试飞测试,无人机技术有限公司,2023-008,空天技术,V1.2,中国航空网,http://www.chinaaviationnews.com,2024-10-09,
CN10-1785/TJ,太空垃圾清理技术,环保技术,空天技术,2,2023/8/10,太空环境保护研究所,宇航清理公司,已完成,340000,合格,太空环保科技公司,实验室仿真,太空环境保护研究所,2023-009,空天技术,V1.0,环境科学杂志,http://www.envscience.com,2024-10-09,
CN10-1710/TJ,空天信息融合系统,信息技术,空天技术,1,2023/11/12,空间信息技术公司,数字空天实验室,待审,330000,待审,空天信息科技有限公司,虚拟仿真,空间信息技术公司,2023-010,空天技术,V1.0,国家重大科技专项,http://www.most.gov.cn,2024-10-09,
CN10-1787/TJ,航天器热防护系统,系统设计,空天技术,2,2023/7/30,热防护材料研究院,先进材料实验室,已完成,540000,合格,航天热防护科技有限公司,材料测试,热防护材料研究院,2023-011,空天技术,V1.1,航天新闻网,http://www.space-news.cn,2024-10-09,
CN10-1742/TJ,量子通信卫星技术,通信技术,空天技术,1,2023/4/15,量子科技有限公司,信息安全研究所,正在进行,420000,待审,量子通信科技公司,系统集成,量子科技有限公司,2023-012,空天技术,V1.0,中国量子通讯网,http://www.chinaquantum.com,2024-10-09,
CN10-1813/TJ,智能巡天卫星技术,探测技术,空天技术,2,2023/3/25,智能卫星研发中心,综合探测技术公司,已完成,130000,合格,智能科技企业,数据分析,智能卫星研发中心,2023-013,空天技术,V1.0,卫星数据分析网,http://www.satdata.net,2024-10-09,
CN10-1790/TJ,火星探测器设计与制造,系统设计,空天技术,1,2023/2/20,火星探索科技公司,航天器设计院,正在进行,610000,待审,火星探测工程有限公司,实地制造,火星探索科技公司,2023-014,空天技术,V1.0,航天探索助手,http://www.mars-exploration.cn,2024-10-09,
CN12-4573/TJ,量子通信技术应用研究,通信系统,空天技术,1,2023/10/12,量子科技有限公司,高新技术公司,已受理,440100,合格,量子科技研究院,实验室测试,量子科技有限公司,2023-006,空天技术,V1.0,广州市科技局,http://www.gzst.gov.cn,2024-10-09,
CN15-2345/TJ,小型卫星轨道测控团队,轨道控制,空天技术,2,2023/11/20,天宇卫星设计公司,宇航集团,进行中,510000,待审,天宇科技股份有限公司,天地结合实验,天宇卫星设计公司,2023-007,空天技术,V2.0,四川省科技厅,http://stc.sc.gov.cn,2024-10-09,
CN18-8810/TJ,高分辨率遥感卫星图像处理算法,数据处理,空天技术,1,2023/9/25,数字地球科技有限公司,未来科技有限公司,已完成,330100,合格,数字遥感研究所,算法优化,数字地球科技有限公司,2023-008,空天技术,V1.2,浙江省科技反馈,http://www.zjt.gov.cn,2024-10-09,
CN20-1234/TJ,超高空飞行器动力系统,动力系统,空天技术,1,2023/12/5,航天动力研究院,创新航天科技公司,待审,350000,待审,航天动力科技有限公司,实验室测试,航天动力研究院,2023-009,空天技术,V1.0,福建省科技部,http://www.most.gov.cn/fj,2024-10-09,
CN22-5678/TJ,深空探测与数据回传机制,数据传输,空天技术,2,2023/12/15,深空数据科技有限公司,天测科技公司,进行中,510800,合格,深空探测院,实地测试,深空数据科技有限公司,2023-010,空天技术,V1.1,国家创新科技网,http://www.innosci.org,2024-10-09,
CN14-9101/TJ,航天器智能导航系统,导航系统,空天技术,1,2023/5/18,智慧航天公司,导航技术有限公司,已完成,430000,合格,智慧航天研究所,模拟试验,智慧航天公司,2023-011,空天技术,V1.0,湖南省科技厅,http://www.hnst.gov.cn,2024-10-09,
CN19-8130/TJ,空天综合监测平台,监测平台,空天技术,2,2023/7/30,宇宙监测技术公司,全球科技集团,待审,410000,待审,空天监测研究院,系统集成,宇宙监测技术公司,2023-012,空天技术,V1.0,河南省科技委员会,http://www.hnsti.gov.cn,2024-10-09,
CN16-5432/TJ,低轨卫星群数据保险技术,数据安全,空天技术,1,2023/1/8,卫星安全科技有限公司,数据保护公司,已受理,120000,合格,卫星安全研究院,系统测试,卫星安全科技有限公司,2023-013,空天技术,V1.0,天津市科技局,http://www.tianjin.gov.cn,2024-10-09,
CN17-3456/TJ,可重复使用火箭发射系统,发射系统,空天技术,1,2023/2/25,航天发射技术公司,火箭科技公司,已完成,280000,合格,航天发射研究所,现场测试,航天发射技术公司,2023-014,空天技术,V3.0,新疆科技厅,http://www.xj.gov.cn,2024-10-09,
CN11-6813/TJ,全球定位系统精度提升技术,定位系统,空天技术,2,2023/4/15,定位技术研究中心,精密测量公司,进行中,620000,合格,全球定位研究院,实地测试,定位技术研究中心,2023-015,空天技术,V1.1,甘肃科技厅,http://www.gsts.gov.cn,2024-10-09,
CN10-1773/TJ,多光谱遥感系统开发,系统开发,空天技术,1,2023/10/1,遥感与空间信息技术研究所,空间信息科技有限公司,已受理,410000,合格,遥感科技集团,数据分析,遥感与空间信息技术研究所,2023-006,空天技术,V1.2,河南省科技厅,http://hentc.gov.cn,2024-10-09,
CN10-1782/TJ,卫星通信技术优化方案,通信技术,空天技术,2,2023/11/20,卫星通信应用有限公司,通信科技公司,已完成,500000,合格,卫通科技集团,现场验证,卫星通信应用有限公司,2023-007,空天技术,V1.0,重庆市科技局,http://www.cq.gov.cn,2024-10-09,
