试验题目（字符型）,登记号（字符型）,地方标准（字符型）,空天技术系统名称（字符型）,空天技术系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,注册受理号（数字型）,股票代码（数字型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注
量子通信卫星测试,京公网安备11010802032370号,GB/T 03789,量子通信系统,通信系统,完成,第一阶段,技术验证,周杰,量子技术研究院,国家卫星实验室,2023-09-15,2023-10-01,2023-10-30,2023-11-01,京公网安备11010802032370号,930875,科研项目,量子科技有限公司,实验室数据,中国,科技日报,https://www.stdaily.com,2024-10-09,
大气层探测无人机试验,京公网安备11010802032371号,GB/T 67812,多任务无人机,无人系统,正在进行,第二阶段,性能测试,李娜,无人机技术研究所,科研院所,2023-10-05,2023-10-15,待定,2024-01-05,京公网安备11010802032371号,930875,项目申报,无人科技股份有限公司,现场测试数据,中国,航空网,http://www.aero.org.cn,2024-10-09,
空间站材料强度实验,京公网安备11010802032372号,GB/T 83765,空间实验舱,实验舱,完成,第一阶段,科学实验,江涛,空间结构研究中心,国家航天局,2023-08-20,2023-09-01,2023-09-25,2023-10-01,京公网安备11010802032372号,930875,科研项目,航天材料公司,实验室数据,中国,科学网,https://www.sciencenet.cn,2024-10-09,
轨道维护机器人实验,京公网安备11010802032373号,GB/T 17267,轨道维护机器人,机器人系统,正在进行,第二阶段,技术验证,孙强,机器人技术研究中心,国家航天实验室,2023-11-01,2023-11-10,待定,2024-02-20,京公网安备11010802032373号,930875,项目申报,机器人科技公司,现场测试记录,中国,新华网,http://www.xinhuanet.com,2024-10-09,
新型固体燃料测试,京公网安备11010802032374号,GB/T 34037,固体燃料推进系统,推进系统,完成,第三阶段,性能测试,马莉,推进技术研究所,中国航天科工集团,2023-10-15,2023-11-01,2023-11-15,2023-11-20,京公网安备11010802032374号,930875,科研项目,航天推进科技有限公司,实验室记录数据,中国,航天信息网,http://www.spaceinfo.cn,2024-10-09,
卫星成像系统校准实验,京公网安备11010802032375号,GB/T 65582,卫星成像系统,成像系统,完成,第一阶段,数据验证,彭勇,空间成像研究中心,国家遥感中心,2023-09-05,2023-09-15,2023-09-30,2023-10-05,京公网安备11010802032375号,930875,科研项目,成像技术公司,部队测试数据,中国,国防科技网,http://www.defensenews.cn,2024-10-09,
低地轨道反应堆运行实验,京公网安备11010802032376号,GB/T 83701,低地轨道反应堆,能源系统,正在进行,第二阶段,技术验证,王俊,能源技术研究所,航天能源中心,2023-10-20,2023-11-01,待定,2024-01-15,京公网安备11010802032376号,930875,项目申报,航天能源科技有限公司,实验室记录,中国,新能源网,http://www.newenergy.org,2024-10-09,
高超声速战斗机试飞测试,京公网安备11010802045678号,GB/T 78121,高超声速战斗机,飞行器,完成,第三阶段,性能测试,赵薇,高超声速技术研究院,航天科技集团,2023-08-30,2023-09-25,2023-10-15,2023-10-20,京公网安备11010802045678号,930875,科研项目,航天高超声速公司,现场测试数据,中国,航天科技网,http://www.space-tech.com,2024-10-09,
超轻纳米材料测试,京公网安备11010802098765号,GB/T 102938,超轻材料系统,材料工程,正在进行,第一阶段,材料测试,黄健,纳米技术研究所,国家材料实验室,2023-11-09,待定,待定,待定,京公网安备11010802098765号,930875,项目申报,纳米科技公司,实验室数据,中国,科技日报,https://www.kjrb.com.cn,2024-10-09,
低轨道卫星通信系统验证实验,京公网安备11010802012345号,GB/T 40378,低轨道卫星通信,通信系统,正在进行,第一阶段,技术测试,王磊,卫星技术研究院,国家卫星中心,2023-09-12,2023-10-01,待定,2023-10-15,京公网安备11010802012345号,930875,科研项目,星际科技有限公司,实验室数据,中国,科技日报,https://www.stdaily.com/,2024-10-09,
超高空大气监测飞行器实验,京公网安备11010802123456号,GB/T 03789,超高空气象监测器,监测系统,完成,第二阶段,性能评估,张敏,气象科学研究所,国家气象局,2023-08-22,2023-09-01,2023-09-12,2023-09-13,京公网安备11010802123456号,930875,项目申报,气象技术公司,实地测试数据,中国,中国气象局,http://www.cma.gov.cn/,2024-10-09,
空间机器人智能探测实验,京公网安备11010802087654号,GB/T 67891,空间机器人,智能系统,正在进行,第三阶段,技术验证,李军,机器人研究所,国家航天局,2023-06-15,2023-07-10,待定,2023-09-25,京公网安备11010802087654号,930875,科技项目,航天机器人技术有限公司,实验室数据,中国,科技成果网,http://www.most.gov.cn/,2024-10-09,
空间材料耐久性测试,京公网安备11010802034567号,GB/T 78121,耐久性材料实验舱,实验舱,完成,第一阶段,科学实验,于涛,材料科学中心,国家材料测试中心,2023-03-30,2023-04-15,2023-05-05,2023-05-10,京公网安备11010802034567号,930875,项目申报,新材料科技有限公司,实验室数据,中国,材料科学研究所,http://www.materials.cn/,2024-10-09,
火星探测器着陆实验,京公网安备11010802065432号,GB/T 81212,火星探测器,探测系统,正在进行,第二阶段,技术验证,赵丽,火星探测中心,国家航天局,2023-10-01,2023-10-15,待定,2023-10-20,京公网安备11010802065432号,930875,科研项目,航天探测科技公司,实地测试数据,中国,航天日报,http://www.space.gov.cn/,2024-10-09,
空间电力系统优化测试,"京公网安备11010802032367号,京公网安备11010802032368号,京公网安备11010802032369号,京公网安备11010802032370号,京公网安备11010802032371号,京公网安备11010802032372号,京公网安备11010802032373号,京公网安备11010802032374号,京公网安备11010802032375号,京公网安备11010802032376号",GB/T 12172,空间电力综合利用,能源系统,完成,第三阶段,系统测试,周建,航天能源研究所,国家能源局,2023-07-05,2023-08-10,2023-08-25,2023-09-01,"京公网安备11010802032367号,京公网安备11010802032368号,京公网安备11010802032369号,京公网安备11010802032370号,京公网安备11010802032371号,京公网安备11010802032372号,京公网安备11010802032373号,京公网安备11010802032374号,京公网安备11010802032375号,京公网安备11010802032376号",930875,项目申报,能源科技有限公司,实验室数据,中国,能源科技网,http://www.energy.gov.cn/,2024-10-09,
量子通信系统测试,"京公网安备11010802012345号,京公网安备11010802067890号,京公网安备11010802098765号,京公网安备11010802054321号,京公网安备11010802011223号,京公网安备11010802033445号,京公网安备11010802055678号,京公网安备11010802078901号,京公网安备11010802022233号,京公网安备11010802044455号",GB/T 01724,量子通信卫星,通信系统,完成,第一阶段,技术验证,何静,量子通信研究所,国家通信研究院,2023-08-15,2023-09-01,2023-09-20,2023-09-25,"京公网安备11010802012345号,京公网安备11010802067890号,京公网安备11010802098765号,京公网安备11010802054321号,京公网安备11010802011223号,京公网安备11010802033445号,京公网安备11010802055678号,京公网安备11010802078901号,京公网安备11010802022233号,京公网安备11010802044455号",930875,科研项目,量子科技有限公司,实验室数据,中国,量子科技网,http://www.quantum.gov.cn/,2024-10-09,
空间环境评估实验,"京公网安备11010802032367号,京公网安备11010802032368号,京公网安备11010802032369号,京公网安备11010802032370号,京公网安备11010802032371号,京公网安备11010802032372号,京公网安备11010802032373号,京公网安备11010802032374号,京公网安备11010802032375号,京公网安备11010802032376号",GB/T 17283,空间环境监测系统,监测系统,完成,第三阶段,环境测试,冯雄,环境科学研究院,国家空间中心,2023-05-12,2023-06-15,2023-06-30,2023-07-05,"京公网安备11010802032367号,京公网安备11010802032368号,京公网安备11010802032369号,京公网安备11010802032370号,京公网安备11010802032371号,京公网安备11010802032372号,京公网安备11010802032373号,京公网安备11010802032374号,京公网安备11010802032375号,京公网安备11010802032376号",930875,项目申报,环境科技有限公司,实验室数据,中国,环境保护局,http://www.epa.gov.cn/,2024-10-09,
天基反导系统测试,空天技术备案号11010802012345,GB/T 10111,反导防御系统,防御系统,完成,第二阶段,系统测试,高峰,防御科技研究院,国家防务科技局,2023-04-22,2023-05-10,2023-05-25,2023-05-30,空天技术备案号11010802012345,930875,科研项目,防务科技有限公司,实地测试数据,中国,国防科技网,http://www.defense.gov.cn/,2024-10-09,
空中交通管理系统模拟试验,空天技术备案号11010802067890,GB/T 83765,无人驾驶飞行器管理系统,管理系统,完成,第一阶段,系统测试,许强,无人机研究院,航空管理局,2023-05-05,2023-05-15,2023-06-01,2023-06-10,空天技术备案号11010802067890,930875,科研申请,空中科技有限公司,模拟测试数据,中国,航空网,http://www.aviation.gov.cn,2024-10-09,
星际通信系统性能评估,空天技术备案号11010802023456,GB/T 55897,星际通信卫星,通信系统,正在进行,第二阶段,性能评估,周涛,卫星研究所,中国航天科研院,2023-06-20,2023-07-01,待定,2023-09-15,空天技术备案号11010802023456,930875,技术评估,航天科技集团,现场测试数据,中国,科技日报,https://www.stdaily.com/,2024-10-09,
载人航天器环境适应性实验,空天技术备案号11010802098765,GB/T 112723,载人航天器,航天器,完成,第一阶段,环境适应性测试,李雷,宇航员训练中心,国家航天局,2023-08-12,2023-08-20,2023-09-05,2023-09-10,空天技术备案号11010802098765,930875,科研项目,华夏航天科技,实验室数据,中国,新华网,http://www.xinhuanet.com,2024-10-09,
深海探测器稳定性实验,空天技术备案号11010802034567,GB/T 159753,深海探测器,探测器,正在进行,第三阶段,稳定性测试,张华,深海技术研究所,国家海洋局,2023-07-25,2023-08-01,待定,2023-08-30,空天技术备案号11010802034567,930875,技术开发,深海科技有限公司,现场测试数据,中国,海洋科技,https://www.ocean.gov.cn,2024-10-09,
月球探测器软着陆实验,空天技术备案号11010802045678,GB/T 172403,月球探测器,探测器,待定,第一阶段,着陆测试,王刚,航天探索中心,国家月球探测中心,2023-09-01,待定,待定,待定,空天技术备案号11010802045678,930875,项目开发,航天探测有限公司,计划测试数据,中国,航天科技报,http://www.space.gov.cn,2024-10-09,
火星任务科学实验设计,空天技术备案号11010802087654,GB/T 397654,火星探测器,科学研究,正在进行,第二阶段,科学设计,郑丽,火星探索研究院,航天科学技术研究院,2023-09-10,2023-09-20,待定,2023-10-05,空天技术备案号11010802087654,930875,科研项目,火星科学公司,实验室模拟数据,中国,火星探索网,http://www.mars.gov.cn,2024-10-09,
先进无线电通信测试,空天技术备案号11010802056789,GB/T 78121,无线电通信系统,通信系统,完成,第一阶段,技术测试,黄国辉,通信技术研究院,国家通信局,2023-10-01,2023-10-15,2023-11-01,2023-11-02,空天技术备案号11010802056789,930875,技术测试,通信科技有限公司,测试记录,中国,通信报,http://www.telecom.gov.cn,2024-10-09,
低轨卫星网络性能测试,空天技术备案号11010802013579,GB/T 258031,低轨卫星通信网络,通信网络,正在进行,第三阶段,性能实验,李娜,卫星通信研究院,国家卫星技术中心,2023-10-05,2023-10-10,待定,2023-11-01,空天技术备案号11010802013579,930875,项目开发,卫星科技有限公司,实验室测试数据,中国,卫星网,http://www.satellite.gov.cn,2024-10-09,
低轨道卫星信号接收能力测试,空天技术备案号11010802024680,GB/T 55897,低轨卫星通讯系统,通讯系统,完成,第一阶段,性能测试,赵敏,国家卫星通信中心,航天科技研究院,2023-02-05,2023-02-20,2023-03-10,2023-03-12,空天技术备案号11010802024680,930875,科研项目,卫星科技有限公司,实验室数据,中国,中国卫星网,http://www.chinasatellitenet.com,2024-10-09,
载人火箭发射安全性评估,京公网安备11010802012345号,GB/T 65582,载人航天系统,发射系统,正在进行,第二阶段,安全测试,孙刚,中国载人航天工程办公室,国家航天局,2023-03-15,2023-04-01,待定,2024-02-01,京公网安备11010802012345号,930875,项目申报,航天工程公司,实地测试数据,中国,航天科技新闻,http://www.space-science.org,2024-10-09,
新型太阳能电池技术实验,京公网安备11010802067890号,GB/T 87654,太阳能发电系统,能源系统,完成,第一阶段,技术验证,刘圆,太阳能研究所,能源科技中心,2023-05-01,2023-05-15,2023-06-10,2023-06-12,京公网安备11010802067890号,930875,科研项目,绿色科技公司,实验室数据,中国,能源网,http://www.energynews.com,2024-10-09,
空间站模块对接技术测试,京公网安备11010802023456号,GB/T 58970,空间站对接系统,对接系统,正在进行,第三阶段,综合测试,于峰,国际空间站技术合作中心,中科院空间科学所,2023-07-15,2023-08-01,待定,2024-01-20,京公网安备11010802023456号,930875,项目申报,航天技术有限公司,实地测试数据,中国,航天日报,http://www.spacechronicle.com,2024-10-09,
