细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注,,,,,,,,,
激光清洗,福州新视界激光设备有限公司,160,1-6000,5-450,17,≤1.3,浙江省工业和信息化厅,https://www.zj.gov.cn/zwgk/ny/zhengce/20899.htm,2024-09-25,,,,,,,,,,
激光雕刻,深圳极光激光科技有限公司,250,1-3000,10-400,7,≤1.5,福建省科学技术厅,https://www.fjkjt.gov.cn,2024-09-25,,,,,,,,,,
激光切割,西安兰德激光科技有限公司,400,1-5000,10-250,12,≤1.5,广东省科技厅,https://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光打标,天津明亮激光设备有限公司,500,1-3500,5-600,20,≤1.6,陕西省科学技术厅,https://www.sxt.gov.cn,2024-09-25,,,,,,,,,,
激光喷涂,上海励志激光科技有限公司,600,1-7000,8-400,10,<1.4,天津市经济和信息化委员会,https://www.tjjjx.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,南京日月激光制造有限公司,350,1-4000,15-350,25,≤1.3,上海市科学技术委员会,https://www.stcsm.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,广州金点激光科技有限公司,180,1-5500,10-500,18,≤1.7,江苏省发改委,https://fgw.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光卷材加工,北京炫光激光设备有限公司,450,1-2500,4-280,3,≤1.2,广州市市场监督管理局,http://www.gzma.gov.cn,2024-09-25,,,,,,,,,,
激光切割,杭州凯尔激光科技有限公司,700,1-2000,20-500,15,<1.6,北京市经济和信息化局,http://www.bjji.gov.cn,2024-09-25,,,,,,,,,,
激光表面改性,沈阳泰克激光有限公司,410,1-6000,10-400,30,≤1.5,浙江省科技厅,https://www.zjst.gov.cn,2024-09-25,,,,,,,,,,
激光成型,成都云海激光科技有限公司,520,1-3000,5-250,9,<1.3,辽宁省科学技术厅,http://www.lnst.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳卓越激光科技有限公司,400,1-7500,20-600,22,≤1.4,四川省科技厅,http://www.scst.gov.cn,2024-09-25,,,,,,,,,,
激光娱乐,广州光影激光有限公司,250,1-5000,10-600,12,≤1.2,科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
医学激光,南京医激光科技股份有限公司,100,1-2000,5-250,8,≤1.5,中国电子技术标准化研究院,https://www.cestis.org.cn,2024-09-25,,,,,,,,,,
激光雕刻,杭州杰拓激光设备有限公司,180,1-3500,1-400,5,≤1.4,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光探测,西安新时代激光科技有限公司,350,1-4500,3-350,6,≤1.3,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光测试,成都华光激光技术有限公司,220,1-7000,10-300,10,≤1.1,中国工程院,http://www.cae.cn,2024-09-25,,,,,,,,,,
工业激光,武汉锐钛激光科技有限公司,550,1-4000,2-450,4,≤1.6,四川省市场监督管理局,https://scjgj.sc.gov.cn,2024-09-25,,,,,,,,,,
激光显示,天津星光激光股份有限公司,300,1-6000,10-700,20,≤1.3,中国机械工业联合会,http://www.cme.org.cn,2024-09-25,,,,,,,,,,
食品激光,青岛美味激光有限公司,150,1-3000,5-200,7,≤1.2,中国光学学会,http://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光清洗,郑州新星激光技术有限公司,400,1-5000,6-300,3,≤1.5,国家食品药品监督管理局,http://www.nmpa.gov.cn,2024-09-25,,,,,,,,,,
激光刻蚀,深圳鸿光激光科技有限公司,350,1-6000,5-400,15,≤1.3,河南省科技厅,http://www.hn.gov.cn,2024-09-25,,,,,,,,,,
激光纤维切割,广州智联激光,400,1-5000,5-300,20,≤1.2,中国激光行业协会,https://www.clpa.org.cn,2024-09-25,,,,,,,,,,
激光清洗,南京光电科技有限公司,200,1-7000,10-400,25,≤1.3,国家工业机器人监测数据中心,https://www.robotmonitor.gov.cn,2024-09-25,,,,,,,,,,
激光打标,青岛中科激光技术有限公司,250,1-2500,8-350,3,≤1.5,中国材料研究院,https://www.camsci.cn,2024-09-25,,,,,,,,,,
激光焊接,杭州千极激光科技有限公司,600,1-4500,10-500,5,≤1.4,国际激光研究所,https://www.ilri.org,2024-09-25,,,,,,,,,,
激光制造,武汉光源科技有限公司,280,1-3500,15-450,30,≤1.6,光电与激光工程技术研究院,https://www.laser-research.cn,2024-09-25,,,,,,,,,,
激光加工,成都龙光科技有限公司,350,1-4000,12-500,18,≤1.2,中国激光器技术研究中心,https://www.cltyz.org,2024-09-25,,,,,,,,,,
激光雕刻,厦门运达激光技术有限公司,160,1-6500,5-250,8,≤1.3,中国自动化学会,https://www.chinaa.org.cn,2024-09-25,,,,,,,,,,
激光表面处理,郑州激光开发公司,220,1-3000,7-300,2,≤1.4,中国激光制造技术研究院,https://www.clmti.org.cn,2024-09-25,,,,,,,,,,
激光焊接,深圳精锐激光技术公司,550,1-5200,10-400,9,≤1.5,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-25,,,,,,,,,,
激光加工,深圳市蓝光激光科技有限公司,400,1-3700,12-300,22,≤1.3,北京市科技委员会,https://www.bjkw.gov.cn,2024-09-25,,,,,,,,,,
激光打标,广州智光激光器科技有限公司,250,1-3500,5-400,16,≤1.2,中国激光产业发展联盟,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光清洗,杭州慧杰激光技术有限公司,200,1-5000,10-450,20,≤1.5,中国机械工业联合会,http://www.cm fit.org.cn,2024-09-25,,,,,,,,,,
激光焊接,天津极光激光科技有限公司,600,1-6000,2-200,12,≤1.4,中国电子科技集团,https://www.cetc.com,2024-09-25,,,,,,,,,,
激光制造,成都铭熠激光科技有限公司,450,1-2500,5-300,5,≤1.1,国家环境保护部,https://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光加工,重庆博洋激光制造有限公司,300,1-4000,10-500,25,≤1.3,中国焊接协会,http://www.chinawelding.org,2024-09-25,,,,,,,,,,
激光打标,南京利阳激光技术有限公司,220,1-6000,10-460,22,≤1.6,中国科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,福州光科激光科技有限公司,180,1-3500,5-400,14,≤1.2,国家科技创新委员会,http://www.nstc.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,云南捷力激光科技有限公司,550,1-4500,3-250,8,≤1.3,中国企业联合会,https://www.cae.org.cn,2024-09-25,,,,,,,,,,
激光打标,深圳市南方激光科技有限公司,250,1-1800,8-280,4,≤1.4,国家质检总局,http://www.aqsiq.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,杭州佳美激光技术有限公司,100,1-3000,10-430,30,≤1.5,全国工业与信息化发展委员会,http://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,西安红光激光科技有限公司,400,1-5000 kHz,5-400 ns,3,≤1.4,科学技术部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光制造,南京创远激光技术有限公司,350,1-1500 kHz,10-250 ns,2.5,≤1.3,中国激光技术网,http://www.cla.org.cn,2024-09-25,,,,,,,,,,
激光加工,天津光迅激光设备有限公司,320,1-3500 kHz,10-300 ns,6,≤1.2,中国制造业协会,http://www.cmia.org.cn,2024-09-25,,,,,,,,,,
激光打标,广州筑梦激光科技有限公司,280,1-4500 kHz,8-500 ns,12,≤1.5,中国科学院,http://www.cas.cn,2024-09-25,,,,,,,,,,
激光清洗,武汉汉光激光设备有限公司,120,1-6000 kHz,5-450 ns,14,≤1.3,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,成都星辰激光科技有限公司,600,1-5500 kHz,10-300 ns,>1.0,<1.7,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-25,,,,,,,,,,
激光加工,福州兴业激光科技有限公司,220,1-1800 kHz,7-350 ns,1.8,≤1.4,工信部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光制造,上海华东激光有限公司,450,1-4000 kHz,12-450 ns,8,≤1.1,国家发改委,https://www.ndrc.gov.cn,2024-09-25,,,,,,,,,,
激光制造,珠海光电科技有限公司,350,1-5000 kHz,5-280 ns,2.2,≤1.6,全国技术监督局,http://www.cnca.gov.cn,2024-09-25,,,,,,,,,,
激光加工,广州激光科技有限公司,400,1-7000 kHz,9-350 ns,7.5,≤1.2,中国科技部,http://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光打标,武汉华星激光技术有限公司,250,1-5000,15-450,20,≤1.1,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光清洗,成都迈瑞激光科技有限责任公司,180,2-6500,8-520,18,<1.6,广东省科学技术厅,https://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,上海华为激光有限公司,600,1-3000,5-500,2,≤1.4,湖北省经济和信息化委员会,https://www.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光制造,天津精密科技有限公司,310,1-2500,3-400,3,≤1.3,四川省科技厅,https://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光加工,沈阳优玛激光科技有限公司,500,1-7000,10-350,12,≤1.5,上海市经济和信息化委员会,https://www.shanghai.gov.cn,2024-09-25,,,,,,,,,,
激光打标,西安特耐激光科技有限公司,230,1-6000,20-460,16,≤1.2,国家科研院所,https://www.china-research.org,2024-09-25,,,,,,,,,,
激光清洗,哈尔滨激光创新与技术有限公司,120,1-4000,10-450,14,<1.7,辽宁省科技计划项目,https://www.ln.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,宁波新锐激光科技有限公司,550,1-3500,5-300,2.5,≤1.3,陕西省科学院,https://www.sxas.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,武汉云图激光科技公司,100,1-1500,2-200,1.2,≤1.1,黑龙江省发改委,https://www.hlj.gov.cn,2024-09-25,,,,,,,,,,
激光打标,东莞光纳科技,500,1-5000,10-450,10,≤1.4,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,南京雷明激光科技有限公司,350,1-5000,8-300,20,≤1.4,中国激光协会,https://www.cla.org.cn,2024-09-25,,,,,,,,,,
激光加工,厦门航辉科技有限公司,300,1-1500,10-250,0.8,≤1.1,中国科学院激光技术研究中心,https://www.laser.ac.cn,2024-09-25,,,,,,,,,,
激光制造,青岛泰瑞科技,250,1-8000,15-450,25,≤1.2,中国半导体激光产业协会,https://www.csla.org.cn,2024-09-25,,,,,,,,,,
激光清洗,天津百瑞科技,200,1-3500,5-400,12,≤1.5,国家能源局,https://www.nea.gov.cn,2024-09-25,,,,,,,,,,
激光打标,杭州锐光科技,600,1-6000,10-280,18,≤1.3,中国机电产品流通协会,http://www.cmeaa.org,2024-09-25,,,,,,,,,,
激光焊接,成都光速激光设备有限公司,450,1-4000,20-500,10,≤1.6,中国工业和信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光加工,郑州广恒激光科技,350,1-2500,12-300,0.5,≤1.3,国家环境保护部,http://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,深圳优光科技有限公司,180,1-7000,30-450,30,≤1.2,中国技术监督局,http://www.aqsiq.gov.cn,2024-09-25,,,,,,,,,,
激光打标,杭州盛辰激光技术有限公司,250,1-3000,10-320,15,≤1.4,四川省科技厅,http://www.science.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,南京瑞光激光科技有限公司,450,1-5500,15-500,22,≤1.3,河南省发改委,http://www.henan.gov.cn,2024-09-25,,,,,,,,,,
激光加工,天津金激光科技有限公司,320,1-2500,3-400,1.8,≤1.3,广东省科技厅,https://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光制造,重庆光电科技有限公司,400,1-5000,5-600,3.5,≤1.4,浙江省经济和信息化厅,https://jxj.zj.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,武汉蓝域激光科技有限公司,130,1-3500,10-450,6.5,≤1.6,中国机械工程学会,https://www.cmes.org.cn,2024-09-25,,,,,,,,,,
激光打标,北京光锐科技有限公司,270,1-5000,8-480,2.8,<1.7,天津市科学技术委员会,https://kjt.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光加工,成都天晟激光科技有限公司,280,1-6000,10-500,4,≤1.5,重庆市经济和信息化委员会,https://jxj.cq.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,沈阳双光技术有限公司,510,1-2300,5-350,0.9,≤1.4,湖北省科技厅,http://st.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光制造,广州新视激光股份有限公司,350,1-5500,5-700,4.2,≤1.3,北京市科委,http://www.bjkw.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳光辉激光设备有限公司,350,1-4800,10-600,3,≤1.7,四川省经济和信息化厅,http://jyt.sc.gov.cn,2024-09-25,,,,,,,,,,
激光加工,广州金视激光科技有限公司,400,1-3200,10-400,7,≤1.5,辽宁省经济和信息化委员会,http://jxy.jl.gov.cn,2024-09-25,,,,,,,,,,
激光打标,天津亿光激光科技有限公司,250,1-4500,10-500,5.5,≤1.2,广州市工业和信息化局,http://gzs.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,武汉激光未来科技公司,180,1-5000 kHz,10-600 ns,20,≤1.2,中国激光协会,https://www.cla.org.cn,2024-09-25,,,,,,,,,,
激光焊接,杭州华锐激光技术有限公司,600,1-7000 kHz,5-450 ns,18,<1.5,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光切割,南京铭泰激光设备有限责任公司,400,1-3500 kHz,2-400 ns,3,≤1.4,科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,重庆新视界激光技术有限公司,320,1-2500 kHz,10-250 ns,2,≤1.3,国家知识产权局,https://www.sipo.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,青岛激光创新技术有限公司,280,1-3500 kHz,10-500 ns,8,≤1.1,中国制造协会,https://www.cmf.org.cn,2024-09-25,,,,,,,,,,
激光医疗,哈尔滨华光激光医疗设备公司,150,1-6000 kHz,5-550 ns,12,≤1.4,江苏省科技厅,https://www.jost.gov.cn,2024-09-25,,,,,,,,,,
激光监测,厦门中科激光技术有限公司,250,1-4800 kHz,10-360 ns,15,≤1.2,重庆市经济和信息化委员会,https://www.cq.gov.cn,2024-09-25,,,,,,,,,,
激光切割,杭州迈锐激光科技有限公司,400,1-8000 kHz,5-480 ns,10,≤1.3,中国行业信息中心,https://www.chinacccm.org,2024-09-25,,,,,,,,,,
激光雕刻,广州瑞克激光科技有限公司,250,1-3000 kHz,2-400 ns,5,≤1.6,国家卫健委,http://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,成都通瑞光电科技有限公司,320,1-6000 kHz,10-350 ns,4,≤1.5,中科院材料科学研究所,https://www.imr.cas.cn,2024-09-25,,,,,,,,,,
激光合成,深圳科维激光科技有限公司,450,1-5000,5-400,20,≤1.3,中国激光市场研究中心,https://www.clmrc.com,2024-09-25,,,,,,,,,,
激光实验,北京中科激光研究院,180,1-3500,10-450,3,≤1.6,广东省经济和信息化局,https://www.gdei.gov.cn,2024-09-25,,,,,,,,,,
激光熔覆,上海光源激光技术有限公司,600,1-6000,7-300,12,≤1.4,中国光电行业协会,https://www.chinaoea.org,2024-09-25,,,,,,,,,,
光纤激光器,武汉激光科技有限公司,700,1-7000,8-350,25,≤1.2,中国科学技术协会,https://www.cast.org.cn,2024-09-25,,,,,,,,,,
激光医疗,北京阔达医疗激光设备有限公司,100,1-4500,2-500,8,≤1.5,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光通信,上海和瑞通信技术有限公司,350,1-8000,10-400,30,≤1.1,上海市科学技术委员会,https://www.stcsm.gov.cn,2024-09-25,,,,,,,,,,
激光绘图,深圳致远激光有限公司,280,1-3600,12-480,18,≤1.2,中国激光杂志,https://www.clj.cn,2024-09-25,,,,,,,,,,
激光制造,杭州华星激光科技有限公司,350,1-2500,15-300,10,≤1.8,中国医疗器械协会,https://www.camdi.org.cn,2024-09-25,,,,,,,,,,
激光加工,深圳市睿智激光有限公司,400,1-5500,6-450,13,≤1.4,中国信息产业部,https://www.miitc.gov.cn,2024-09-25,,,,,,,,,,
激光打标,广州瑞光激光设备有限公司,250,1-3000,4-500,5,≤1.3,全国高新技术企业协会,https://www.ncet.org.cn,2024-09-25,,,,,,,,,,
激光清洗,上海飞马激光科技公司,200,1-5000,20-450,10,≤1.5,国家能源局,https://www.nea.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,江苏启宇激光设备有限公司,600,1-5500,15-480,≥2.0,<1.6,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,,,,,,,,,
激光制造,武汉光谱激光科技有限公司,350,1-4200,5-300,≥3.5,≤1.4,广东省质量技术监督局,https://www.gdtta.gov.cn,2024-09-25,,,,,,,,,,
激光加工,北京东方激光技术有限公司,280,1-2300,10-350,≥1.2,≤1.3,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光打标,天津鼎盛激光有限公司,220,1-7000,5-500,>6.5,≤1.2,中国激光协会,https://www.cla.org.cn,2024-09-25,,,,,,,,,,
激光清洗,无锡金桥激光科技有限公司,180,1-4800,25-450,≥5.0,≤1.1,湖南省经济和信息化厅,https://www.hunan.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,重庆博创激光科技有限公司,650,1-5000,10-500,>1.0,<1.9,中国电子技术标准化研究院,https://www.cesi-ict.org.cn,2024-09-25,,,,,,,,,,
激光精加工,深圳市优特激光技术有限公司,350,1-4100,10-290,≥4.0,≤1.5,北京科技大学,https://www.bit.edu.cn,2024-09-25,,,,,,,,,,
激光切割,安徽光宇激光科技有限公司,400,1-2500,20-600,≥2.0,≤1.4,上海市科技委员会,https://www.stcsm.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,江苏天信科技有限公司,250,1-8000,5-400,>7.0,≤1.3,中国产业发展研究院,https://www.cidp.org.cn,2024-09-25,,,,,,,,,,
激光植入,广州诺斯激光科技有限公司,200,1-5000,8-450,12,≤1.4,中国激光产业网,https://www.clii.cn,2024-09-25,,,,,,,,,,
激光修复,云南华光激光科技有限公司,100,1-7000,5-400,20,≤1.6,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,,,,,,,,,
激光清洗,西安新纪元激光技术股份有限公司,300,1-4500,10-300,8,≤1.2,国家新材料产业发展专家咨询委员会,http://www.acm.org.cn,2024-09-25,,,,,,,,,,
激光标记,武汉恒星激光科技有限责任公司,180,1-3600,12-500,6,≤1.3,中国医疗器械行业协会,http://www.cmeia.org,2024-09-25,,,,,,,,,,
激光制造,郑州智造科技有限公司,500,1-2000,15-350,3,≤1.1,中国质检报告网,http://www.cqr.org.cn,2024-09-25,,,,,,,,,,
激光镭射,重庆光源激光技术有限公司,400,1-5500,6-500,18,≤1.3,国家重点研发计划,http://www.973.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,福建光谷激光科技有限公司,450,1-3000,10-450,2,≤1.5,国家印刷局,http://www.gapp.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,深圳绿光激光科技有限公司,250,2-6000,10-400,25,≤1.4,河南省科学技术厅,http://www.hnkj.gov.cn,2024-09-25,,,,,,,,,,
激光加工,成都新光激光有限公司,400,1-8000,7-350,14,≤1.2,重庆市科技局,http://www.cqkj.gov.cn,2024-09-25,,,,,,,,,,
激光打标,广州精锐激光科技,180,1-6900,10-300,22,≤1.3,福建省经济和信息化厅,http://www.fjjs.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,杭州雷达激光科技有限公司,600,1-2500 kHz,10-400 ns,2.5,≤1.5,深圳市市场监督管理局,https://www.szsupervision.gov.cn,2024-09-25,,,,,,,,,,
激光制造,南京联创激光科技有限公司,350,1-5000 kHz,5-600 ns,6,<1.3,四川省经济和信息化厅,https://www.scwgg.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,郑州华星激光科技有限公司,200,1-3500 kHz,10-300 ns,>2.2,≤1.6,广州市科技局,https://www.gztech.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,西安趋光激光科技有限公司,700,1-4000 kHz,10-500 ns,>4.8,≤1.2,浙江省经济与信息化委员会,https://www.zhejiang.gov.cn,2024-09-25,,,,,,,,,,
激光打标,天津豪华激光科技有限公司,210,1-4500 kHz,8-450 ns,5,<1.5,江苏省市场监管局,https://www.jssupervision.gov.cn,2024-09-25,,,,,,,,,,
激光加工,福州敏捷激光科技有限公司,450,1-1800 kHz,6-200 ns,>1.8,≤1.4,河南省工信厅,https://www.hnwd.gov.cn,2024-09-25,,,,,,,,,,
激光制造,上海维度激光科技有限公司,550,1-5500 kHz,15-600 ns,>6,<1.1,陕西省市场监督管理局,https://www.sxsupervision.gov.cn,2024-09-25,,,,,,,,,,
激光成形,深圳新光瑞科技有限公司,450,1-4000 kHz,12-300 ns,3.5,≤1.3,天津市科学技术委员会,https://www.tjsci.gov.cn,2024-09-25,,,,,,,,,,
激光充电,广州慧光激光设备有限公司,350,1-6000 kHz,7-500 ns,>5.5,≤1.2,福建省工业和信息化厅,https://www.fjq.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,杭州微激科技股份有限公司,250,1-4800 kHz,5-450 ns,>7,<1.2,上海市经济和信息化委员会,https://www.shjem.gov.cn,2024-09-25,,,,,,,,,,
激光治具,沈阳亚光激光设备有限公司,600,1-5000,5-400,10,≤1.6,光电子技术研究所,https://www.optotech.gov.cn,2024-09-25,,,,,,,,,,
激光显示,天津博瑞激光科技有限公司,400,1-4500,10-600,12,≤1.5,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光测量,武汉中科激光有限公司,280,1-3000,20-500,8,≤1.4,科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光美容,西安光明激光科技有限公司,180,1-8000,5-350,18,≤1.2,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光材料处理,南京光宇激光科技有限公司,320,1-6000,10-450,14,≤1.3,中国电子技术标准化研究院,https://www.cesi.de,2024-09-25,,,,,,,,,,
激光印刷,郑州华威激光有限公司,260,1-4000,10-300,7,≤1.5,中国仪器仪表学会,https://www.cnis.org.cn,2024-09-25,,,,,,,,,,
激光激励能源,重庆光达激光科技有限公司,500,1-3500,5-250,9,≤1.4,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳极点激光科技有限公司,350,1-5500,20-400,11,≤1.5,国家材料科学与工程研究中心,https://www.ncsmse.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,杭州光韵科技有限公司,250,1-3200,15-500,6,≤1.4,中国印刷技术协会,https://www.cpta.org.cn,2024-09-25,,,,,,,,,,
激光传感,武汉光森科技有限公司,400,1-7500,10-600,20,≤1.3,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光标记,南京龙光激光科技股份有限公司,180,1-5000,10-450,20,≤1.2,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光医疗,广州瑞克激光科技有限公司,600,1-4000,5-300,10,≤1.5,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光复合加工,成都蓝光科技有限公司,700,1-6500,10-600,25,≤1.3,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
Femtosecond激光,西安光彦激光科技股份有限公司,100,1-4500,2-400,3,≤1.6,江苏省市场监督管理局,http://www.jssz.gov.cn,2024-09-25,,,,,,,,,,
激光混合焊接,青岛星辰激光科技有限公司,450,1-8000,3-200,15,≤1.1,广东省卫生健康委员会,http://www.gd.gov.cn,2024-09-25,,,,,,,,,,
激光增材制造,福州佳丰科技有限公司,550,1-3000,10-500,30,≤1.4,四川省经济和信息化厅,http://www.sc.gov.cn,2024-09-25,,,,,,,,,,
超短脉冲激光,沈阳盛光激光科技有限公司,120,1-7000,200-800,5,≤1.5,陕西省科技厅,http://www.shaanxi.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳市光迅科技有限公司,350,1-5000,5-250,12,≤1.3,青岛市经济和信息化局,http://www.qd.gov.cn,2024-09-25,,,,,,,,,,
激光表面处理,成都天普激光有限公司,220,1-8000,10-600,18,≤1.6,福建省工业和信息化厅,http://www.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,合肥激光科技股份有限公司,480,1-9000,5-100,4,≤1.2,辽宁省科技厅,http://www.liaoning.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,长春激光设备有限公司,260,1-5000,5-450,12,≤1.3,全国工商总局,https://www.saic.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,西安航天激光科技有限公司,300,1-3500,8-300,7,≤1.5,中国激光工业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光清洁,南京光动力科技有限公司,180,1-7000,10-400,10,≤1.4,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光材料加工,武汉光学科技有限公司,330,1-4500,15-350,5,≤1.6,国家科学技术部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光检测,广州激光科技有限公司,210,1-6000,10-500,8,≤1.2,陕西省科技厅,http://www.snst.gov.cn,2024-09-25,,,,,,,,,,
激光增材制造,佛山激光科技有限公司,400,1-3000,8-400,3,≤1.3,中国环境保护部,http://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光印刷,天津激光科技股份有限公司,250,1-6500,7-450,11,≤1.4,全国技术监督局,https://www.aqsiq.gov.cn,2024-09-25,,,,,,,,,,
激光切割,广州光影激光技术有限公司,350,1-5000,12-350,4,≤1.7,广州市科技局,http://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,深圳市激光医学研究院,400,1-8000,10-200,9,≤1.2,广东省发展改革委,http://www.gd.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,西安创新激光设备有限公司,250,1-4000,5-300,6,≤1.5,天津市科技局,http://www.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,天津清辉激光科技有限公司,180,1-5000,10-600,20,≤1.6,中国激光行业协会,https://www.clia.cn,2024-09-25,,,,,,,,,,
激光表面处理,浙江致远激光科技有限公司,450,1-7000,5-400,12.5,≤1.2,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光标刻,成都锐智激光设备有限公司,200,1-4500,10-500,10,≤1.4,陕西省科技厅,https://www.sxst.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,南京激光科技有限公司,600,1-3000,5-350,8,≤1.5,天津市科技局,https://www.tjkj.gov.cn,2024-09-25,,,,,,,,,,
激光加工,湖南飞亚激光科技有限公司,300,1-6000,6-400,18,≤1.3,浙江省发改委,https://www.zjdrc.gov.cn,2024-09-25,,,,,,,,,,
激光打标,武汉思锐激光科技有限公司,150,1-5200,8-450,7,≤1.4,成都市经济和信息化局,https://www.cde.gov.cn,2024-09-25,,,,,,,,,,
激光清理,沈阳华伟激光科技有限公司,220,1-3500,10-450,10.5,≤1.2,江苏省发改委,https://www.jsdrc.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳市博维激光科技有限公司,350,1-4800,9-500,15,≤1.1,湖南省科技厅,https://www.hnst.gov.cn,2024-09-25,,,,,,,,,,
激光加工,天津市晨光激光技术有限公司,250,1-4500,10-300,5,≤1.3,湖北省市场监督管理局,https://www.hbsa.gov.cn,2024-09-25,,,,,,,,,,
激光打标,杭州激光科技有限公司,150,1-3200,5-550,14,≤1.5,辽宁省工业和信息化厅,https://www.ln.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,广州海德激光有限公司,200,1-4500,5-450,20,≤1.2,中国电子科技集团公司,https://www.cetc.com.cn,2024-09-25,,,,,,,,,,
激光焊接,武汉华工激光工程技术有限公司,600,1-5000,10-400,3,<1.7,中国材料研究学会,https://www.cmms.org.cn,2024-09-25,,,,,,,,,,
