细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注
激光焊接,佛山宏达激光科技有限公司,650,1-5000 kHz,20-480 ns,>9,<1.3,佛山市工业和信息化局,https://www.foshan.gov.cn,,
激光清洗,成都蓝星激光设备公司,300,1-4000 kHz,10-200 ns,11,≤1.4,四川省科技厅,https://www.sc.gov.cn,,
激光镭射,杭州超越激光设备有限公司,500,1-7000 kHz,6-300 ns,14,≤1.2,浙江省科技厅,https://www.zj.gov.cn,,
激光打标,天津科学激光科技有限公司,220,1-4500 kHz,5-400 ns,6,<1.5,天津市科学技术局,https://www.tianjin.gov.cn,,
激光混合焊接,北京华夏激光科技有限公司,500,1-8000 kHz,7-200 ns,18,≤1.1,北京市科学技术委员会,https://www.beijing.gov.cn,,
激光精密切割,青岛航天激光科技有限公司,550,1-7500 kHz,8-350 ns,9,<1.3,青岛市科技局,https://www.qd.gov.cn,,
激光焊接,沈阳鑫睿激光科技有限公司,700,1-5000 kHz,10-400 ns,10,<1.4,辽宁省科技厅,https://www.ln.gov.cn,,
激光切割,郑州星辉激光有限公司,300,1-4600 kHz,15-370 ns,4,≤1.6,河南省科技厅,https://www.henan.gov.cn,,
激光打孔,南昌云飞激光设备有限公司,380,1-5000 kHz,5-450 ns,8,<1.5,江西省科技厅,https://www.jiangxi.gov.cn,,
激光清洗,昆明翰威激光有限公司,220,1-3500 kHz,12-200 ns,12,≤1.8,云南省科技局,https://www.yn.gov.cn,,
激光加工,宁波浩宇激光实业有限公司,480,1-4200 kHz,10-350 ns,11,<1.3,浙江省发展和改革委员会,https://www.zj.gov.cn,,
激光焊接,深圳市激光科技有限公司,700,1-5000 kHz,10-400 ns,>10,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,上海精唯激光科技有限责任公司,800,1-9000 kHz,2-200 ns,5,<1.4,上海市科学技术委员会,http://www.sstc.gov.cn,,
激光精密制造,北京艾克拉激光科技有限公司,500,1-6000 kHz,15-450 ns,7,<1.5,北京市外国专家局,http://www.bjforeignexpert.gov.cn,,
激光打标,天津光腾激光器有限公司,230,1-4800 kHz,8-350 ns,4,<1.6,天津市科学技术局,http://www.tianjin.gov.cn,,
激光清洗,长春新领航激光科技有限公司,300,1-6200 kHz,12-350 ns,9,≤1.5,吉林省经济技术合作局,http://www.jilin.gov.cn,,
激光打孔,东莞创高激光设备有限公司,350,1-4000 kHz,5-300 ns,6,≤1.8,广东省科技厅,http://www.gd.gov.cn,,
激光切割,厦门创意激光科技有限公司,750,1-7500 kHz,3-400 ns,8,<1.5,厦门市科学技术局,http://www.xm.gov.cn,,
激光焊接,沈阳万裕激光科技有限公司,900,1-8000 kHz,10-250 ns,>15,≤1.1,辽宁省科技厅,https://www.ln.gov.cn,,
激光精密制造,南京光辉激光器械有限公司,450,1-5000 kHz,20-300 ns,5,<1.5,江苏省经济和信息化委员会,https://www.jskjj.gov.cn,,
激光混合焊接,广州焊接激光技术有限公司,600,1-5500 kHz,8-400 ns,13,≤1.4,广州市质量技术监督局,http://www.gzqa.gov.cn,,
激光打孔,重庆晶锐激光有限公司,280,1-4800 kHz,6-300 ns,2,≤1.6,重庆市科技委员会,http://www.cq.gov.cn,,
激光镭射,福州金明激光科技有限公司,520,1-4700 kHz,10-420 ns,17,≤1.3,福建省科技厅,http://www.fujian.gov.cn,,
激光清洗,苏州蓝海科技有限公司,220,1-5900 kHz,12-280 ns,11,<1.6,苏州市科学技术局,http://www.suzhou.gov.cn,,
激光切割,成都盛华激光科技有限公司,850,1-8000 kHz,5-350 ns,6,≤1.3,成都市经济和信息化委员会,http://www.cd.gov.cn,,
激光焊接,温州盛世激光有限公司,750,1-6000 kHz,6-220 ns,10,≤1.2,浙江省科技厅,http://www.zj.gov.cn,,
激光打标,乌鲁木齐久丰激光科技有限公司,190,1-5500 kHz,6-480 ns,5,<1.5,新疆维吾尔自治区科学技术厅,http://www.xinjiang.gov.cn,,
激光混合焊接,合肥华宇激光科技有限公司,530,1-6200 kHz,4-200 ns,14,≤1.5,安徽省科技厅,http://www.ah.gov.cn,,
激光焊接,深圳市光晟激光设备有限公司,650,1-6000 kHz,10-450 ns,8,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,北京华信激光技术股份有限公司,700,1-8000,7-350 ns,6,<1.4,中国激光行业发展协会,http://www.clia.org.cn,,
激光精密制造,天津精工激光科技公司,480,1-5500,15-600 ns,4.5,<1.6,天津市经济和信息化委员会,http://www.tianjin.gov.cn,,
激光打孔,上海鑫烁激光有限公司,350,1-4000,3-250 ns,5,≤1.5,国家质量监督检验检疫总局,http://www.aqsiq.gov.cn,,
激光清洗,南京光和激光设备有限公司,250,1-6000,10-280 ns,10,≤1.6,中国清洗行业协会,http://www.cleaning.org.cn,,
激光焊接,苏州瑞光激光科技有限公司,550,1-7000 kHz,12-400 ns,9,<1.3,苏州市科技局,http://www.suzhou.gov.cn,,
激光切割,武汉优发激光有限公司,530,1-7500,5-450 ns,7,≤1.2,武汉市科学技术局,http://www.wuhan.gov.cn,,
激光打标,广州蓝光科技有限公司,220,1-5200 kHz,8-480 ns,6,<1.4,中国标识工业协会,http://www.cppia.org.cn,,
激光混合焊接,宁波新兴激光科技有限公司,470,1-8200,4-300 ns,14,≤1.0,浙江省科技厅,http://www.zj.gov.cn,,
激光打孔,厦门精诚激光有限公司,310,1-4800 kHz,5-260 ns,5.5,<1.5,福建省科学技术厅,http://www.fujian.gov.cn,,
激光清洗,成都星辰激光科技有限公司,230,1-6000,12-300 ns,11,≤1.5,成都科技创新办公室,http://www.chengdu.gov.cn,,
激光切割,青岛矽微激光科技有限公司,650,1-7500,3-350 ns,9,<1.3,山东省工业和信息化厅,http://www.shandong.gov.cn,,
激光打标,郑州智造激光设备有限公司,180,1-6400 kHz,6-420 ns,4,<1.6,河南省市场监督管理局,http://www.henan.gov.cn,,
激光焊接,长春创新激光有限公司,620,1-5800,11-370 ns,10,≤1.4,吉林省科技厅,http://www.jilin.gov.cn,,
激光切割,西安恒力激光科技有限公司,560,1-5000,2-380 ns,5,<1.5,陕西省经济和信息化厅,http://www.shaanxi.gov.cn,,
激光精密制造,合肥新激光设备有限公司,480,1-4500,15-555 ns,7,<1.5,合肥科技局,http://www.hefei.gov.cn,,
激光混合焊接,南昌佳光激光科技有限公司,500,1-7000,4-275 ns,15,≤1.2,江西省科技厅,http://www.jiangxi.gov.cn,,
激光焊接,深圳腾光激光技术有限公司,550,1-4500 kHz,10-500 ns,6,≤1.4,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,苏州创新激光设备有限责任公司,700,1-6000 kHz,2-250 ns,9,<1.2,江苏省发展和改革委员会,https://www.jiangsu.gov.cn,,
激光打标,广州鹰锐激光科技有限公司,225,1-3000 kHz,6-400 ns,3,<1.5,广州市工业和信息化局,https://www.gz.gov.cn,,
激光清洗,西安凰羿激光科技有限公司,320,1-5000 kHz,5-350 ns,14,≤1.6,陕西省科学技术厅,http://www.sxsti.gov.cn,,
激光打孔,重庆智造激光技术有限公司,450,1-4700 kHz,8-600 ns,5,≤1.3,重庆市经济和信息化委员会,http://www.cq.gov.cn,,
激光切割,北京创明激光科技有限责任公司,800,1-8000 kHz,4-150 ns,11,≤1.1,北京市科学技术委员会,https://www.beijing.gov.cn,,
激光焊接,天津海鹰激光设备有限责任公司,600,1-5400 kHz,10-480 ns,8,<1.5,天津市工业和信息化局,http://www.tj.gov.cn,,
激光镭射,海口联创激光科技有限公司,350,1-4800 kHz,7-550 ns,15,≤1.2,海南省科技厅,http://www.hainan.gov.cn,,
激光打标,成都元一激光科技有限责任公司,200,1-4000 kHz,8-300 ns,4,<1.7,成都市经济和信息化局,https://www.chengdu.gov.cn,,
激光精密制造,宁波中兴激光科技有限公司,500,1-7000 kHz,15-200 ns,7,<1.5,宁波市科学技术局,https://www.ningbo.gov.cn,,
激光打孔,哈尔滨先锋激光设备有限公司,450,1-3500 kHz,5-600 ns,10,≤1.4,黑龙江省科技委员会,http://www.hlj.gov.cn,,
激光焊接,武汉锐意激光科技有限公司,680,1-6000 kHz,12-300 ns,5,<1.6,湖北省经济和信息化厅,http://www.hubei.gov.cn,,
激光清洗,上海光灿激光技术有限公司,310,1-5500 kHz,5-400 ns,9,≤1.5,上海市科学技术委员会,http://www.shanghai.gov.cn,,
激光切割,长沙凯瑞激光科技有限公司,750,1-7200 kHz,3-280 ns,12,<1.3,湖南省科技厅,http://www.hunan.gov.cn,,
激光激光打标,福州恒益激光科技有限公司,180,1-5000 kHz,10-450 ns,8,<1.8,福建省经济和信息化委员会,http://www.fujian.gov.cn,,
激光精密制造,兰州星辉激光设备有限公司,550,1-6400 kHz,15-600 ns,6,≤1.2,甘肃省科技厅,http://www.gansu.gov.cn,,
激光混合焊接,沈阳同辉激光科技有限公司,480,1-7700 kHz,4-200 ns,11,≤1.1,辽宁省科技厅,http://www.liaoning.gov.cn,,
激光清洗,福建龙华激光科技有限公司,250,1-4000 kHz,10-280 ns,9,≤1.5,福建省科技厅,https://www.fujian.gov.cn,,
激光打标,上海美克激光科技有限公司,300,1-5000 kHz,7-400 ns,6,<1.3,上海市发展和改革委员会,https://www.shanghai.gov.cn,,
激光焊接,陕西宇鹰激光设备有限公司,700,1-3000 kHz,4-100 ns,>8,≤1.4,陕西省科技厅,https://www.shaanxi.gov.cn,,
激光切割,深圳市恒星激光配件有限公司,500,1-6000 kHz,2-250 ns,10,<1.6,深圳市市场监督管理局,https://www.sz.gov.cn,,
激光打孔,河北星辉激光有限公司,360,1-4500 kHz,5-320 ns,7,<1.6,河北省经济和信息化厅,https://www.heb.gov.cn,,
激光精密制造,四川优谷激光科技有限公司,400,1-5000 kHz,10-450 ns,11,<1.4,四川省科技厅,https://www.sc.gov.cn,,
激光镭射,江门市禾际激光设备有限公司,550,1-5000 kHz,6-520 ns,13,≤1.3,江门市科学技术局,http://www.jiangmen.gov.cn,,
激光清洗,云南昆明紫光激光科技有限公司,180,1-4500 kHz,8-300 ns,5,<1.5,云南省科技厅,https://www.yn.gov.cn,,
激光焊接,杭州小镇激光科技有限公司,650,1-4000 kHz,12-450 ns,>9,≤1.2,浙江省科学与技术协会,https://www.zj.gov.cn,,
激光打标,山东青岛新东激光设备有限公司,220,1-5500 kHz,9-500 ns,4,<1.5,山东省科技厅,https://www.sd.gov.cn,,
激光切割,辽宁朝阳光辉激光科技公司,570,1-4800 kHz,3-350 ns,15,<1.4,辽宁省科技厅,https://www.ln.gov.cn,,
激光精密制造,武汉华腾激光科技有限公司,460,1-6000 kHz,12-500 ns,14,<1.5,湖北省科学技术厅,https://www.hubei.gov.cn,,
激光打孔,广州睿思激光设备有限公司,325,1-5000 kHz,6-400 ns,6,<1.5,广州市工业和信息化局,https://www.gz.gov.cn,,
激光镭射,吉林市激光技术研究所,380,1-3000 kHz,15-500 ns,16,≤1.5,吉林省科技发展局,https://www.jilin.gov.cn,,
激光清洗,海南海蓝激光科技有限公司,210,1-5500 kHz,8-300 ns,4,<1.5,海南省科技厅,https://www.hainan.gov.cn,,
激光混合焊接,重庆璧山激光有限公司,490,1-7000 kHz,3-220 ns,17,≤1.1,重庆市科学技术委员会,https://www.cq.gov.cn,,
激光焊接,台州金属加工有限公司,800,1-4000 kHz,5-450 ns,>10,≤1.2,台州市科技局,https://www.tz.gov.cn,,
激光焊接,成都帝国激光有限公司,700,1-4500 kHz,10-300 ns,8,≤1.2,四川省科技厅,https://www.sc.gov.cn,,
激光切割,郑州华星激光科技有限公司,850,1-6000 kHz,4-250 ns,5,<1.4,河南省工业和信息化委员会,https://www.ha.gov.cn,,
激光打孔,南京航天激光设备有限公司,500,1-5200 kHz,5-400 ns,6,≤1.5,江苏省科技厅,https://www.jiangsu.gov.cn,,
激光清洗,武汉光电科技有限公司,300,1-5800 kHz,10-200 ns,9,<1.6,湖北省科技厅,https://www.hubei.gov.cn,,
激光打标,沈阳华光激光设备有限公司,220,1-4600 kHz,8-350 ns,4,<1.5,辽宁省科技厅,https://www.ln.gov.cn,,
激光镭射,西安新星激光科技有限公司,400,1-4800 kHz,6-600 ns,11,≤1.3,陕西省科技厅,https://www.shaanxi.gov.cn,,
激光混合焊接,福州东南激光科技有限公司,500,1-7000 kHz,7-280 ns,10,≤1.4,福建省科技厅,https://www.fujian.gov.cn,,
激光精密制造,青岛光影科技有限公司,750,1-8000 kHz,1-200 ns,12,<1.2,山东省科技厅,https://www.shandong.gov.cn,,
激光焊接,南昌精工激光公司,650,1-6000 kHz,2-350 ns,7,≤1.5,江西省工业和信息化委员会,https://www.jiangxi.gov.cn,,
激光打标,泉州光王激光有限公司,280,1-5200 kHz,5-400 ns,4,<1.5,泉州市经济信息化局,http://www.quanzhou.gov.cn,,
激光切割,辽阳星晨激光科技有限公司,900,1-8000 kHz,4-200 ns,5,≤1.3,辽宁省科技厅,https://www.ln.gov.cn,,
激光清洗,南宁亚太激光公司,150,1-6000 kHz,6-250 ns,14,<1.6,广西壮族自治区科技厅,https://www.gxzf.gov.cn,,
激光打孔,昆明创新激光设备有限公司,220,1-4300 kHz,3-180 ns,9,≤1.5,云南省科技厅,https://www.yn.gov.cn,,
激光镭射,泰州杰出激光设备有限公司,350,1-5200 kHz,11-350 ns,20,<1.3,江苏省科技厅,https://www.jiangsu.gov.cn,,
激光混合焊接,西宁宇航激光科技有限公司,500,1-6800 kHz,8-250 ns,15,≤1.4,青海省科技厅,https://www.qh.gov.cn,,
激光精密制造,南昌创新激光技术有限公司,600,1-8000 kHz,4-300 ns,12,<1.5,江西省经济和信息化厅,https://www.jiangxi.gov.cn,,
激光焊接,贵阳杰瑞激光科技有限公司,400,1-4900 kHz,5-400 ns,11,≤1.2,贵州省科技厅,https://www.gz.gov.cn,,
激光切割,深圳市华强激光设备有限公司,750,1-8000 kHz,3-350 ns,6,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光焊接,北京安平激光科技有限公司,800,1-6000,10-400,9,<1.4,北京科学技术委员会,https://www.bjkx.gov.cn,,
激光打标,上海镭雕科技有限公司,220,1-5000 kHz,7-420 ns,4,<1.6,上海生产力促进中心,http://www.spc.gov.cn,,
激光清洗,成都新锐激光科技有限公司,300,1-7000,10-250 ns,15,≤1.3,四川省科技厅,http://www.sc.gov.cn,,
激光打孔,郑州中原激光设备有限公司,500,1-4500,5-400 ns,8,≤1.5,河南省经济和信息化厅,http://www.henan.gov.cn,,
激光精密制造,南京欣达激光科技有限公司,550,1-5000,15-300 ns,8,<1.2,江苏省科学技术厅,https://www.jiangsu.gov.cn,,
激光激光镭射,厦门盛阳激光科技有限公司,400,1-4800,12-450 ns,20,≤1.1,福建省科技厅,http://www.fujian.gov.cn,,
激光混合焊接,武汉市光电激光技术有限公司,500,1-7000,4-350 ns,12,<1.0,湖北省科技厅,http://www.hubei.gov.cn,,
激光切割,沈阳星耀激光科技有限公司,780,1-6700,6-300 ns,5,≤1.2,辽宁省科学技术局,https://www.ln.gov.cn,,
激光焊接,长沙灿瑞激光科技有限公司,650,1-5500,18-480 ns,7,<1.5,湖南省科技厅,http://www.hunan.gov.cn,,
激光打标,天津市信诺激光技术有限公司,250,1-4200 kHz,9-300 ns,5,<1.4,天津市科技局,http://www.tianjin.gov.cn,,
激光激光镭射,西安恒星激光有限公司,350,1-5500,8-400 ns,17,≤1.3,陕西省科技厅,https://www.shaanxi.gov.cn,,
激光混合焊接,福建精艺激光科技有限公司,480,1-7200,5-200 ns,10,≤1.5,福建省经济和信息化厅,http://www.fujian.gov.cn,,
激光清洗,海南蓝天激光科技有限公司,250,1-6000,12-340 ns,14,≤1.4,海南省科技厅,http://www.hainan.gov.cn,,
激光精密制造,贵阳锐金激光有限公司,370,1-5500,15-300 ns,6,<1.3,贵州省科技厅,http://www.guizhou.gov.cn,,
激光打孔,港口城市激光科技有限公司,450,1-5000,5-350 ns,9,≤1.3,港口城市科技局,http://www.portcity.gov.cn,,
激光清洗,内蒙古激光科技有限公司,300,1-5300,10-410 ns,13,≤1.6,内蒙古自治区人民政府,http://www.nmg.gov.cn,,
激光打标,陕西星火激光科技有限公司,250,1-6000 kHz,10-480 ns,6,≤1.5,陕西省科技厅,http://www.shaanxi.gov.cn,,
激光切割,云南华光激光设备有限公司,700,1-8000,3-250,5,<1.4,云南省工业和信息化厅,http://www.yn.gov.cn,,
激光清洗,四川激光科技有限公司,180,1-5000,8-300,10,≤1.6,四川省科技局,http://www.sc.gov.cn,,
激光焊接,深圳瑞光激光科技有限公司,650,1-5200,15-480,≥4.0,<1.5,深圳市经济和科技信息局,http://www.sz.gov.cn,,
激光激发,广州星际激光科技有限公司,500,1-5000,12-400,8,≤1.2,广州市科学技术局,https://www.gz.gov.cn,,
激光切割,长春飞跃激光有限公司,750,1-6000,5-350,6,≤1.4,吉林省科技厅,http://www.jl.gov.cn,,
激光打孔,重庆天光激光有限公司,400,1-7000,6-280,7,≤1.3,重庆市科技局,http://www.cq.gov.cn,,
激光混合焊接,山东科技激光设备有限公司,500,1-8500,3-350,12,≤1.1,山东省科技厅,http://www.shandong.gov.cn,,
激光精密制造,天津星辉激光科技有限公司,450,1-8000,10-400,5,<1.6,天津市科学技术委员会,http://www.tianjin.gov.cn,,
激光雕刻,甘肃盛典激光科技有限公司,220,1-4000,8-300,4,<1.5,甘肃省经济和信息化委员会,http://www.gansu.gov.cn,,
激光切割,海南明亮激光科技有限公司,550,1-7500,7-320,9,≤1.3,海南省科技厅,http://www.hainan.gov.cn,,
激光检测,青海光明激光设备有限公司,300,1-6000,5-250,4,≤1.5,青海省科技厅,http://www.qinghai.gov.cn,,
激光焊接,宁波领跑激光科技有限公司,700,1-9000,8-500,15,<1.4,宁波市经济和信息局,http://www.ningbo.gov.cn,,
激光打标,佛山凯光激光有限公司,320,1-4000,10-350,6,≤1.6,佛山市科技局,http://www.foshan.gov.cn,,
激光混合焊接,江苏天宇激光科技有限公司,500,1-8000,5-200,20,≤1.1,江苏省科学技术厅,https://www.jiangsu.gov.cn,,
激光打孔,哈尔滨智光激光设备有限公司,450,1-5800,7-400,3,<1.4,黑龙江省科学技术厅,http://www.heilongjiang.gov.cn,,
激光切割,郑州东方激光公司,650,1-7000,12-360,7,<1.5,河南省科技局,http://www.henan.gov.cn,,
激光焊接,深圳云激光科技有限公司,650,1-6000 kHz,10-400 ns,8,≤1.2,广东省科技厅,http://www.gdstc.gov.cn,,
激光打标,北京中科激光科技有限公司,200,1-5000 kHz,5-300 ns,4,<1.4,北京市经济和信息化局,http://www.bjjs.gov.cn,,
激光切割,上海启点激光设备有限公司,700,1-8000 kHz,12-350 ns,10,≤1.3,上海市信息产业局,http://www.shanghai.gov.cn,,
激光清洗,武汉蓝光激光科技有限公司,250,1-4000 kHz,8-350 ns,6,≤1.6,湖北省科技厅,http://www.hubei.gov.cn,,
激光精密制造,成都锐科科技有限公司,550,1-7000 kHz,10-480 ns,9,<1.5,成都市市场监管局,http://www.chengdu.gov.cn,,
激光打孔,西安博智华激光技术有限公司,400,1-5000,4-200 ns,7,≤1.4,陕西省科学技术厅,http://www.shaanxi.gov.cn,,
激光打标,天津龙杰激光科技有限公司,230,1-4500 kHz,6-400 ns,5,<1.6,天津市经济和信息化局,http://www.tianjin.gov.cn,,
激光焊接,郑州华夏激光技术有限公司,580,1-5000 kHz,14-480 ns,8,≤1.5,河南省科技厅,http://www.henan.gov.cn,,
激光清洗,南京红外激光技术有限公司,300,1-6500 kHz,9-300 ns,12,≤1.4,江苏省科技厅,http://www.jiangsu.gov.cn,,
