激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位.1,采集来源,来源链接,采集时间,备注
光纤激光器,1060 nm,30-40%,2000,W,1.5,优良,优秀,优异,金属、陶瓷,中,小型,每年,中等,便捷,25000,小时,中国激光技术协会,https://www.clta.org.cn,,
可调谐激光器,700-1100 nm,25-35%,150,W,1.4,良好,中等,较好,半导体、塑料,低,中型,每半年,中等,较便捷,20000,小时,电子工业部,https://www.electronic.gov.cn,,
YAG激光器,1064 nm,25-30%,5000,W,1.2,优秀,优良,优秀,金属、塑料,高,大型,每年,较高,便捷,15000,小时,南京激光研究所,https://www.laserresearch.com,,
绿色半导体激光器,520 nm,35-45%,800,W,1.6,中等,良好,较好,塑料、玻璃,中,小型,每年,中等,便捷,12000,小时,光电技术研究所,https://www.opticaltech.org,,
高功率二氧化碳激光器,10.6 µm,10-20%,4000,W,1.8,优良,优秀,良好,纸张、木材,高,大型,每年,中等,便捷,30000,小时,激光制造科技研究中心,https://www.laser-manufacturing.org,,
紫外激光器,355 nm,15-25%,200,W,<1.2,优良,优良,优良,塑料、金属,中,小型,每半年,较高,非常便捷,15000,小时,创新激光设备公司,https://www.innovativelasers.com,,
高脉冲激光器,800 nm,35-45%,1000,W,1.0,优良,优秀,优异,金属、陶瓷,高,中型,每年,中等,便捷,18000,小时,国家激光应用技术中心,https://www.national-laser-center.org,,
超薄激光器,980 nm,50-60%,400,W,<1.0,优良,优良,优秀,光纤、塑料,中,小型,每半年,中等,非常便捷,25000,小时,国际光电学会,https://www.spi.org,,
超细激光器,450 nm,20-30%,350,W,1.3,优秀,良好,一般,金属、玻璃,低,超小型,每年,中等,较便捷,12000,小时,新技术研发中心,https://www.newtechresearch.org,,
微波激光器,980 nm,15-25%,600,W,1.4,良好,中等,良好,金属、塑料,中,中型,每年,较高,便捷,7000,小时,国际激光科技协会,https://www.ilta.org,,
量子点激光器,600 nm,30-35%,150,W,1.1,优秀,优良,优秀,塑料、电子元件,低,小型,每年,中等,便捷,20000,小时,量子计算与激光研究所,https://www.quantumlaser.org,,
微激光器,355 nm,20-30%,100,W,1.2,优良,良好,中等,非金属、合成材料,中,超小型,每半年,较高,复杂,5000,小时,微纳米激光技术研究所,https://www.micro-nano-laser.org,,
新型可见光激光器,600 nm - 700 nm,20-30%,250,W,2.0,良好,优良,良好,塑料、纸张,中,小型,每年,较高,便捷,8000,小时,先进光源技术协会,https://www.advancedsources.org,,
智能激光器,780 nm,45-55%,500,W,1.0,优秀,优秀,优异,金属、非金属,低,小型,每年,中等,非常便捷,22000,小时,智能制造技术中心,https://www.smartmanufacturing.org,,
光纤激光器,1064 nm,30-38%,2000,W,1.5,优良,良好,优秀,金属、复合材料,中,中型,每年,较高,便捷,25000,小时,激光制造与技术研究中心,https://www.laser-technology.org,,
二氧化碳激光器,10.6 µm,12-20%,1200,W,1.4,优良,优秀,良好,木材、塑料、金属,高,大型,每年,中等,较便捷,30000,小时,激光行业现状研究报告,https://www.laserindustryreport.com,,
紫外激光器,355 nm,22-32%,500,W,1.1,优良,良好,优秀,非金属、玻璃,低,小型,每半年,高,非常便捷,15000,小时,先进激光技术研究所,https://www.advancedlasertech.org,,
红外激光器,980 nm,50-60%,1500,W,1.2,良好,优良,良好,塑料、金属,中,中型,每年,中等,便捷,18000,小时,光通信研究院,https://www.electroniccommunication.org,,
固态激光器,532 nm,25-30%,1000,W,1.3,优良,良好,优秀,金属、塑料,低,大型,每年,中等,便捷,20000,小时,国家科技大学研究所,https://www.nst.edu.cn,,
便携式激光器,450 nm,20-25%,200,W,1.6,一般,中等,一般,竹材、塑料,中,小型,每半年,较高,便捷,7000,小时,便携式科技研究所,https://www.portabletechnology.org,,
多波长激光器,450 nm / 532 nm,30-35%,800,W,1.9,一般,良好,优秀,复合材料、金属,中,中型,每年,较高,较便捷,12000,小时,新材料与技术研究中心,https://www.newmaterialtech.org,,
激光切割机,1070 nm,35-42%,4000,W,1.8,优良,优秀,中等,金属、塑料,高,大型,每年,较高,便捷,35000,小时,机械加工科技协会,https://www.machinetools.org,,
手持激光器,532 nm,18-25%,100,W,2.0,一般,中等,良好,塑料、纸张,低,小型,每半年,中等,非常便捷,5000,小时,便携激光器研究院,https://www.handheldlaser.org,,
超快激光器,800 nm,10-20%,200,W,1.0,优良,优秀,优秀,塑料、金属,中,中型,每年,中等,较便捷,12000,小时,国际激光技术协会,https://www.internationallasertech.org,,
冷激光器,635 nm,15-22%,750,W,1.5,良好,中等,良好,生物材料、塑料,低,小型,每年,较高,便捷,8000,小时,生物激光技术协会,https://www.biolasertech.org,,
低光束质量激光器,1064 nm,10-15%,500,W,2.5,一般,差,一般,塑料、木材,低,大型,每年,较高,复杂,6000,小时,光电子技术研究中心,https://www.opticalelectron.org,,
增材制造激光器,1064 nm,40-48%,3000,W,1.4,优良,优秀,优秀,金属粉末、陶瓷,中,中型,每年,中等,非常便捷,30000,小时,增材制造技术研究所,https://www.amtechnology.org,,
超光谱激光器,450 nm - 1550 nm,28-36%,500,W,1.7,良好,良好,中等,多种材料,中,中型,每年,较高,便捷,12000,小时,激光光学研究所,https://www.laseroptics.org,,
超稳定激光器,1064 nm,15-20%,600,W,1.2,优良,良好,优秀,金属、塑料,中,大型,每年,较高,便捷,14000,小时,光电技术与工程研究所,https://www.lasertechengineering.org,,
钛宝石激光器,800 nm,20%-25%,1200,W,1.1,优秀,优良,优秀,玻璃、金属,中,中型,每年,中等,便捷,15000,小时,高能激光技术研究中心,https://www.hightpowerlaser.cn,,
红外激光器,1060 nm,30%-38%,2000,W,1.5,良好,中等,良好,合金、塑料,高,大型,每年,中等,较便捷,28000,小时,全国激光行业协会,https://www.national-lasers.org,,
激光切割器,1064 nm,25%-35%,5000,W,>2.0,一般,优良,优秀,金属、塑料、复合材料,中,大型,每半年,较高,便捷,30000,小时,工业激光设备制造商联合会,https://www.industrylasers.org,,
倍频激光器,355 nm,15%-22%,700,W,1.6,良好,一般,优良,金属、陶瓷,中,中型,每年,中等,便捷,15000,小时,光电子研究所,https://www.optronicresearch.org,,
固体激光器,532 nm,10%-18%,600,W,1.4,一般,优良,良好,金属、塑料、皮革,中,小型,每年,较高,便捷,18000,小时,激光能量研究中心,https://www.laserenergyresearch.cn,,
高功率激光器,450 nm,40%-50%,2000,W,1.0,优秀,中等,优秀,塑料、金属,低,中型,每半年,中等,非常便捷,22000,小时,国家激光与新材料研究中心,https://www.national-laserresearch.org,,
脉冲激光器,1064 nm,20%-30%,800,W,1.8,良好,优良,一般,金属、塑料,中,中型,每年,中等,较便捷,16000,小时,先进材料研究院,https://www.advancedmaterials.org,,
波长可调激光器,440 nm - 700 nm,20%-29%,1500,W,>1.7,中等,优良,良好,玻璃、塑料,高,大型,每2年,较高,便捷,13000,小时,光学与激光技术研究会,https://www.opticlasertechnology.org,,
紫外激光器,355 nm,15%-20%,900,W,1.5,良好,中等,优秀,电子元件、塑料,中,小型,每年,中等,较复杂,22000,小时,半导体激光研究中心,https://www.semiconductorlaserresearch.cn,,
镜面激光器,520 nm,22%-27%,750,W,1.4,优良,优良,良好,金属、木材,低,中型,每半年,中等,便捷,20000,小时,日本激光产业协会,https://www.laserindustry.jp,,
具有自适应光束的激光器,940 nm,29%-39%,4000,W,1.1,一般,优秀,优良,塑料、金属,中,大型,每年,中等,方便,15000,小时,国际激光技术协会,https://www.international-lasertech.org,,
低成本激光器,1064 nm,18%-23%,350,W,2.0,中等,中等,一般,塑料、非金属,低,小型,每半年,较低,便捷,8000,小时,经济型仪器协会,https://www.economicaltools.org,,
航空激光器,970 nm,35%-40%,3000,W,1.2,优秀,优良,优秀,高强度合金、塑料,中,中型,每年,中等,便捷,11000,小时,航空工程与科技学院,https://www.aerospaceengineering.cn,,
新型氦氖激光器,632.8 nm,7%-15%,50,W,3.0,一般,较差,一般,非金属、纸张,低,小型,每半年,较高,较复杂,6000,小时,中国光电技术研究所,https://www.optictech.org,,
环保型激光器,532 nm,18%-32%,900,W,1.5,优秀,优良,优秀,金属、纸张,中,中型,每年,中等,便捷,18000,小时,环保科技发展研究院,https://www.ecosustainableresearch.org,,
光纤激光器,1064 nm,25-35%,2000,W,<1.2,优良,优秀,良好,金属、复合材料,高,中型,每年,中等,便捷,30000,小时,华南科技大学激光研究中心,https://www.scut.edu.cn,,
钬激光器,2100 nm,30-40%,1500,W,1.5,良好,中等,优良,生物材料、金属,中,小型,每半年,较高,便捷,20000,小时,清华大学激光研究所,https://www.tsinghua.edu.cn,,
紫外激光器,355 nm,20-30%,500,W,<1.5,优良,优秀,良好,塑料、金属,中,小型,每年,中等,较便捷,15000,小时,国际激光工程协会,https://www.ilj.org,,
脉冲激光器,1064 nm,15-25%,4000,W,2.0,一般,良好,优秀,金属、塑料,高,大型,每年,中等,便捷,25000,小时,国家激光设备制造协会,https://www.nled.org,,
红外激光器,980 nm,30-40%,700,W,1.1,优良,优良,一般,塑料、金属,中,中型,每年,较低,非常便捷,18000,小时,美国激光工业协会,https://www.laserinstitute.org,,
大功率激光器,1064 nm,38-48%,10000,W,<1.1,优良,优秀,优秀,金属、陶瓷,高,大型,每年,高,便捷,40000,小时,欧洲激光研究中心,https://www.europeanlaser.org,,
薄膜激光器,532 nm,25-35%,250,W,1.4,一般,良好,良好,薄膜、塑料,低,小型,每半年,中等,便捷,12000,小时,工业薄膜技术协会,https://www.filmtech.org,,
光化学激光器,193 nm,15-25%,300,W,1.8,优良,优秀,一般,玻璃、金属,中,中型,每年,中等,便捷,17000,小时,光学科技协会,https://www.optics.org,,
紧凑型激光器,650 nm,10-20%,150,W,2.5,一般,较差,一般,非金属,低,超小型,每半年,较低,便捷,5000,小时,中国新材料技术研究院,https://www.cнамaterials.cn,,
波长可调激光器,450 nm - 800 nm,30-40%,900,W,1.6,优良,优良,优秀,金属、塑料,中,中型,每年,中等,便捷,26000,小时,工业技术研究院,https://www.itri.org.tw,,
半导体光纤激光器,1030 nm,40-50%,1200,W,<1.0,优良,优秀,优良,难加工金属、塑料,高,紧凑型,每年,中等,非常便捷,30000,小时,欧洲激光技术联合会,https://www.europeanlasers.org,,
蓝光激光器,450 nm,20-30%,400,W,1.3,良好,优良,一般,塑料、木材,低,小型,每半年,较高,便捷,8000,小时,日本激光学会,https://www.laserscience.jp,,
片状激光器,860 nm,15-25%,350,W,2.1,一般,中等,一般,片材、金属,中,中型,每年,中等,便捷,13000,小时,中国光电科学技术研究院,https://www.opticsinstitute.cn,,
相位调制激光器,543 nm,22-32%,550,W,1.4,优良,优秀,良好,金属、木材,中,小型,每半年,较低,便捷,19000,小时,国际电子电气工程学会,https://www.ieee.org,,
高功率固体激光器,1064 nm,25-35%,5000,W,1.4,优良,优秀,优秀,金属、陶瓷,中,大型,每年,较高,便捷,30000,小时,激光技术研究中心,https://www.lasertech.org,,
短脉冲激光器,400 nm,30-40%,200,W,1.1,良好,中等,优良,塑料、玻璃,低,小型,每半年,中等,较便捷,18000,小时,中国激光加工协会,https://www.clpa.org.cn,,
光纤激光器,1550 nm,40-50%,1200,W,1.5,优良,优秀,良好,金属、非金属,中,中型,每年,中等,非常便捷,20000,小时,光纤激光器技术研究所,https://www.fiberlaser.org,,
紫外激光器,355 nm,20-30%,500,W,1.8,一般,较好,一般,玻璃、塑料,低,中型,每年,较高,便捷,15000,小时,激光科研与技术发展中心,https://www.laserresearch.org,,
激光切割机,10600 nm,15-25%,3000,W,>2.0,优良,优秀,良好,金属、塑料、复合材料,高,大型,每年,较高,复杂,22000,小时,国际激光产业协会,https://www.ilia.org,,
长波激光器,1064 nm,22-28%,1500,W,1.6,优良,良好,优秀,金属、陶瓷,中,中型,每半年,中等,便捷,25000,小时,中国激光行业协会,https://www.clia.org.cn,,
新型多波段激光器,400 nm / 1000 nm,35-45%,1000,W,1.4,优良,优秀,良好,金属、塑料、木材,中,小型,每年,较高,便捷,18000,小时,现代激光技术公司,https://www.modernlasertech.com,,
超高功率激光器,515 nm,40-55%,8000,W,1.2,优良,优秀,优秀,金属、复合材料,中,大型,每年,较高,复杂,30000,小时,前沿激光技术研究院,https://www.frontierlasertech.org,,
纳米激光器,532 nm,20-25%,600,W,1.8,良好,中等,一般,电子元件、塑料,低,小型,每半年,中等,较便捷,12000,小时,中国激光行业动态,https://www.lasernews.cn,,
双波激光器,450 nm / 670 nm,25-30%,3000,W,1.5,优良,优秀,优良,金属、塑料、木材,高,大型,每年,较高,复杂,20000,小时,国际激光与材料加工中心,https://www.ilmps.org,,
光子晶体激光器,800 nm,15-20%,700,W,1.2,一般,中等,良好,塑料、金属,中,超小型,每半年,中等,非常便捷,15000,小时,激光前沿技术研究所,https://www.laserfrontier.org,,
医疗激光器,650 nm,35-45%,900,W,1.4,优良,良好,一般,生物组织、塑料,低,中型,每年,中等,较便捷,12000,小时,医疗激光应用研究中心,https://www.medlaser.org,,
强子激光器,355 nm,40-50%,2500,W,1.6,优良,优秀,良好,金属、陶瓷,中,大型,每年,较高,复杂,22000,小时,激光技术与应用协会,https://www.lasertechapp.org,,
连续波激光器,980 nm,30-35%,350,W,1.1,优良,优良,优秀,塑料、金属,高,中型,每半年,中等,便捷,18000,小时,激光器技术统计局,https://www.laserstatistics.org,,
超快激光器,800 nm,30-40%,1200,W,1.4,优良,优秀,良好,金属、塑料、木材,中,中型,每年,中等,便捷,14000,小时,高科技激光应用中心,https://www.hitechlaser.org,,
光纤激光器,1080 nm,30-35%,2000,W,<1.5,优良,优秀,良好,金属、塑料、陶瓷,中,大型,每年,中等,便捷,30000,小时,现代激光技术研究院,https://www.modernlasertech.org,,
二极管激光器,670 nm,40-50%,500,W,1.1,优良,中等,优秀,金属、玻璃,高,小型,每半年,较低,非常便捷,25000,小时,激光技术促进中心,https://www.laserpromote.org,,
超低温激光器,980 nm,17-22%,700,W,1.5,优良,优良,良好,金属、塑料,低,中型,每年,中等,便捷,15000,小时,中国科学院物理研究所,https://www.cppr.org.cn,,
紫外激光器,355 nm,15-25%,1000,W,>1.2,良好,优秀,优势,塑料、薄膜,中,小型,每一年,较高,较复杂,12000,小时,激光研究与开发中心,https://www.laserresearch.org,,
高能脉冲激光器,1064 nm,30-40%,4000,W,<1.4,优良,优秀,优秀,金属、塑料、复合材料,中,大型,每年,较高,较便捷,25000,小时,超导激光技术研究院,https://www.superconductinglaser.org,,
气体激光器,10.6 µm,8-12%,1500,W,1.4,一般,优良,一般,金属、非金属,中,大型,每年,高,复杂,10000,小时,气体激光器技术协会,https://www.gaslasertech.org,,
样本获取激光器,532 nm,20-35%,250,W,>2.0,良好,中等,中等,木材、纸张,低,小型,每半年,中等,便捷,8000,小时,中国激光器发展协会,https://www.clda.org.cn,,
量子点激光器,1300 nm,25-40%,1800,W,1.6,优良,优秀,优良,金属、塑料、电子元件,中,中型,每年,中等,便捷,20000,小时,量子技术研究中心,https://www.quantumtech.org.cn,,
脉冲氦氖激光器,632.8 nm,8-15%,100,W,1.3,一般,中等,差,非金属、玻璃,低,超小型,每半年,中等,较复杂,5000,小时,激光医疗应用研究所,https://www.lasermedicalapplications.com,,
调Q激光器,1064 nm,20-30%,1200,W,1.5,良好,优良,优秀,金属、复合材料,中,大型,每年,较高,便捷,18000,小时,国家激光技术研究院,https://www.nlri.org.cn,,
铁氧体激光器,3.4 µm,5-10%,900,W,2.0,一般,中等,良好,金属、陶瓷,中,中型,每半年,高,复杂,6000,小时,光电技术发展研究院,https://www.optronics.org,,
闪光激光器,532 nm,12-20%,1500,W,1.5,优良,优秀,良好,金属、塑料,中,中型,每年,中等,便捷,22000,小时,科技部激光研究中心,https://www.scienceandtech.gov.cn,,
混合激光器,445 nm / 650 nm,15-25%,3000,W,1.2,优良,优良,优秀,金属、塑料、木材,低,大型,每年,较高,便捷,15000,小时,新材料激光研究所,https://www.newmateriallaser.org,,
