激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,采集来源,来源链接,采集时间,备注【疑问汇总】
陶瓷激光器,1000 nm,25-35%,1800,W,1.5,良好,优秀,优良,金属、非金属,中,中型,每年,较低,较便捷,9000,国家激光技术标准化委员会,https://www.nsta.gov.cn,,
碳化硅激光器,830 nm,35-45%,2200,W,1.4,优秀,良好,优良,金属、复合材料,中,大型,每半年,较高,方便,11000,电子科技大学,https://www.uestc.edu.cn,,
高功率激光器,1064 nm,20-30%,5000,W,1.0,优秀,优秀,优良,金属、塑料,高,大型,每年,中等,便捷,20000,中国机械工业联合会,https://www.cmif.com.cn,,
激光切割头,1070 nm,30-50%,3000,W,1.3,优良,优秀,良好,金属,高,小型,每年,较高,非常便捷,25000,激光应用技术研究所,https://www.lasertech.cn,,
紫外激光器,355 nm,25-35%,1500,W,<1.5,优秀,良好,优秀,塑料、金属薄板,中,中型,每年,中等,便捷,10000,中国激光行业协会,https://www.clia.org.cn,,
青铜激光器,532 nm,15-25%,800,W,1.8,一般,中等,优良,金属、陶瓷,中,小型,每半年,较高,较便捷,8000,新加坡激光技术机构,https://www.lasertech.sg,,
高功率二氧化碳激光器,10.6 µm,9-12%,5000,W,1.0,优秀,优良,良好,金属、木材、塑料,低,大型,每年,中等,较便捷,10000,美国材料研究协会,https://www.mrs.org,,
直流激光器,488 nm,20-28%,1200,W,1.6,良好,中等,优良,金属焊接、非金属加工,中,中型,每年,较高,非常便捷,7000,韩国激光协会,https://www.kla.org,,
脉冲激光器,1064 nm,35-45%,2500,W,1.1,优秀,优秀,优良,金属、薄膜材料,高,小型,每年,较低,便捷,15000,欧洲激光制造商协会,https://www.eurala.org,,
量子点激光器,705 nm,10-15%,300,W,2.0,一般,较差,一般,生物材料,低,小型,每半年,中等,便捷,5000,日本激光技术中心,https://www.jlttc.go.jp,,
超高频激光器,980 nm,20-30%,4000,W,1.4,优秀,优良,优秀,金属、复合材料,高,大型,每年,高,较便捷,12000,印度激光协会,https://www.indianlaserassociation.org,,
高能激光增材制造器,1070 nm,40-50%,5000,W,<1.2,优秀,优良,优秀,金属3D打印材料,中,中型,每年,较低,便捷,15000,澳大利亚激光技术与材料研究所,https://www.lasertechandaust.org.au,,
多波长激光器,635 nm,10-20%,1000,W,1.7,良好,中等,良好,塑料、电子元器件,低,小型,每半年,中等,较便捷,6000,俄罗斯激光研究中心,https://www.russianlaserresearch.ru,,
光纤激光器,1070 nm,35-45%,5000,W,<1.2,优良,优秀,优秀,金属、塑料、玻璃,中,中型,每年,中等,便捷,25000,中科院激光研究所,https://www.iap.cas.cn,,
CO2激光器,10.6 µm,7-9%,1500,W,1.8,良好,中等,较好,木材、塑料、金属,中,大型,每年,较高,较便捷,7000,润发激光科技公司,https://www.runfa-laser.com,,
YAG激光器,1064 nm,23-28%,2500,W,1.35,优秀,良好,优良,金属切割、焊接、表面处理,高,中型,每年,中等,非常便捷,12000,激光制造技术论坛,https://www.lasermanufacturingforum.com,,
半导体激光器,750-1000 nm,42-55%,700,W,>2.0,一般,较差,良好,打标、光刻,中,小型,每半年,中等,便捷,35000,国家半导体研究所,https://www.nsr.gov.cn,,
固体激光器,532 nm,25-35%,800,W,1.4,优良,优秀,优良,金属、铝合金,高,中型,每年,高,便捷,15000,中国光学学会,https://www.cos.org.cn,,
高功率光纤激光器,1080 nm,39-50%,10000,W,<1.1,优秀,极优,优秀,金属、矿石,极高,大型,每年,中,便捷,30000,国际光纤激光器协会,https://www.fiberlaser.org,,
紫外激光器,355 nm,15-20%,300,W,良好,优良,优良,良好,高分子材料、玻璃、陶瓷,低,小型,每年,中,较便捷,10000,新材料技术研究所,https://www.newmaterials.gov.cn,,
CO 激光器,9.4 µm,6-8%,600,W,1.7,一般,中等,一般,塑料、木材,低,大型,每年,中等,便捷,8000,中国激光网,https://www.laserchina.com,,
双色激光器,450 nm / 850 nm,20-30%,2000,W,1.6,良好,良好,优良,多种材料,中,小型,每年,较高,非常便捷,12000,激光技术专业协会,https://www.lasertech.org,,
紫外激光器,355 nm,15%-25%,1500,W,1.0,优良,优秀,良好,塑料、金属、陶瓷,中,中型,每年,中等,便捷,8000,中国激光协会,https://www.clas.org.cn,,
氖氩激光器,632.8 nm,5%-8%,300,W,2.0,一般,较差,一般,金属打标、表面处理,低,大型,每半年,较高,较便捷,6000,激光技术新闻,https://www.laser-tech-news.com,,
绿色激光器,532 nm,10%-15%,1000,W,1.4,良好,中等,优秀,非金属、塑料,低,小型,每年,中等,非常便捷,7000,中国仪器仪表学会,https://www.cis.org.cn,,
二极管激光器,940 nm,35%-45%,600,W,1.6,良好,良好,优秀,金属、塑料,高,小型,每年,较低,便捷,15000,科技日报,https://www.stdaily.com,,
陶瓷激光器,1020 nm,20%-35%,2500,W,1.3,优良,优秀,优秀,金属、陶瓷,高,中型,每年,中等,非常便捷,12000,中国科学院,https://www.cas.cn,,
脉冲激光器,1064 nm,25%-35%,5000,W,<1.2,优秀,优良,良好,金属、塑料,高,大型,每年,较高,便捷,8000,全国工业标准化技术委员会,https://www.sac.gov.cn,,
超快激光器,800 nm,30%-50%,1000,W,1.1,优良,优秀,优良,金属、陶瓷、复合材料,高,中型,每年,较高,便捷,5000,国际激光工业协会,https://www.ila-council.com,,
激光增材制造激光器,1064 nm,20%-28%,4000,W,<1.2,优秀,优良,优良,金属、铝合金,中,大型,每年,中等,较便捷,12000,激光与材料加工杂志,https://www.jlmp.com,,
冷却激光器,940 nm,15%-20%,800,W,2.0,良好,中等,一般,非金属、珠宝,低,小型,每半年,较高,便捷,5000,中国珠宝行业协会,https://www.cgj.org.cn,,
紫外激光器,355 nm,25%-35%,1500,W,1.0,优良,优秀,良好,塑料、金属薄片,中,中型,每年,较高,便捷,8000,激光应用技术研究中心,https://www.laserapp.cn,,
光纤激光器,1070 nm,35%-45%,5000,W,<1.2,优秀,优异,优秀,不锈钢、铝、铜,高,大型,每年,中等,非常便捷,22000,中国激光技术协会,https://www.clta.org.cn,,
YAG激光器,1064 nm,15%-25%,1000,W,1.5,一般,良好,优秀,合金、塑料,中,中型,半年,较低,便捷,12000,中国工程院,https://www.cae.cn,,
氩激光器,488 nm,10%-15%,700,W,2.0,一般,较差,一般,玻璃、纸张,低,小型,每两年,较高,便捷,4000,工业激光与自动化论坛,https://www.weldingautomation.com,,
青绿激光器,532 nm,50%-60%,300,W,1.8,优良,良好,优秀,纸张、纺织品,中,小型,每年,较低,非常便捷,25000,中国光电技术网,https://www.optics.org.cn,,
固体激光器,1064 nm,20%-30%,800,W,2.0,良好,一般,较好,木材、塑料,低,中型,每年,中等,便捷,6000,中国材料科学学会,https://www.cmsc.cn,,
高能激光器,940 nm,40%-50%,2500,W,<1.5,优秀,优良,优秀,多种金属、合金,高,大型,每年,较高,便捷,15000,最新激光技术开发中心,https://www.lasertech.com,,
冷光激光器,650 nm,30%-40%,600,W,1.8,良好,中等,良好,塑料、纸张,低,小型,每两年,较低,非常便捷,9000,中国激光技术发展平台,https://www.laserdev.org,,
腔面激光器,800 nm,15%-20%,750,W,1.5,一般,良好,一般,玻璃、陶瓷,低,中型,每年,中等,便捷,5000,中华激光工程网,https://www.claser.org,,
固体激光器,532 nm,15-25%,1500,W,1.4,良好,中等,良好,金属、非金属材料,中,中型,每年,中等,较便捷,8000,中国激光行业协会,https://www.clia.org.cn,,
镭射标记激光器,780 nm,50-60%,300,W,<1.2,优秀,优良,一般,塑料、涂料,低,小型,每年,较低,非常便捷,15000,国家科技成果转化引导基金,https://www.nst.gov.cn,,
紫外激光器,355 nm,20-35%,4000,W,1.7,优良,优秀,优良,玻璃、陶瓷,极高,大型,每六个月,较高,较便捷,10000,中国激光设备研究院,https://www.clri.cn,,
自由电子激光器,Variable,10-20%,50000,W,未定义,未知,未知,未知,多种材料,变动,超大型,每年,极高,复杂,20000,高能物理研究中心,https://www.ihep.ac.cn,,
二氧化碳激光器,10.6 µm,9-12%,2500,W,2.0,良好,中等,优秀,木材、塑料、金属,低,大型,每年,中等,较便捷,6000,国家能源局,https://www.nea.gov.cn,,
青光激光器,450 nm,18-28%,800,W,1.3,良好,中等,一般,金属、塑料、纸张,中,小型,每年,较高,便捷,7000,中国电子技术标准化研究院,https://www.etri.org.cn,,
超快激光器,800 nm,30-50%,150,W,1.1,优良,优秀,优良,金属、非金属材料,高,小型,每六个月,较低,十分便捷,10000,中国激光技术研究所,https://www.instituteoflaser.com,,
激光切割机,1064 nm,15-20%,5000,W,1.6,良好,优秀,良好,金属切割、焊接,高,大型,每年,中等,便捷,12000,工业和信息化部,https://www.miit.gov.cn,,
蓝光激光器,460 nm,20-35%,250,W,1.5,良好,中等,优秀,高分子塑料,中,小型,每年,中等,便捷,5000,中国激光产业研究会,https://www.clia.org.cn,,
脉冲激光器,1064 nm,25-40%,6000,W,1.8,优良,优良,良好,金属、塑料、复合材料,高,中型,每六个月,较高,较便捷,15000,中国激光协会,https://www.clia.org.cn,,
CO2激光器,10.6 µm,9%-11%,1500,W,1.4,优良,中等,优秀,非金属、金属焊接,低,大型,每年,中等,较便捷,6000,江苏省科技厅,https://www.jsti.gov.cn,,
YAG激光器,1064 nm,22%-28%,2500,W,1.1,优秀,优秀,优秀,金属切割、焊接,非常高,中型,每年,较高,非常便捷,12000,国际光电协会,https://www.spie.org,,
光纤激光器,1064 nm,35%-42%,3500,W,<1.3,优良,优秀,良好,金属、塑料,高,小型,每年,较低,非常便捷,25000,中科院激光物理研究所,http://www.iap.cas.cn,,
半导体激光器,750-980 nm,45%-55%,600,W,>1.6,一般,较差,一般,表面处理、打标,中,小型,每半年,较高,较便捷,35000,中国激光协会,http://www.cla.org.cn,,
脉冲激光器,532 nm,15%-25%,800,W,1.8,良好,中等,优秀,塑料、金属,中,中型,每年,中等,便捷,10000,广东省科学技术厅,http://www.gdst.gov.cn,,
超脉冲激光器,355 nm,10%-15%,1200,W,1.2,优良,优秀,优秀,精密金属、陶瓷,高,中型,每年,较高,非常便捷,8000,中国科学院物理研究所,http://www.iop.cas.cn,,
紫外激光器,266 nm,18%-22%,400,W,1.5,良好,较差,优秀,塑料、玻璃,中,小型,每年,较低,较便捷,5000,中国光电子技术研究所,http://www.optics.org.cn,,
青光激光器,488 nm,30%-35%,700,W,1.0,优秀,优秀,良好,金属、非金属,高,小型,每年,中等,非常便捷,14000,全国应用物理学会,http://www.aaps.org.cn,,
大功率光纤激光器,1070 nm,40%-50%,5000,W,<1.1,优良,优秀,优秀,金属、塑料、复合材料,高,大型,每年,较低,便捷,30000,中国机械工程学会,http://www.cmes.org.cn,,
氩激光器,514.5 nm,15%-20%,750,W,1.8,良好,中等,优秀,金属、玻璃切割,中,中型,每年,中等,较便捷,8000,激光技术研究所,https://www.lasertech.org,,
青色激光器,450 nm,25%-35%,1200,W,1.6,优秀,优秀,良好,塑料、金属,中,小型,每半年,较高,非常便捷,15000,光电协会,https://www.optronicassociation.org,,
固态激光器,532 nm,20%-25%,1800,W,1.4,优良,优良,优秀,金属、合金,中,大型,每年,中等,便捷,12000,全球激光产业联盟,https://www.globallaseralliance.org,,
纳秒激光器,1064 nm,30%-45%,900,W,<1.2,优秀,优秀,优良,金属、陶瓷,高,小型,每年,较低,非常便捷,18000,中国激光制造协会,https://www.clma.org.cn,,
双波长激光器,980 nm/1064 nm,15%-25%,660,W,1.5,良好,中等,良好,金属、塑料,中,中型,每半年,较高,便捷,10000,中国科学院,https://www.cas.cn,,
超短脉冲激光器,800 nm,35%-50%,2000,W,<1.0,优秀,优良,优秀,金属、复合材料,高,小型,每年,较低,非常便捷,25000,科学院激光研究所,https://www.laserresearchinstitute.cn,,
高功率激光器,1070 nm,25%-32%,5000,W,1.3,优秀,优秀,优秀,金属、塑料,高,大型,每年,中等,便捷,10000,机械工程学会,https://www.cme.com.cn,,
相位补偿激光器,1030 nm,30%-40%,2500,W,<1.2,优良,优良,良好,金属、陶瓷,中,中型,每年,中等,便捷,25000,激光技术协会,https://www.lasertAssociation.com,,
固体激光器,1064 nm,28%-35%,1200,W,1.5,良好,中等,优秀,金属、塑料,中,中型,每年,中等,便捷,15000,国际激光效率机构,https://www.laserdata.org,,
固体激光器,532 nm,25-35%,1500,W,1.1,优良,优秀,良好,金属、玻璃,中,中型,每年,中等,便捷,8000,中国激光行业协会,https://www.clia.org.cn,,
青绿激光器,488 nm,15-25%,600,W,1.8,一般,中等,优秀,金属、塑料,低,小型,每年,较低,较便捷,5000,激光科技期刊,https://www.laserjournal.com,,
光纤激光器,1080 nm,35-45%,4000,W,<1.3,优秀,优秀,优秀,金属、易切割合金,高,中型,每年,较低,非常便捷,25000,国际激光技术协会,https://www.ilt.ca,,
二氧化碳激光器,10.6 µm,6-8%,2000,W,2.0,中等,优秀,良好,塑料、纸板,低,大型,每两年,较高,便捷,7500,科技发展与创新,https://www.innovation.gov.cn,,
紫外激光器,355 nm,30-50%,700,W,1.4,优良,优秀,良好,金属、陶瓷、塑料,中,小型,每年,中等,较便捷,12000,光电技术研究院,https://www.opttech.org,,
光子晶体激光器,640 nm,10-15%,450,W,1.7,一般,较差,较差,玻璃、陶瓷,中,小型,每半年,较高,便捷,4000,材料科学与工程,https://www.mse.org,,
激光二极管,780 nm,45-60%,300,W,>2.0,中等,差,良好,打标、雕刻,低,微型,每季度,较低,非常便捷,25000,电子与信息工程,https://www.electronics.org,,
相位调制激光器,850 nm,20-30%,1500,W,1.3,优良,优秀,优秀,金属、非金属,中,中型,每年,中等,便捷,10000,中国科学院,https://www.cas.cn,,
超快激光器,1030 nm,30-50%,2000,W,1.0,优秀,优秀,优秀,金属、复合材料,高,大型,每两年,较高,便捷,15000,激光与光电子学中心,https://www.laser.com,,
CO2激光器,10.6 µm,9%-11%,1500,W,1.6,良好,良好,优秀,非金属、金属切割,中,大型,每年,中等,便利,6000,激光技术研究协会,https://www.lasertech.org,,
YAG激光器,1064 nm,22%-28%,2500,W,1.1,优良,中等,良好,金属、陶瓷,高,中型,每年,中等,便捷,12000,国际激光产业联盟,https://www.ilia.org,,
光纤激光器,1070 nm,32%-42%,4000,W,<1.4,优秀,优秀,优秀,金属、复合材料,非常高,小型,每年,较低,极为便捷,25000,中国激光网,https://www.chinalaser.com,,
半导体激光器,850-980 nm,45%-55%,600,W,>2.0,一般,较差,差,电子元件、打标,中,小型,每半年,较高,便捷,35000,电子行业协会,https://www.electronics.org,,
氩离子激光器,488 nm,10%-15%,300,W,1.3,良好,中等,良好,玻璃、陶瓷,低,中型,每年,较高,较便捷,4000,光学材料研究所,https://www.optics-institute.org,,
紫外激光器,355 nm,15%-25%,800,W,1.8,优良,良好,优秀,聚合物、金属,中,中型,每年,较高,便捷,7000,激光应用技术开发中心,https://www.laserapplication.com,,
绿激光器,532 nm,20%-30%,400,W,1.4,良好,良好,中等,生物组织、金属,高,小型,每年,中等,很便捷,6000,医学激光研究所,https://www.medical-laser.org,,
激光二极管,670 nm,35%-45%,200,W,2.0,一般,较差,较差,标记、光通信,低,微型,每半年,较低,便捷,30000,光电技术发展公司,https://www.optoelectronics.com,,
脉冲激光器,1064 nm,5%-20%,1500,W,1.0,优良,优秀,优秀,多种金属、树脂,高,中型,每年,中等,便捷,5000,先进激光技术研究所,https://www.advancedlaser.org,,
固体激光器,532 nm,15-25%,1500,W,1.4,良好,优秀,一般,金属、塑料、玻璃,中,中型,每年,中等,较便捷,8000,中国机械工业联合会,https://www.cmif.org.cn,,
高功率激光器,1070 nm,25-35%,5000,W,<1.2,优秀,优秀,优秀,厚金属板、合金,高,大型,每年,较高,方便,15000,莱坊德国际公司,https://www.laserline.com,,
二氧化碳激光器,10.3 µm,9%-12%,1200,W,1.6,一般,中等,优秀,塑料、木材、金属,低,大型,每年,中等,一般,6000,美国激光技术学会,https://www.laserbio.org,,
超快激光器,800 nm,20-35%,2500,W,<1.1,优良,良好,优秀,金属、陶瓷、高分子材料,极高,小型,每两年,中等,非常便捷,12000,中国科学院,https://www.cas.cn,,
UV激光器,355 nm,30-50%,700,W,1.3,优良,优秀,良好,塑料、陶瓷、镀膜材料,低,中型,每年,中等,方便,10000,激光行业协会,https://www.lasers.org,,
脉冲激光器,1064 nm,40-60%,4500,W,1.1,优秀,优秀,良好,金属板、复合材料,高,中型,每年,较高,较便捷,18000,英特尔激光技术,https://www.intel-laser.com,,
半导体固态激光器,915 nm,35-45%,300,W,>1.8,一般,较差,一般,表面处理、标识,中,小型,每半年,较高,较便捷,25000,全球激光科技研究院,https://www.global-laser-institute.com,,
低功率激光器,660 nm,5-15%,150,W,<2.0,一般,较差,较差,标记、研磨,中,小型,每三年,较低,便捷,5000,中国科技发展报告,https://www.standreports.org,,
氩气激光器,514 nm,10-20%,1200,W,1.8,一般,中等,优秀,金属、陶瓷,中,大型,每年,中等,一般,10000,中国物理学会,https://www.cps.org.cn,,
光纤激光器,1090 nm,35-45%,4000,W,<1.2,优秀,优秀,优秀,金属、塑料、木材,高,小型,每年,较低,非常便捷,25000,国家工业和信息化部,https://www.miit.gov.cn,,
CO2激光器,10.6 µm,9%-11%,1200,W,1.8,良好,中等,优秀,非金属、金属切割,中,大型,每年,中等,较便捷,6000,国家科技部,https://www.most.gov.cn,,
YAG激光器,1064 nm,25-35%,1500,W,1.4,优良,优秀,良好,金属切割、铝合金焊接,高,中型,每年,中等,较便捷,8000,中国激光协会,https://www.cla.org.cn,,
