技术名称,技术类型,技术投资额,单位,传动机构,电动机类型,逆变器,电池模组,结构系统,电气系统,相关电池参数,采集来源,来源链接,采集时间,,,,,,,,,
生物能转化技术,可再生能源,4000,万元,催化转化,无刷直流电动机,生物质专用逆变器,生物质颗粒,移动式反应器,智能监控与控制系统,热值5000kcal/kg,中国生物能研究中心,https://www.bioenergy.cn,2024-09-29,,,,,,,,,
塑料回收能量转化技术,可再生能源,11000,万元,气化反应,天然气涡轮电动机,塑料能量逆变器,废塑料回收系统,回收与处理一体化设计,资源監測及控制系统,能量转化率85%,中国环境保护部,https://www.mep.gov.cn,2024-09-29,,,,,,,,,
氟化锂电池技术,可再生能源,8500,万元,电流逆变过程,高能锂电动机,氟化锂专用逆变器,氟化锂电池组,模块化电池设计,高效能量管理系统,额定容量200Ah，充电效率93%,中国锂电池技术研究中心,https://www.lithiumbattery.org,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,7500,万元,波浪能转动,永磁同步电动机,海洋能逆变器,锂离子电池组,海洋浮筒设计,高效能监控系统,额定容量200Ah，充电效率90%,中国海洋研究院,https://www.ocean.cn,2024-09-29,,,,,,,,,
先进能量储存技术,可再生能源,9000,万元,微型液压驱动,无刷直流电动机,未来型电源逆变器,固态电池技术,模块化布局,智能能源管理系统,能量密度1200Wh/L,清华大学能源研究院,https://www.tsinghua.edu.cn,2024-09-29,,,,,,,,,
生物氢气生产技术,可再生能源,3500,万元,气体动力驱动,气动电动机,氢能专用逆变器,生物燃料电池,反应器模块化设计,智能控制系统,输出功率40kW，能量密度600Wh/L,中国生物工程学会,https://www.cbe.org.cn,2024-09-29,,,,,,,,,
废物能源转化技术,可再生能源,4000,万元,机械传动,异步电动机,标准逆变器,生物质能电池,气化炉设计,完全自动化控制系统,热值5000kcal/kg,国家环保部,https://www.mee.gov.cn,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术,可再生能源,6500,万元,电气驱动,燃料电池电动机,高效燃料电池逆变器,固体氧化物电池堆,平面堆叠设计,在线监控系统,输出功率60kW，能量密度800Wh/L,中国能源研究会,https://www.creia.org.cn,2024-09-29,,,,,,,,,
快速充电电池技术,可再生能源,5500,万元,电动驱动,高效直流电动机,高功率逆变器,快充锂电池单元,压缩空气设计,智能电池管理系统,充电时间30分钟，充电效率98%,国际电池协会,https://www.ibc.org,2024-09-29,,,,,,,,,
高效能风能发电技术,可再生能源,7200,万元,自由旋转叶片,永磁电动机,先进双馈逆变器,锂铁磷电池,优化塔架设计,智能监控湿度控制,额定容量180Ah，放电效率95%,国家风能技术中心,https://www.cnwind.org,2024-09-29,,,,,,,,,
智能电网技术,可再生能源,8800,万元,网络数据传输,虚拟电动机,智能逆变器系统,分布式储能单元,模块化电网设计,全面数字化控制系统,支持大容量快充，能量效率95%,中国电力科学院,https://www.cea.gov.cn,2024-09-29,,,,,,,,,
智能光热发电技术,可再生能源,6700,万元,热收集系统,热电联产电动机,高效光热逆变器,热能储存装置,集中式光热设计,智能化控制系统,可承载温度范围100°C - 300°C,国家能源局光热发电技术研究中心,https://www.snerc.gov.cn,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7500,万元,涡轮传动,无刷电动机,高效潮汐逆变器,钛酸锂电池,海洋浮筒设计,集散控制系统,额定容量200Ah，充电效率92%,中国海洋能源研究院,https://www.coer.gov.cn,2024-09-29,,,,,,,,,
可再生氨生产技术,可再生能源,9500,万元,气动传动,永磁直流电动机,氨合成逆变器,氨气储存设备,模块化反应器,智能管理系统,输出功率80kW，能量密度500Wh/L,国家氢能与燃料电池技术创新中心,https://www.nhff.org.cn,2024-09-29,,,,,,,,,
光热发电技术,可再生能源,12000,万元,热能传动,电动水泵,光热逆变器,熔盐储热系统,太阳能集热器阵列,集中控制系统,储热效率95%,中国光热能源协会,https://www.csp.org.cn,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术,可再生能源,11000,万元,电磁驱动,燃料电池电动机,高效燃料电池逆变器,固体氧化物电池堆,集成设计,自动监测系统,输出功率25kW，能量密度700Wh/L,清华大学能源与动力工程系,https://www.tsinghua.edu.cn,2024-09-29,,,,,,,,,
压力水反应堆技术,可再生能源,13000,万元,泵送传动,高效电机,IGBT逆变器,核能后处理设施,反应堆堆芯设计,实时监测系统,热效率33%,中国原子能科学研究院,https://www.iae.ac.cn,2024-09-29,,,,,,,,,
铝空气电池技术,可再生能源,4000,万元,化学能转换,无刷电动机,铝空气逆变器,铝空气电池组,模块化电池包,电量监测系统,能量密度1200Wh/kg,中国电池工业协会,https://www.cba.org.cn,2024-09-29,,,,,,,,,
机械储能技术,可再生能源,3000,万元,曲轴传动,交流同步电动机,机械能逆变器,飞轮储能系统,高强度材料,动态控制系统,储能效率80%,国家机械能储存技术研究中心,https://www.energystorage.org,2024-09-29,,,,,,,,,
海洋风能技术,可再生能源,9000,万元,纵向传动,双馈电机,海洋风电逆变器,海洋能量监测设备,海上风场布局,智能协调控制系统,风能转化效率50%,国家海洋局,https://www.soa.gov.cn,2024-09-29,,,,,,,,,
有机光伏技术,可再生能源,6500,万元,光电转换,无刷直流电动机,有机光伏逆变器,有机薄膜电池,轻量化设计,柔性电气控制系统,透光率85%,中国光伏产业协会,https://www.cpv.org.cn,2024-09-29,,,,,,,,,
废弃物转化为能源技术,可再生能源,2200,万元,焚烧传动,异步电动机,废物处理逆变器,燃料气储存容器,垃圾转化装置,自动化控制系统,转化效率85%,中国环境保护部,https://www.mee.gov.cn,2024-09-29,,,,,,,,,
海洋能转换技术,可再生能源,7000,万元,波浪能传动,增速直流发电机,海洋能专用逆变器,锂离子电池组,浮标式收集器,实时监控系统,额定容量120Ah，充电效率92%,中国海洋能源协会,http://www.cmeia.org,2024-09-29,,,,,,,,,
热泵技术,可再生能源,4500,万元,热交换器,高效变频电动机,变频逆变器,热水储存系统,集中供热系统,智能温控系统,额定功率10kW，热效率效率120%,国家节能中心,https://www.nea.gov.cn/,2024-09-29,,,,,,,,,
风电储能系统,可再生能源,5400,万元,储能电池,永磁步进电动机,智能逆变器,钠离子电池,模块化储能系统, grids型电气控制系统,额定容量200Ah，充电效率90%,中国风能协会,http://www.cwea.org.cn/,2024-09-29,,,,,,,,,
太阳能热利用技术,可再生能源,3200,万元,热媒循环,单相异步电动机,热能专用逆变器,太阳能热水器,集热器,智能调节控制系统,热力输出5000kcal/h,中国太阳能学会,http://www.csola.org.cn/,2024-09-29,,,,,,,,,
康体节能技术,可再生能源,1500,万元,机械传动,无刷直流电动机,微型逆变器,灵活电池组,多功能健身器材,实时监控与管理系统,能量回收率80%,中国体育科技协会,http://www.csts.org.cn/,2024-09-29,,,,,,,,,
国家氢能研发平台,可再生能源,9500,万元,电动机驱动,氢燃料电动机,智能氢能逆变器,高压氢气罐,模块化氢能站,大数据监控系统,输出功率80kW，能量密度800Wh/L,中国氢能产业技术创新战略联盟,http://www.chinahydrogen.org/,2024-09-29,,,,,,,,,
电动汽车充电桩技术,可再生能源,3700,万元,电流转换,交流电动机,快速充电逆变器,锂聚合物电池,便携式充电设备,智能充电管理系统,充电功率150kW，效率88%,国家电力规划设计总院,https://www.spd.com.cn/,2024-09-29,,,,,,,,,
智能电网技术,可再生能源,8200,万元,虚拟电网扭矩,同步发电机,智能电网逆变器,分布式储能单元,网络化控制结构,多节点智能控制系统,动态负载管理,国家智能电网技术中心,http://www.smartgrid.org.cn/,2024-09-29,,,,,,,,,
生物质发电技术,可再生能源,4100,万元,机械传动,同步发电机,生物质专用逆变器,生物质能量站,旋转流化床反应器,全自动控制系统,发电效率85%,中国生物质能开发与利用协会,http://www.cnbiofuels.org/,2024-09-29,,,,,,,,,
波浪能转换技术,可再生能源,4500,万元,液压传动,直流电动机,浮标式逆变器,海水电解储能系统,浮动平台设计,智能分布式控制系统,能量密度250Wh/L,中国波浪能研究中心,https://www.cwrse.org/,2024-09-29,,,,,,,,,
氨能转化技术,可再生能源,7000,万元,电动机驱动,交流感应电动机,高效氨能逆变器,氨气储存罐,模块化反应器,自动监控系统,输出功率30kW，储能容量500L,中国能源研究院,https://www.cnenergy.org/,2024-09-29,,,,,,,,,
超级电容器技术,可再生能源,4000,万元,压电传动,无刷电动机,便携式逆变器,超级电容器模组,分布式设计,智能集成控制系统,额定容量120F，充电时间30分钟,中国超级电容器技术创新中心,https://www.super-cap.org/,2024-09-29,,,,,,,,,
电动汽车充电技术,可再生能源,8500,万元,电动机驱动,电动汽车专用发动机,快速充电逆变器,锂电池组,立体停车充电桩,智能充电管理系统,输出功率200kW，充电效率98%,中国电动车充电网络,https://www.evcharging.org/,2024-09-29,,,,,,,,,
循环水能技术,可再生能源,3500,万元,泵送系统,高效泵电机,水力发电逆变器,水储存系统,闭环循环系统,自动监控系统,流量1500m³/h，能量转换效率85%,中国水利部,https://www.mwr.gov.cn/,2024-09-29,,,,,,,,,
热泵技术,可再生能源,5000,万元,压缩机驱动,伺服电动机,气候适配逆变器,高温水储存罐,分体式设计,精细控制系统,制热效率4.5，制冷效率3.8,中国热泵行业协会,https://www.chinageothermal.org/,2024-09-29,,,,,,,,,
潮汐能技术,可再生能源,6000,万元,涡轮驱动,水轮机,潮流专用逆变器,潮汐能储能系统,海底涡轮系统,智能监测系统,输出功率60kW，能量转换效率90%,中国潮汐能研究所,https://www.oceanenergy.gov.cn/,2024-09-29,,,,,,,,,
碳捕捉与封存技术,可再生能源,9500,万元,压缩机系统,往复式压缩机,碳捕捉专用逆变器,封存储存罐,地质封存系统,大型监控网络,捕捉效率90%，封存深度500m,中国碳捕捉技术研究中心,https://www.ccs.cn/,2024-09-29,,,,,,,,,
混合动力发电技术,可再生能源,11000,万元,多元传动,电动机+内燃机,多模式逆变器,混合动力电池组,一体式设计,智能能源管理系统,能量密度600Wh/kg，组合效率80%,中国混合动力电动汽车产业联盟,https://www.hydrid.org.cn/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,4500,万元,液压传动,永磁同步电动机,智能潮汐逆变器,潮汐能储存装置,潮汐坝设计,智能网联控制系统,输出功率200kW，能量密度600Wh/kg,中国潮汐能协会,http://www.ctea.org.cn/,2024-09-29,,,,,,,,,
氨能源技术,可再生能源,7000,万元,气体涡轮,氨能电动机,电气化氨逆变器,氨气燃储存系统,模块化设计,智能能源管理系统,能量密度1200Wh/L，输出功率75kW,清洁能源促进会,http://www.cleangreen.com.cn/,2024-09-29,,,,,,,,,
磁悬浮风力涡轮技术,可再生能源,9500,万元,无接触传动,高温超导电动机,增强型逆变器,全氟聚醚电池,多轴涡轮设计,动态监控系统,额定容量200Ah，充电效率98%,国际风能组织,https://www.windpower.org/,2024-09-29,,,,,,,,,
生物燃料研发技术,可再生能源,3200,万元,化学反应驱动,专用电动机,标准型逆变器,生物柴油发电模块,高效反应器,自动化控制系统,能量密度850Wh/L,国家生物能源实验室,http://www.nbel.org.cn/,2024-09-29,,,,,,,,,
太阳能热发电技术,可再生能源,6000,万元,蒸汽轮机,蒸汽电动机,高温逆变器,薄膜太阳能板,集中式光热系统,智能监测系统,热效率85%,中国太阳能产业协会,http://www.csp.cn/,2024-09-29,,,,,,,,,
碳捕捉与储存技术,可再生能源,8800,万元,气体压缩,高效气泵,专用碳捕获逆变器,大型储碳装置,地下二氧化碳储存,全面监控系统,捕集能力50万吨/年,国际碳捕获网络,http://www.icccs.org/,2024-09-29,,,,,,,,,
人工光合作用技术,可再生能源,7300,万元,生物反应器,微生物电动机,光电转换逆变器,复合材料电池,高效光捕集系统,自适应控制系,光能转化率15%,中国科学院能源研究所,http://www.energy.cas.cn/,2024-09-29,,,,,,,,,
电动汽车快速充电技术,可再生能源,4000,万元,电动机制动,高功率电动机,快速充电逆变器,锂电池组,充电桩系统,智能充电管理系统,充电功率350kW,电动车技术创新中心,http://www.evtech.org.cn/,2024-09-29,,,,,,,,,
生物氢气生产技术,可再生能源,2100,万元,生物气化反应,氢气压缩机,氢能逆变器,氢气储存系统,生物质反应器,自动化控制系统,产氢能力1000标准立方米/日,中国氢气能源科技协会,http://www.hydrogeninnovation.org/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7500,万元,直流传动,永磁同步电动机,高效双向逆变器,锂硫电池,潮汐发电平台,在线监控系统,额定容量200Ah，充电效率97%,国际潮汐能协会,https://www.itba.org,2024-09-29,,,,,,,,,
氨能转化技术,可再生能源,6200,万元,电动机驱动,无刷直流电动机,高效逆变器,氨气储存罐,热交换反应器,智能自动化系统,能量密度500Wh/L,国家氢能与燃料电池技术创新战略联盟,https://www.chinacf.net,2024-09-29,,,,,,,,,
先进光热发电技术,可再生能源,11000,万元,环形传动,异步电动机,高效直流逆变器,高能效光热收集组件,集热塔系统,动态调节系统,输出功率60kW，热效率45%,中国太阳能发展促进会,https://www.cansia.org,2024-09-29,,,,,,,,,
高温气冷堆技术,可再生能源,15000,万元,冷却气体流动,电磁驱动电机,先进能量转化逆变器,高温气冷堆,模块化堆组件,智能能量管理系统,输出功率250MW,中国核能行业协会,https://www.cnaia.org,2024-09-29,,,,,,,,,
水能利用综合技术,可再生能源,4000,万元,水轮机传动,交流发电机,数字式逆变器,水储能系统,水库蓄能系统,智能调度系统,最大输出功率100kW,国家水利部,https://www.mwr.gov.cn,2024-09-29,,,,,,,,,
空气源热泵技术,可再生能源,3500,万元,压缩机驱动,变频控制电动机,风冷式逆变器,蓄热水槽,一体化设计,数字化控制系统,COP值4.5,中国热泵产业协会,https://www.chinageothermal.org,2024-09-29,,,,,,,,,
航空电动推进技术,可再生能源,9500,万元,电动推进器,高功率电动机,划算逆变器,高能量电池组,复合材料机身,全电子控制系统,能量密度800Wh/kg,中国航空动力技术促进会,https://www.caas.cn,2024-09-29,,,,,,,,,
