海洋科技资源（字符型）,海洋企业资源（字符型）,海洋园区的空间图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
海洋食品安全技术,山东海洋生物科技有限公司,青岛海洋经济开发区,山东省食品药品监督管理局,http://www.sd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
人工智能海洋数据分析,天津人工智能海洋研究所,天津滨海新区海洋研究园,天津市科学技术委员会,http://www.tj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,昆明海洋气候研究中心,云南省海洋科学研究园,云南省气象局,http://www.yn.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋交通解决方案,福建海洋运输科技公司,福州海洋交通产业园,福建省交通运输厅,http://jtt.fujian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海生物资源开发,辽宁省深海生物科技公司,大连海洋生物产业园,辽宁省发展和改革委员会,http://www.ln.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海底油气勘探技术,陕西海洋油气勘探有限公司,西安海洋油气开发区,陕西省能源局,http://www.shanxi.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智能海洋监测系统,海南省智海科技有限公司,海南自由贸易港海洋产业园,海南省科技厅,https://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海资源勘探技术,广州深海技术研究中心,广东省深海创新产业园,南方日报,http://www.southcn.com/,2024-10-15,,,,,,,,,,,,,,
可持续海洋生态系统管理,青岛海洋生态研究所,青岛蓝色经济区,中国海洋大学,http://www.ouc.edu.cn/,2024-10-15,,,,,,,,,,,,,,
海上风电技术,江苏海洋能科技有限公司,江苏省海上风电产业园,江苏省能源局,http://energy.jiangsu.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物医药,厦门海洋生物研究中心,福建省海洋生物科技园,福建省海洋与渔业厅,http://fjyj.fujian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智能渔业技术,山东智能渔业技术企业,山东省智慧渔业园区,山东省渔业局,http://www.shandong.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋信息技术,福州海洋信息科技公司,福建省海洋信息产业园,福州市政府,http://www.fuzhou.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境保护技术,辽宁海洋环保科技有限公司,辽宁省海洋生态科技园,辽宁省生态环境厅,http://www.ln.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋机器人技术,天津海洋机器人研究院,天津滨海新区海洋科技园,天津市科技局,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋大数据分析,哈尔滨海洋大数据研究所,黑龙江省海洋大数据创新园,黑龙江省科技厅,http://www.hlj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源技术,海南深海能源开发公司,海南洋浦经济开发区,海南省政府,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测服务,广州海洋监测有限公司,广州南沙新区海洋产业园,广州市环保局,http://www.gzepb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术研究,澎湖海洋生物科技公司,台湾澎湖海洋科技产业园,台湾经济部,https://www.moea.gov.tw/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,西南地质矿产单位,云南省深海矿产开发区,云南省发改委,http://www.yn.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据分析平台,深圳海洋智能科技公司,深圳湾科技生态园,深圳市科技创新委,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海生物研究中心,青岛海洋生物研究院,青岛蓝色科技园,青岛市科技局,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋机器人技术开发,宁波海洋机器人有限公司,宁波镇海船舶工业区,宁波市民政局,http://www.ningbo.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,厦门海洋气候研究所,厦门海洋科技园,厦门市政府,http://www.xiamen.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋机器人集成应用,长春海洋技术集成公司,吉林省海洋开发园,吉林省科技局,http://www.jl.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海绿能开发技术,福建海洋可再生能源项目,福建省海洋新能源产业园,福建省发改委,http://www.fujian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
无人艇技术,北京海洋科技有限公司,北京市海洋科技创新园,北京市海洋局,http://www.bjhy.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能监测,深圳市深海科技有限公司,深圳前海海洋创新示范区,深圳特区报,https://www.sznews.com/,2024-10-15,,,,,,,,,,,,,,
深海可再生能源开发,青岛海洋开发技术研究院,青岛海洋科技园,青岛市政府,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环保技术,天津海洋生态科技有限公司,天津滨海新区海洋科技产业园,天津日报,https://www.tjbjd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据分析,南京海洋大数据中心,南京海洋科技园区,南京市科学技术局,http://www.nanjing.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物科技,舟山海洋生物研究所,舟山国际海洋创新中心,舟山市人民政府,http://www.zhoushan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,海南深海探测技术有限公司,海南海洋决策支持中心,海南日报,http://www.hinews.cn/,2024-10-15,,,,,,,,,,,,,,
海洋污染监测,厦门海洋环境监测中心,厦门海洋科技园,厦门市环保局,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,福州海洋与气候研究所,福州新区海洋科研中心,福州市政府,http://www.fuzhou.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海机器人技术,上海深海机器人有限公司,上海海洋科技产业区,上海市经济和信息化委员会,http://www.sheit.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态保护技术,海南省海洋生态修复中心,海南海洋科技园区,海南省生态环境厅,http://www.hainan.gov.cn/specials/hjc/index.html,2024-10-15,,,,,,,,,,,,,,
海洋能源开发,山东海洋风电产业链,青岛海洋工程研究中心,青岛市政府,http://www.qd.gov.cn/qddt/sgjb/index.html,2024-10-15,,,,,,,,,,,,,,
海洋数据智能服务,大连海洋智能科技有限公司,大连海洋科技创新园,大连市科技局,http://www.dalian.gov.cn/wz/sylw/2019/index.html,2024-10-15,,,,,,,,,,,,,,
深海探测技术,四川深海科技股份有限公司,成都海洋科技园,四川省政府,http://www.sc.gov.cn/10462/10464/10467/2019/9/8/2e8622397f4d4a1155d10811bd722c1c.shtml,2024-10-15,,,,,,,,,,,,,,
海洋渔业可持续发展,福建省海洋渔业科技创新中心,福州海洋渔业科技园,福建省农业农村厅,http://www.fujian.gov.cn/zwgk/qt/gzdt/index.html,2024-10-15,,,,,,,,,,,,,,
海洋国防科技,江苏海洋军事科技公司,南京海洋装备科技园,江苏省国防科技局,http://www.js.gov.cn/gglm/ndxz/index.html,2024-10-15,,,,,,,,,,,,,,
海洋机器人技术,广州海洋机器人研发中心,广州海洋科技园,广州市科技局,http://www.gz.gov.cn/gzdt/sfgg/tech/index.html,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,辽宁海洋矿业有限公司,沈阳海洋产业园,辽宁省自然资源厅,http://zrzy.liaoning.gov.cn/xxgk/pb/index.html,2024-10-15,,,,,,,,,,,,,,
海洋文化传播,厦门海洋文化产业公司,厦门海洋文化艺术园,厦门市文化和旅游局,http://whly.xiamen.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,浙江省海洋生物研究中心,杭州海洋生物产业园,浙江省科技厅,http://www.zj.gov.cn/art/2020/5/11/art_1213013_58876970.html,2024-10-15,,,,,,,,,,,,,,
智能海洋监测系统,海洋智能科技有限公司,大连海洋科技园,大连市政府,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源项目,青岛海洋能源开发公司,青岛经济技术开发区,青岛日报,http://www.qdnews.com/,2024-10-15,,,,,,,,,,,,,,
全球海洋数据共享平台,深圳海洋研究所,深圳南山科技园,深圳市科技创新委员会,http://www.szsti.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋食品安全技术,厦门海食科技有限公司,福建省海洋与食品科技园,厦门经济特区,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
人工智能在海洋科研中的应用,海洋AI创新中心,长沙新能源汽车产业园,湖南省科技厅,http://www.hnst.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境修复技术,广东海洋环保有限公司,广州生态科技园,广州市环境保护局,http://www.gzepb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海勘探技术,海南深海资源开发公司,三亚科技园,海南省发展和改革委员会,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复项目,上海海洋生态科技有限公司,上海奉贤海洋科技园,上海市生态环境局,http://www.sepb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化适应技术,青岛气候适应技术研究院,青岛蓝色经济区,青岛市气候中心,http://www.qdclimate.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海生物资源保护技术,哈尔滨海洋生物研究院,黑龙江省海洋技术产业园,黑龙江省海洋局,http://www.hlj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智能海洋传感器技术,武汉海洋科技有限公司,武汉经济技术开发区,湖北省科技厅,http://www.hbkj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态保护技术,青岛蓝海环保科技公司,青岛海洋科学与技术试点区,青岛市政府,http://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据挖掘与分析,厦门海洋大数据研究中心,厦门海洋科技园区,厦门市科技局,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,辽宁海洋风电公司,大连海洋经济区,辽宁省能源局,http://www.ln.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,南海深蓝科技公司,海南省海洋工程技术中心,海南省发展改革委,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,北京海洋医药科技有限公司,中关村海洋创新产业园,北京市海洋局,http://www.beijing.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海油气开发,上海海洋石油工程公司,上海海洋能源开发区,中国海洋石油总公司,http://www.cnooc.com.cn/,2024-10-15,,,,,,,,,,,,,,
海洋机器人技术,广州海洋机械工程院,广州科技产业园区,广州市科技信息中心,http://www.gz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,青岛海洋环境监测中心,青岛蓝色经济区,青岛市环境保护局,http://www.qdepb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋连接网络技术,天津海洋互联网技术有限公司,天津西青经济技术开发区,天津市商务局,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,厦门海洋环境监测中心,福建省海洋信息技术产业园,海洋科技协会,https://www.marine-tech.org/,2024-10-15,,,,,,,,,,,,,,
海洋智能装备,上海海智智能科技有限公司,上海国际海洋科技园,上海市科技委员会,https://stcsm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,深海科技研究院,广东深海科技产业园,广东省科技厅,http://www.gdst.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物资源利用,青岛蓝海生物科技有限公司,青岛蓝色经济区,青岛市经济贸易局,https://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋工程技术,大连海洋工程技术研究中心,大连海洋科技园区,大连市政府,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源开发,海南风力发电有限公司,海南海洋可再生能源产业园,海南省发展和改革委员会,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋文化产业,舟山群岛文化发展有限公司,舟山群岛文化产业园,浙江省文化厅,http://www.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋旅游与休闲经济,南海旅游发展公司,海南国际海洋旅游产业园,中国旅游协会,http://www.ctaweb.org/,2024-10-15,,,,,,,,,,,,,,
海洋食品加工,山东海洋食品集团,山东海洋产业园,山东省农业厅,http://www.sdnw.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数字经济,杭州数字海洋科技有限公司,杭州海洋数字产业园,杭州市科技局,http://www.hangzhou.gov.cn/,2024-10-15,,,,,,,,,,,,,,
