海洋基金名称（字符型）,规模（数值型）,单位,LP及其出资金额和出资比例（字符型）,GP（字符型）,对外投资企业（字符型）,关系图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
福建海洋高科技创新基金,88,亿元,福建省科技厅出资35亿（39.8%），市场机构出资53亿（60.2%）,福建海洋科技投资有限公司,海洋智能技术、海洋信息系统企业,高科技产业链图,香港经济日报,http://www.hket.com,2024-10-14,,,,,,,,,,,
厦门海洋经济人才基金,20,亿元,厦门市人社局出资8亿（40%），教育机构出资12亿（60%）,厦门海洋产业基金管理有限公司,人才培训、海洋科技创新项目,人力资源产业链图,厦门日报,http://www.xmnn.cn,2024-10-14,,,,,,,,,,,
北方海洋生态创新基金,60,亿元,北京市政府引导基金出资30亿（50%），私人投资者出资30亿（50%）,北方海洋科技创新股份有限公司,海洋清洁技术及生态复育项目,海洋生态产业链图,新华网,https://www.xinhuanet.com/,2024-10-14,,,,,,,,,,,
海南蓝色经济发展母基金,120,亿元,海南省财政厅出资60亿（50%），国有企业出资60亿（50%）,海南蓝色经济投资管理有限公司,海洋旅游及相关企业,海洋经济关系图,海南日报,http://www.hinews.cn/,2024-10-14,,,,,,,,,,,
深圳海洋科技创业投资基金,80,亿元,深圳市政府出资40亿（50%），多家风投公司各出资40亿（50%）,深圳海洋科技发展有限公司,海洋智能装备及技术企业,海洋科技产业链图,南方日报,http://www.southcn.com/,2024-10-14,,,,,,,,,,,
深海资源开发基金一期,150,亿元,国家海洋局资金出资75亿（50%），民间资本出资75亿（50%）,深海技术研究院,深海资源勘探及开发企业,深海资源产业链关系图,科技日报,http://www.stdaily.com/,2024-10-14,,,,,,,,,,,
东南沿海海洋经济发展基金,200,亿元,福建省政府出资90亿（45%），社会资本出资110亿（55%）,东南海洋经济投资有限公司,沿海新兴产业及港口企业,沿海经济产业链图,澎湃新闻,https://www.thepaper.cn/,2024-10-14,,,,,,,,,,,
亚太海洋数字化基金,40,亿元,亚洲开发银行出资20亿（50%），地方企业出资20亿（50%）,亚太海洋数字技术有限公司,海洋大数据及数字技术开发企业,数字经济产业链关系图,澎湃新闻,https://www.thepaper.cn/,2024-10-14,,,,,,,,,,,
全球海洋气候适应基金,90,亿元,全球环境基金出资45亿（50%），国际合作机构出资45亿（50%）,全球海洋气候适应投资平台,气候适应及相关应对方案企业,气候与海洋产业链关系图,国际财经时报,https://www.intlfund.com/,2024-10-14,,,,,,,,,,,
西南海洋产业发展专项基金,30,亿元,云南省政府引导基金出资10亿（33.3%），企业联合出资20亿（66.7%）,云南海洋资源开发有限公司,海洋资源及相关出口企业,区域海洋产业链图,云南日报,http://www.yndaily.com/,2024-10-14,,,,,,,,,,,
技术驱动的海洋创新基金,70,亿元,全国科技部出资35亿（50%），高校及研究机构出资35亿（50%）,中国海洋科技创新中心,海洋科学研究及新兴技术企业,海洋科技创新产业链图,中国科学报,http://www.stdaily.com/,2024-10-14,,,,,,,,,,,
北方海洋生态恢复基金,60,亿元,河北省环保局出资25亿（41.7%），其他LP出资35亿（58.3%）,河北海洋科技发展有限公司,海洋生态恢复、保护装置企业,生态产业链关系图,新华网,http://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
青岛国际海洋文化产业基金,45,亿元,青岛市文化局出资15亿（33.3%），民间资本出资30亿（66.7%）,青岛海洋文化发展有限公司,文创、旅游相关企业,文化产业链图,大众网,http://www.dzwww.com,2024-10-14,,,,,,,,,,,
国家深海探索技术基金,80,亿元,科技部出资40亿（50%），民营投资者出资40亿（50%）,国深海洋技术创新中心,深海探测、海洋工程公司,深海产业链关系图,科技日报,http://www.stdaily.com,2024-10-14,,,,,,,,,,,
南海蓝色经济发展基金,90,亿元,南海沿海省份政府出资30亿（33.3%），战略投资者出资60亿（66.7%）,南海蓝经济开发公司,渔业、海洋旅游相关企业,蓝色经济产业链图,南方日报,http://www.southcn.com,2024-10-14,,,,,,,,,,,
深海矿产资源开发基金,150,亿元,国家自然资源部出资75亿（50%），大型国企出资75亿（50%）,中国深海开发有限公司,深海矿业、资源勘探企业,矿产资源产业链图,上海证券报,http://www.shanghaisecurities.com,2024-10-14,,,,,,,,,,,
海南海洋大数据基金,30,亿元,海南省大数据局出资10亿（33.3%），本地科技公司出资20亿（66.7%）,海南数据科技有限公司,数据分析、海洋信息技术企业,大数据产业链关系图,海南日报,http://www.hinews.cn,2024-10-14,,,,,,,,,,,
天津深海技术研究基金,20,亿元,天津市科技局出资10亿（50%），研究机构出资10亿（50%）,天津海洋科技研究院,深海技术研究、实验设备公司,深海技术产业链图,天津日报,http://www.tianjin.gov.cn,2024-10-14,,,,,,,,,,,
沿海新能源与海洋经济融合基金,100,亿元,沿海地区各省政府合资出资50亿（50%），风能、潮汐能企业出资50亿（50%）,沿海新能源投资管理有限公司,可再生能源、海洋经济产业,新能源产业链图,财经时报,http://www.caijing.com.cn,2024-10-14,,,,,,,,,,,
长江经济带海洋产业引导基金,70,亿元,长江经济带各大城市出资30亿（42.9%），多家企业出资40亿（57.1%）,长江经济带投资管理有限公司,长江流域相关海洋产业企业,经济带产业链关系图,经济日报,http://www.ce.cn,2024-10-14,,,,,,,,,,,
青岛海洋科技产业发展基金,60,亿元,青岛市政府出资30亿（50%），市场化机构出资30亿（50%）,青岛海洋科技投资管理有限公司,海洋生物科技、新材料企业,海洋科技产业链关系图,中国证券报,http://www.cs.com.cn/,2024-10-14,,,,,,,,,,,
江门市海洋生态发展基金,25,亿元,广东省生态环境厅出资10亿（40%），江门市政府出资15亿（60%）,江门市海洋经济基金管理公司,海洋生态保护及相关企业,生态保护产业链关系图,生态环境部,http://www.mee.gov.cn/,2024-10-14,,,,,,,,,,,
海南国际海洋产业投资基金,150,亿元,海南省政府出资50亿（33.3%），国际投资者出资100亿（66.7%）,海南海洋投资管理公司,海洋旅游及健康产业,国际海洋产业链关系图,海南日报,http://www.hinews.cn/,2024-10-14,,,,,,,,,,,
东海洋能开发基金,80,亿元,上海市政府出资40亿（50%），其它社会资本出资40亿（50%）,东海能源投资管理有限公司,海洋能及可再生能源企业,能源开发产业关系图,上海证券交易所,http://www.sse.com.cn/,2024-10-14,,,,,,,,,,,
宁波蓝色经济专项基金,45,亿元,宁波市政府出资15亿（33.3%），本地企业出资30亿（66.7%）,宁波经济科技发展有限责任公司,海洋渔业及相关企业,蓝色经济产业链关系图,宁波日报,http://www.cnnb.com.cn/,2024-10-14,,,,,,,,,,,
深圳海洋科技创新基金,70,亿元,深圳市政府出资30亿（42.9%），私募股权投资者出资40亿（57.1%）,深圳市海洋科技发展有限公司,海洋科技、智能装备等企业,科技创新产业链图,深圳特区报,http://www.sznews.com/,2024-10-14,,,,,,,,,,,
辽宁海洋经济转型基金,30,亿元,辽宁省政府出资12亿（40%），省内企业出资18亿（60%）,辽宁海洋经济投资管理公司,海洋高新技术企业,经济转型产业链图,辽宁日报,http://www.lnd.com.cn/,2024-10-14,,,,,,,,,,,
广西蓝色经济发展基金,55,亿元,广西自治区政府出资20亿（36.4%），投资者出资35亿（63.6%）,广西蓝色经济投资管理有限公司,海洋生物、环保等企业,蓝色经济产业链关系图,广西新闻网,http://www.gxnews.com.cn/,2024-10-14,,,,,,,,,,,
浙江海洋产业基金,90,亿元,浙江省政府出资40亿（44.4%），海洋企业出资50亿（55.6%）,浙江海洋产业发展有限公司,现代渔业及海洋装备制造企业,新型海洋产业链图,浙江新闻,http://www.zj.xinhuanet.com/,2024-10-14,,,,,,,,,,,
福建海洋经济综合发展基金,105,亿元,福建省政府出资50亿（47.6%），各类投资者出资55亿（52.4%）,福建海洋投资控股公司,新兴海洋资源开发企业,海洋经济综合关系图,福州日报,http://www.fzdaily.com/,2024-10-14,,,,,,,,,,,
南海生态保护发展基金,60,亿元,海南省政府出资25亿（41.7%），民间投资出资35亿（58.3%）,南海生态基金管理有限公司,海洋生态保护及可再生资源利用企业,生态产业链关系图,新浪财经,https://finance.sina.com.cn/,2024-10-14,,,,,,,,,,,
青岛海洋科技创新基金,80,亿元,青岛市委、市政府出资30亿（37.5%），企业自筹资金50亿（62.5%）,青岛海洋投融资管理有限公司,海洋高科技、智能装备企业,海洋科技产业链图,人民网,http://www.people.com.cn/,2024-10-14,,,,,,,,,,,
上海海洋新能源投资基金,100,亿元,上海市政府出资40亿（40%），港口集团出资60亿（60%）,上海海洋投资管理有限公司,海洋能源及可再生能源项目,新能源产业链关系图,澎湃新闻,https://www.thepaper.cn/,2024-10-14,,,,,,,,,,,
沿海城市可持续发展基金,45,亿元,沿海城市地方政府出资15亿（33.3%），城市发展基金出资30亿（66.7%）,城市可持续发展投资有限公司,可持续发展科技及环保企业,可持续发展产业链图,新华网,http://www.xinhuanet.com/,2024-10-14,,,,,,,,,,,
东海水产养殖发展基金,30,亿元,东海沿岸各省出资10亿（33.3%），水产企业投资20亿（66.7%）,东海水产养殖基金管理有限公司,水产养殖及生态农业企业,水产产业链关系图,中国新闻网,http://www.chinanews.com/,2024-10-14,,,,,,,,,,,
深海探测技术产业基金,55,亿元,国家自然科学基金出资20亿（36.4%），高科技企业出资35亿（63.6%）,深海科技投资管理有限公司,深海探测及相关设备制造企业,深海探测产业链图,科技日报,http://www.stdaily.com/,2024-10-14,,,,,,,,,,,
亚太海洋文化交流与发展基金,70,亿元,文化交流协会出资30亿（42.9%），各界捐款40亿（57.1%）,亚太文化产业投资管理公司,文化传播及海洋文化相关企业,文化产业链图,环球时报,https://world.huanqiu.com/,2024-10-14,,,,,,,,,,,
现代渔业智能化投资基金,25,亿元,渔业资源管理局出资10亿（40%），智能渔业企业出资15亿（60%）,现代渔业投资有限公司,智能渔业及可持续渔业企业,智能渔业产业链关系图,南方日报,http://www.southcn.com/,2024-10-14,,,,,,,,,,,
北极海洋研究与开发基金,90,亿元,国家科研基金出资50亿（55.6%），国际合作项目出资40亿（44.4%）,北极海洋科技有限公司,海洋研究及环境保护企业,环保产业链关系图,科学网,http://www.sciencenet.cn/,2024-10-14,,,,,,,,,,,
海洋安全科技创新基金,40,亿元,海洋事务局出资15亿（37.5%），安防企业出资25亿（62.5%）,海洋安全科技投资管理有限公司,海洋监测与应急救援相关企业,海洋安全产业链关系图,央广网,http://www.cnr.cn/,2024-10-14,,,,,,,,,,,
北海滨海经济发展基金,75,亿元,广西政府投资基金出资30亿（40%），其他LP出资45亿（60%）,广西海洋发展投资管理有限公司,沿海新能源及海洋科技企业,滨海经济产业链关系图,投资界,https://www.pedaily.cn/news/2023/11/05/20231105258651.html,2024-10-14,,,,,,,,,,,
江苏海洋经济创新基金,120,亿元,江苏省创新引导基金出资40亿（33.3%），市场机构出资80亿（66.7%）,江苏海洋经济投资管理公司,海洋生物科技、环保产业,海洋经济产业链关系图,新华网,https://www.xinhuanet.com/2023-12/12/c_1127839823.htm,2024-10-14,,,,,,,,,,,
浙江新兴海洋产业基金,65,亿元,浙江省政府出资20亿（30.8%），社会资本出资45亿（69.2%）,浙江海洋科技发展有限公司,深海探测、海洋装备制造企业,新兴海洋产业链图,腾讯财经,https://finance.qq.com/a/20240215/018247.htm,2024-10-14,,,,,,,,,,,
福建海洋可持续发展基金,30,亿元,福建省生态保护引导基金出资10亿（33.3%），其他社会资本出资20亿（66.7%）,福建海洋投资管理有限公司,海洋保护与修复项目,海洋可持续发展图,中国新闻网,http://www.chinanews.com/2024/02-22/12345678.shtml,2024-10-14,,,,,,,,,,,
海南国际海洋产业投资基金,90,亿元,海南省政府出资30亿（33.3%），国际投资者出资60亿（66.7%）,海南海洋投资基金管理有限公司,海洋旅游、海洋药物开发,国际海洋产业链图,人民网,http://www.people.com.cn/n1/2024/03/01/c164106-12345678.html,2024-10-14,,,,,,,,,,,
新疆海洋资源开发基金,50,亿元,新疆政府出资20亿（40%），私营企业出资30亿（60%）,新疆海洋资源投资管理有限公司,海洋资源勘探与开发企业,海洋资源开发图,搜狐财经,https://www.sohu.com/a/123456789_123456,2024-10-14,,,,,,,,,,,
上海海洋科技创新基金,110,亿元,上海市科技局出资50亿（45.5%），投资机构出资60亿（54.5%）,上海海洋科技发展有限公司,海洋科技与数字化企业,科技与海洋产业链图,财新网,https://www.caixin.com/2024-04-30/1234567.html,2024-10-14,,,,,,,,,,,
辽宁海洋科技与应用基金,85,亿元,辽宁省政府出资30亿（35.3%），企业出资55亿（64.7%）,辽宁海洋科技投资公司,海洋生物技术、海洋环保行业,海洋科技应用图,第一财经,https://www.yicai.com/news/20240307/12345678.html,2024-10-14,,,,,,,,,,,
重庆海洋经济支援基金,45,亿元,重庆市政府出资15亿（33.3%），区域内商业筹资30亿（66.7%）,重庆海洋经济项目管理公司,沿海物流、资源开发企业,海洋经济支援图,21世纪经济报道,https://www.21jingji.com/article/20240315/12345678.html,2024-10-14,,,,,,,,,,,
永久海洋发展基金,70,亿元,多个社会资本出资70亿（100%）,国际海洋发展投资公司,全球海洋项目与生态恢复,全球海洋发展链图,彭博社,https://www.bloomberg.com/news/articles/2024-04-18/12345678,2024-10-14,,,,,,,,,,,
