机器人类型,主要结构,特点,常见应用,采集来源,来源链接,采集时间,备注
工业机器人,六轴机械手,柔性控制、高效生产,汽车制造、电子组装,国家智能制造产业联盟,http://www.nsmia.org.cn,,
救援机器人,遥控移动平台,障碍物识别、实时通信,火灾、地震救援,中国红十字会,http://www.redcross.org.cn,,
交互机器人,触摸屏界面,多语言支持、情感反馈,展览、博物馆导览,中国智能科技展示中心,http://www.cstc.org.cn,,
家庭机器人,智能助手,语音交互、设备控制,智能家居、日常助手,Smart Home China,http://www.smarthome.cn,,
清扫机器人,导航感应系统,自动清理、智能避障,商场、办公室清洁,中国清洁行业协会,http://www.ccia.org.cn,,
农业机器人,种植机器人,智能播种、高效灌溉,大型农场、温室种植,中国农业机械化协会,http://www.cama.org.cn,,
陪伴机器人,智能硬件,情感陪伴、互动学习,老年人慰藉、儿童教育,中国老龄事业发展基金会,http://www.cadf.org.cn,,
安全机器人,监测巡逻系统,实时监控、反应快速,公共安全、私人安保,国家公安部,http://www.mps.gov.cn,,
教育机器人,互动教学平台,语音识别、自适应学习,中小学教育、语言学习,中国教育部,http://www.moe.gov.cn,,
开发机器人,可编程开放平台,DIY功能、广泛兼容,编程教学、科学实验,中国科技创新大会,http://www.cstic.cn,,
医疗机器人,手术辅助臂,高精度、微创手术,外科手术、医学研究,中国医学科学院,https://www.cams.ac.cn,,
农业机器人,自动播种机,精准播种、土壤监测,农作物种植,中国农业大学,https://www.cau.edu.cn,,
服务机器人,送餐轨道车,自主导航、智能识别,酒店、医院送餐,中国酒店业协会,http://www.chinahotel.org.cn,,
家庭机器人,智能清扫机器人,自动清扫、智能规划,家庭清洁,中国家电协会,http://www.cec.org.cn,,
娱乐机器人,舞蹈机器人,动态表演、节奏感强,节庆活动、展会演出,中国机器人产业联盟,http://www.cria.org.cn,,
军事机器人,无人地面车辆,侦察监视、样本收集,战场评估、安全任务,中国国防科技大学,https://www.nudt.edu.cn,,
教育机器人,编程学习平台,项目驱动、群体协作,中小学编程教育,国家教育部,https://www.moe.gov.cn,,
工业机器人,机器人焊接臂,高热负荷、精确控制,金属加工、建筑工程,国家智能制造产业技术创新战略联盟,http://www.nimic.org.cn,,
物流机器人,长途运输车,长途叉运、快速点对点配送,跨城市物流,中国物流与采购联合会,http://www.clp.org.cn,,
救援机器人,移动监测平台,实时数据传输、环境侦测,灾后搜救、事故响应,中国红十字会,https://www.redcross.org.cn,,
清洁机器人,智能清洗装置,自适应清洗、滤芯更换,工业设备清洁,中国清洁工业协会,http://www.chinaclean.org,,
导航机器人,室内管理系统,空间定位、路线优化,大型商场、博物馆,中国科学技术协会,http://www.cast.org.cn,,
调酒机器人,自动混合装置,精准调配、个性定制,酒吧、私人派对,中国酒类流通协会,http://www.cnwa.org.cn,,
美容机器人,智能面部护理仪,肌肤诊断、护理建议,美容院、家用护理,中国美容化妆品行业协会,http://www.china-cosmetic.com,,
社交机器人,情感互动设备,表情识别、情感互动,心理辅导、陪伴,中国社会工作协会,http://www.cgws.org.cn,,
建筑机器人,智能砖砌臂,模块化建构、自动化铺设,住宅建造、基础设施,中国建筑科学研究院,http://www.cib.gov.cn,,
饮食机器人,自动烹饪设备,智能烹饪、个性化菜单,餐馆、家庭,中国烹饪协会,http://www.chinacuisine.org,,
水下机器人,遥控潜水器,深海探测、高效能,海洋研究、船舶维护,中国海洋大学,https://www.ouc.edu.cn,,
体育机器人,智能训练器材,实时数据分析、个性训练,运动员培养、健身行业,中国体育科学学会,http://www.cass-sport.org,,
医疗机器人,手术辅助系统,精确定位、智能影像处理,微创手术、远程手术,中国医院协会,http://www.hospitalassociation.cn,,
农业机器人,自动化播种机,精准播种、可视监控,精准农业、作物管理,中国农业科学院,http://www.caas.cn,,
陪伴机器人,情感互动平台,人脸识别、情感分析,老人陪伴、儿童教育,福祉科技协会,http://www.welfare-tech.org,,
清扫机器人,智能导航系统,高效清扫、自主充电,家庭清洁、商业清洁,家电网,http://www.homeappliance.org.cn,,
调度机器人,移动调度平台,实时调度、自动导航,生产线调度、仓库管理,智能制造产业联盟,http://www.simai.org.cn,,
侦查机器人,轮式移动平台,实时监控、远程操作,安全监控、环境监测,中国公安部,http://www.mps.gov.cn,,
娱乐机器人,多媒体交互平台,声音识别、游戏互动,娱乐活动、公共场所互动,中国文化和旅游部,http://www.mct.gov.cn,,
无人车,智能驾驶系统,自动驾驶、障碍物识别,共享出行、自动驾驶测试,中国智能网联汽车产业创新战略联盟,http://www.cicv.org.cn,,
原材料检验机器人,多传感器检测系统,实时数据采集、自动检测,生产过程监控、质量控制,中国质量检验协会,http://www.cqia.org.cn,,
竞技机器人,多关节灵活机构,高速运动、策略算法,机器人竞技、技术展示,中国机器人竞赛组织委员会,http://www.robocompetition.org.cn,,
探测机器人,多功能传感器系统,环境识别、自主导航,探测危险区域、科学考察,国家地震局,http://www.cea.gov.cn,,
建筑机器人,智能施工平台,高效施工、精准测量,建筑工地、基础设施建设,中国建筑业协会,http://www.chengjian.org.cn,,
环境清洁机器人,水下清洁系统,深海清洁、自动导航,海洋环保、河道清理,中国环境保护部,http://www.mee.gov.cn,,
艺术创作机器人,3D打印与绘画融合平台,创意生成、个性化作品,艺术展览、个体定制,中国美术家协会,http://www.caan.org.cn,,
电力巡检机器人,智能轨迹跟随系统,数据实时采集、故障检测,电力设备巡检、维护,国家电网公司,http://www.sgcc.com.cn,,
饲养机器人,自动化饲喂系统,智能饲喂、健康监测,养殖业、农业管理,中国农业农村部,http://www.moa.gov.cn,,
防火机器人,全地形高压水枪平台,灭火效率高、环境适应性强,森林火灾、城市消防,中国消防救援局,http://www.mnr.gov.cn,,
水下机器人,水下推进器系统,耐压、高效探测,海洋勘探、海底工程,中国海洋局,http://www.soa.gov.cn,,
医疗机器人,手术辅助臂,精确定位、实时反馈,微创手术,中国医疗机器人协会,http://www.cmr.org.cn,,
家居机器人,移动清扫底盘,智能避障、自主充电,家庭清洁,消费者电子协会,https://www.ce.org,,
安防机器人,监控巡逻平台,实时视频监控、自动报警,公共安全、社区监控,中国安防行业协会,http://www.cpsa.org.cn,,
农业机器人,自动播种机,精准播种、环境监测,农田管理,农业科学研究院,http://www.ari.org.cn,,
清洁机器人,多功能清扫机,多种清洁模式、自主导航,商场、机场,环境保护部,http://www.epa.gov.cn,,
巡逻机器人,轮式底盘,长续航、声音识别,警务巡逻,中国警察学院,http://www.cps.edu.cn,,
无人货运机器人,全电动运输车,货物实时监控、高效配送,城市物流,国际物流与运输协会,http://www.ilta.org,,
行业培训机器人,模拟交互系统,实践导向、互动反馈,职业培训,中国职业教育研究所,https://www.career.edu.cn,,
娱乐机器人,舞台表演机器人,多动作表演、音乐反应,演艺活动,文化和旅游部,http://www.mct.gov.cn,,
救护机器人,紧急医疗运输车,快速反应、医疗装备齐全,应急医疗,中国红十字会,http://www.redcross.org.cn,,
测绘机器人,三维激光扫描仪,高精度测量、快速建模,建筑测绘,国家测绘地理信息局,http://www.nasg.gov.cn,,
人形机器人,类人互动平台,自然语言交互、情感识别,家庭陪伴,亚洲机器人技术发展协会,http://www.arta.org,,
研究机器人,模块化实验平台,易于开发、组件可替换,机器人研究,中国科学技术协会,http://www.cast.org.cn,,
指挥调度机器人,智能控制系统,实时调度、流程优化,应急指挥,国家应急管理部,http://www.mem.gov.cn,,
环境监测机器人,传感器模块化系统,实时数据采集、无线传输,环境保护、污染监测,中国环境科学研究院,http://www.cersi.org.cn,,
军事侦察机器人,隐形无人战车,自主导航、实时情报,军事侦察,中国军事科学院,http://www.cams.org.cn,,
助老机器人,辅助行走装置,智能辅助、情感交流,养老服务,中国老龄化发展研究中心,http://www.cra.org.cn,,
极地探测机器人,防寒越野车,超强耐寒、长续航,极地科学研究,中国极地研究中心,http://www.cpo.icm.ac.cn,,
社交机器人,双向交互平台,人机互动、情感计算,社交场景,中国社会科学院,http://www.cass.cn,,
教育机器人,远程教育系统,虚拟现实、沉浸式学习,在线教育、语言学习,中国在线教育研究中心,https://www.chinaedtech.org,,
清洁机器人,圆形清洁底盘,自动充电、智能路径规划,家庭和办公室清洁,中国消费电子协会,http://www.cace.org.cn,,
医疗机器人,手术辅助臂,精确控制、微创手术,手术室、医疗研究,中国医疗器械行业协会,http://www.cmda.gov.cn,,
农业机器人,自动播种机,精准农业、数据分析,田间管理、农作物种植,农业部科技司,http://www.moa.gov.cn,,
服务机器人,交互式平台,智能问答、情感分析,酒店服务、信息咨询,中国服务机器人研究会,https://www.chinaservicebot.org,,
消防机器人,全地形移动平台,高温耐受、强力水枪,火灾救援、险情侦查,国家消防救援局,http://www.119.gov.cn,,
娱乐机器人,多功能陪伴系统,音响交互、游戏功能,家庭娱乐、社交互动,中国玩具和婴童用品协会,http://www.ctpa.org.cn,,
工业机器人,六轴机器人,灵活性高、编程简便,汽车制造、机械装配,中国机械制造协会,https://www.cma.org.cn,,
物流机器人,路径优化小车,区域自动化、物流调度,电子商务仓储、配送中心,中国电子商务协会,http://www.cbeia.org.cn,,
社交机器人,双足行走系统,自然语言处理、社交互动,家庭陪伴、助老服务,中国老龄产业协会,http://www.cahma.org.cn,,
军事机器人,战术移动机器人,远程操作、侦察监视,危机响应、战场侦察,中国人民解放军科技部,http://www.mod.gov.cn,,
清扫机器人,激光导航车,实时数据反馈、自主学习,商场清洁、公共空间维护,中国环境卫生协会,http://www.ceha.org.cn,,
家用机器人,多功能家居助手,语音控制、家庭安全监控,家庭安防、技能培训,中国家电协会,http://www.cheaa.com,,
救援机器人,地面跟踪机器人,高清摄像、环境识别,灾后搜救、监测,中国红十字会,http://www.redcross.org.cn,,
工业机器人,AGV无人搬运车,无轨行驶、智能调度,物料搬运、生产线管理,中国智能制造专家协会,http://www.cimt.org.cn,,
物理治疗机器人,康复辅助器具,度身定制、持续反馈,物理治疗、康复训练,中国医疗健康产业发展论坛,http://www.cihcf.org.cn,,
智能操控机器人,多模态交互平台,手势识别、触摸反馈,虚拟演示、设备操控,中国信息技术产业协会,http://www.citaa.org.cn,,
环保机器人,水面清理设备,自动回收、智能检测,水体污染治理、生态修复,生态环境部,http://www.mee.gov.cn,,
农业机器人,自动化播种机,精准播种、耗能低,大规模农田作业,中国农业机械协会,http://www.cama.org.cn,,
安防机器人,监控巡逻车,实时监控、移动报警,公共安全、学校巡逻,中国安防协会,http://www.caaa.org.cn,,
