机器人类型,前进速度,单位,倒退速度,单位.1,加速速度,单位.2,减速速度,单位.3,数据类型,采集来源,来源链接,采集时间,备注
旅游导览机器人,1.7,m/s,0.6,m/s,2.1,m/s,1.0,m/s,字符型,中国旅游局,http://www.cntravel.gov.cn,,
智能陪伴老人机器人,0.6,m/s,0.3,m/s,0.9,m/s,0.4,m/s,字符型,中国养老产业发展协会,http://www.eldersupport.org.cn,,
无人机递送机器人,5.0,m/s,2.0,m/s,7.0,m/s,3.0,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
互联网家居服务机器人,1.4,m/s,0.5,m/s,2.0,m/s,0.9,m/s,字符型,互联网行业发展协会,http://www.ecommerce.org.cn,,
高级护理机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,中国医师协会,http://www.cma.org.cn,,
垃圾分类机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,环境保护部,http://www.mep.gov.cn,,
分享经济服务机器人,1.5,m/s,0.6,m/s,2.2,m/s,0.9,m/s,字符型,中国共享经济研究院,http://www.sharingeconomy.org.cn,,
无人驾驶清扫机器人,1.6,m/s,0.7,m/s,2.5,m/s,1.1,m/s,字符型,清洁行业协会,http://www.cleaningindustry.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,农业技术推广中心,http://www.atech.gov.cn,,
餐饮服务机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.6,m/s,字符型,中国餐饮协会,http://www.ca.org.cn,,
巡逻机器人,2.5,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,安全监控技术协会,http://www.securitytech.org,,
快递递送机器人,3.0,m/s,1.0,m/s,4.5,m/s,1.8,m/s,字符型,中国快递协会,http://www.courierassociation.org.cn,,
建筑施工机器人,2.0,m/s,0.7,m/s,3.0,m/s,1.4,m/s,字符型,中国建筑协会,http://www.chinaconstruction.org,,
教育辅导机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,教育部,http://www.moe.gov.cn,,
救援机器人,1.5,m/s,0.5,m/s,2.5,m/s,1.2,m/s,字符型,国家应急管理部,https://www.mem.gov.cn,,
货架补货机器人,2.2,m/s,0.9,m/s,3.1,m/s,1.5,m/s,字符型,国际供应链协会,https://www.supplychain.org,,
扫雪机器人,1.0,m/s,0.4,m/s,1.6,m/s,0.8,m/s,字符型,气象局,http://www.cma.gov.cn,,
非接触医疗机器人,1.8,m/s,0.4,m/s,2.3,m/s,0.9,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
老年人陪伴机器人,0.6,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,老龄工作委员会,http://www.agework.gov.cn,,
智能家居管理机器人,0.9,m/s,0.5,m/s,1.4,m/s,0.7,m/s,字符型,家电研究院,https://www.applianceinstitute.org,,
配送服务机器人,2.0,m/s,0.8,m/s,2.5,m/s,1.0,m/s,字符型,电子商务研究中心,http://www.ecommerce.org.cn,,
智能监控机器人,1.4,m/s,0.6,m/s,2.2,m/s,1.2,m/s,字符型,公共安全部,http://www.publicsecurity.gov.cn,,
城市场景导航机器人,3.5,m/s,1.4,m/s,5.0,m/s,2.5,m/s,字符型,城市智能化发展委员会,http://www.smartcity.gov.cn,,
翻译助手机器人,0.7,m/s,0.2,m/s,1.2,m/s,0.5,m/s,字符型,翻译协会,http://www.translation.org.cn,,
陪伴教育机器人,1.1,m/s,0.3,m/s,1.8,m/s,0.7,m/s,字符型,教育机器人开发论坛,http://www.edurobot.org,,
农业机器人,1.5,m/s,0.6,m/s,2.1,m/s,0.9,m/s,字符型,中国农业科技出版社,https://www.caps.org.cn,,
搜索救援机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,国家应急管理部门,https://www.mea.gov.cn,,
教育机器人,0.6,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,教育部,http://www.moe.gov.cn,,
巡逻机器人,2.5,m/s,1.0,m/s,3.5,m/s,1.5,m/s,字符型,公安部,http://www.mps.gov.cn,,
娱乐机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,娱乐产业协会,http://www.entertainment.org,,
快递无人机,8.0,m/s,3.0,m/s,10.0,m/s,4.0,m/s,字符型,中国快递协会,http://www.cae.org.cn,,
送餐机器人,1.2,m/s,0.7,m/s,2.8,m/s,1.1,m/s,字符型,餐饮行业协会,http://www.catering.org,,
变形机器人,2.0,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,机器人技术研究中心,http://www.robotresearch.org,,
障碍物清除机器人,1.6,m/s,0.3,m/s,2.4,m/s,1.3,m/s,字符型,市政工程协会,http://www.municipal.org,,
测绘机器人,2.4,m/s,0.8,m/s,3.3,m/s,1.6,m/s,字符型,国家测绘局,http://www.surveying.gov.cn,,
清洁机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.8,m/s,字符型,清洁行业协会,http://www.cleaning.org.cn,,
救护机器人,1.8,m/s,0.9,m/s,3.0,m/s,1.2,m/s,字符型,卫生与健康委员会,https://www.nhc.gov.cn,,
家庭陪护机器人,0.4,m/s,0.2,m/s,0.6,m/s,0.2,m/s,字符型,家庭服务机器人协会,http://www.domesticrobots.org,,
运输机器人,1.9,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,国际运输协会,https://www.internationaltransport.org,,
工业搬运机器人,3.0,m/s,1.5,m/s,4.0,m/s,2.0,m/s,字符型,工艺技术协会,http://www.industrialtech.org,,
安全监测机器人,2.1,m/s,1.1,m/s,3.1,m/s,1.5,m/s,字符型,安全生产监督管理局,http://www.chinasafety.gov.cn,,
安防机器人,1.4,m/s,0.3,m/s,2.2,m/s,1.0,m/s,字符型,国家安全保障局,https://www.nsb.gov.cn,,
老年看护机器人,0.5,m/s,0.2,m/s,0.8,m/s,0.4,m/s,字符型,老年人服务中心,http://www.aging.org.cn,,
教育机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,国家教育部,https://www.moe.gov.cn,,
农业机器人,2.5,m/s,1.2,m/s,3.0,m/s,1.5,m/s,字符型,农业农村部,https://www.moa.gov.cn,,
巡检机器人,1.8,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,国家发改委,http://www.ndrc.gov.cn,,
探测机器人,3.0,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,中国航天科技集团,http://www.spacechina.com,,
送餐机器人,1.5,m/s,0.4,m/s,2.0,m/s,1.0,m/s,字符型,中国酒店业协会,http://www.chinahotel.org.cn,,
防疫机器人,1.2,m/s,0.3,m/s,1.8,m/s,0.6,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
仿生机器人,1.9,m/s,0.9,m/s,2.4,m/s,1.2,m/s,字符型,中央政府网络,https://www.gov.cn,,
人形机器人,1.1,m/s,0.5,m/s,1.6,m/s,0.8,m/s,字符型,机器人产业发展联盟,http://www.robotics.org,,
无人机,5.0,m/s,1.8,m/s,7.0,m/s,2.2,m/s,字符型,中国无人机产业协会,http://www.uav.org.cn,,
道德机器人,1.7,m/s,0.3,m/s,2.6,m/s,1.1,m/s,字符型,伦理与技术研究中心,http://www.ethics-tech.org,,
照顾老人机器人,1.4,m/s,0.6,m/s,1.9,m/s,0.5,m/s,字符型,全国老龄工作委员会,http://www.cnlcs.gov.cn,,
包装机器人,2.0,m/s,0.7,m/s,2.5,m/s,1.3,m/s,字符型,中国包装协会,http://www.chinapack.org.cn,,
矿山机器人,3.5,m/s,1.4,m/s,5.0,m/s,2.5,m/s,字符型,国家矿业局,http://www.mlr.gov.cn,,
井下机器人,1.3,m/s,0.3,m/s,1.8,m/s,0.9,m/s,字符型,国家安全监管总局,http://www.chinasafety.gov.cn,,
特种机器人,2.1,m/s,0.8,m/s,3.0,m/s,1.4,m/s,字符型,中国机器人学会,https://www.crs.org.cn,,
智能保安机器人,2.3,m/s,1.1,m/s,3.5,m/s,1.6,m/s,字符型,国际安全防范协会,http://www.isaa.org,,
家庭清洁机器人,0.9,m/s,0.4,m/s,1.2,m/s,0.5,m/s,字符型,家居科技协会,http://www.home-tech.org,,
旅行助理机器人,1.6,m/s,0.6,m/s,2.1,m/s,1.0,m/s,字符型,全国旅游局,http://www.cta.gov.cn,,
农业机器人,1.5,m/s,0.7,m/s,2.5,m/s,1.1,m/s,字符型,中国农业科技促进会,http://www.cast.org.cn,,
救援机器人,1.0,m/s,0.6,m/s,1.8,m/s,0.9,m/s,字符型,国际救援协会,https://www.wra.org,,
教育机器人,0.6,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
巡检机器人,1.4,m/s,0.5,m/s,1.9,m/s,0.8,m/s,字符型,中国煤矿安全监察局,http://www.chinasafety.gov.cn,,
餐饮服务机器人,0.9,m/s,0.4,m/s,1.3,m/s,0.6,m/s,字符型,中国餐饮协会,http://www.catering.org.cn,,
安防机器人,1.1,m/s,0.3,m/s,1.8,m/s,0.7,m/s,字符型,国家公安部,http://www.mps.gov.cn,,
运输机器人,1.6,m/s,0.5,m/s,2.0,m/s,1.0,m/s,字符型,国际货运协会,https://www.iata.org,,
观察机器人,0.5,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,中国气象局,http://www.cma.gov.cn,,
外科手术机器人,0.4,m/s,0.1,m/s,1.5,m/s,0.3,m/s,字符型,中国医疗器械协会,http://www.cmda.org.cn,,
自驾送餐机器人,1.2,m/s,0.6,m/s,2.4,m/s,0.9,m/s,字符型,中国智能餐饮科技联盟,http://www.cn-restauranttech.org,,
数据分析机器人,1.9,m/s,0.7,m/s,2.1,m/s,1.2,m/s,字符型,中国大数据产业发展联盟,http://www.cbd.cn,,
特种机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,中国特种机器人研究中心,http://www.specialrobotics.cn,,
智能家居服务机器人,1.3,m/s,0.6,m/s,1.5,m/s,0.9,m/s,字符型,中国家居行业协会,http://www.chinafurniture.org,,
无人机监视机器人,3.5,m/s,1.5,m/s,5.0,m/s,2.5,m/s,字符型,国家无人机局,http://www.cad.gov.cn,,
海洋探索机器人,0.8,m/s,0.4,m/s,1.4,m/s,0.7,m/s,字符型,中国海洋局,http://www.soa.gov.cn,,
智能消防机器人,1.7,m/s,0.8,m/s,3.5,m/s,1.2,m/s,字符型,全国消防安全委员会,http://www.nfs.org.cn,,
巡逻机器人,1.0,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,国际安防科技博览会,http://www.securityexpo.cn,,
房屋清洁机器人,0.6,m/s,0.3,m/s,1.0,m/s,0.2,m/s,字符型,中国智能家电协会,http://www.cada.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,中国农业科学院,http://www.caas.cn,,
送餐机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国餐饮业协会,http://www.cdyxh.org.cn,,
仓储机器人,1.9,m/s,0.7,m/s,3.0,m/s,1.5,m/s,字符型,中国供应链管理协会,http://www.cscm.org.cn,,
迷你清洁机器人,0.6,m/s,0.2,m/s,1.1,m/s,0.3,m/s,字符型,家用电器研究中心,http://www.appliance-research.org.cn,,
社交机器人,0.9,m/s,0.3,m/s,1.4,m/s,0.4,m/s,字符型,中国人工智能学会,http://www.caaai.org,,
安防机器人,1.7,m/s,0.8,m/s,2.5,m/s,1.2,m/s,字符型,中国安防协会,http://www.caa.org.cn,,
工业机器人,3.5,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,中国机器人产业协会,http://www.robosc.org.cn,,
外科手术机器人,0.4,m/s,0.1,m/s,0.5,m/s,0.2,m/s,字符型,中国医学科学院,http://www.camc.cn,,
水下机器人,2.0,m/s,0.9,m/s,3.0,m/s,1.6,m/s,字符型,中国海洋技术协会,http://www.cma.org.cn,,
巡逻机器人,2.6,m/s,1.1,m/s,3.8,m/s,1.7,m/s,字符型,国家公安部,http://www.mps.gov.cn,,
理疗机器人,0.7,m/s,0.2,m/s,1.3,m/s,0.5,m/s,字符型,中国康复医学会,http://www.crma.org.cn,,
儿童教育机器人,1.1,m/s,0.4,m/s,1.6,m/s,0.8,m/s,字符型,中国教育协会,http://www.educhina.org,,
家庭清洁机器人,0.9,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,中国家电协会,http://www.ceac.org.cn,,
轮椅机器人,1.2,m/s,0.3,m/s,1.7,m/s,0.5,m/s,字符型,中国残疾人联合会,http://www.cdpf.org.cn,,
救援机器人,2.1,m/s,0.5,m/s,3.0,m/s,1.0,m/s,字符型,国家应急管理局,http://www.mem.gov.cn,,
智能家居机器人,1.3,m/s,0.5,m/s,1.8,m/s,0.6,m/s,字符型,中国智能家居产业协会,http://www.ichina.org,,
环境监测机器人,1.4,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
物流配送机器人,1.8,m/s,0.6,m/s,2.6,m/s,1.2,m/s,字符型,上海市物流协会,http://www.scl.org.cn,,
农业机器人,2.0,m/s,0.7,m/s,3.5,m/s,1.5,m/s,字符型,中国农业科学院,http://www.caas.cn,,
安防机器人,1.6,m/s,0.5,m/s,2.5,m/s,1.2,m/s,字符型,中国公共安全协会,http://www.cpsa.org.cn,,
餐饮助手,1.2,m/s,0.4,m/s,2.0,m/s,1.0,m/s,字符型,中国餐饮行业协会,http://www.cra.org.cn,,
陪伴机器人,0.8,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,中国老龄化协会,http://www.aging.org.cn,,
搜索与救援机器人,3.0,m/s,1.2,m/s,4.5,m/s,1.8,m/s,字符型,国家应急管理部,http://www.mem.gov.cn,,
教育机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.6,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
仓储机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,国际物料搬运协会,https://www.mhi.org,,
娱乐游戏机器人,0.9,m/s,0.4,m/s,1.3,m/s,0.7,m/s,字符型,中国游戏产业研究院,http://www.cgi.org.cn,,
家庭清洁机器人,0.7,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国家电协会,http://www.cheari.com,,
助手机器人,1.8,m/s,0.6,m/s,2.7,m/s,1.3,m/s,字符型,科技创新委员会,http://www.cti.org.cn,,
语言学习机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,中国科协,http://www.cast.org.cn,,
工业组装机器人,2.4,m/s,1.1,m/s,4.0,m/s,1.8,m/s,字符型,国际机器人协会,https://www.ifr.org,,
医疗送药机器人,1.9,m/s,0.5,m/s,2.5,m/s,1.1,m/s,字符型,中国卫生健康委员会,https://www.nhc.gov.cn,,
家庭教育机器人,1.1,m/s,0.4,m/s,1.7,m/s,0.8,m/s,字符型,国家教育科技部,http://www.moe.gov.cn,,
智慧养老机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.4,m/s,字符型,中国老龄事业发展基金会,http://www.clife.org.cn,,
工业搬运机器人,2.3,m/s,1.0,m/s,3.5,m/s,1.4,m/s,字符型,中国机器人行业发展研究中心,http://www.crobotics.org.cn,,
移动医疗机器人,1.7,m/s,0.8,m/s,2.4,m/s,1.2,m/s,字符型,中国健康医疗协会,http://www.chinahealth.org.cn,,
特种维修机器人,2.0,m/s,0.9,m/s,3.0,m/s,1.5,m/s,字符型,机械行业协会,http://www.cme.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.1,m/s,字符型,中国农业部,http://www.moa.gov.cn,,
探测机器人,2.8,m/s,1.2,m/s,3.5,m/s,1.5,m/s,字符型,中国科学院,https://www.cas.cn,,
卫生清洁机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,中国电子技术标准化研究院,http://www.cesi.cn,,
教育机器人,1.8,m/s,0.5,m/s,2.0,m/s,0.6,m/s,字符型,教育部,http://www.moe.gov.cn,,
物流无人机,5.0,m/s,1.8,m/s,7.0,m/s,2.5,m/s,字符型,中国民航局,http://www.caac.gov.cn,,
巡逻机器人,3.0,m/s,1.2,m/s,4.0,m/s,1.8,m/s,字符型,国家安全部,http://www.mps.gov.cn,,
救援机器人,2.0,m/s,0.4,m/s,3.0,m/s,1.0,m/s,字符型,中国红十字会,http://www.redcross.org.cn,,
送餐机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,餐饮服务协会,http://www.catering.org.cn,,
仓储机器人,2.5,m/s,1.0,m/s,3.1,m/s,1.4,m/s,字符型,中国物流与采购联合会,http://www.chinawuliu.com,,
假肢调节机器人,0.6,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,国家康复医学中心,http://www.cmrehab.org.cn,,
消防巡逻机器人,1.6,m/s,0.7,m/s,2.2,m/s,0.9,m/s,字符型,中国消防协会,http://www.fire.org.cn,,
电动滑板车,3.5,m/s,1.0,m/s,4.5,m/s,1.7,m/s,字符型,城市交通管理局,http://www.traffic.gov.cn,,
检验机器人,1.9,m/s,0.9,m/s,2.8,m/s,1.2,m/s,字符型,国家质量监督检验检疫总局,http://www.aqsiq.gov.cn,,
仿生机器人,1.4,m/s,0.6,m/s,1.9,m/s,0.8,m/s,字符型,科技部,http://www.most.gov.cn,,
家庭陪伴机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.5,m/s,字符型,中国智能家居产业发展联盟,http://www.chinasmart-home.org,,
养殖机器人,1.7,m/s,0.5,m/s,2.3,m/s,1.2,m/s,字符型,中国农村科技协会,http://www.ruraltech.gov.cn,,
工作场所监控机器人,2.3,m/s,1.0,m/s,3.0,m/s,1.3,m/s,字符型,国家安全生产监督管理局,http://www.chinasafety.gov.cn,,
语言理解机器人,1.4,m/s,0.3,m/s,1.9,m/s,0.6,m/s,字符型,科技部语言技术研究所,http://www.langtech.gov.cn,,
农田机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,中国农业科学院,https://www.caas.cn,,
安防机器人,1.8,m/s,0.6,m/s,2.5,m/s,1.1,m/s,字符型,中国国家安全部,https://www.mps.gov.cn,,
扫地机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.5,m/s,字符型,家电消费网,https://www.appliances.com.cn,,
火灾监测机器人,1.5,m/s,0.4,m/s,2.0,m/s,1.2,m/s,字符型,国际消防安全协会,https://www.iafsa.org,,
气候监测机器人,2.0,m/s,0.9,m/s,2.5,m/s,1.5,m/s,字符型,中国气象局,http://www.cma.gov.cn,,
送餐机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,餐饮行业协会,http://www.caterers.org.cn,,
医疗辅助机器人,0.6,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,世界卫生组织,https://www.who.int,,
儿童陪伴机器人,0.8,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,中国玩具协会,http://www.ctma.org.cn,,
水下机器人,1.1,m/s,0.5,m/s,1.8,m/s,0.6,m/s,字符型,中国海洋局,https://www.soa.gov.cn,,
紧急救援机器人,1.4,m/s,0.5,m/s,2.3,m/s,1.1,m/s,字符型,国家应急管理局,https://www.mem.gov.cn,,
个人助理机器人,1.0,m/s,0.2,m/s,1.5,m/s,0.8,m/s,字符型,中国智能科技协会,https://www.casit.org.cn,,
展览机器人,1.6,m/s,0.3,m/s,2.1,m/s,1.0,m/s,字符型,国际博览会主办方,https://www.iexpo.org,,
影院导航机器人,0.9,m/s,0.2,m/s,1.6,m/s,0.7,m/s,字符型,中国电影公司,http://www.chinamovie.com,,
陪伴老人机器人,1.4,m/s,0.6,m/s,2.0,m/s,1.2,m/s,字符型,中国老龄事业发展基金会,http://www.clf.org.cn,,
智能家居机器人,1.2,m/s,0.4,m/s,1.7,m/s,0.8,m/s,字符型,中国智能家居协会,http://www.cihome.org.cn,,
智能农业机器人,1.3,m/s,0.5,m/s,1.9,m/s,1.0,m/s,字符型,中国农业机械协会,http://www.cama.org.cn,,
外卖配送机器人,1.7,m/s,0.4,m/s,2.2,m/s,0.9,m/s,字符型,中国外卖协会,http://www.takeaway.org.cn,,
教育机器人,1.2,m/s,0.5,m/s,1.4,m/s,0.8,m/s,字符型,教育部,http://www.moe.gov.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,中国农业科学院,http://www.itis.gov.cn,,
家庭助手机器人,0.9,m/s,0.4,m/s,1.1,m/s,0.5,m/s,字符型,家电产业协会,https://www.appliance-china.org,,
仓储机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,中国仓储协会,http://www.chinawhs.org,,
送餐机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,食品配送协会,https://www.fooddelivery.org,,
建筑施工机器人,1.9,m/s,0.8,m/s,2.7,m/s,0.9,m/s,字符型,中国建筑业协会,http://www.building.org.cn,,
安防机器人,1.4,m/s,0.5,m/s,1.8,m/s,0.6,m/s,字符型,安全技术研究院,http://www.safety-tech.cn,,
探险机器人,3.0,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,中华探险协会,http://www.explore.org.cn,,
教育机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.3,m/s,字符型,教育部科技司,https://www.moe.gov.cn,,
救援机器人,1.6,m/s,0.9,m/s,2.2,m/s,1.0,m/s,字符型,中国红十字会,http://www.redcross.org.cn,,
维修机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.4,m/s,字符型,中国机械工程学会,http://www.cmes.org.cn,,
城市巡逻机器人,1.2,m/s,0.6,m/s,1.9,m/s,0.8,m/s,字符型,市政服务中心,http://www.cityservice.cn,,
气候监测机器人,1.1,m/s,0.5,m/s,1.4,m/s,0.6,m/s,字符型,气象局,http://www.cma.gov.cn,,
巡检机器人,1.4,m/s,0.5,m/s,2.0,m/s,0.7,m/s,字符型,电力公司,http://www.sgcc.com.cn,,
服务餐饮机器人,2.0,m/s,0.5,m/s,2.6,m/s,1.2,m/s,字符型,中国饭店协会,http://www.achina.org,,
商用服务机器人,1.7,m/s,0.9,m/s,2.4,m/s,1.1,m/s,字符型,中国商业联合会,https://www.ccfa.org.cn,,
家庭安全机器人,0.8,m/s,0.4,m/s,1.3,m/s,0.6,m/s,字符型,家居安全协会,http://www.home-safety.org,,
负载搬运机器人,2.3,m/s,1.1,m/s,3.0,m/s,1.4,m/s,字符型,物流技术协会,http://www.logistictech.org,,
虚拟互动机器人,1.0,m/s,0.3,m/s,1.4,m/s,0.7,m/s,字符型,数字互动协会,http://www.digitalinteraction.org,,
医疗机器人,0.7,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国医疗器械行业协会,http://www.camdi.org.cn,,
无人物流车,3.5,m/s,1.2,m/s,5.5,m/s,2.2,m/s,字符型,国内物流与运输论坛,http://www.logisticsforum.com,,
家用清洁机器人,1.0,m/s,0.4,m/s,1.1,m/s,0.3,m/s,字符型,智能家居协作组织,https://www.smarthome.org,,
服务机器人,1.8,m/s,0.6,m/s,2.0,m/s,0.9,m/s,字符型,未来科技报告,http://www.futuretechreport.com,,
陪伴机器人,0.6,m/s,0.2,m/s,0.9,m/s,0.4,m/s,字符型,机器人与人工智能协会,http://www.robotica.org,,
老年护理机器人,0.5,m/s,0.2,m/s,0.7,m/s,0.3,m/s,字符型,中国老人护理协会,http://www.eldercare.org.cn,,
工业组装机器人,2.5,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,国际自动化机器人工业协会,http://www.robotics.co,,
安防机器人,1.4,m/s,0.7,m/s,2.6,m/s,0.8,m/s,字符型,安全与保安管理公司,http://www.securemanagement.com,,
智能配送机器人,2.0,m/s,0.9,m/s,3.5,m/s,1.1,m/s,字符型,电子商务研究中心,http://www.ecommerce.org.cn,,
农业机器人,1.2,m/s,0.5,m/s,1.8,m/s,1.0,m/s,字符型,中国农业机器人协会,http://www.chinaagriculturalrobots.org,,
丈量机器人,1.6,m/s,0.3,m/s,2.1,m/s,0.7,m/s,字符型,测量技术国际协会,http://www.measurementtech.org,,
空间探索机器人,1.9,m/s,0.5,m/s,2.9,m/s,1.2,m/s,字符型,国家航天局,http://www.cnspace.gov.cn,,
资源回收机器人,1.5,m/s,0.6,m/s,2.4,m/s,0.8,m/s,字符型,环保与资源回收协会,https://www.recyclingassn.org,,
智能语音助手机器人,0.4,m/s,0.1,m/s,0.5,m/s,0.2,m/s,字符型,语音科技与人工智能公司,http://www.voiceai.com,,
娱乐服务机器人,1.1,m/s,0.9,m/s,1.6,m/s,0.5,m/s,字符型,中国娱乐科技学会,http://www.entertainmenttech.org.cn,,
危险环境作业机器人,1.7,m/s,0.8,m/s,2.5,m/s,1.4,m/s,字符型,安全工程学会,http://www.safetyecon.org,,
消防救援机器人,1.9,m/s,0.4,m/s,2.8,m/s,1.3,m/s,字符型,中国消防协会,http://www.chinafire.org,,
清扫机器人,0.9,m/s,0.3,m/s,1.4,m/s,0.5,m/s,字符型,中国家电协会,http://www.appliances.org.cn,,
农业机器人,1.5,m/s,0.5,m/s,2.5,m/s,1.0,m/s,字符型,国家农业部,https://www.moa.gov.cn,,
工业搬运机器人,3.3,m/s,1.0,m/s,4.0,m/s,1.8,m/s,字符型,中国工业和信息化部,https://www.miit.gov.cn,,
巡逻机器人,1.0,m/s,0.3,m/s,2.0,m/s,0.7,m/s,字符型,中国公安部,https://www.mps.gov.cn,,
快递无人机,5.5,m/s,2.0,m/s,7.5,m/s,2.5,m/s,字符型,中国快递协会,http://www.ceea.org.cn,,
海洋探索机器人,0.8,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,国家海洋局,http://www.soa.gov.cn,,
仓库管理机器人,2.0,m/s,1.2,m/s,3.0,m/s,1.5,m/s,字符型,中国仓储与物流协会,http://www.ccla.org.cn,,
智能家居助手,1.0,m/s,0.2,m/s,1.8,m/s,0.4,m/s,字符型,中国家电协会,http://www.cheaa.org,,
救援机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.2,m/s,字符型,中国红十字会,http://www.redcross.org.cn,,
金融服务机器人,3.0,m/s,0.5,m/s,4.0,m/s,1.5,m/s,字符型,中国银行业监督管理委员会,http://www.cbirc.gov.cn,,
家庭监控机器人,1.2,m/s,0.4,m/s,2.0,m/s,0.8,m/s,字符型,智能家居协会,http://www.smart-home.org,,
无人清扫机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,中国环境保护部,http://www.mep.gov.cn,,
安防机器人,1.5,m/s,0.6,m/s,2.2,m/s,1.0,m/s,字符型,公安部科技局,http://www.police.gov.cn,,
