机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位.1,平均迭代次数,采集来源,来源链接,采集时间,备注
自动驾驶机器人,城市道路,20.0,米,22.5,米,1.2,米,18,未来交通研究所,https://www.futuretraffic.org.cn,,
灾后重建机器人,重建区域,18.0,米,20.0,米,1.0,米,22,重建技术研究中心,https://www.reconstructiontech.org.cn,,
监控机器人,重要设施,10.0,米,12.5,米,0.6,米,15,安全技术协会,https://www.safetytech.org.cn,,
医疗机器人,远程医疗设施,1.5,米,2.0,米,0.25,米,5,国家卫生健康委员会,http://www.nhc.gov.cn,,
工业机器人,制造车间,3.0,米,3.5,米,0.4,米,8,工业和信息化部,https://www.miit.gov.cn,,
教育机器人,图书馆,2.0,米,2.5,米,0.1,米,6,中国教育部,http://www.moe.gov.cn,,
农业机器人,田间地头,10.0,米,12.0,米,1.0,米,20,国家农田水利部,http://www.nwri.gov.cn,,
环保机器人,城市公园,4.5,米,5.0,米,0.3,米,7,城市环保局,http://www.cep.org.cn,,
救援机器人,地震灾区,8.0,米,9.0,米,0.6,米,15,国家灾害救助中心,http://www.ndrc.gov.cn,,
配送机器人,城市街道,7.0,米,8.5,米,0.7,米,9,物流与快递研究中心,https://www.express.org.cn,,
服务机器人,咖啡厅,3.0,米,4.0,米,0.1,米,6,中国服务业协会,http://www.csia.org.cn,,
旅游机器人,博物馆,2.5,米,3.0,米,0.2,米,5,旅游局,http://www.mct.gov.cn,,
移动机器人,购物中心,5.2,米,6.0,米,0.5,米,10,商业管理协会,http://www.cma.org.cn,,
消防机器人,高层建筑,12.0,米,13.5,米,0.4,米,8,国家消防协会,http://www.nfs.org.cn,,
探测机器人,废弃矿区,9.5,米,10.5,米,0.7,米,18,矿业科技研究院,http://www.miningtech.org.cn,,
物流机器人,医院药房,4.2,米,4.8,米,0.4,米,12,健康管理中心,http://www.healthmanagement.org.cn,,
特殊需求机器人,残疾人辅助中心,2.0,米,2.8,米,0.2,米,4,残疾人福利协会,http://www.disabled.org.cn,,
安防机器人,社区大楼,3.5,米,4.2,米,0.3,米,8,社区管理服务中心,http://www.communitymanagement.org.cn,,
餐饮服务机器人,自助餐厅,3.2,米,3.6,米,0.15,米,5,餐饮行业协会,http://www.catering.org.cn,,
气象观测机器人,气象站,6.8,米,7.5,米,0.5,米,11,中国气象局,http://www.cma.gov.cn,,
物流机器人,仓储配送中心,3.0,米,4.5,米,0.4,米,10,中国物流与采购联合会,http://www.chinapta.com,,
家用清洁机器人,家庭环境,2.0,米,2.8,米,0.25,米,5,家用机器人研究中心,http://www.homerobots.org,,
安防机器人,商业建筑,4.5,米,6.0,米,0.5,米,8,中国安防协会,http://www.csa.org.cn,,
巡逻机器人,公园和开放空间,3.5,米,5.0,米,0.3,米,9,城市公共安全研究中心,http://www.urbansafety.org.cn,,
消防机器人,工业区,12.0,米,14.5,米,0.7,米,25,中国消防协会,http://www.fire.org.cn,,
社交机器人,老年社区,1.5,米,2.3,米,0.2,米,6,老龄事业发展中心,http://www.agecare.org.cn,,
配送机器人,城市街区,2.0,米,3.5,米,0.4,米,7,城市物流与配送协会,http://www.urbanlogistics.org.cn,,
网络安全机器人,数据中心,8.0,米,9.5,米,0.5,米,12,中国信息安全技术研究院,http://www.cisti.org.cn,,
家庭陪伴机器人,居家环境,1.0,米,1.5,米,0.1,米,4,机器人产业发展促进中心,http://www.robotdev.org.cn,,
无人驾驶巡逻车,商业街区,5.0,米,7.0,米,0.6,米,15,智慧城市研究所,http://www.smartcityinst.org,,
对话机器人,客户服务中心,2.2,米,3.0,米,0.3,米,5,客户服务技术研究院,http://www.customerservice.org.cn,,
农业监测机器人,农田,4.0,米,6.2,米,0.5,米,8,中国农业科学院,http://www.caas.cn,,
建筑行业机器人,建筑工地,10.0,米,12.0,米,0.9,米,20,中国建筑科技发展中心,http://www.buildtech.org.cn,,
配送无人机,山区村庄,15.0,米,18.0,米,1.2,米,30,无人机应用研究院,http://www.uavresearch.org.cn,,
语言翻译机器人,国际会议中心,3.5,米,4.2,米,0.3,米,7,国际交流与合作协会,http://www.international.org.cn,,
宠物陪伴机器人,动物之家,2.8,米,3.6,米,0.2,米,4,宠物科技研究中心,http://www.petsci.org.cn,,
娱乐机器人,展览会,4.2,米,5.3,米,0.4,米,9,娱乐科技与文化传播中心,http://www.entertainsci.org.cn,,
巡逻无人艇,水域城市,6.3,米,7.5,米,0.8,米,15,海洋科技研究院,http://www.oceanresearch.org.cn,,
医疗机器人,老年护理中心,1.5,米,2.0,米,0.25,米,5,现代医疗科技研究所,https://www.mdrti.org,,
农业机器人,智能农场,10.0,米,12.5,米,0.5,米,20,农业智能化发展中心,http://www.agri-tech.cn,,
教育机器人,互动学习空间,3.0,米,3.8,米,0.3,米,8,智能教育研究院,http://www.sedtech.org,,
服务机器人,咖啡馆,4.2,米,5.8,米,0.15,米,9,餐饮服务智能化研究所,https://www.smartcafe.org,,
工业机器人,生产线,2.1,米,2.9,米,0.2,米,10,全球制造业协会,https://www.globalmanufacturing.org,,
救援机器人,山灾现场,8.5,米,9.2,米,0.85,米,25,国际救援组织,https://www.intlrescue.org,,
移动机器人,商场过道,3.5,米,4.5,米,0.4,米,14,智能交通研究中心,http://www.smarttraffic.cn,,
移动机器人,社区服务站,6.2,米,7.5,米,0.5,米,9,社区智能化服务平台,https://www.smartcommunity.cn,,
医疗机器人,家庭护理,1.0,米,1.5,米,0.1,米,3,家庭医疗研究中心,https://www.homecare.org.cn,,
移动机器人,校园,4.0,米,5.0,米,0.3,米,10,校园智能化研究中心,https://www.campusai.cn,,
农业机器人,智慧温室,15.0,米,16.5,米,1.0,米,3,现代农业科技馆,https://www.modernagriculture.org,,
教育机器人,图书馆,2.5,米,3.2,米,0.2,米,8,智能学习中心,https://www.smartlearning.cn,,
服务机器人,机场候机厅,4.5,米,5.5,米,0.25,米,12,机场智能化研究所,https://www.airportai.org,,
工业机器人,仓储基地,3.0,米,4.0,米,0.2,米,6,仓储智能化研究中心,https://www.warehousing.org.cn,,
救援机器人,火灾现场,7.2,米,8.0,米,0.6,米,19,紧急救援科研基金,https://www.emergencyfund.cn,,
移动机器人,娱乐公园,6.8,米,8.2,米,0.5,米,10,智慧城市规划局,https://www.smartcity.org.cn,,
医疗机器人,智能监护室,1.1,米,1.6,米,0.2,米,4,智能医疗研究所,https://www.smartmed.cn,,
农业机器人,精准农业领域,11.0,米,13.0,米,0.7,米,18,农业科技智能化平台,http://www.smartagriculture.org,,
医疗机器人,老年护理院,1.1,米,1.5,米,0.1,米,3,智能护理研究中心,http://www.smartcare.org.cn,,
农业机器人,果园,10.5,米,12.3,米,0.6,米,18,中国农业科学院,http://www.caas.cn,,
工业机器人,汽车生产线,3.0,米,3.8,米,0.4,米,5,中国制造业发展研究所,http://www.cmidr.gov.cn,,
教育机器人,在线学习平台,2.0,米,2.5,米,0.3,米,4,教育科技进步委员会,http://www.edutec.org.cn,,
服务机器人,餐饮外卖,4.8,米,6.0,米,0.5,米,8,消费者科技商业协会,http://www.ctba.org.cn,,
救援机器人,泥石流灾区,8.5,米,9.3,米,0.7,米,22,自然灾害救援司,http://www.ndr.gov.cn,,
移动机器人,购物中心,6.2,米,7.4,米,0.5,米,10,零售科技研究院,http://www.retailtech.org.cn,,
移动机器人,公共广场,6.8,米,8.2,米,0.4,米,12,城市规划与发展协作会,http://www.citydevelopment.org.cn,,
教育机器人,职业培训中心,1.5,米,2.0,米,0.2,米,5,职业技术教育研究会,http://www.voc.edu.cn,,
医疗机器人,手术室,1.0,米,1.4,米,0.1,米,3,手术科技协会,http://www.surgerytech.org.cn,,
农业机器人,田间作业,11.0,米,13.5,米,0.9,米,20,农村发展战略研究院,http://www.ruralstrategy.org.cn,,
工业机器人,电子厂,4.2,米,5.1,米,0.3,米,6,电子科技协会,http://www.electronictech.org.cn,,
服务机器人,健身房,3.5,米,4.8,米,0.4,米,9,健康科技研究中心,http://www.healthtech.org.cn,,
救援机器人,火灾现场,9.5,米,11.0,米,1.0,米,25,防火安全机构,http://www.fireprotection.org.cn,,
移动机器人,地铁站,5.0,米,6.0,米,0.6,米,11,地铁系统科技发展中心,http://www.subwaytech.org.cn,,
农业机器人,播种车间,12.0,米,13.8,米,0.5,米,19,农业自动化研究所,http://www.agri-auto.org.cn,,
医疗机器人,病房,2.3,米,2.9,米,0.2,米,5,医院机器人研究社,http://www.hospitalrobots.org.cn,,
服务机器人,办公区域,4.3,米,5.0,米,0.2,米,8,办公环境科技协会,http://www.office.tech.org.cn,,
工业机器人,包装车间,3.7,米,4.2,米,0.3,米,7,包材科技研究院,http://www.packagingtech.org.cn,,
医疗机器人,医院手术室,1.0,米,1.4,米,0.1,米,5,国家医学实验室,http://www.nml.gov.cn,,
农业机器人,智能农田,10.0,米,12.0,米,0.5,米,20,农业部科技司,http://www.moa.gov.cn,,
教育机器人,幼儿园教室,2.0,米,2.5,米,0.1,米,3,全国教育发展中心,http://www.nced.org.cn,,
服务机器人,购物中心,3.0,米,4.5,米,0.3,米,8,商业机器人技术中心,http://www.btx.gov.cn,,
工业机器人,汽车制造厂,5.0,米,6.0,米,0.4,米,10,中国机器人工程协会,http://www.cmre.org.cn,,
救援机器人,山地灾害现场,7.0,米,8.5,米,0.7,米,25,自然灾害应急管理部门,http://www.emergency.gov.cn,,
移动机器人,城市地铁站,4.5,米,5.5,米,0.5,米,12,地铁协会,http://www.subway.org.cn,,
巡逻机器人,校园,3.2,米,4.0,米,0.2,米,6,校园安全中心,http://www.campussecurity.gov.cn,,
快递机器人,住宅小区,2.8,米,3.5,米,0.3,米,5,快递行业发展协会,http://www.express.org.cn,,
清扫机器人,商场,1.5,米,2.0,米,0.2,米,7,环境治理研究中心,http://www.environment.gov.cn,,
配送机器人,社区卫生服务中心,1.8,米,2.3,米,0.1,米,4,社区卫生管理局,http://www.communityhealth.gov.cn,,
救护机器人,临床危重病房,0.9,米,1.1,米,0.05,米,3,国家卫生健康委员会,http://www.nhc.gov.cn,,
建筑机器人,施工现场,10.5,米,12.5,米,0.9,米,18,建筑业协作中心,http://www.construction.org.cn,,
娱乐机器人,主题公园,3.4,米,4.2,米,0.3,米,6,娱乐与休闲行业协会,http://www.entertainment.org.cn,,
物流机器人,配送中心,6.3,米,7.1,米,0.4,米,14,国家物流信息中心,http://www.logistics.gov.cn,,
派遣机器人,公共图书馆,2.1,米,2.8,米,0.2,米,5,国家图书馆,http://www.nlc.cn,,
科研机器人,实验室,1.3,米,1.5,米,0.1,米,4,中国科学技术协会,http://www.cast.org.cn,,
渔业机器人,渔港,15.0,米,17.0,米,1.0,米,30,渔业统计与科技中心,http://www.fisheries.gov.cn,,
安防机器人,购物中心,3.0,米,4.2,米,0.4,米,5,智能安防研究所,http://www.smartsecurity.org.cn,,
清洁机器人,机场候机室,7.5,米,9.0,米,0.7,米,8,中国机场管理局,http://www.airport.org.cn,,
快递机器人,城市住宅区,1.9,米,2.5,米,0.15,米,3,中国快递协会,http://www.express.org.cn,,
教育机器人,教育机构实验室,2.2,米,3.0,米,0.1,米,5,现代教育研究所,https://www.moderneducation.org.cn,,
远程监控机器人,野生动物保护区,8.0,米,10.5,米,1.2,米,12,中国野生动物保护协会,http://www.wildlife.org.cn,,
农业机器人,水果采摘园,14.0,米,15.5,米,0.5,米,10,中国农业信息中心,http://www.agriinfo.gov.cn,,
家庭助手机器人,居家环境,2.5,米,3.0,米,0.1,米,4,家庭科技发展中心,http://www.home-tech.org.cn,,
搜索与救援机器人,海上救援,12.0,米,13.5,米,0.7,米,18,海洋救援协会,http://www.marineaid.org.cn,,
智能测绘机器人,地图绘制现场,4.8,米,6.2,米,0.3,米,9,地理信息研究总院,https://www.geoinfo.org.cn,,
社交机器人,社交聚会,2.0,米,3.5,米,0.25,米,6,社交科技研究中心,http://www.socialtech.org.cn,,
探险机器人,地下探险,5.2,米,6.8,米,0.4,米,15,探险科技开发中心,http://www.explorationtech.org.cn,,
智能溶液机器人,化工厂,7.5,米,8.0,米,0.5,米,14,化工机器人研究所,http://www.chemicalrobotics.org.cn,,
无人机配送机器人,城市空中配送,10.0,米,12.0,米,0.5,米,10,中国无人机联队,http://www.droneteam.cn,,
遥控机器人,军事演习场,15.0,米,16.5,米,1.0,米,20,中国军工集团公司,http://www.defenseindustry.gov.cn,,
智能物流机器人,工厂车间,3.5,米,4.5,米,0.2,米,5,工厂自动化研究中心,http://www.factoryautomation.org.cn,,
智能评估机器人,民用建筑检查,6.0,米,7.0,米,0.3,米,8,建筑安全研究院,http://www.buildingsafety.org.cn,,
多功能服务机器人,养老院,4.0,米,5.0,米,0.3,米,6,社会福利科技研究中心,http://www.socialwelfare.org.cn,,
仓储管理机器人,库存管理,8.5,米,9.5,米,0.6,米,11,物流与运输科学研究院,http://www.logisticsresearch.org.cn,,
精神健康机器人,心理健康咨询室,3.2,米,4.1,米,0.1,米,7,心理健康研究协会,http://www.mentalhealth.org.cn,,
物流机器人,铁路货运站,3.4,米,4.5,米,0.3,米,10,现代货运科技研究所,https://www.modernfreighttech.org,,
餐饮服务机器人,餐厅厨房,2.2,米,2.9,米,0.1,米,5,餐饮行业发展协会,https://www.restaurantdevelopment.org,,
清洁机器人,购物中心,1.8,米,2.5,米,0.2,米,8,智能清洁技术研究中心,https://www.smartcleaningtech.org,,
安防机器人,机场安检区,4.2,米,5.0,米,0.4,米,9,国家安全科技部,https://www.nationalsecuritytech.gov.cn,,
巡检机器人,电力站,2.9,米,3.8,米,0.5,米,6,能源部机器人研究所,https://www.energyrobotics.org,,
探险机器人,天然灾害区域,7.0,米,8.5,米,0.7,米,20,国际探险科技协会,https://www.adventuretech.org,,
行政助手机器人,办公室环境,3.0,米,3.8,米,0.2,米,5,办公室自动化协会,https://www.officeautomation.org,,
消防机器人,火灾现场,6.3,米,7.1,米,0.4,米,13,全国消防技术中心,https://www.firetech.gov.cn,,
社区服务机器人,居民小区,2.5,米,3.2,米,0.3,米,7,城市社区服务中心,https://www.communityservice.org,,
矿山探测机器人,矿区,8.1,米,9.0,米,0.6,米,15,矿业科技研究所,https://www.minetech.org,,
自动驾驶机器人,高速公路,4.5,米,5.5,米,0.5,米,12,智能驾驶研究中心,https://www.autonomousdrivingtech.org,,
配送机器人,城市街头,3.5,米,4.2,米,0.3,米,10,最后一公里物流研究所,https://www.lastmilelogistics.org,,
农业监控机器人,农田,5.8,米,6.9,米,0.4,米,14,农业技术与研究中心,https://www.agritech.org,,
亲子陪伴机器人,公园游乐区,1.4,米,1.9,米,0.1,米,4,儿童科技发展中心,https://www.childtech.org,,
 туристический робот,观光区域,2.7,米,3.3,米,0.2,米,6,旅游科技研究院,https://www.tourismtech.org,,
数据收集机器人,科研实验室,4.9,米,5.6,米,0.5,米,12,科研与技术协会,https://www.researchandtech.org,,
废弃物处理机器人,垃圾处理场,6.1,米,7.4,米,0.6,米,17,环境保护科技中心,https://www.environmentaltech.org,,
虚拟现实机器人,体验中心,2.3,米,3.1,米,0.2,米,5,虚拟现实技术研究所,https://www.vrtech.org,,
医疗机器人,老年护理院,1.5,米,2.0,米,0.3,米,5,中国健康科技研究院,http://www.chinahs.org.cn,,
物流机器人,配送中心,3.5,米,4.5,米,0.4,米,8,中国物流与采购联合会,http://www.cflp.org.cn,,
农业机器人,粮食种植区,10.0,米,12.0,米,1.0,米,18,国家农业科技实验室,http://www.natl.org.cn,,
教育机器人,图书馆,2.0,米,2.8,米,0.1,米,10,教育机器人发展协会,http://www.edu-robot.org.cn,,
服务机器人,餐厅,4.5,米,6.0,米,0.5,米,9,中国餐饮业科技协会,http://www.cca.org.cn,,
移动机器人,公园步道,6.8,米,8.5,米,0.7,米,13,城市环境研究中心,http://www.uerc.org.cn,,
工业机器人,制造工厂,5.0,米,6.2,米,0.4,米,14,中国机电工程协会,http://www.cemea.org.cn,,
救援机器人,滑坡灾区,8.0,米,9.2,米,0.7,米,21,中国应急管理部,http://www.mem.gov.cn,,
家庭服务机器人,家庭客厅,3.0,米,3.8,米,0.2,米,7,中国家用机器人技术促进协会,http://www.chinahr.org.cn,,
外科机器人,手术室,1.0,米,1.5,米,0.05,米,3,中国外科手术机器人联盟,http://www.surgicalrobotics.org.cn,,
仓储机器人,自动化仓库,4.0,米,5.0,米,0.6,米,12,中国仓储与物流协会,http://www.clla.org.cn,,
安防机器人,商场,4.2,米,5.3,米,0.3,米,9,中国商业技术协会,http://www.cbta.org.cn,,
海洋探测机器人,海洋研究站,20.0,米,22.5,米,2.0,米,17,国家海洋局,http://www.soa.gov.cn,,
遥控机器人,演习区域,8.5,米,9.8,米,0.9,米,15,人民解放军军事科学院,http://www.pla-militaryacademy.cn,,
宠物服务机器人,宠物美容店,2.2,米,3.0,米,0.25,米,8,中国宠物产业协会,http://www.cpa.org.cn,,
室内导航机器人,购物中心,3.8,米,5.1,米,0.4,米,6,国内导航系统研究院,http://www.inss.org.cn,,
医疗机器人,老年护理中心,1.5,米,1.9,米,0.25,米,5,国家老龄化研究中心,http://www.narc.gov.cn,,
农业机器人,田野灌溉,10.0,米,11.5,米,0.7,米,14,农业部科技处,http://www.moa.gov.cn,,
教育机器人,在线学习平台,3.0,米,3.8,米,0.3,米,7,远程教育发展研究中心,https://www.remoteed.org.cn,,
服务机器人,咖啡馆,3.8,米,4.6,米,0.15,米,6,智能服务技术协会,http://www.servicetech.org.cn,,
工业机器人,生产车间,2.0,米,2.5,米,0.4,米,5,机器人产业发展研究会,https://www.robotics.org.cn,,
救援机器人,森林火灾现场,11.0,米,12.5,米,1.0,米,18,应急管理部,http://www.mem.gov.cn,,
移动机器人,购物中心,7.0,米,9.0,米,0.5,米,10,商业科技研究院,http://www.ctri.org.cn,,
移动机器人,城市公园,5.0,米,6.0,米,0.6,米,13,城市规划与设计研究中心,https://www.updc.org.cn,,
医疗机器人,手术室,1.1,米,1.5,米,0.1,米,4,医学机器人技术研究所,https://www.medirobotics.org.cn,,
移动机器人,展览馆,4.5,米,5.0,米,0.4,米,9,博物馆智能化研究所,http://www.museumtech.org.cn,,
服务机器人,家庭环境,2.0,米,3.0,米,0.3,米,8,智能家庭科技协会,http://www.smart-home.org.cn,,
工业机器人,包装车间,1.8,米,2.2,米,0.2,米,4,包装行业协会,http://www.packaging.org.cn,,
