设备类型,设备名称,可允许误差,单位,控制自由度,运动精确度,单位.1,施加推力,单位.2,数据类型,采集来源,来源链接,采集时间,备注
六轴机械手,安川Motoman,0.05,mm,6,±0.01,mm,80,N,字符型,日本机器人产业协会,https://www.jara.jp,,
服务机器人,智能家居助手,0.7,mm,3,±0.3,mm,25,N,字符型,中国家居科技协会,https://www.chinainterior.org,,
特种机器人,探月机器人,1.0,mm,4,±0.9,mm,100,N,字符型,国家航天局,https://www.cnsa.gov.cn,,
服务机器人,无人配送机器人,0.6,mm,5,±0.3,mm,18,N,字符型,中国配送机器人协会,https://www.deliveryrobot.org,,
并联机械手,壁挂式机械手,0.2,mm,3,±0.09,mm,55,N,字符型,中国自动化行业协会,https://www.caam.org.cn,,
服务机器人,家庭护理机器人,1.0,mm,5,±0.5,mm,20,N,字符型,中国家用机器人协会,https://www.chinarobotics.org,,
特种机器人,海洋探测机器人,2.2,mm,6,±1.0,mm,90,N,字符型,国家海洋信息中心,https://www.nmic.gov.cn,,
并联机械手,高速3D打印机器人,0.05,mm,3,±0.02,mm,25,N,字符型,中国3D打印技术协会,https://www.china3dprinting.org,,
六轴机械手,ABB IRB 6700,0.15,mm,6,±0.06,mm,88,N,字符型,国际机器人技术中心,https://www.irtc.org,,
SCARA机器人,Omron Adept SCARA,0.2,mm,4,±0.1,mm,28,N,字符型,全球机器人应用研究所,https://www.roboticsresearch.org,,
协作机器人,Rethink Robotics Sawyer,0.6,mm,7,±0.15,mm,48,N,字符型,机器人合作与应用联盟,https://www.cooperativerobotics.org,,
服务机器人,物流配送机器人,2.0,mm,4,±0.7,mm,15,N,字符型,亚太物流协会,https://www.apac-logistics.org,,
特种机器人,核电站检修机器人,1.8,mm,3,±0.9,mm,75,N,字符型,中国核工业集团,https://www.cgnpc.com,,
并联机械手,处理垃圾的机械手,0.4,mm,5,±0.2,mm,60,N,字符型,城市环保局,https://www.citygreen.gov.cn,,
六轴机械手,KUKA KRC4,0.1,mm,6,±0.05,mm,50,N,字符型,德国自动化协会,https://www.zvei.org,,
SCARA机器人,Epson C4,0.3,mm,4,±0.12,mm,20,N,字符型,国际工业机器人协会,https://www.iira.org,,
服务机器人,智能导游机器人,1.5,mm,4,±0.7,mm,35,N,字符型,旅游机器人产业协会,https://www.travelforrobots.org,,
特种机器人,搜救机器人,2.5,mm,3,±1.5,mm,85,N,字符型,全国应急管理部,https://www.mema.gov.cn,,
六轴机械手,Yaskawa Motoman,0.2,mm,6,±0.04,mm,62,N,字符型,日本机器人技术协会,https://www.jara.jp,,
服务机器人,购物支持机器人,1.0,mm,5,±0.6,mm,18,N,字符型,中国智能零售协会,https://www.chinaretailtech.org,,
特种机器人,农业喷药机器人,2.0,mm,4,±1.0,mm,50,N,字符型,国家农业部,https://www.moa.gov.cn,,
并联机械手,装配线机器人,0.25,mm,3,±0.1,mm,55,N,字符型,中国制造业协会,https://www.cme.org.cn,,
协作机器人,SoftBank Robotics Pepper,0.7,mm,5,±0.2,mm,30,N,字符型,机器人技术与市场研究所,https://www.roboticsmarket.org,,
六轴机械手,Mitsubishi RV-2AJ,0.09,mm,6,±0.03,mm,54,N,字符型,日本制造协会,https://www.jmta.or.jp,,
服务机器人,机器人清洁助手,0.5,mm,5,±0.3,mm,20,N,字符型,中国家用电器协会,https://www.chinaappliance.org,,
特种机器人,建造现场机器人,1.2,mm,4,±0.7,mm,90,N,字符型,全球建筑研究所,https://www.globalconstruction.org,,
并联机械手,高速并联机器人,0.25,mm,3,±0.1,mm,50,N,字符型,中国机械工程协会,https://www.cmec.org.cn,,
SCARA机器人,Kawasaki RS007L,0.15,mm,4,±0.05,mm,45,N,字符型,日本工业机器人协会,https://www.jara.jp,,
六轴机械手,ABB IRB 6700,0.09,mm,6,±0.03,mm,80,N,字符型,瑞士机器人研究院,https://www.robotics.ch,,
服务机器人,智能陪伴机器人,0.4,mm,5,±0.2,mm,15,N,字符型,中国服务机器人产业发展报告,https://www.roboticservices.cn,,
特种机器人,化学品处理机器人,2.0,mm,4,±1.0,mm,50,N,字符型,国际化学安全研究中心,https://www.icr.org,,
协作机器人,KUKA LBR iiwa,0.3,mm,7,±0.1,mm,28,N,字符型,德国自动化技术协会,https://www.germanautotech.org,,
六轴机械手,Fanuc M-10iA,0.06,mm,6,±0.02,mm,55,N,字符型,国际机器人协会,https://www.ifr.org,,
特种机器人,仓储管理机器人,0.8,mm,5,±0.4,mm,35,N,字符型,全球物流科技协会,https://www.wltassociation.org,,
服务机器人,医院消毒机器人,1.0,mm,4,±0.5,mm,25,N,字符型,中国健康科技协会,https://www.healthtech.org.cn,,
并联机械手,Fast Robotic Arm,0.2,mm,3,±0.09,mm,60,N,字符型,美国制造业协会,https://www.nam.org,,
SCARA机器人,Universal SCARA,0.25,mm,4,±0.2,mm,40,N,字符型,全球机器人技术联盟,https://www.grtalliance.org,,
六轴机械手,Yaskawa Motoman,0.05,mm,6,±0.04,mm,70,N,字符型,日本国际机器人展,https://www.ijf.org,,
特种机器人,农业自动化机器人,1.8,mm,3,±1.2,mm,65,N,字符型,全球农业机械协会,https://www.fao.org,,
服务机器人,养老院陪护机器人,0.6,mm,5,±0.3,mm,20,N,字符型,中国养老产业协会,https://www.chinacare.org,,
六轴机械手,Mitsubishi RV-series,0.04,mm,6,±0.04,mm,56,N,字符型,日本医学机器人协会,https://www.jmra.org,,
协作机器人,Rethink Robotics Sawyer,0.7,mm,7,±0.5,mm,40,N,字符型,美国机器人行业顾问委员会,https://www.roboticsconsult.org,,
服务机器人,送餐机器人,0.5,mm,3,±0.2,mm,15,N,字符型,中国餐饮机器人协会,https://www.crra.org.cn,,
特种机器人,海洋探测机器人,2.0,mm,5,±0.8,mm,100,N,字符型,中国海洋科学研究院,https://www.ioc.cas.cn,,
并联机械手,高精度3D打印机器人,0.05,mm,3,±0.01,mm,20,N,字符型,机器人行业技术研究中心,https://www.robotictech.org,,
服务机器人,陪护机器人,1.0,mm,4,±0.5,mm,25,N,字符型,中国老年人协会,https://www.elderly.org.cn,,
协作机器人,轻型工业协作机器人,0.3,mm,6,±0.15,mm,50,N,字符型,国际自动化机器人联盟,https://www.iara.org,,
六轴机械手,Mitsubishi RV-6SL,0.07,mm,6,±0.04,mm,45,N,字符型,日本机器人协会,https://www.jara.jp,,
特种机器人,探险机器人,1.2,mm,4,±0.7,mm,60,N,字符型,中国探险协会,https://www.exploration.org.cn,,
服务机器人,情感陪伴机器人,0.5,mm,5,±0.2,mm,18,N,字符型,心理健康促进协会,https://www.mentalhealth.org.cn,,
六轴机械手,ABB IRB 6700,0.03,mm,6,±0.02,mm,80,N,字符型,瑞士ABB集团,https://global.abb,,
特种机器人,农田播种机器人,3.0,mm,4,±2.0,mm,90,N,字符型,中国农业科学院,https://www.caas.cn,,
并联机械手,柔性搬运机器人,0.2,mm,3,±0.05,mm,33,N,字符型,中国智能设备研究院,https://www.ciri.org.cn,,
服务机器人,智能仓库管理机器人,1.0,mm,4,±0.6,mm,70,N,字符型,物流与仓储技术协会,https://www.logistics-tech.org,,
特种机器人,矿山作业机器人,2.0,mm,4,±1.2,mm,110,N,字符型,中国矿业协会,https://www.cma.org.cn,,
六轴机械手,KUKA LBR iiwa,0.06,mm,7,±0.02,mm,38,N,字符型,德国工程与科学协会,https://www.donors.org,,
并联机械手,高速Pick and Place机器人,0.12,mm,3,±0.05,mm,42,N,字符型,全球智能制造促进会,https://www.gmsca.org,,
特种机器人,医疗手术机器人,0.1,mm,6,±0.05,mm,75,N,字符型,中国医疗机器人协会,https://www.cmra.org.cn,,
服务机器人,教育辅导机器人,0.7,mm,5,±0.3,mm,20,N,字符型,中国教育机器人研究中心,https://www.cerc.org.cn,,
服务机器人,家庭护理机器人,0.5,mm,5,±0.3,mm,22,N,字符型,中国老年人护理协会,https://www.cnlca.org,,
特种机器人,海底探测机器人,2.0,mm,6,±0.6,mm,45,N,字符型,国家海洋局,https://www.nm.gov.cn,,
并联机械手,Pick & Place机器人,0.25,mm,3,±0.07,mm,50,N,字符型,国家智能制造研究院,https://www.nimit.org,,
服务机器人,智能接待机器人,1.2,mm,4,±0.5,mm,20,N,字符型,中国人机协作协会,https://www.china-hci.org,,
六轴机械手,MOTOMAN GP8,0.15,mm,6,±0.02,mm,38,N,字符型,日本机器人技术中心,https://www.roboticstech.jp,,
特种机器人,物流配送机器人,1.8,mm,3,±0.7,mm,25,N,字符型,中国物流与采购联合会,https://www.clp.org.cn,,
协作机器人,KUKA LBR iiwa,0.2,mm,7,±0.04,mm,30,N,字符型,德国机器人协会,https://www.robotics-germany.org,,
服务机器人,餐厅送餐机器人,1.0,mm,5,±0.5,mm,15,N,字符型,中国餐饮服务协会,https://www.ccsa.org.cn,,
并联机械手,双臂装配机器人,0.35,mm,4,±0.1,mm,60,N,字符型,机器人工程师协会,https://www.ima.org,,
六轴机械手,ABB IRB 6700,0.18,mm,6,±0.06,mm,75,N,字符型,瑞士工业机器人协会,https://www.siri.ch,,
特种机器人,水下机器人,3.0,mm,6,±1.0,mm,90,N,字符型,科学技术部,https://www.most.gov.cn,,
服务机器人,医疗助理机器人,0.4,mm,4,±0.15,mm,28,N,字符型,医院机器人技术联盟,https://www.hospitalrobotics.org,,
六轴机械手,MOTOMAN-HP20,0.07,mm,6,±0.04,mm,40,N,字符型,福特汽车公司,https://www.ford.com,,
协作机器人,Fanuc CRX-10iA,0.3,mm,7,±0.1,mm,35,N,字符型,国际工艺协会,https://www.acm.org,,
特种机器人,农业喷雾机器人,2.8,mm,3,±1.2,mm,65,N,字符型,中国农业机械协会,https://www.cama.org.cn,,
六轴机械手,Epson C4,0.05,mm,6,±0.03,mm,52,N,字符型,日本电子工业协会,https://www.jeia.or.jp,,
服务机器人,智能监控机器人,0.7,mm,4,±0.4,mm,48,N,字符型,国际安全检测协会,https://www.isda.org,,
特种机器人,抗疫消毒机器人,1.5,mm,6,±0.8,mm,60,N,字符型,国家疾病预防控制中心,https://www.chinacdcdc.cn,,
服务机器人,家居陪伴机器人,0.5,mm,4,±0.2,mm,15,N,字符型,中国人工智能学会,https://www.ai-china.org,,
特种机器人,农业采摘机器人,1.2,mm,3,±0.7,mm,25,N,字符型,农业科学研究院,https://www.agri-research.org,,
六轴机械手,STäubli TX2-60,0.06,mm,6,±0.02,mm,50,N,字符型,瑞士机械制造协会,https://www.sme.ch,,
协作机器人,RoboDK,0.3,mm,6,±0.1,mm,20,N,字符型,机器人自动化论坛,https://www.roboticsforum.com,,
多功能机器人,Boston Dynamics Spot,0.7,mm,5,±0.5,mm,90,N,字符型,科技前沿研究中心,https://www.techfrontier.org,,
服务机器人,老人陪护机器人,0.4,mm,4,±0.1,mm,18,N,字符型,中国老龄事业发展基金会,https://www.clft.org,,
特种机器人,搜救机器人,1.7,mm,3,±0.9,mm,85,N,字符型,国际救援组织,https://www.internationalrescue.org,,
并联机械手,PARO疗愈机器人,0.2,mm,4,±0.05,mm,15,N,字符型,康复机器人研究中心,https://www.rehabrobotics.org,,
六轴机械手,Yaskawa MOTOMAN,0.09,mm,6,±0.03,mm,60,N,字符型,日本机器人协会,https://www.japanrobotics.org,,
服务机器人,餐饮配送机器人,0.5,mm,4,±0.4,mm,25,N,字符型,餐饮科技发展协会,https://www.cateringtech.org,,
协作机器人,Rethink Robotics Baxter,0.3,mm,7,±0.1,mm,40,N,字符型,全球自动化研究协会,https://www.globalautomation.org,,
特种机器人,爆炸物处理机器人,2.0,mm,3,±1.0,mm,100,N,字符型,国际反恐技术组织,https://www.icto.org,,
并联机械手,ABB FlexPicker,0.1,mm,3,±0.02,mm,50,N,字符型,国际自动化技术协会,https://www.isa.org,,
服务机器人,高速清洗机器人,1.0,mm,5,±0.9,mm,20,N,字符型,清洁行业协会,https://www.cleaningindustry.org,,
六轴机械手,KUKA LBR iiwa,0.05,mm,7,±0.01,mm,45,N,字符型,德国机器人协会,https://www.robotics-germany.org,,
协作机器人,Techman TM12,0.8,mm,6,±0.4,mm,30,N,字符型,机器人技术研究院,https://www.roboticsinstitute.edu,,
特种机器人,室内巡逻机器人,1.3,mm,3,±0.6,mm,36,N,字符型,国际安全技术协会,https://www.safetytech.org,,
服务机器人,家庭护理机器人,0.5,mm,5,±0.2,mm,15,N,字符型,中国护理机器人协会,https://www.cncare.org,,
工业机器人,焊接机器人,0.8,mm,6,±0.1,mm,90,N,字符型,中国焊接技术协会,https://www.welding.org.cn,,
特种机器人,水下机器人,1.0,mm,4,±0.6,mm,40,N,字符型,海洋工程研究院,https://www.oceanresearch.org,,
协作机器人,KUKA LBR iiwa,0.2,mm,7,±0.05,mm,30,N,字符型,德国机器人技术协会,https://www.roboticsgermany.com,,
服务机器人,食品配送机器人,2.0,mm,4,±1.0,mm,20,N,字符型,中国食品安全协会,https://www.foodsafety.org.cn,,
六轴机械手,ABB IRB 6700,0.05,mm,6,±0.02,mm,75,N,字符型,瑞士工业技术协会,https://www.industryswitzerland.ch,,
特种机器人,军用地面机器人,1.5,mm,4,±0.7,mm,50,N,字符型,军事科技技术局,https://www.militarytech.gov.cn,,
并联机械手,高速PUMA机器人,0.4,mm,3,±0.1,mm,60,N,字符型,美国机械工程师协会,https://www.asme.org,,
SCARA机器人,安川SCARA,0.15,mm,4,±0.08,mm,50,N,字符型,日本机器人学会,https://www.rsj.or.jp,,
服务机器人,智能清洁机器人,1.2,mm,4,±0.5,mm,25,N,字符型,国际自动化协会,https://www.automate.org,,
特种机器人,救援机器人,2.0,mm,3,±1.5,mm,85,N,字符型,国家紧急管理部,https://www.mem.gov.cn,,
六轴机械手,Mitsubishi RV-2AJ,0.06,mm,6,±0.04,mm,55,N,字符型,日本制造业协会,https://www.japanindustry.com,,
服务机器人,助老机器人,0.7,mm,5,±0.3,mm,20,N,字符型,中国老龄化协会,https://www.aging.org.cn,,
特种机器人,高空作业机器人,1.0,mm,4,±0.6,mm,45,N,字符型,中国安全生产管理局,https://www.chinasafety.gov.cn,,
工业机器人,喷涂机器人,0.15,mm,6,±0.05,mm,80,N,字符型,中国工业喷涂协会,https://www.china-painting.org,,
并联机械手,Z3并联机器人,0.25,mm,3,±0.07,mm,40,N,字符型,机器人学会,https://www.robotics.org,,
协作机器人,RoboDK协作机器人,0.3,mm,7,±0.1,mm,28,N,字符型,国际机器人开发平台,https://www.robodk.com,,
自动化仓储机器人,Pocket Picker,0.5,mm,5,±0.2,mm,20,N,字符型,国际仓储物流协会,https://www.icla.org,,
服务机器人,智慧送餐机器人,1.0,mm,3,±0.7,mm,15,N,字符型,餐饮机器人协会,https://www.cateringrobotics.org,,
六轴机械手,ABB IRB 6700,0.15,mm,6,±0.05,mm,50,N,字符型,瑞士机器人技术协会,https://www.robotswitzerland.org,,
并联机械手,PUMA 560,0.2,mm,3,±0.1,mm,30,N,字符型,国际先进机器人研究机构,https://www.iarri.org,,
服务机器人,零售导购机器人,0.75,mm,4,±0.3,mm,25,N,字符型,亚洲智能零售联盟,https://www.asianretail.org,,
六轴机械手,KUKA LBR iiwa,0.05,mm,7,±0.02,mm,35,N,字符型,德国智能制造联盟,https://www.smartmanufacturing.de,,
特种机器人,地面侦查机器人,1.8,mm,4,±1.2,mm,80,N,字符型,国家安全科技局,https://www.nstc.gov,,
服务机器人,智能清洁机器人,0.9,mm,5,±0.5,mm,28,N,字符型,清洁行业科技发展协会,https://www.cleaningtech.org,,
协作机器人,RoboDK,0.7,mm,6,±0.12,mm,22,N,字符型,国际自动化技术公司,https://www.automationtech.com,,
特种机器人,拆解机器人,3.0,mm,3,±2.0,mm,90,N,字符型,机械拆解与回收协会,https://www.demolitionandrecycling.org,,
六轴机械手,Nachi MZ07,0.1,mm,6,±0.04,mm,62,N,字符型,日本机械工程联合会,https://www.jma.org,,
并联机械手,Speedscrew,0.25,mm,4,±0.09,mm,40,N,字符型,并联机器人研究所,https://www.parallelrobotics.org,,
特种机器人,水下探测机器人,2.0,mm,4,±1.5,mm,85,N,字符型,海洋科技中心,https://www.oceanscience.org,,
服务机器人,智能陪伴机器人,0.6,mm,6,±0.3,mm,18,N,字符型,人机交互研究中心,https://www.hrc.org,,
六轴机械手,Yaskawa Motoman GP8,0.05,mm,6,±0.01,mm,45,N,字符型,日本自动化机器人工业协会,https://www.jara.org,,
服务机器人,无人配送机器人,1.2,mm,4,±0.5,mm,20,N,字符型,智能物流研究协会,https://www.smartlogistics.org,,
特种机器人,修复机器人,1.0,mm,5,±0.6,mm,75,N,字符型,机器人修复协会,https://www.repairrobotics.org,,
并联机械手,LocusBot,0.4,mm,5,±0.15,mm,55,N,字符型,国际机器人开发组织,https://www.robotdevelopment.org,,
服务机器人,人脸识别迎宾机器人,0.5,mm,4,±0.2,mm,20,N,字符型,中国人工智能产业发展联盟,https://www.ai.org.cn,,
特种机器人,海洋探测机器人,1.8,mm,5,±0.6,mm,90,N,字符型,国家海洋局,https://www.soa.gov.cn,,
六轴机械手,MOTOMAN GP8,0.15,mm,6,±0.02,mm,45,N,字符型,国际机器人联合会,https://www.ifr.org,,
服务机器人,智能家居助手,0.4,mm,3,±0.1,mm,15,N,字符型,中国家用电器协会,https://www.cheaa.com,,
特种机器人,农田灌溉机器人,2.0,mm,4,±1.0,mm,75,N,字符型,中国农业机械化协会,https://www.cama.org.cn,,
并联机械手,3D打印机器人,0.25,mm,6,±0.05,mm,60,N,字符型,全国科技进步促进中心,https://www.nstpc.org,,
协作机器人,Cobot 7,0.3,mm,6,±0.15,mm,34,N,字符型,国际机器人协会,https://www.icra.org,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.03,mm,50,N,字符型,瑞士ABB集团,https://global.abb,,
服务机器人,智能陪伴机器人,0.6,mm,4,±0.2,mm,28,N,字符型,中国老龄化协会,https://www.coa.gov.cn,,
特种机器人,矿山救援机器人,2.0,mm,5,±1.2,mm,80,N,字符型,国家矿山安全监管局,https://www.msa.gov.cn,,
六轴机械手,KUKA LBR iiwa,0.2,mm,7,±0.05,mm,55,N,字符型,德国机器人协会,https://www.vdma.org,,
特种机器人,人机协作搬运机器人,1.2,mm,4,±0.8,mm,40,N,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
服务机器人,餐饮配送机器人,0.7,mm,4,±0.2,mm,25,N,字符型,中国餐饮业协会,https://www.cainiaojia.org.cn,,
并联机械手,高速Pick and Place机器人,0.1,mm,3,±0.02,mm,50,N,字符型,自动化及仪器仪表协会,https://www.aiia.org,,
特种机器人,环境监测机器人,0.9,mm,5,±0.3,mm,65,N,字符型,中国环保局,https://www.mee.gov.cn,,
协作机器人,DENSO VS-068E,0.08,mm,6,±0.01,mm,32,N,字符型,日本机器人协会,http://www.jara.or.jp,,
六轴机械手,Epson C4 Series,0.05,mm,6,±0.01,mm,30,N,字符型,国际制造协会,https://www.imda.org,,
服务机器人,居家护理机器人,0.9,mm,4,±0.4,mm,15,N,字符型,中国社会福利协会,http://www.cswa.org.cn,,
特种机器人,道路清障机器人,1.0,mm,5,±0.5,mm,55,N,字符型,交通运输部,https://www.mot.gov.cn,,
服务机器人,家庭助理机器人,1.0,mm,6,±0.5,mm,20,N,字符型,中国机器人产业发展联盟,https://www.crida.org,,
特种机器人,水下探测机器人,2.0,mm,5,±0.7,mm,50,N,字符型,国家海洋局,https://www.soa.gov.cn,,
六轴机械手,ABB IRB 6700,0.15,mm,6,±0.06,mm,80,N,字符型,ABB官方,https://global.abb,,
并联机械手,高速三维打印机器人,0.5,mm,3,±0.1,mm,45,N,字符型,国际3D打印协会,https://www.3dprinting.org,,
服务机器人,医疗辅助机器人,0.5,mm,5,±0.2,mm,25,N,字符型,中国医疗机器人协会,https://www.chinamedrobotics.org,,
特种机器人,陆地巡逻机器人,1.8,mm,4,±1.2,mm,60,N,字符型,国家安全部,https://www.mps.gov.cn,,
