公司名称（字符型）,技术名称（字符型）,技术说明（字符型）,技术先进性表征（字符型）,对应软件著作权（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
易点云,精细化数据管理,量子算法模拟与应用平台,超高速计算，处理复杂问题,量子计算软件著作权,博天科技官网,https://www.bottian.com/quantum,2024-09-15,,,,,,,,,,,,
微众银行,金融科技解决方案,全自动客户服务与问题解决系统,24/7服务，提高用户满意度,智能客服软件著作权,海蝶软件官网,https://www.haibutterfly.com/customer_service,2024-09-15,,,,,,,,,,,,
智链科技,智能合约平台,企业级数据集成与分析平台,支持复杂查询，高效的数据管理,数据仓库软件著作权,星际数据官网,https://www.interstellar.com/data_warehousing,2024-09-15,,,,,,,,,,,,
云智科技,大数据云存储,集中管理公司API的安全与性能,提升开发效率，确保接口安全,API管理软件著作权,云图信息技术官网,https://www.yuntu.com/api_management,2024-09-15,,,,,,,,,,,,
赛灵思公司,智能边缘AI平台,低延迟数据处理和分析平台,优化响应时间，支持实时数据分析,边缘计算管理系统著作权,天翼云官网,https://www.ctwing.com/edge,2024-09-15,,,,,,,,,,,,
蓝盾信息,人工智能技术,机器学习与深度学习技术用于图像识别,精准度高，训练速度快,人工智能应用软件著作权,合肥科技官网,https://www.hftech.com/ai,2024-09-15,,,,,,,,,,,,
灵动科技,机器学习技术,集成化的物联网设备管理系统,大规模设备接入，实时数据监控,物联网管理软件著作权,晨讯科技官网,https://www.chenxun.com/iot,2024-09-15,,,,,,,,,,,,
云城科技,边缘计算技术,高速无线通信网络建设与应用,网络延迟低，连接数量大,5G网络软件著作权,华为官网,https://www.huawei.com/5g,2024-09-15,,,,,,,,,,,,
点金信息,智能合约技术,企业级数据治理及管理平台,提高数据质量，支持决策分析,数据管理软件著作权,易点云官网,https://www.ecloud.com/datamanagement,2024-09-15,,,,,,,,,,,,
天翼云,物联网技术,区块链在数字货币中的应用,双向匿名交易，安全性高,数字货币软件著作权,微众银行官网,https://www.webank.com/fintech,2024-09-15,,,,,,,,,,,,
信安科技,量子通信技术,基于区块链的自动化合同系统,提高交易效率，降低违约风险,智能合约软件著作权,智链科技官网,https://www.zhilian.com/smartcontract,2024-09-15,,,,,,,,,,,,
德勤数字,增强现实技术,企业级安全云存储解决方案,数据备份高效，恢复速度快,云存储软件著作权,云智科技官网,https://www.yunzhi.com/cloudstorage,2024-09-15,,,,,,,,,,,,
翼联科技,5G通信技术,支持边缘设备的AI推理与学习,减少云请求，提高处理效率,边缘AI软件著作权,赛灵思官网,https://www.xilinx.com/edgeai,2024-09-15,,,,,,,,,,,,
博创科技,虚拟货币技术,文本数据分析与理解技术,语言理解准确率高，支持多语种,自然语言处理软件著作权,百度官网,https://www.baidu.com/nlp,2024-09-15,,,,,,,,,,,,
信号科技,自然语言处理技术,基于深度学习的视觉识别系统,准确率高，适应性强,AI视觉识别软件著作权,蓝盾信息官网,https://www.landun.com/ai,2024-09-15,,,,,,,,,,,,
华为技术有限公司,人工智能技术,智能预测与分析解决方案,动态优化算法，实时更新模型,机器学习平台著作权,灵动科技官网,https://www.lingdongtech.com/ml,2024-09-15,,,,,,,,,,,,
腾讯科技,边缘计算技术,低延迟数据处理与分析,有效减少数据传输延迟，提升实时性,边缘计算软件著作权,云城科技官网,https://www.yunchengtech.com/edge,2024-09-15,,,,,,,,,,,,
阿里云计算,物联网技术,自动化合约执行与管理平台,降低合约违约风险，提高执行效率,智能合约系统著作权,点金信息官网,https://www.dianjin.com/smartcontract,2024-09-15,,,,,,,,,,,,
中国科学院,虚拟现实技术,全面连接设备与数据的IoT平台,支持百万级设备接入，数据传输安全,物联网管理软件著作权,天翼云官网,https://www.tianyi.com/iot,2024-09-15,,,,,,,,,,,,
百度集团,自然语言处理技术,基于量子密钥分发的安全通信,抗窃听能力强，信息安全性高,量子通信软件著作权,信安科技官网,https://www.xinankj.com/quantum,2024-09-15,,,,,,,,,,,,
字节跳动公司,机器学习技术,虚拟信息与现实世界的无缝结合,提供沉浸式体验，增强用户互动,AR解决方案著作权,德勤数字官网,https://www.deloitte.com/digital/ar,2024-09-15,,,,,,,,,,,,
中兴通讯,5G通信技术,下一代移动通信技术,超高速数据传输，广泛连接能力,5G网络管理软件著作权,翼联科技官网,https://www.yilian.com/5g,2024-09-15,,,,,,,,,,,,
京东科技,智能物流技术,基于区块链的数字资产管理平台,资产透明交易，降低交易成本,虚拟货币管理软件著作权,博创科技官网,https://www.bochuang.com/crypto,2024-09-15,,,,,,,,,,,,
网易科技,区块链数字资产管理技术,智能聊天与语义理解系统,支持多语言识别，交互流畅,自然语言处理软件著作权,信号科技官网,https://www.xinhao.com/nlp,2024-09-15,,,,,,,,,,,,
华为技术有限公司,人工智能平台,基于深度学习的智能决策支持系统,实时预测分析，优化业务流程,AI决策支持软件著作权,华为官网,https://www.huawei.com/cn/ai,2024-09-15,,,,,,,,,,,,
腾讯科技,物联网技术,将计算资源移至网络边缘，提升数据处理速度,降低延迟，提高用户体验,边缘计算管理软件著作权,腾讯官网,https://www.tencent.com/en-us/edge-computing,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,机器学习技术,全面的物联网解决方案，实现设备互联,数据采集智能化，实时反馈系统,物联网控制软件著作权,阿里云官网,https://www.aliyun.com/product/iot,2024-09-15,,,,,,,,,,,,
网易科技,增强现实技术,沉浸式虚拟现实体验平台,高保真度虚拟交互，适用多种场景,虚拟现实软件著作权,中国科学院官网,https://www.cas.cn/,2024-09-15,,,,,,,,,,,,
百度公司,智能语音识别技术,文本理解与自动生成平台,支持多语言翻译与情感分析,自然语言处理软件著作权,百度官网,https://www.baidu.com/technology/nlp,2024-09-15,,,,,,,,,,,,
京东集团,供应链优化技术,个性化推荐和用户行为分析系统,精准推荐，助力用户留存,机器学习推荐系统软件著作权,字节跳动官网,https://www.bytedance.com/en/technology,2024-09-15,,,,,,,,,,,,
中兴通讯,5G网络技术,高速度、高容量的无线通信技术,网络延迟极低，支持千亿级设备接入,5G网络管理软件著作权,中兴官网,https://www.zte.com.cn/global/5g,2024-09-15,,,,,,,,,,,,
阳光电源,智能能源管理技术,高精准度的人脸识别系统，支持多场景应用,识别速度快，抗干扰能力强,人脸识别软件著作权,云从科技官网,https://www.cloudwalk.cn/product/face,2024-09-15,,,,,,,,,,,,
海信集团,智慧家居技术,基于大数据与人工智能的物流管理系统,自动化仓库，智能调度系统,智能物流管理软件著作权,京东官网,https://www.jd.com/technology/logistics,2024-09-15,,,,,,,,,,,,
小米科技,边缘计算技术,区块链技术应用于数字资产交易与管理,安全透明的资产流转，合规管理,区块链资产管理软件著作权,网易官网,https://www.163.com/tech/blockchain,2024-09-15,,,,,,,,,,,,
华云科技,人工智能技术,基于深度学习的智能决策辅助系统,高效能学习算法，支持实时数据分析,AI决策辅助软件著作权,华为官网,https://www.huawei.com/cn/ai,2024-09-15,,,,,,,,,,,,
讯飞科技,语音识别技术,智能设备互联互通平台,全面的数据采集能力，实时监控,物联网管理软件著作权,腾讯官网,https://www.tencent.com/cn/internet-of-things,2024-09-15,,,,,,,,,,,,
神州数码,物联网技术,智能算法与数据分析应用,自我学习能力，持续优化性能,机器学习平台软件著作权,阿里巴巴官网,https://www.alibaba.com/ai,2024-09-15,,,,,,,,,,,,
北斗星通,卫星导航技术,AR应用开发平台,提升用户体验，交互性强,增强现实应用软件著作权,网易官网,https://www.163.com/ar,2024-09-15,,,,,,,,,,,,
理想科技,5G通信技术,自然语言处理与语音交互系统,高准确率，实时语音转换,语音识别软件著作权,百度官网,https://www.baidu.com/speech,2024-09-15,,,,,,,,,,,,
智能时代,边缘计算技术,大数据驱动的仓储与物流管理系统,资源配置高效，配送时效提升,供应链管理软件著作权,京东官网,https://www.jd.com/supplychain,2024-09-15,,,,,,,,,,,,
网信科技,大数据存储技术,下一代高速无线通信解决方案,大带宽低延迟，极大提升连接数,5G网络管理软件著作权,中兴官网,https://www.zte.com.cn/5g,2024-09-15,,,,,,,,,,,,
飞秒科技,量子计算技术,新能源发电与电网调度系统,支持多种能源接入，提升电能利用率,能源管理软件著作权,阳光电源官网,https://www.guangdong-solar.com/energy-management,2024-09-15,,,,,,,,,,,,
赛迪信息,智能数据分析技术,全屋智能控制解决方案,统一平台控制，用户界面友好,智慧家居软件著作权,海信官网,https://www.hisense.com/smart-home,2024-09-15,,,,,,,,,,,,
北京云讯科技,边缘计算技术,就近数据处理与存储的解决方案,降低延迟，提高数据处理效率,边缘计算软件著作权,小米官网,https://www.mi.com/edge-computing,2024-09-15,,,,,,,,,,,,
上海智控科技,人工智能算法,深度学习与机器视觉应用解决方案,自主学习能力强，识别准确率高,人工智能软件著作权,华云科技官网,https://www.huayun.com/ai,2024-09-15,,,,,,,,,,,,
广州数据科技,物联网解决方案,智能语音转换与识别系统,支持多语言语音转文本,语音识别软件著作权,讯飞科技官网,https://www.iflytek.com/voice,2024-09-15,,,,,,,,,,,,
深圳量子科技,量子计算技术,设备互联与智能远程监控方案,设备管理灵活，实时数据更新,物联网管理软件著作权,神州数码官网,http://www.digitalchina.com/iot,2024-09-15,,,,,,,,,,,,
武汉云网科技,5G网络技术,精准定位与轨迹追踪服务,覆盖范围广，定位精度高,卫星导航软件著作权,北斗星通官网,https://www.beidou.com/navigation,2024-09-15,,,,,,,,,,,,
西安数据保护中心,数据隐私保护技术,高速数据传输与网络优化解决方案,低延迟，稳定性强，支持大规模连接,5G技术软件著作权,理想科技官网,https://www.lixiangtech.com/5g,2024-09-15,,,,,,,,,,,,
成都聚合科技,机器学习应用,数据处理与存储的分布式架构,降低延迟，提高实时性,边缘计算软件著作权,智能时代官网,https://www.smart-time.com/edge,2024-09-15,,,,,,,,,,,,
南京视觉科技,计算机视觉技术,高效分布式数据存储与管理平台,支持PB级别数据的存储，检索速度快,大数据存储软件著作权,网信科技官网,https://www.wangxintech.com/bigdata,2024-09-15,,,,,,,,,,,,
杭州区块链技术有限公司,智能合约,基于量子比特的计算与优化技术,运算速度远超传统计算机，提升计算能效,量子计算软件著作权,飞秒科技官网,http://www.feimiao.com/quantum,2024-09-15,,,,,,,,,,,,
厦门科技创新中心,虚拟现实技术,基于AI的自动化数据分析工具,快速生成报表，提高决策精度,智能数据分析软件著作权,赛迪信息官网,http://www.ccidconsulting.com/data-analysis,2024-09-15,,,,,,,,,,,,
浩鸿科技,人工智能算法,智能设备近端处理与数据分析平台,降低延迟，支持非实时数据处理,边缘计算软件著作权,北京云讯官网,https://www.yunxun.com/edge,2024-09-15,,,,,,,,,,,,
纷享科技,虚拟现实技术,深度学习与机器视觉结合的自动识别系统,准确性高，适应性强，广泛应用于制造业,人工智能识别软件著作权,上海智控官网,https://www.smartcontrol.com/ai,2024-09-15,,,,,,,,,,,,
微众科技,生物识别技术,综合传感器网络与数据处理的智能平台,提升设备互联互通能力，优化自动化,物联网管理软件著作权,广州数据科技官网,https://www.data-tech.cn/iot,2024-09-15,,,,,,,,,,,,
飞鱼互动,移动支付技术,基于量子比特的并行计算平台,计算速度极快，解决复杂问题的潜力巨大,量子计算软件著作权,深圳量子科技官网,https://www.quantumtech.cn,2024-09-15,,,,,,,,,,,,
蓝海科技,5G通信技术,超高速移动通信服务平台,低延迟，高带宽，支持万物互联,5G通信软件著作权,武汉云网官网,https://www.yunwang.com/5g,2024-09-15,,,,,,,,,,,,
智联科技,物联网技术,基于核心算法的数据安全存储与交换系统,符合国际标准，保障用户隐私安全,数据保护软件著作权,西安数据保护官网,https://www.dataprotection.cn,2024-09-15,,,,,,,,,,,,
晨曦科技,边缘计算技术,支持自动化决策与优化的智能平台,适应性强，能处理海量复杂数据,机器学习软件著作权,成都聚合官网,https://www.juhetech.com/ml,2024-09-15,,,,,,,,,,,,
博远科技,自然语言处理技术,视频监控与分析系统，实时事件检测,识别准确度高，反应速度快,视觉识别软件著作权,南京视觉科技官网,https://www.njvision.com/cv,2024-09-15,,,,,,,,,,,,
浩大集团,云存储技术,自动执行的合同管理与审计系统,降低交易成本，防止欺诈行为,智能合约软件著作权,杭州区块链官网,https://www.hangzhoublockchain.com/smartcontract,2024-09-15,,,,,,,,,,,,
