公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
易宝支付,金融、电子商务,支付与结算解决方案,安全在线支付处理,支付网关与风控审核,易宝支付官网,https://www.yeepay.com/solutions/payment,2024-09-15,,,,,,,,,,,,
金蝶软件,制造业、零售,企业资源计划(ERP)系统,生产与库存管理,云架构与财务管理,金蝶官网,https://www.kingdee.com/solutions/erp,2024-09-15,,,,,,,,,,,,
猎云网,初创企业、投资,创业项目评估服务,市场价值评估与融资支持,投资预测模型,猎云网官网,https://www.lieyunwang.com/solutions/startup,2024-09-15,,,,,,,,,,,,
国星科技,安防、监控,智能安防系统,实时视频监控与分析,智能识别与深度学习,国星科技官网,https://www.guoxingtechnology.com/solutions/security,2024-09-15,,,,,,,,,,,,
云知声,智慧生活、家居,智能语音交互系统,语音识别与控制,自然语言处理技术,云知声官网,https://www.cloudspeak.com/products,2024-09-15,,,,,,,,,,,,
海云数据,医疗、健康管理,智能健康管理系统,健康数据监测与分析,大数据分析与人工智能,海云数据官网,https://www.hydatas.com/solutions,2024-09-15,,,,,,,,,,,,
博彦科技,政府、公共服务,电子政务平台,政务服务数字化,云计算与安全服务,博彦科技官网,https://www.boyan.com/solutions,2024-09-15,,,,,,,,,,,,
中软国际,金融、电信,金融行业解决方案,风险控制与合规管理,金融科技与区块链,中软国际官网,https://www.chinasoftintl.com/products,2024-09-15,,,,,,,,,,,,
红圈科技,物流、供应链,智慧物流管理平台,运输与仓储优化,物联网与数据分析,红圈科技官网,https://www.redcircle.com/solutions,2024-09-15,,,,,,,,,,,,
深度科技,教育、培训,在线学习系统,互动课堂与在线评测,教育数字化平台,深度科技官网,https://www.deeptech.edu/solutions,2024-09-15,,,,,,,,,,,,
宁波信息,制造、生产线,工业互联网解决方案,生产流程实时监控,智能制造与分析,宁波信息官网,https://www.nbinfo.com/solutions,2024-09-15,,,,,,,,,,,,
安恒信息,网络安全,安全运维平台,全面的安全风险管理,网络安全与大数据,安恒信息官网,https://www.anheng.com/solutions,2024-09-15,,,,,,,,,,,,
中科软,环保、城市管理,城市环境管理系统,环境监测与评估,绿色科技与数据平台,中科软官网,https://www.zksr.com/solutions,2024-09-15,,,,,,,,,,,,
易华录,交通、智慧城市,城市交通管理系统,交通流量分析与优化,物联网与人工智能,易华录官网,https://www.ehualu.com/solutions,2024-09-15,,,,,,,,,,,,
奋达科技,智能制造、物流,智能物流管理系统,实时运输监控、仓储管理,物联网与AI结合,奋达科技官网,https://www.fendatech.com,2024-09-15,,,,,,,,,,,,
云易科技,电商、零售,电商平台优化解决方案,用户行为分析、产品推荐引擎,大数据分析与机器学习,云易科技官网,https://www.yunyikeji.com,2024-09-15,,,,,,,,,,,,
天骄信息,医疗、健康管理,健康信息共享平台,患者数据整合与分析,数据隐私保护与安全管理,天骄信息官网,https://www.tianjiao.com,2024-09-15,,,,,,,,,,,,
威信咨询,金融、保险,风险管理与合规解决方案,风险预测与合规审查自动化,金融智能模型,威信咨询官网,https://www.weixinconsult.com,2024-09-15,,,,,,,,,,,,
易联众,政务、公共服务,智能政务服务平台,市民信息服务与互动,大数据与云计算基础设施,易联众官网,https://www.yilianz.com,2024-09-15,,,,,,,,,,,,
智汇科技,教育、培训,在线教育管理系统,课程管理与学习进度追踪,云平台与多媒体互动技术,智汇科技官网,https://www.zhihuikeji.com,2024-09-15,,,,,,,,,,,,
智链科技,供应链、制造业,供应链优化解决方案,流程可视化与预测分析,智能算法与工业互联网,智链科技官网,https://www.zhiliankeji.com,2024-09-15,,,,,,,,,,,,
软通动力,IT服务、咨询,数据驱动型数字化转型,企业资源整合与优化,数据科学与人工智能,软通动力官网,https://www.i-soft.com.cn,2024-09-15,,,,,,,,,,,,
国脉科技,公共安全、城市管理,城市安全监控解决方案,数据实时监测与预警,视频监控与数据融合技术,国脉科技官网,https://www.guomai.com,2024-09-15,,,,,,,,,,,,
创新科技,人力资源、人才管理,人力资源管理系统,招聘、考勤与绩效管理,AI驱动的人才匹配,创新科技官网,https://www.chuangxinkeji.com,2024-09-15,,,,,,,,,,,,
阿里云,电商、物流,云计算解决方案,数据分析与客户行为预测,云服务平台,阿里云官网,https://www.aliyun.com/product/,2024-09-15,,,,,,,,,,,,
天融信,网络安全,安全信息与事件管理,实时安全监控与响应,智能威胁检测,天融信官网,https://www.topsec.com.cn/product/,2024-09-15,,,,,,,,,,,,
金蝶软件,制造业、零售,云ERP系统,全面财务与供应链管理,ERP系统整合与云部署,金蝶官网,https://www.kingdee.com/erp/,2024-09-15,,,,,,,,,,,,
用友网络,财务、医疗,UC财务云解决方案,财务共享服务,云财务解决方案,用友官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
浪潮集团,政务、教育,智慧教育云平台,学生信息管理与在线学习,教育大数据分析,浪潮官网,https://www.inspur.com/,2024-09-15,,,,,,,,,,,,
华为技术,通信、金融,5G智能金融解决方案,高速交易与数据分析,5G网络与人工智能,华为官网,https://www.huawei.com/cn/solutions/,2024-09-15,,,,,,,,,,,,
连云港软件,智能城市,城市交通管理平台,交通流量监测与管理,物联网与人工智能算法,连云港软件官网,http://www.lygsoft.com/,2024-09-15,,,,,,,,,,,,
中兴通讯,电信、政府,智慧城市解决方案,公共安全与城市管理,大数据与边缘计算,中兴官网,http://www.zte.com.cn/,2024-09-15,,,,,,,,,,,,
三六零,互联网安全,AI安全防护解决方案,网络威胁检测与防御,人工智能安全技术,三六零官网,https://www.360.cn/,2024-09-15,,,,,,,,,,,,
华大基因,生命科学,基因测序数据分析平台,基因数据存储与分析,生物信息学,华大基因官网,https://www.bgitek.com/,2024-09-15,,,,,,,,,,,,
用友网络科技,制造业、金融,用友ERP云,生产流程管理、财务整合,云计算与大数据,用友官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
阿里云,电商、物流,实时数据分析平台,高效的数据处理与监控,大数据技术架构,阿里云官网,https://www.aliyun.com/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通讯、能源,智能运维解决方案,故障预测与维护管理,AI与机器学习,华为官网,https://www.huawei.com/cn/,2024-09-15,,,,,,,,,,,,
北京交通大学信息技术研究中心,教育、智能交通,智能校园解决方案,校园管理与数据分析,物联网与数据挖掘,北交官网,http://www.bjtu.edu.cn/,2024-09-15,,,,,,,,,,,,
腾讯云,社交、金融科技,金融云解决方案,安全数据交换与存储,区块链与数据加密技术,腾讯云官网,https://cloud.tencent.com/,2024-09-15,,,,,,,,,,,,
博彦科技,IT服务、现代制造,数字化双胞胎解决方案,产品生命周期管理,信息建模与分析,博彦科技官网,https://www.boyang.com/,2024-09-15,,,,,,,,,,,,
平安科技,金融、医疗,医疗健康云,病历管理与智能诊断,人工智能与数据分析,平安官网,https://www.pingan.com/,2024-09-15,,,,,,,,,,,,
数字政通,公共安全、城市管理,智慧城市管理平台,资源调度与信息共享,GIS技术与大数据分析,数字政通官网,http://www.digitalzheng.com/,2024-09-15,,,,,,,,,,,,
金蝶软件,商业管理、财务,云财务解决方案,实时财务监控与分析,云服务与财务管理,金蝶官网,https://www.kingdee.com/,2024-09-15,,,,,,,,,,,,
飞书,远程办公、企业管理,企业级协作平台,实时沟通与项目管理,云计算与团队协作,飞书官网,https://www.feishu.cn/,2024-09-15,,,,,,,,,,,,
创新科技,零售、物流,智能供应链管理系统,库存优化、物流跟踪,大数据分析与实时监控,创新科技官网,https://www.innovatech.com.cn/solutions/supply-chain.html,2024-09-15,,,,,,,,,,,,
博恩咨询,金融、保险,风险评估与管理平台,信贷风险评估、保险欺诈检测,机器学习与风控模型,博恩咨询官网,https://www.bornconsulting.com.cn/riskmanagement,2024-09-15,,,,,,,,,,,,
环智科技,智能制造、工业4.0,工业物联网解决方案,设备智能监测、数据分析,边缘计算与数据采集,环智科技官网,https://www.huanzhikj.com.cn/iot-solutions,2024-09-15,,,,,,,,,,,,
内容科技,传媒、广告,内容管理系统,多媒体内容创作与发布,AI内容推荐与分析,内容科技官网,https://www.neirongtech.com.cn/content-management,2024-09-15,,,,,,,,,,,,
云顶科技,教育、培训,数字校园综合管理平台,在线学习与管理,教育数据分析与优化,云顶科技官网,https://www.yundingtech.com.cn/education-solutions,2024-09-15,,,,,,,,,,,,
智联科技,人力资源、招聘,招聘管理与信息系统,在线招聘、候选人管理,云服务与数据安全,智联科技官网,https://www.zhilian.com.cn/recruitment-system,2024-09-15,,,,,,,,,,,,
云飞科技,医疗、健康,电子健康记录管理系统,患者信息管理、数据共享,医疗数据建模与分析,云飞科技官网,https://www.yunfeikj.com.cn/health-records,2024-09-15,,,,,,,,,,,,
石墨科技,建筑、工程,建筑信息建模 (BIM) 系统,工程项目管理及可视化,三维建模与数据集成,石墨科技官网,https://www.shimokeji.com.cn/bim-systems,2024-09-15,,,,,,,,,,,,
智云科技,城市规划、交通,智能交通管理系统,流量监测、拥堵预测,传感器技术与数据分析,智云科技官网,https://www.zhiyun.com.cn/intelligent-traffic,2024-09-15,,,,,,,,,,,,
飞天信息,公共安全、监控,智慧安防系统,视频监控、事件响应,AI视频分析与处理,飞天信息官网,https://www.feitiankj.com.cn/smart-security,2024-09-15,,,,,,,,,,,,
安恒信息,安全、金融,网络安全防护系统,实时威胁监测与响应,安全大数据分析,安恒信息官网,https://www.anheng.com,2024-09-15,,,,,,,,,,,,
用友网络,制造业、零售,云ERP解决方案,供应链管理与优化,云计算与大数据,用友网络官网,https://www.yf.com,2024-09-15,,,,,,,,,,,,
中科软,教育、政府,智慧校园解决方案,校园管理与互动,信息化与物联网,中科软官网,https://www.zkrtech.com,2024-09-15,,,,,,,,,,,,
腾讯云,互联网、金融,云数据智能分析平台,数据处理与决策支持,AI与云计算,腾讯云官网,https://cloud.tencent.com,2024-09-15,,,,,,,,,,,,
华为技术,通信、交通,智能交通系统,交通流量分析与优化,边缘计算与AI,华为官网,https://www.huawei.com,2024-09-15,,,,,,,,,,,,
金蝶软件,财务、制造业,智能财务云服务,财务报表自动生成,智能化财务管理平台,金蝶官网,https://www.kd100.com,2024-09-15,,,,,,,,,,,,
神州数码,ERP、供应链,一站式物流管理系统,物流信息实时监控,大数据与物联网,神州数码官网,http://www.digitalchina.com,2024-09-15,,,,,,,,,,,,
易稿科技,教育、文化,在线教育云平台,课程资源共享与管理,数字内容创作与分发,易稿科技官网,http://www.yigao.com,2024-09-15,,,,,,,,,,,,
海云科技,医疗、健康,远程医疗服务平台,在线会诊与健康监测,AI与大数据健康管理,海云科技官网,http://www.haiyun.com,2024-09-15,,,,,,,,,,,,
软通动力,金融、智能制造,金融智能风控平台,风险分析与预警,大数据风控模型,软通动力官网,https://www.riht.com,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、能源,数字能源解决方案,能源监控与管理,智能传感器与数据分析,华为官网,https://www.huawei.com/cn/solutions/energy,2024-09-15,,,,,,,,,,,,
屈臣氏IT解决方案,零售、消费者服务,智能库存管理系统,实时库存跟踪与预测,机器学习与IoT技术,屈臣氏官网,https://www.watsons.com.hk/cn/technology,2024-09-15,,,,,,,,,,,,
安恒信息,网络安全、公共安全,全网安全防护平台,实时入侵检测与响应,人工智能与大数据防护,安恒官网,https://www.anheng.com/secsolutions,2024-09-15,,,,,,,,,,,,
IBM中国,金融、制造,区块链金融服务,安全的交易处理与记录,区块链技术与智能合约,IBM官网,https://www.ibm.com/cn/Blockchain,2024-09-15,,,,,,,,,,,,
阿里云,电子商务、云计算,云数据库解决方案,数据存储与高并发处理,云计算与分布式架构,阿里云官网,https://www.aliyun.com/product/database,2024-09-15,,,,,,,,,,,,
腾讯云,社交、在线娱乐,实时通信解决方案,高性能视频与音频通讯,云通信与边缘计算,腾讯云官网,https://cloud.tencent.com/product/rtc,2024-09-15,,,,,,,,,,,,
京东科技,物流、电子商务,智能供应链管理,动态物流路径优化,物流大数据分析,京东官网,https://www.jd.com/supplychain,2024-09-15,,,,,,,,,,,,
中国软件与技术服务公司,政府、公共服务,电子政务服务平台,网上办事与信息公开,政府数据治理,中国软件官网,http://www.cssoft.com/e-gov,2024-09-15,,,,,,,,,,,,
达索系统,设计、制造,3D打印与设计仿真平台,快速原型制造与测试,3D建模与仿真技术,达索官网,https://www.3ds.com/products/dassault-systemes,2024-09-15,,,,,,,,,,,,
飞利浦医疗,医疗、健康,智能健康管理系统,远程监护与数据分析,物联网与人工智能,飞利浦官网,https://www.philips.com.cn/healthcare,2024-09-15,,,,,,,,,,,,
华为,通信、智能城市,智能交通解决方案,实时交通数据分析与管理,物联网与大数据,华为官网,https://www.huawei.com/cn/solutions/smart-city/,2024-09-15,,,,,,,,,,,,
用友网络,制造、供应链,用友云ERP,全链条资源计划管理,云计算与人工智能,用友网络官网,https://www.yonyou.com/erp/,2024-09-15,,,,,,,,,,,,
金蝶,行政、财务管理,金蝶云会计,财务数据实时监控,人工智能与区块链技术,金蝶官网,https://www.kingdee.com/,2024-09-15,,,,,,,,,,,,
软通动力,教育、培训,在线教育平台,教育资源共享与在线课堂,云计算与数据挖掘,软通动力官网,https://www.efront.com.cn/,2024-09-15,,,,,,,,,,,,
亿图软件,设计、协作,亿图思维导图,团队协作与项目管理,创意设计与协同工作,亿图软件官网,https://www.edrawsoft.com/,2024-09-15,,,,,,,,,,,,
平安科技,保险、金融,智能风控系统,风险识别与控制,大数据与机器学习,平安科技官网,https://www.pingan.com/tech/,2024-09-15,,,,,,,,,,,,
中软国际,IT服务、云计算,云咨询服务,云转型与架构优化,云技术与集成服务,中软国际官网,https://www.chinasoft.com/,2024-09-15,,,,,,,,,,,,
拓尔思,金融、互联网,智能数据平台,精准营销与用户行为分析,人工智能与数据智能,拓尔思官网,https://www.tuors.com/,2024-09-15,,,,,,,,,,,,
