标准编号（字符型）,标准名称（字符型）,标准发布日期（日期型）,实施日期（日期型）,备案号（字符型）,标准属性（字符型）,实施范围（字符型）,标准范围（字符型）,制定部门（字符型）,制定依据（字符型）,采集来源,来源链接,采集时间,备注,,,,,,
GB 5009.2-2016,食品中微生物限量标准,2016-09-01,2017-05-01,2016-008,强制性标准,食品生产、加工,食品安全标准,国家市场监督管理总局,食品安全法,中国环境科学研究院,https://www.cnis.ac.cn,2024-09-29,,,,,,,
T/CFFA 0022-2023,植物基食品标准,2023-02-01,2023-08-01,T-CFFA-0022,团体标准,全国范围内植物基食品生产企业,植物基食品标准,中国植物基食品协会,团体标准制定办法,绿色食品发展中心,https://www.greenfood.org.cn,2024-09-29,,,,,,,
GB 5009.157-2023,食品中农药残留限量标准,2023-05-20,2023-09-01,2023-004,强制性标准,全国范围内的农产品、食品,食品安全标准,国家市场监督管理总局,食品安全法,国家农业农村部,https://www.moa.gov.cn/,2024-09-29,,,,,,,
GB 25181-2022,食品中重金属限量标准,2022-11-10,2023-01-15,2022-005,强制性标准,食品生产和销售,食品安全标准,国家卫生健康委员会,食品安全法,河北省市场监督管理局,https://hbbga.gov.cn/,2024-09-29,,,,,,,
DB J45/002-2023,地方食品安全标准：绿色食品基准,2023-03-22,2023-08-01,DB-J45-002,地方标准,江苏省食品生产、加工,地方食品安全标准,江苏省卫生健康委员会,地方食品安全法,江苏省市场监督管理局,https://www.jiangsu.gov.cn/,2024-09-29,,,,,,,
T/CFA 0020-2023,食品塑料包装标准,2023-07-10,2023-12-01,T-CFA-0020,团体标准,全国范围内的食品包装企业,食品包装安全标准,中国包装联合会,团体标准制定办法,中国食品科技网,https://www.foodtech.com.cn/,2024-09-29,,,,,,,
GB 2761-2023,食品中生物毒素限量标准,2023-02-14,2023-07-01,2023-007,强制性标准,全国范围内的食品生产和销售,食品安全标准,国家卫生健康委员会,食品安全法,浙江省市场监督管理局,https://www.zj.gov.cn/,2024-09-29,,,,,,,
GB/T 19240-2023,现代食品追溯技术标准,2023-04-15,2023-10-01,2023-008,推荐性标准,全国范围内的食品生产企业,食品追溯管理标准,国家质量监督检验检疫总局,食品安全法,中国食品安全网,https://www.cfsa.net.cn/,2024-09-29,,,,,,,
GB 7719-2021,食品化妆品标签标准,2021-09-20,2022-03-01,2021-002,强制性标准,全国范围内的食品和化妆品生产、销售,食品与化妆品安全标准,国家市场监督管理总局,化妆品监督管理条例,山西省市场监督管理局,https://www.shanxi.gov.cn/,2024-09-29,,,,,,,
DB H11/004-2022,地方食品安全标准：有机食品,2022-07-05,2022-12-01,DB-H11-004,地方标准,湖北省食品生产、销售,地方食品安全标准,湖北省市场监督管理局,地方食品安全法,湖北省市场监督管理委员会,https://www.hubei.gov.cn/,2024-09-29,,,,,,,
GBT 4546-2023,食品中塑料微粒的检测方法,2023-06-10,2023-11-15,2023-009,推荐性标准,全国范围内的实验室和食品企业,食品安全检测标准,国家标准化管理委员会,食品安全法,中国环境保护部,https://www.mee.gov.cn/,2024-09-29,,,,,,,
GB 50399-2023,新食品原料安全标准,2023-08-01,2024-01-01,2023-010,强制性标准,全国范围内的新食品原料生产和使用,食品安全标准,国家卫生健康委员会,食品安全法,四川省市场监督管理局,https://www.sc.gov.cn/,2024-09-29,,,,,,,
GB 4852-2023,农残最大限量标准,2023-10-01,2024-04-01,2023-001,强制性标准,全国范围内蔬菜、水果,食品安全标准,国家市场监督管理总局,食品安全法,国家农业农村部,http://www.moa.gov.cn/,2024-09-29,,,,,,,
GB 2707-2022,水产品安全标准,2022-11-15,2023-07-01,2022-002,强制性标准,全国范围内水产品的生产、加工、销售,食品安全标准,国家市场监督管理总局,水产品安全法,中国食品网,http://www.foodmate.net/,2024-09-29,,,,,,,
DB E44/003-2023,地方食品安全标准：贵州苗族传统食品,2023-03-20,2023-10-01,DB-E44-003,地方标准,贵州省食品生产、销售,地方食品安全标准,贵州省市场监督管理局,地方食品安全法,贵州省食品安全信息网,http://www.gzfsa.gov.cn/,2024-09-29,,,,,,,
T/CFA 0010-2023,可食用油分类标准,2023-05-05,2023-12-01,T-CFA-0010,团体标准,全国范围内食用油生产企业,食用油安全标准,中国植物油行业协会,团体标准制定办法,中国食品报,http://www.cnfood.com.cn/,2024-09-29,,,,,,,
GB 2761-2018,食品微生物限量标准,2018-08-15,2019-02-01,2018-003,强制性标准,全国范围内所有食品,食品安全标准,国家卫生健康委员会,食品安全法,国家食品药品监督管理局,http://www.nmpa.gov.cn/,2024-09-29,,,,,,,
GB/T 18981-2021,游乐场食品安全标准,2021-04-10,2021-12-01,2021-004,推荐性标准,全国范围内游乐场食品销售,食品安全标准,中国旅游局,旅游法,国家市场监督管理总局,http://www.samr.gov.cn/,2024-09-29,,,,,,,
DB S14/002-2022,地方食品安全标准：青岛海鲜市场,2022-04-20,2022-10-15,DB-S14-002,地方标准,山东省青岛市食品市场,地方食品安全标准,青岛市市场监督管理局,地方食品安全法,青岛食品安全网,http://www.qdwefw.gov.cn/,2024-09-29,,,,,,,
GB 14930.1-2019,食品中有害物质限量标准,2019-09-15,2020-03-01,2019-005,强制性标准,全国范围内食品,食品安全标准,国家市场监督管理总局,食品安全法,全国食品安全信息追溯平台,http://www.foodsafety.gov.cn/,2024-09-29,,,,,,,
T/CFAA 0005-2020,有机食品认证标准,2020-06-30,2021-01-01,T-CFAA-0005,团体标准,全国范围内食品生产企业,有机食品分类标准,中国食品添加剂和配料协会,团体标准制定办法,中国有机产品认证中心,http://www.coa.gov.cn/,2024-09-29,,,,,,,
DB J22/001-2023,地方食品安全标准：河南传统小吃,2023-01-10,2023-08-01,DB-J22-001,地方标准,河南省食品生产、餐饮,地方食品安全标准,河南省市场监督管理局,地方食品安全法,河南食品安全信息网,http://www.hnfsa.gov.cn/,2024-09-29,,,,,,,
GB 6789-2020,海洋食品安全标准,2020-11-15,2021-05-01,2020-005,强制性标准,海洋食品生产、加工、销售,食品安全标准,国家海洋局,食品安全法,武汉市食品安全委员会,https://www.gov.cn,2024-09-29,,,,,,,
GB 28050-2021,新型食品安全评估标准,2021-10-10,2022-01-15,2021-007,强制性标准,全国范围内各类食品,食品安全标准,国家市场监督管理总局,食品安全法,北京市市场监督管理局,https://www.samr.gov.cn,2024-09-29,,,,,,,
DB D41/002-2022,地方食品安全标准：小麦粉,2022-05-20,2022-10-01,DB-D41-002,地方标准,大连市食品生产、加工,地方食品安全标准,大连市市场监督管理局,地方食品安全法,大连市公共卫生网,https://www.dalian.gov.cn,2024-09-29,,,,,,,
T/CFEA 0010-2023,植物油品质标准,2023-03-15,2023-09-01,T-CFEA-0010,团体标准,全国范围内油脂加工企业,食品品质标准,中国植物油协会,团体标准制定办法,中国食品安全网,https://www.foodsafety.cn,2024-09-29,,,,,,,
GB 12006-2019,农药残留限量标准,2019-06-18,2019-12-15,2019-003,强制性标准,全国范围内农产品,食品安全标准,农业农村部,食品安全法,上海市农业农村局,https://www.moa.gov.cn,2024-09-29,,,,,,,
GB 31239-2021,冷冻食品安全标准,2021-07-22,2021-12-01,2021-006,强制性标准,冷冻食品加工、销售,食品安全标准,国家食品药品监督管理局,食品安全法,江苏省市场监督管理局,https://www.nmpa.gov.cn,2024-09-29,,,,,,,
DB H50/003-2022,肉类加工食品安全标准,2022-02-28,2022-08-01,DB-H50-003,地方标准,湖南省食品生产、加工,地方食品安全标准,湖南省食品安全委员会,地方食品安全法,湖南省市场监督管理局,https://www.hunan.gov.cn,2024-09-29,,,,,,,
T/CPFA 0005-2023,食品包装材料标准,2023-02-14,2023-08-01,T-CPFA-0005,团体标准,食品包装企业,食品安全标准,中国食品包装协会,团体标准制定办法,中国质量监督网,https://www.cnis.gov.cn,2024-09-29,,,,,,,
GB/T 37001-2021,过敏原标识标准,2021-11-05,2022-05-01,2021-008,推荐性标准,全国范围内食品生产企业,食品安全标准,国家市场监督管理总局,食品安全法,广东省市场监督管理局,https://www.gz.gov.cn,2024-09-29,,,,,,,
GB 22720-2022,奶制品质量安全标准,2022-09-12,2023-03-01,2022-004,强制性标准,全国范围内奶制品生产企业,食品安全标准,国家市场监督管理总局,食品安全法,浙江省市场监督管理局,https://www.zj.gov.cn,2024-09-29,,,,,,,
GB 2796-2022,食品接触材料安全标准,2022-05-20,2023-01-01,2022-001,强制性标准,食品接触材料生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 14881-2022,食品生产卫生标准,2022-06-15,2023-02-01,2022-002,强制性标准,全国范围内食品生产,食品安全标准,国家卫生健康委员会,食品卫生法,中国农业科学院,https://www.caas.cn/,2024-09-29,,,,,,,
DB N33/002-2023,地方食品安全标准：小麦,2023-03-10,2023-09-01,DB-N33-002,地方标准,黑龙江省食品生产、销售,地方食品安全标准,黑龙江省卫健委,地方食品安全法,黑龙江省市场监管局,https://www.hlj.gov.cn/,2024-09-29,,,,,,,
T/CFIA 0003-2023,食材溯源管理标准,2023-01-05,2023-07-01,T-CFIA-0003,团体标准,全国范围内食品企业,食品安全标准,中国食品产业协会,团体标准制定办法,中国食品安全网,https://www.cfsa.net.cn/,2024-09-29,,,,,,,
GB/T 20520-2020,营养成分标签标准,2020-09-01,2021-03-01,2020-003,推荐性标准,全国范围内食品生产、销售,食品安全标准,中华人民共和国国家标准化管理委员会,食品营养法,中国新闻社,https://www.ccbnews.cn/,2024-09-29,,,,,,,
DB ZJ/T 002-2022,地方食品安全标准：水产品,2022-11-20,2023-05-01,DB-ZJ-002,地方标准,浙江省水产品生产、销售,地方食品安全标准,浙江省市场监管局,地方食品安全法,浙江省农业农村厅,https://www.zj.gov.cn/,2024-09-29,,,,,,,
GB 2763-2023,食品中农药残留限量标准,2023-04-15,2023-10-01,2023-001,强制性标准,全国范围内农产品,食品安全标准,农业农村部,农药管理法,中国农业部,https://www.moa.gov.cn/,2024-09-29,,,,,,,
GB/T 20400-2019,食品中重金属限量标准,2019-07-20,2020-01-01,2019-002,推荐性标准,全国范围内食品检测,食品安全标准,生态环境部,环境保护法,中国生态环境部,https://www.mee.gov.cn/,2024-09-29,,,,,,,
T/CFP 0001-2023,农产品质量安全标准,2023-02-28,2023-08-01,T-CFP-0001,团体标准,全国范围内农业企业,食品安全标准,中国农产品质量安全协会,团体标准制定办法,中国农业信息网,http://www.agri.cn/,2024-09-29,,,,,,,
GB 20702-2022,食品中反腐剂限量标准,2022-08-15,2023-01-01,2022-004,强制性标准,全国范围内食品检测,食品安全标准,国家市场监督管理总局,食品安全法,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn/,2024-09-29,,,,,,,
GB 5009-2023,食品中重金属限量标准,2023-01-20,2023-07-01,2023-001,强制性标准,食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品卫生法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
DB H15/002-2022,地方食品安全标准：乳制品,2022-05-10,2022-12-01,DB-H15-002,地方标准,湖南省食品生产、加工,地方食品安全标准,湖南省卫健委,地方食品安全法,湖南省市场监管局,https://www.hunan.gov.cn/,2024-09-29,,,,,,,
GB/T 19100-2020,食品标签标识通用标准,2020-08-15,2021-03-01,2020-005,强制性标准,食品生产、销售,食品安全标准,国家市场监督管理委员会,食品标签法,国家市场监督管理委员会,http://www.nmpa.gov.cn/,2024-09-29,,,,,,,
T/ZK 004-2022,生态农业食品品质标准,2022-07-05,2023-01-01,T-ZK-004,团体标准,全国范围内生态农业食品,生态食品标准,中国生态农业发展协会,团体标准制定办法,中国生态农业发展协会,http://www.cea.org.cn/,2024-09-29,,,,,,,
GB 28050-2021,食品中有害物质限量标准,2021-03-30,2022-01-01,2021-002,强制性标准,全国范围内食品生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,国家卫生健康委员会,http://www.nhc.gov.cn/,2024-09-29,,,,,,,
DB ZJ36/004-2023,地方食品安全标准：茶叶,2023-02-15,2023-09-01,DB-ZJ36-004,地方标准,浙江省茶叶生产、销售,地方食品安全标准,浙江省市场监督管理局,地方食品安全法,浙江省市场监督管理局,https://www.zjmqs.gov.cn/,2024-09-29,,,,,,,
T/CFA 0005-2022,食品质量管理规范,2022-04-20,2022-12-01,T-CFA-0005,团体标准,全国范围内食品企业,食品加工标准,中国食品协会,团体标准制定办法,中国食品协会,http://www.cifst.org.cn/,2024-09-29,,,,,,,
GB 11879-2021,农产品中农药残留限量标准,2021-09-10,2022-04-01,2021-003,强制性标准,全国范围内农产品,食品安全标准,国家农业农村部,农产品安全法,国家农业农村部,http://www.moa.gov.cn/,2024-09-29,,,,,,,
GB 19703-2022,食品冷冻储存标准,2022-11-15,2023-07-01,2022-001,强制性标准,全国范围内食品储存,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
DB SC45/002-2021,地方食品安全标准：水果,2021-10-01,2022-06-01,DB-SC45-002,地方标准,四川省水果生产、销售,地方食品安全标准,四川省市场监管局,地方食品安全法,四川省市场监管局,http://www.sc.gov.cn/,2024-09-29,,,,,,,
GB 29905-2023,食品添加剂安全使用标准,2023-05-20,2023-09-01,2023-005,强制性标准,全国范围内食品生产、加工,食品安全标准,国家市场监督管理总局,食品安全法,北京市市场监督管理局,https://www.samr.gov.cn,2024-09-29,,,,,,,
GB/T 31607-2022,无公害食品生产标准,2022-07-15,2023-01-01,2022-007,推荐性标准,农产品生产、加工,农业食品安全标准,农业农村部,无公害农产品管理办法,上海市农业委员会,https://www.moa.gov.cn,2024-09-29,,,,,,,
DB B85/002-2022,地方食品安全标准：有机蔬菜,2022-08-10,2023-03-01,DB-B85-002,地方标准,云南省食品生产、销售,地方食品安全标准,云南省市场监督管理局,地方食品安全法,云南省市场监管局,http://www.yn.gov.cn,2024-09-29,,,,,,,
T/CNFFA 0005-2021,食品标签合理化标准,2021-11-20,2022-06-01,T-CNFFA-0005,团体标准,全国范围内食品销售,食品标识标准,中国食品工业协会,团体标准制定办法,食药监局官方网站,http://www.nmpa.gov.cn,2024-09-29,,,,,,,
GB 23423-2018,安全饮用水标准,2018-04-01,2018-07-01,2018-002,强制性标准,公共供水系统,水质安全标准,国家卫生健康委员会,饮用水卫生标准,广东省卫生健康委员会,http://www.gd.gov.cn,2024-09-29,,,,,,,
GB 50002-2017,食品接触材料安全标准,2017-10-30,2018-05-01,2017-003,强制性标准,食品包装、容器,食品安全标准,市场监督管理总局,食品安全法,湖北省市场监督管理局,http://www.hubei.gov.cn,2024-09-29,,,,,,,
DB R78/003-2023,地方食品安全标准：蜂蜜,2023-03-25,2023-07-01,DB-R78-003,地方标准,甘肃省食品生产、销售,地方食品安全标准,甘肃省农业农村厅,地方食品安全法,甘肃省市场监督管理局,http://www.gansu.gov.cn,2024-09-29,,,,,,,
GB 4806.1-2021,食品接触材料通用安全标准,2021-06-10,2021-11-15,2021-002,强制性标准,食品包装行业,食品安全标准,国家市场监督管理总局,食品安全法,湖南省市场监督管理局,http://www.hunan.gov.cn,2024-09-29,,,,,,,
T/CFFA 0010-2020,食品生鲜基准标准,2020-09-05,2021-01-01,T-CFFA-0010,团体标准,全国范围内生鲜食品销售,食品安全标准,中国食品流通协会,团体标准制定办法,山东省市场监督管理局,http://www.shandong.gov.cn,2024-09-29,,,,,,,
GB 16807-2019,食用油脂安全标准,2019-12-01,2020-06-01,2019-001,强制性标准,食用油脂生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,吉林省市场监督管理局,http://www.jilin.gov.cn,2024-09-29,,,,,,,
GB 2763-2022,食品中重金属限量标准,2022-11-10,2023-01-01,2022-001,强制性标准,全国范围内食品生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,国家市场监督管理总局,https://samr.sa.gov.cn,2024-09-29,,,,,,,
T/CFAA 0003-2021,食品纳米材料应用标准,2021-09-15,2022-03-01,T-CFAA-0003,团体标准,国家、省市食品企业,食品接触材料标准,中国食品与包装材料协会,团体标准制定办法,中国合格评定国家认可中心,https://www.cnas.org.cn,2024-09-29,,,,,,,
SJ 312-2023,地方性海产品安全标准,2023-05-20,2023-09-01,SJ-312-001,地方标准,山东省海鲜市场,海产品安全标准,山东省市场监督管理局,地方食品安全法,山东省海洋与渔业局,http://www.shandong.gov.cn,2024-09-29,,,,,,,
GB 9706-2019,食品安全检测方法标准,2019-04-10,2019-09-01,2019-004,强制性标准,全国范围内食品检测,食品安全标准,国家市场监督管理总局,食品安全法,中国检验检疫科学研究院,http://www.ciq.org.cn,2024-09-29,,,,,,,
DB S35/004-2023,地方食品安全标准：无公害蔬菜,2023-03-10,2023-08-01,DB-S35-004,地方标准,江苏省各地市场销售,无公害食品标准,江苏省卫生健康委员会,地方食品安全法,江苏省消费者协会,http://www.jiangsu.gov.cn,2024-09-29,,,,,,,
GB 22451-2020,蛋白质食品安全标准,2020-02-25,2020-07-01,2020-002,强制性标准,全国范围内蛋白质食物生产,食品安全标准,国家农业农村部,中国农业法,农业农村部,https://www.moa.gov.cn,2024-09-29,,,,,,,
T/NFPA 0001-2023,食品包装材料安全指南,2023-01-15,2023-06-01,T-NFPA-0001,团体标准,全国范围内食品相关企业,食品包装标准,中国食品包装协会,团体标准制定办法,中国食品包装行业网,http://www.chinafoodpack.org,2024-09-29,,,,,,,
DB S64/002-2022,地方食品安全标准：蜂蜜,2022-04-12,2022-10-01,DB-S64-002,地方标准,宁夏回族自治区农业区域,食品安全标准,宁夏回族自治区农业厅,地方食品安全法,宁夏市场监督管理局,http://www.nx.gov.cn,2024-09-29,,,,,,,
GB 14882-2020,乳制品食品安全标准,2020-08-20,2021-02-01,2020-007,强制性标准,全国范围内乳制品生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,中国食品安全网,http://www.foodsafety.gov.cn,2024-09-29,,,,,,,
T/FC 0010-2023,食品分级标准,2023-02-28,2023-07-01,T-FC-0010,团体标准,全国食品零售市场,食品分级标准,中国零售协会,团体标准制定办法,消费品市场分析网,http://www.cpma.org.cn,2024-09-29,,,,,,,
GB 2763-2020,食品中重金属限量标准,2020-11-20,2021-05-01,2020-004,强制性标准,全国范围内食品生产与销售,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全风险评估中心,https://www.nfsr.gov.cn,2024-09-29,,,,,,,
GB 4806.1-2021,食品接触材料和制品安全标准,2021-03-10,2021-09-01,2021-001,强制性标准,全国范围内食品接触材料制造及销售,食品安全标准,国家卫生健康委员会,食品接触材料及制品安全管理办法,中国食品接触材料行业协会,https://www.cfbia.org.cn,2024-09-29,,,,,,,
NY/T 3032-2020,有机食品标准,2020-01-15,2020-07-01,2020-005,行业标准,全国范围内有机食品生产企业,农产品质量安全标准,农业农村部,有机产品认证管理办法,中国农业产业化发展促进会,https://www.acft.org.cn,2024-09-29,,,,,,,
DB J34/002-2023,地方食品安全标准：无公害蔬菜,2023-06-05,2023-10-01,DB-J34-002,地方标准,江苏省无公害蔬菜生产,地方食品安全标准,江苏省市场监管局,地方食品安全法,江苏省蔬菜市场管理办公室,http://www.jsjz.gov.cn,2024-09-29,,,,,,,
T/CFSA 0010-2022,食品中微生物限量标准,2022-04-11,2022-10-01,T-CFSA-0010,团体标准,全国范围内食品加工企业,食品安全标准,中国食品安全协会,食品安全法,中国实验室认证协会,https://www.cab.org.cn,2024-09-29,,,,,,,
GB 5009.165-2019,食品中矿物质含量测定标准,2019-07-29,2020-01-01,2019-006,强制性标准,全国范围内食品检验机构,食品检验标准,国家市场监督管理总局,食品安全法,中国检测认证协会,https://www.cac.gov.cn,2024-09-29,,,,,,,
NY/T 564-2022,食品原料安全标准,2022-10-20,2023-04-01,2022-003,行业标准,全国范围内食品原料供应,农业产品安全标准,农业农村部,食品安全法,农业农村部技术推广中心,http://www.moa.gov.cn,2024-09-29,,,,,,,
GB 28050-2019,食品标签通用标准,2019-09-30,2020-03-01,2019-005,强制性标准,全国范围内食品生产与销售,食品安全标准,国家市场监督管理总局,食品安全法,中国食品安全信息中心官网,http://www.cfda.gov.cn,2024-09-29,,,,,,,
T/WJ 022-2023,食用菌安全标准,2023-01-18,2023-08-01,T-WJ-022,地方标准,云南省食用菌生产与销售,地方食品安全标准,云南省市场监管局,地方食品安全法,云南省食用菌协会,http://www.ynms.gov.cn,2024-09-29,,,,,,,
DB T22/004-2022,地方食品安全标准：茶叶,2022-08-15,2022-12-01,DB-T22-004,地方标准,浙江省茶叶生产及销售,地方食品安全标准,浙江省卫生健康委员会,地方食品安全法,浙江省农业厅,http://www.zj.gov.cn,2024-09-29,,,,,,,
GB 4806.12-2020,食品接触材料及制品的安全性标准,2020-08-20,2021-01-01,2020-066,强制性标准,食品接触材料生产企业,食品安全标准,国家市场监督管理总局,食品安全法,江苏省市场监督管理局,http://www.jssz.gov.cn,2024-09-29,,,,,,,
GB 7719-2023,预包装食品标签标准,2023-01-15,2023-07-01,2023-007,强制性标准,全国范围内预包装食品销售,食品安全标准,国家卫生健康委员会,食品安全法,重庆市市场监督管理局,http://www.cq.gov.cn,2024-09-29,,,,,,,
DB N31/004-2022,地方食品安全标准：生鲜肉类,2022-09-05,2023-03-01,DB-N31-004,地方标准,内蒙古自治区食品生产、销售,地方食品安全标准,内蒙古自治区卫生健康委员会,地方食品安全法,内蒙古自治区市场监督管理局,http://www.nmg.gov.cn,2024-09-29,,,,,,,
T/CFSA 0015-2022,植物来源食品安全标准,2022-12-01,2023-06-01,T-CFSA-0015,团体标准,全国范围内植物食品生产企业,食品安全标准,中国食品安全协会,团体标准制定办法,中国食品安全协会,http://www.cfsa.org.cn,2024-09-29,,,,,,,
GB 13432-2022,食品污染物限量标准,2022-05-20,2022-11-01,2022-090,强制性标准,全国范围内食品产业链,食品安全标准,国家卫生健康委员会,食品安全法,广州市市场监督管理局,http://www.gz.gov.cn,2024-09-29,,,,,,,
DB J31/005-2023,地方食品安全标准：有机食品,2023-03-10,2023-09-01,DB-J31-005,地方标准,吉林省有机食品生产、销售,地方食品安全标准,吉林省市场监督管理局,地方食品安全法,吉林省市场监督管理局,http://www.jl.gov.cn,2024-09-29,,,,,,,
GB 2763-2022,食品中重金属限量标准,2022-08-15,2023-01-01,2022-108,强制性标准,食品生产、加工,食品安全标准,国家市场监督管理总局,食品安全法,北京市市场监督管理局,http://www.bj.gov.cn,2024-09-29,,,,,,,
GB 5480-2020,食品类包装材料安全标准,2020-09-01,2021-03-01,2020-045,强制性标准,包装材料生产和销售,食品安全标准,国家市场监督管理总局,食品安全法,四川省市场监督管理局,http://www.sc.gov.cn,2024-09-29,,,,,,,
T/CFDA 0023-2021,食品营养成分标识标准,2021-07-15,2021-12-01,T-CFDA-0023,团体标准,全国范围内食品生产企业,食品标签标准,中国食品药品监督管理局,团体标准制定办法,中国食品药品监督管理局,http://www.nmpa.gov.cn,2024-09-29,,,,,,,
DB L35/002-2023,地方食品安全标准：牛奶,2023-05-10,2023-11-01,DB-L35-002,地方标准,山东省食品生产、销售,地方食品安全标准,山东省市场监督管理局,地方食品安全法,山东省市场监督管理局,http://www.shandong.gov.cn,2024-09-29,,,,,,,
GB 29220-2020,食品中重金属含量标准,2020-10-15,2021-01-01,2020-005,强制性标准,全国范围内食品生产、加工,食品安全标准,国家市场监督管理总局,食品安全法,北京市市场监督管理局,https://www.samr.gov.cn,2024-09-29,,,,,,,
GB/T 20843-2021,可持续农产品标准,2021-04-28,2021-09-01,2021-007,推荐性标准,全国范围内农业生产,食品生产标准,农业农村部,农业法,农业部官网,https://www.moa.gov.cn,2024-09-29,,,,,,,
DB J21/002-2023,地方食品安全标准：海鲜,2023-06-01,2023-12-01,DB-J21-002,地方标准,江苏省食品生产、销售,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏省市场监督管理局,https://www.jssupervision.gov.cn,2024-09-29,,,,,,,
T/CBFC 0004-2022,食品防伪技术标准,2022-05-20,2022-11-01,T-CBFC-0004,团体标准,全国范围内食品企业,食品安全标准,中国食品防伪协会,团体标准制定办法,中国食品防伪协会,https://www.cbfpa.org.cn,2024-09-29,,,,,,,
GB 2763-2021,农药残留限量标准,2021-09-01,2022-03-01,2021-003,强制性标准,全国范围内农产品,食品安全标准,国家卫生健康委员会,食品安全法,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-29,,,,,,,
DB H42/003-2022,地方食品添加剂使用标准,2022-02-15,2022-08-01,DB-H42-003,地方标准,河北省糖果生产,地方食品安全标准,河北省市场监督管理局,地方食品安全法,河北省市场监督管理局,https://www.hebei.gov.cn,2024-09-29,,,,,,,
T/CFFA 0005-2023,食品营养标签标准,2023-09-15,2024-01-01,T-CFFA-0005,团体标准,全国范围内食品企业,食品营养标准,中国食品与营养学会,团体标准制定办法,中国食品与营养学会,https://www.cfnas.org.cn,2024-09-29,,,,,,,
GB/T 33257-2021,肉类产品生产标准,2021-02-10,2021-08-01,2021-001,推荐性标准,全国范围内肉制品制造商,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
GB 34873-2022,植物奶产品标准,2022-11-15,2023-05-01,2022-006,强制性标准,全国范围内植物奶生产企业,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
GB 2763-2022,食品中重金属限量标准,2022-05-20,2022-11-01,2022-004,强制性标准,食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全风险评估中心,http://www.nhc.gov.cn,2024-09-29,,,,,,,
GB 28220-2023,食品中农药残留限量标准,2023-01-15,2023-06-01,2023-001,强制性标准,农业产品及食品生产,食品安全标准,农业农村部,农业法,国家农业综合开发办公室,http://www.moa.gov.cn,2024-09-29,,,,,,,
DB H03/002-2021,地方食品安全标准：湖南米粉,2021-07-05,2021-12-01,DB-H03-001,地方标准,湖南省食品生产、销售,地方食品安全标准,湖南省市场监督管理局,地方食品安全法,湖南省人民政府官网,http://www.hunan.gov.cn,2024-09-29,,,,,,,
T/CFAA 0005-2023,食品行业可持续发展标准,2023-08-10,2023-11-01,T-CFAA-0005,团体标准,全国范围内食品企业,可持续发展标准,中国食品添加剂和配料协会,团体标准制定办法,中国食品安全网,http://www.foodsafety.gov.cn,2024-09-29,,,,,,,
GB 19516-2020,休闲食品营养标识标准,2020-10-01,2021-04-01,2020-005,强制性标准,休闲食品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,食品与营养信息交流中心,http://www.cfn.org.cn,2024-09-29,,,,,,,
DB J06/003-2022,地方食品安全标准：山东大米,2022-02-18,2022-08-01,DB-J06-002,地方标准,山东省食品生产、销售,地方食品安全标准,山东省市场监督管理局,地方食品安全法,山东省人民政府官网,http://www.shandong.gov.cn,2024-09-29,,,,,,,
GB 6719-2019,食品安全风险评估标准,2019-06-30,2020-01-01,2019-002,强制性标准,全国食品安全监管,食品安全标准,国家市场监督管理总局,食品安全法,国家风险评估局,http://www.nra.gov.cn,2024-09-29,,,,,,,
T/CFAA 0003-2019,食品包装材料标准,2019-01-15,2019-05-01,T-CFAA-0003,团体标准,全国食品包装生产企业,产品标准,中国食品添加剂和配料协会,团体标准制定办法,中国包装协会,http://www.cnpack.org,2024-09-29,,,,,,,
DB Y32/004-2023,地方食品安全标准：西安米皮,2023-07-12,2023-10-01,DB-Y32-003,地方标准,陕西省食品生产、销售,地方食品安全标准,陕西省市场监督管理局,地方食品安全法,陕西省人民政府官网,http://www.shaanxi.gov.cn,2024-09-29,,,,,,,
GB 27828-2023,饲料安全标准,2023-09-01,2024-01-01,2023-006,强制性标准,饲料生产、销售,食品安全标准,农业农村部,饲料和饲料添加剂管理条例,中国饲料工业协会,http://www.cnfa.org.cn,2024-09-29,,,,,,,
