考核原则,评价标准,SO2排放量,NOx排放量,生活污水COD排放量,矿井水COD排放量,污染物排放达标率,在线监测系统数据传输有效率,数据上报率,外排土场排放到界区域整形覆土率,权重,计算模型,采集来源,来源链接,采集时间,备注【疑问汇总】
社会责任,公众参与度,32,74,145,92,89%,0.91,96%,0.73,0.19,社会责任模型,中国社会科学院,http://www.cssn.cn,,
应急响应,防控措施有效性,22,58,125,78,85%,0.9,94%,0.7,0.14,应急响应模型,国家应急管理局,http://www.mem.gov.cn,,
可持续发展,资源回收率,25,55,130,85,91%,0.96,97%,0.88,0.28,循环经济模型,国家环境监测中心,https://www.cnemc.cn,,
安全优先,消防设施完好率,35,65,175,110,93%,0.95,98%,0.85,0.25,指标整合模型,全国消防安全管理办公室,http://253.gov.cn,,
质量监管,环境风险防控能力,20,50,160,80,89%,0.91,96%,0.77,0.22,风险评估模型,中国环境保护部,http://www.mee.gov.cn,,
科技创新,节能技术应用率,18,45,155,75,95%,0.98,99%,0.9,0.3,模型预测法,国家科技部,http://www.most.gov.cn,,
社区参与,公众满意度调查,22,52,165,82,90%,0.94,97%,0.83,0.26,客户满意度模型,民意调查机构,https://www.survey.org,,
经济效益,废物再利用率,15,40,140,70,92%,0.97,98%,0.86,0.24,经济评价模型,经济和信息化部,http://www.miit.gov.cn,,
环境友好,清洁生产实施情况,10,30,120,65,96%,0.99,99%,0.92,0.28,清洁生产模型,环保组织研究,https://www.edf.org,,
透明度,环境信息公开率,30,60,150,85,94%,0.95,95%,0.79,0.15,透明度评估模型,信息公开办公室,http://www.gov.cn,,
趋势引导,碳足迹评估,5,20,90,50,97%,0.99,100%,0.95,0.35,碳足迹模型,气候变化政府委员会,https://www.cc.gov.cn,,
减少碳足迹,温室气体排放量,35,75,150,110,94%,0.97,99%,0.85,0.28,综合评估模型,国家生态环境部,https://www.mee.gov.cn/,,
经济高效,资源利用效率,45,85,170,130,91%,0.96,97%,0.8,0.22,效率评估法,中国经济研究院,http://www.cbert.org/,,
持续创新,技术项目实施率,28,65,135,100,89%,0.95,98%,0.78,0.2,创新驱动模型,科技部,http://www.most.gov.cn/,,
清洁生产,工业废物回收率,25,60,130,95,87%,0.93,95%,0.85,0.25,循环经济模型,全国清洁生产中心,http://www.ncpc.gov.cn/,,
公众健康,环境空气质量,38,77,145,115,93%,0.98,100%,0.82,0.26,健康风险评估模型,国家卫生健康委员会,http://www.nhc.gov.cn/,,
政策导向,政策执行率,32,73,125,85,90%,0.99,96%,0.88,0.18,政策合规模型,地方政府内务办公室,http://www.gov.cn/,,
战略合作,外部合作效果,30,65,150,120,92%,0.92,94%,0.81,0.21,合作效能模型,国际环保组织,http://www.iucn.org/,,
数字赋能,数字化转型发展,42,78,160,125,89%,0.96,99%,0.84,0.23,数字化评估模型,中国互联网协会,http://www.cac.gov.cn/,,
负责任投资,可持续发展指标,33,70,140,90,91%,0.94,97%,0.79,0.19,可持续评估模型,可持续发展研究机构,http://www.sustainable.org/,,
节能减排,能耗强度,35,90,155,110,91%,0.96,97%,0.85,0.3,能效评价模型,国家能源局,https://www.nea.gov.cn/,,
绿色发展,可再生能源占比,25,65,120,75,93%,0.92,99%,0.7,0.35,绿色经济模型,全球可持续发展报告,https://www.un.org/sustainabledevelopment/,,
安全领航,事故响应时间,10,30,110,80,96%,0.98,100%,0.88,0.2,应急响应模型,国家安全监管总局,https://www.chinasafety.gov.cn/,,
合规导向,法律法规遵守率,15,40,130,70,94%,0.9,96%,0.85,0.25,合规审计模型,中国环境保护部,https://www.mee.gov.cn/,,
全面改善,综合效能指标,20,50,145,95,90%,0.91,98%,0.78,0.15,综合评价模型,中国生态环境部,https://www.mee.gov.cn/gkml/hbb/qt/202303/t20230301_978458.html,,
创新驱动,技术改进率,28,55,135,85,92%,0.89,97%,0.83,0.2,技术创新评估,科技部官网,http://www.most.gov.cn/,,
社会责任,社区参与度,22,60,115,60,88%,0.95,99%,0.9,0.2,社会效果评估,社区环保组织,https://www.greenpeace.org/,,
技术升级,设备更新率,18,37,125,65,89%,0.94,98%,0.82,0.4,设备管理模型,制造业协会,https://www.cma.gov.cn/,,
行业协作,跨行业合作程度,12,35,102,50,95%,0.97,100%,0.89,0.35,合作绩效模型,行业协会,http://www.industryassociation.cn/,,
环保优先,固体废物管理,45,85,190,130,94%,0.97,99%,0.88,0.28,加权平均法,国家生态环境部,https://www.mee.gov.cn/,,
安全第一,应急响应时间,35,75,170,110,91%,0.95,98%,0.84,0.2,动态评估模型,江苏省应急管理局,https://www.jiangsu.gov.cn,,
持续改进,可再生能源使用率,25,65,150,100,89%,0.96,97%,0.82,0.25,项目评估模型,国际可再生能源网络,https://www.irena.org/,,
合规性优先,环境影响评估遵循率,18,55,130,85,87%,0.92,94%,0.78,0.18,合规性审查模型,广东省生态环境厅,https://www.gdehb.gov.cn/,,
环保优先,水资源利用效率,20,50,165,95,90%,0.94,96%,0.76,0.22,效率评估模型,北京市水务局,https://www.bjwater.gov.cn/,,
安全第一,设备故障率,30,65,145,110,93%,0.93,97%,0.89,0.3,风险管理模型,国家安全生产监督管理局,https://www.chinasafety.gov.cn/,,
持续改进,废物回收处理率,15,40,135,80,95%,0.99,100%,0.91,0.27,综合评估模型,工信部循环经济推进中心,https://www.miit.gov.cn/,,
合规性优先,政策执行力,22,58,165,90,92%,0.88,93%,0.74,0.16,合规性与性能评估,内蒙古自治区环保厅,https://www.nmg.gov.cn/,,
环保优先,污染物减排效率,28,72,155,102,89%,0.94,98%,0.8,0.24,多层次评估模型,浙江省环境保护厅,https://www.zjepb.gov.cn/,,
环保优先,排放量控制,45,90,210,130,94%,0.96,100%,0.92,0.35,加权平均法,国家生态环境部,https://www.mee.gov.cn/,,
安全第一,安全事故率,38,75,175,110,90%,0.95,98%,0.88,0.28,整体评估模型,某知名大学研究报告,https://www.exampleuniversity.edu/research,,
持续改进,效率提升,25,65,160,95,89%,0.94,97%,0.81,0.2,数据驱动模型,行业协会报告,https://www.industryassociation.org/,,
合规性优先,法律法规遵守,22,55,130,85,87%,0.91,94%,0.78,0.15,合规性评估模型,地方环保局,https://www.localepb.gov.cn/,,
安全与环保并重,综合风险指数,35,85,190,125,91%,0.98,99%,0.9,0.33,风险评估模型,全国安全生产监督管理局,https://www.chinasafety.gov.cn/,,
技术创新,新技术应用率,28,60,150,100,93%,0.97,96%,0.85,0.25,创新评估模型,科技部,https://www.most.gov.cn/,,
区域协调发展,地方协同效应,33,77,145,115,89%,0.92,95%,0.83,0.22,协同作用模型,区域经济研究中心,https://www.regionaleconomics.org/,,
可持续发展,环保投资回报,30,70,165,105,92%,0.96,97%,0.87,0.29,投资分析模型,财经新闻网站,https://www.finance.org/,,
创新领先,新产品开发,19,50,135,80,86%,0.9,93%,0.76,0.18,新产品评估模型,创新管理期刊,https://www.innovationjournal.com/,,
循环经济,资源利用效率,35,90,150,110,91%,0.96,97%,0.85,0.28,综合评价模型,环境保护部,https://www.mee.gov.cn,,
环境友好,生态影响评估,45,75,130,100,89%,0.95,96%,0.8,0.22,生态监测模型,北京市生态环境局,https://www.bjepb.gov.cn,,
可持续发展,再生资源利用,28,65,120,85,93%,0.92,94%,0.77,0.27,再生利用评估模型,中国资源综合利用协会,http://www.crra.org.cn,,
北京蓝天行动,空气质量改善,25,50,140,78,96%,0.99,98%,0.88,0.35,空气质量评估模型,国家气象局,http://www.cma.gov.cn,,
事故零容忍,安全管理效果,30,55,145,95,90%,0.94,97%,0.76,0.29,安全绩效评估模型,工信部,http://www.miit.gov.cn,,
绿色制造,环境成本控制,22,58,135,88,94%,0.97,96%,0.82,0.3,成本效益分析模型,中国环境科学研究院,http://www.cae.ac.cn,,
环保优先,产品环保标准,33,72,155,80,89%,0.93,95%,0.75,0.18,产品生命周期分析模型,全国工商联,http://www.acfic.org.cn,,
安全生产,工伤事故率,20,65,115,70,91%,0.99,100%,0.89,0.21,安全监督评估模型,劳动和社会保障部,http://www.mohrss.gov.cn,,
减排倡导,污染物减少率,25,60,125,85,92%,0.96,99%,0.83,0.24,减排绩效评估模型,行业协会,http://www.cnhf.org.cn,,
可持续发展,资源效率,35,90,170,110,91%,0.96,98%,0.85,0.28,优化模型,国家生态环境部,https://www.mee.gov.cn,,
清洁生产,废物再利用率,25,75,150,95,93%,0.97,99%,0.9,0.22,综合评价模型,环保组织,https://www.greenpeace.org,,
安全优先,设备故障率,42,88,185,130,90%,0.95,96%,0.8,0.3,风险评估模型,行业报告,https://www.industryreports.com,,
零排放,循环经济实施效果,15,50,120,80,94%,0.99,97%,0.92,0.35,绩效考核模型,清华大学研究中心,https://www.tsinghua.edu.cn,,
法规遵守,违规记录数,28,55,135,85,89%,0.94,95%,0.78,0.18,合规性分析模型,地方政府发布,https://www.gov.cn,,
环保创新,新技术应用率,32,65,145,100,90%,0.98,96%,0.85,0.27,创新价值模型,科技部,https://www.most.gov.cn,,
效率导向,生产效率,38,85,155,115,92%,0.97,98%,0.81,0.25,处理效率模型,中国国家统计局,https://www.stats.gov.cn,,
社会责任,社会满意度,18,40,125,70,95%,0.99,99%,0.88,0.2,社会责任评估模型,公益机构,https://www.charity.org,,
国际标准,国际认证率,12,35,100,60,97%,0.95,99%,0.91,0.33,国际合规模型,国际标准化组织,https://www.iso.org,,
科技创新,新技术应用率,38,75,175,110,91%,0.96,97%,0.88,0.28,创新评估模型,中关村科技园区管理委员会,http://www.zgc.gov.cn,,
节能降耗,能耗减少率,45,90,150,100,89%,0.94,96%,0.85,0.22,能效分析模型,国家能源局,http://www.nea.gov.cn,,
综合评估,多维度评估,32,65,168,130,93%,0.98,99%,0.92,0.25,综合评估模型,中国环境保护部,http://www.mee.gov.cn,,
危害识别,风险评估精度,28,54,145,85,90%,0.95,98%,0.8,0.18,风险评估模型,中国安全生产协会,http://www.csp.org.cn,,
生态保护,生态影响评估,22,52,130,70,86%,0.92,95%,0.78,0.17,生态评估模型,国家生态环境部,http://www.mee.gov.cn,,
全员参与,员工参与度,35,78,158,95,92%,0.97,98%,0.83,0.2,参与度评估模型,人力资源社会保障部,http://www.mohrss.gov.cn,,
公众参与,公众反馈收集,26,48,120,65,85%,0.93,94%,0.76,0.15,公众参与评估模型,中国社会科学院,http://www.cass.cn,,
气候行动,减排目标达成率,18,40,110,60,83%,0.9,92%,0.7,0.3,气候影响评估模型,气候变化研究中心,http://www.climatechange.cn,,
稳定运营,上报及时性,24,50,135,85,88%,0.91,93%,0.82,0.14,运营评估模型,国家统计局,http://www.stats.gov.cn,,
可持续发展,资源循环利用率,20,35,115,55,82%,0.89,91%,0.74,0.19,循环经济评估模型,可持续发展委员会,http://www.sustainabledevelopment.org,,
资源节约,水资源使用效率,35,75,150,110,91%,0.96,98%,0.85,0.28,水资源利用模型,环境保护部,https://www.mee.gov.cn/,,
清洁生产,废物产生率,45,85,170,130,94%,0.99,97%,0.87,0.22,清洁生产评估模型,中国工业和信息化部,http://www.miit.gov.cn/,,
循环经济,废物回收率,25,65,140,80,87%,0.94,100%,0.82,0.3,循环经济评估模型,国家发改委,https://www.ndrc.gov.cn/,,
健康安全,职业病发生率,55,95,190,145,90%,0.97,99%,0.9,0.35,职业健康监测模型,国家卫生健康委员会,http://www.nhc.gov.cn/,,
创新驱动,节能减排技术应用,30,50,160,100,93%,0.92,96%,0.83,0.26,技术绩效评估模型,科技部,https://www.most.gov.cn/,,
社会责任,公众满意度,20,40,130,95,89%,0.95,97%,0.88,0.18,社会责任感评估模型,市政府,http://www.gov.cn/,,
环保科技,清洁技术开发,10,25,110,70,95%,0.99,99%,0.95,0.24,技术创新评估模型,环境科学研究院,http://www.china-esee.org/,,
区域协调,邻近区域影响评估,38,65,150,120,92%,0.98,96%,0.86,0.29,区域影响评估模型,地方环保局,http://www.epb.gov.cn/,,
产业升级,工业污染减排,28,55,135,95,86%,0.93,94%,0.81,0.27,产业评估模型,工信部,http://www.miit.gov.cn/,,
清洁生产,资源利用率,55,90,210,160,97%,0.96,98%,0.88,0.3,清洁生产模型,环境保护部,https://www.mee.gov.cn,,
绿色发展,可再生资源使用,25,50,130,85,93%,0.95,97%,0.82,0.28,生命周期评估,北京市生态环境局,https://www.bjepb.gov.cn,,
安全生产,职业健康安全管理,45,75,190,140,91%,0.94,96%,0.86,0.22,风险评估模型,中国安全生产协会,https://www.chinasafety.gov.cn,,
节能优先,能效指标,35,65,170,110,89%,0.89,94%,0.79,0.18,能效评估模型,国家能效中心,https://www.nea.gov.cn,,
合规性评估,污染物排放合规,18,55,120,80,90%,0.91,95%,0.76,0.2,合规审查模型,湖北省生态环境厅,https://www.hbepb.gov.cn,,
社会责任,公众参与度,28,66,145,92,94%,0.97,100%,0.85,0.25,利益相关者影响评估,人民网,https://www.people.com.cn,,
紧急应对,应急处理能力,22,48,135,75,87%,0.88,99%,0.78,0.16,应急响应评估,国家应急管理局,https://www.mem.gov.cn,,
国际标准,ISO 14001认证,30,62,155,100,96%,0.98,97%,0.81,0.24,标准合规评估,国际标准化组织,https://www.iso.org,,
创新驱动,科技应用效果,38,73,165,115,92%,0.95,100%,0.87,0.2,技术投资回报评估,科技部,https://www.most.gov.cn,,
改善可持续性,可再生能源使用率,25,55,130,85,91%,0.96,97%,0.8,0.22,匹配标准模型,国家能源局,https://www.nea.gov.cn/,,
安全优先,安全生产合规性,35,75,145,110,93%,0.94,99%,0.85,0.28,安全综合评估模型,北京市应急管理局,https://bj.emergency.gov.cn,,
优化资源利用,材料回收率,15,45,125,95,89%,0.97,100%,0.9,0.18,资源循环模型,环保部,https://www.mee.gov.cn,,
健康安全,职业病发生率,28,50,135,100,90%,0.95,98%,0.88,0.2,健康风险评估模型,国家卫生健康委员会,http://www.nhc.gov.cn,,
资源节约,水资源使用效率,22,65,155,115,92%,0.93,96%,0.76,0.19,节水管理模型,水利部,http://www.mwr.gov.cn,,
创新驱动,新技术应用,18,40,170,130,96%,0.99,99%,0.91,0.25,创新效益模型,科技部,http://www.most.gov.cn,,
透明公开,数据透明度,20,55,160,125,94%,0.96,100%,0.87,0.24,透明度评估模型,国家统计局,http://www.stats.gov.cn,,
外部审查,审核合格率,23,72,145,108,92%,0.95,98%,0.82,0.27,外部审核模型,审计委员会,http://www.audit.gov.cn,,
社会责任,社区参与度,27,68,170,118,89%,0.97,97%,0.84,0.23,社会评估模型,社会事务部,http://www.ssa.gov.cn,,
资源节约优先,水资源利用效率,45,95,175,110,93%,0.96,100,0.88,0.27,加权平均法,中央环保督察,https://www.mee.gov.cn,,
事故隐患严控,重大事故率,36,78,145,85,90%,0.95,98,0.82,0.24,风险评估模型,北京市应急管理局,https://www.beijing.gov.cn,,
技术创新驱动,技术升级频率,32,65,133,77,87%,0.92,97,0.76,0.22,创新驱动模型,国家科技部,https://www.most.gov.cn,,
绿色经济导向,清洁能源使用比例,25,58,120,70,85%,0.91,99,0.74,0.2,综合评估模型,全国绿色发展研究中心,https://www.green.gov.cn,,
信息透明,信息公开率,20,50,110,65,80%,0.89,96,0.72,0.18,透明度评估模型,国家统计局,https://www.stats.gov.cn,,
环保意识强化,公众满意度,27,62,125,72,88%,0.93,98,0.78,0.15,社会反馈模型,社会调查机构,https://www.survey.org.cn,,
区域合作,跨地区协调性,35,88,155,92,91%,0.94,97,0.84,0.26,协作评估模型,华东地区环境保护局,http://www.eastchinagov.com,,
经济效益优先,成本控制,30,76,135,80,89%,0.9,95,0.79,0.19,经济评估模型,国家经济与文化发展研究中心,https://www.ecnr.org,,
标准化管理,环保标准实施率,22,64,145,88,86%,0.97,94,0.83,0.23,标准化评估模型,环保部技术标准研究所,http://www.standard.gov.cn,,
绿色发展,可再生能源使用比例,35,85,170,130,93%,0.96,100,0.88,0.25,综合评估模型,国家能源局,https://www.nea.gov.cn/,,
安全责任,员工培训完成率,45,90,190,140,91%,0.98,97,0.85,0.3,质量控制模型,广西环保局,https://www.gxepb.gov.cn/,,
创新驱动,新技术应用效果,25,65,160,110,89%,0.94,99,0.92,0.2,科技应用模型,华南理工大学,https://www.scut.edu.cn/,,
法治保障,环境法律违规事件率,15,50,120,85,95%,0.99,100,0.9,0.1,合规性模型,北京市生态环境局,https://eeb.beijing.gov.cn/,,
经济实用,成本控制效果,20,55,130,100,97%,0.96,98,0.78,0.15,成本效益分析模型,中国环境科学研究院,http://www.cserc.org/,,
污染预防,污染物减排率,30,75,180,130,92%,0.97,99,0.89,0.28,环境管理体系模型,中央环保督察办公室,https://www.mee.gov.cn/,,
社会责任,社区支持与互动,42,88,200,145,90%,0.95,95,0.83,0.22,利益相关者评估模型,社区环保组织,https://www.communityenvironment.org/,,
整合共享,资源回收利用率,18,52,110,95,94%,0.99,100,0.91,0.18,循环经济模型,中国循环经济协会,http://www.cec.org.cn/,,
技术领先,自动化水平,32,77,145,110,91%,0.96,98,0.86,0.26,先进性评价模型,全国智能制造示范园区,https://www.sme.gov.cn/,,
创新驱动,技术改进效果,25,55,130,85,91%,0.96,98,0.78,0.22,创新评估模型,中国环境保护部,https://www.mee.gov.cn/,,
社会责任,社区影响力,35,65,178,112,93%,0.94,99,0.83,0.26,社会影响评估,公益环保组织,https://www.greenpeace.org/,,
安全优先,设备故障率,45,90,200,150,89%,0.92,97,0.76,0.27,综合安全评估,全国安全生产协会,https://www.apsp.org.cn/,,
生态保护,生态恢复水平,15,50,120,70,94%,0.99,100,0.85,0.2,生态评估模型,国家生态环境部,https://www.mee.gov.cn/,,
风险控制,环境风险评估,33,75,165,110,90%,0.95,96,0.8,0.23,风险评估模型,环境监测中心,https://www.emc.gov.cn/,,
可持续发展,资源利用效率,28,82,145,95,88%,0.97,99,0.77,0.29,资源利用评估,可持续发展研究院,https://www.sustainabledevelopment.org/,,
绿色低碳,碳排放控制,12,40,90,60,96%,0.98,98,0.86,0.34,碳排放评估,气候变化研究院,https://www.climatechange.org/,,
透明度,信息公开程度,22,58,134,80,92%,0.93,95,0.74,0.18,透明度评估,社会责任研究中心,https://www.csrcenter.org/,,
前瞻性管理,政策响应能力,30,72,160,100,91%,0.95,97,0.82,0.21,政策评估模型,国家政策研究院,https://www.nationalpolicyinstitute.org/,,
