品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
光照传感器,敏感元件 + 转换电路 + 信号处理电路,采集层、处理层、控制层,明亮科技,分散式,明亮科技,https://www.lumintech.com,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 微处理器 + 蓝牙模块,感应层、数据处理层、应用层,运动之心,集成式,运动之心,https://www.sportheart.com,2024-09-14,,,,,,,,,,,,
液位传感器,敏感元件 + 转换电路 + 传输模块,监测层、控制层,水利科技,模块式,水利科技,https://www.watertech.com,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 信号调理电路 + 数据接口,环境感知层、数据分析层,气象科技,集成式,气象科技,https://www.weathertech.com,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 数据采集单元,信号采集层、处理层,振动分析,混合式,振动分析,https://www.vibrationanalysis.com,2024-09-14,,,,,,,,,,,,
接近传感器,敏感元件 + 微处理器 + 信号转换模块,感应层、控制层、应用层,接近科技,集成式,接近科技,https://www.proximitytech.com,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 转换电路 + 数据管理系统,感测层、数据层、反馈层,超声科技,模块式,超声科技,https://www.ultrasonictech.com,2024-09-14,,,,,,,,,,,,
声音识别传感器,敏感元件 + 信号处理器 + 数据接口,收集层、处理层、应用层,声音科技,集成式,声音科技,https://www.soundrecogtech.com,2024-09-14,,,,,,,,,,,,
指纹传感器,敏感元件 + 处理电路 + 存储单元,数据采集层、安全层,安全科技,集成式,安全科技,https://www.securitytech.com,2024-09-14,,,,,,,,,,,,
温湿度一体传感器,敏感元件 + 嵌入式处理器 + 通信模块,数据采集层、分析层、输出层,环境监测科技,模块式,环境监测科技,https://www.envirotech.com,2024-09-14,,,,,,,,,,,,
温度-湿度传感器,敏感元件 + 转换元件 + 通信模块,感知层、网络层、应用层,润华科技,模块式,润华科技,https://www.runhuatech.com/,2024-09-14,,,,,,,,,,,,
光强传感器,敏感元件 + 信号调理电路,物理层、信号转换层,OptiSense,集成式,OptiSense,https://www.optisense.com/,2024-09-14,,,,,,,,,,,,
地震传感器,敏感元件 + 微处理器 + 数据分析模块,感知层、处理层、反馈层,静震科技,混合式,静震科技,https://www.jingzhen.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 过滤电路 + 数据传输接口,采集层、监控层,水卓科技,集成式,水卓科技,https://www.shuizhuo.com/,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 数字处理单元,传感层、数据层、应用层,气象仪器有限公司,模块式,气象仪器,https://www.weatherinstruments.com/,2024-09-14,,,,,,,,,,,,
声波传感器,敏感元件 + 信号处理芯片,信号采集层、分析层、输出层,音域科技,集成式,音域科技,https://www.audiozone.com/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 转换电路 + 放大器,物理层、输出层,能量科技,集成式,能量科技,https://www.energytech.com/,2024-09-14,,,,,,,,,,,,
触摸传感器,敏感元件 + 接口电路 + 微处理器,交互层、输出层,智控科技,模块式,智控科技,https://www.smartcontrol.com/,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 转换模块,感知层、信号处理层,高测科技,混合式,高测科技,https://www.highmeasure.com/,2024-09-14,,,,,,,,,,,,
热传感器,敏感元件 + 信号调理电路 + 接口电路,物理层、输出层、应用层,智能家居科技,集成式,智能家居科技,https://www.smart-home-tech.com/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 无线模块,传感层、通信层、应用层,华为技术,集成式,华为官网,https://www.huawei.com/cn/products,2024-09-14,,,,,,,,,,,,
光传感器,光敏元件 + 信号调理电路,物理层、信号处理层、应用层,赛灵思科技,模块化,行业报告,http://www.xilinx.com/support/documentation,2024-09-14,,,,,,,,,,,,
土壤传感器,敏感元件 + 微控制器 + 通信接口,检测层、传输层、分析层,阿里云,混合式,农业科技,https://www.aliyun.com/product/iot,2024-09-14,,,,,,,,,,,,
超声波传感器,超声波敏感元件 + 转换模块,数据采集层、处理层、输出层,大陆半导体,集成式,电子行业,https://www.digikey.com/en/products/category/sensors,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 模拟信号处理单元,传感层、数据层,中科院,模块式,科学研究,http://www.cas.cn/,2024-09-14,,,,,,,,,,,,
烟雾传感器,化学敏感元件 + 数据处理单元,监测层、报警层,新思科技,集成式,安全防护,https://www.nxp.com/products/sensors,2024-09-14,,,,,,,,,,,,
流量传感器,流量敏感元件 + 数据传输电路,采集层、控制层,施耐德电气,模块品,流体控制,https://www.se.com/cn/zh/work/products/energy,2024-09-14,,,,,,,,,,,,
智能视频传感器,视频捕获模块 + AI处理单元,数据采集层、分析层、应用层,海康威视,混合式,监控技术,https://www.hikvision.com/cn/products/,2024-09-14,,,,,,,,,,,,
生理信号传感器,生理敏感元件 + 数据分析模块,检测层、分析层、反馈层,医疗设备公司,集成式,医疗科技,https://www.medtronic.com/cn-zh/index.html,2024-09-14,,,,,,,,,,,,
动作传感器,敏感元件 + 数据通信模块,动作捕获层、控制层,运动科技,模组化,体育科技,https://www.nike.com/,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 数字信号处理器 + 输出接口,感知层、决定层,优力科技,集成式,优力科技,https://www.ultrasonictech.com/,2024-09-14,,,,,,,,,,,,
气泡传感器,敏感元件 + 传输模块 + 处理电路,监测层、控制层,新创动能,模块式,新创动能,https://www.innovatech.com/,2024-09-14,,,,,,,,,,,,
光纤传感器,敏感元件 + 光源 + 接收电路,基础层、数据处理层,光明科技,混合式,光明科技,https://www.lumitech.com/,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 信号调理电路 + 显示模块,检测层、警报层,安全科技有限公司,集成式,安全科技,https://www.safetytech.com/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 数据传输模块 + 电源模块,采集层、输出层,农田智慧解决方案,模块式,农田智慧,https://www.smartagriculture.com/,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 处理器 + 通信模块,数据层、应用层,智能运动设备,集成式,智能运动,https://www.smartmotion.com/,2024-09-14,,,,,,,,,,,,
环境监测传感器,敏感元件 + 信号调理单元 + 远程控制单元,采集层、处理层,环境科研协会,混合式,环境科研,https://www.environmentalresearch.org/,2024-09-14,,,,,,,,,,,,
压力传感器,敏感元件 + 模拟转换器 + 数字接口,硬件层、软件层,亚太传感器公司,集成式,亚太传感器,http://www.apac-sensors.com/,2024-09-14,,,,,,,,,,,,
气候传感器,敏感元件 + 处理单元 + 通信模块,监测层、数据分析层,绿色科技,模块式,绿色科技,https://www.greentech.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 处理器 + 云数据平台,采集层、分析层,水资源管理公司,集成式,水资源管理,https://www.waterresource.com/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 转换元件 + 信号调理电路,采集层、数据处理层、输出层,安信科技,集成式,安信科技,https://www.axintech.com/solutions/,2024-09-14,,,,,,,,,,,,
智能光传感器,敏感元件 + 处理单元 + 通信接口,物理层、应用层,华为技术有限公司,模块式,华为技术有限公司,https://support.huawei.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数字信号处理芯片,监测层、分析层,清水科技,集成式,清水科技,https://www.qingshui.com/products/,2024-09-14,,,,,,,,,,,,
气候传感器,敏感元件 + 无线模块 + 数据处理单元,感知层、网络层,气候智能,混合式,气候智能,https://www.climate-smart.com/index.html,2024-09-14,,,,,,,,,,,,
智能家居运动传感器,敏感元件 + 信号处理电路,感知层、决策层,小米科技,集成式,小米科技,https://www.mi.com/mi/products/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 转换电路 + 通信模块,设备层、控制层,中兴通讯,模块式,中兴通讯,https://www.zte.com.cn/global/homepage,2024-09-14,,,,,,,,,,,,
光检测传感器,敏感元件 + 信号调理电路 + 输出接口,感知层、应用层,恩智浦半导体,集成式,恩智浦半导体,https://www.nxp.com/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 数据处理单元,传感层、分析层,施耐德电气,模块式,施耐德电气,https://www.se.com/cn/zh/,2024-09-14,,,,,,,,,,,,
热流传感器,敏感元件 + 转换元件 + 调节模块,采集层、控制层,博世,集成式,博世,https://www.bosch.com/,2024-09-14,,,,,,,,,,,,
方向传感器,敏感元件 + 信号调理电路 + 算法模块,环境层、算法层,英特尔,混合式,英特尔,https://www.intel.com/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,环境层、数据层、应用层,华为技术,集成式,华为云,https://cloud.huawei.com,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 采集电路 + 数据分析单元,传感层、分析层,西门子,模块式,西门子数字化,https://www.siemens.com/global/en/home.html,2024-09-14,,,,,,,,,,,,
土壤传感器,敏感元件 + 微控制器 + 通信模块,物理层、自动控制层,阿里云,集成式,土壤监测论坛,https://www.soilmonitoringforum.com,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号调理电路 + 处理单元,信号层、处理层、展示层,英特尔,混合式,英特尔开发者,https://software.intel.com,2024-09-14,,,,,,,,,,,,
距离传感器,敏感元件 + 无线模块 + 处理控制电路,探测层、传输层,瑞萨电子,模块式,瑞萨电子博客,https://www.renesas.com/us/en/blog,2024-09-14,,,,,,,,,,,,
图像传感器,光敏元件 + 信号处理电路,采集层、处理层、输出层,佳能公司,集成式,佳能技术,https://www.canon.com/technology,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 数据处理单元,环境层、分析层、输出层,IBM,集成式,IBM气象数据,https://www.ibm.com/weather,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 处理电路 + 通信单元,生理层、数据层、应用层,Fitbit,模块式,Fitbit健康中心,https://www.fitbit.com/global/us/home,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 信号调理模块 + 通信电路,探测层、传输层,霍尼韦尔,集成式,霍尼韦尔科技,https://www.honeywell.com/en-us,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据处理与传输模块,采集层、处理层、输出层,水利部,模块式,水利部网站,http://www.mwr.gov.cn,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 可编程微控制器 + 数字接口,采集层、通信层、应用层,南京智联,模块式,中国智能家居研究中心,https://www.smart-home.cn/,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 信号放大器 + ADC,传感层、处理层、输出层,武汉光电科技,集成式,光电技术网站,http://www.opto-tech.com/,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 无线模块,数据采集层、无线传输层,深圳兴通,混合式,无线技术论坛,https://www.wirelessforum.com/,2024-09-14,,,,,,,,,,,,
触觉传感器,敏感元件 + 信号处理电路 + 接口模块,采集层、分析层,北大创新实验室,集成式,触觉传感技术协会,https://www.haptics.org/,2024-09-14,,,,,,,,,,,,
土壤水分传感器,敏感元件 + 数据处理单元,采集层、上传层、处理层,农业信息化中心,模块式,农业科技网站,https://www.agritech.cn/,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 流量计 + 信号调理电路,物理层、信号处理层,上海流体控制,混合式,流体控制技术网,https://www.fluidcontrol.com/,2024-09-14,,,,,,,,,,,,
光谱传感器,敏感元件 + 光学过滤器 + 信号解析单元,采集层、标准化层,杭州光谱科技,集成式,光谱分析协会,http://www.spectroscopy.com/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 放大器 + A/D 转换器,采集层、处理层,北京电气工程院,集成式,电气工程网,http://www.electricalengineering.com/,2024-09-14,,,,,,,,,,,,
湿度计传感器,敏感元件 + MCU + 输出电路,信息层、处理层,广州气象科技,模块式,中国气象局,http://www.cma.gov.cn/,2024-09-14,,,,,,,,,,,,
二氧化碳传感器,敏感元件 + 气体分析单元 + 显示电路,采集层、数据处理层,西安环保科技,集成式,环境监测协会,http://www.env-monitoring.org/,2024-09-14,,,,,,,,,,,,
光线传感器,敏感元件 + 微控制器 + 信号调理电路,感知层、处理层、云层,新思科技,模块式,新思科技,https://www.sensortek.com,2024-09-14,,,,,,,,,,,,
温度湿度传感器,敏感元件 + 信号处理器 + 中央处理单元,传感层、监控层、报告层,光明智联,集成式,光明智联,https://www.brightlink.com.cn,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据处理电路 + 无线发射模块,设备层、通讯层、反馈层,海洋科技,混合式,海洋科技,https://www.oceantech.com,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 处理单元 + 身份验证模块,探测层、控制层、反馈层,农业前沿,分布式,农业前沿,https://www.agriculturefuture.com,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 转换器 + 输出接口,检测层、处理层、传输层,气象科技,集成式,气象科技,https://www.weather-tech.com,2024-09-14,,,,,,,,,,,,
粒子传感器,敏感元件 + 数据调理单元 + 通信模块,监测层、分析层、控制层,环境保护技术,模块式,环保技术,https://www.envirotech.com,2024-09-14,,,,,,,,,,,,
动作传感器,敏感元件 + 信号处理器 + 反馈回路,感知层、决策层、控制层,智慧家居科技,混合式,智慧家居科技,https://www.smart-home.com,2024-09-14,,,,,,,,,,,,
震动传感器,敏感元件 + 数据处理单元 + 供电模块,检测层、分析层、报警层,安全监控系统,集成式,安全监控,https://www.safeguardsystem.com,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 处理芯片 + 数据传输模块,监测层、分析层、应用层,健身科技,集成式,健身科技,https://www.fitness-tech.com,2024-09-14,,,,,,,,,,,,
噪声传感器,敏感元件 + 数据收集电路 + 无线模块,检测层、处理层、共享层,城市智慧,分布式,城市智慧,https://www.smartcity.com,2024-09-14,,,,,,,,,,,,
温度和湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、处理层、应用层,华为技术,集成式,华为云,https://www.huaweicloud.com/solutions/iot/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 转换元件 + 接口电路,基础层、信号层、应用层,中兴通讯,模块式,中兴通讯,https://www.zte.com.cn/global/solutions/iot,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 转换电路,采集层、分析层、报告层,南京基明科技,混合式,工程新闻,https://www.engnews.com/vibration-sensing,2024-09-14,,,,,,,,,,,,
湿度监测传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、处理层、输出层,瑞萨电子,集成式,瑞萨电子官网,https://www.renesas.com/us/en/solutions/industrial-iot/humidity-sensors.html,2024-09-14,,,,,,,,,,,,
