评价方式（字符型）,评价单位（字符型）,评价日期（字符型）,评价报告编号（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
量子态保持时间,微秒,2022-12-05,COHERENCE-2022-013,国际量子技术会议,http://www.intlquantumtechconf.org,2024-10-21,,,,,,,,,,,,,
漏洞利用率,%,2022-09-22,VULNERABILITY-2022-014,量子信息安全研究,http://www.qsecresearch.org,2024-10-21,,,,,,,,,,,,,
量子密钥分发成功率,%,2023-08-30,QKD-2023-015,量子通信研究所,http://www.qcommunicationinstitute.org,2024-10-21,,,,,,,,,,,,,
量子计算设备能耗,瓦特,2023-09-10,POWER-2023-016,可持续技术杂志,http://www.sustainabletechmag.com,2024-10-21,,,,,,,,,,,,,
量子交换协议效率,个/分钟,2023-09-15,EXCHANGE-2023-017,量子网络科学,http://www.quantumnetworksci.org,2024-10-21,,,,,,,,,,,,,
量子传感器灵敏度,pT,2023-07-01,SENSOR-2023-008,量子科技周刊,https://www.quantumweekly.com,2024-10-21,,,,,,,,,,,,,
量子抗干扰能力,%,2022-09-15,RESIST-2022-009,电子科技日报,http://www.ednchina.com,2024-10-21,,,,,,,,,,,,,
量子纠缠保真度,%,2023-08-22,ENTANGLE-2023-010,清华大学量子信息研究中心,http://www.qic.tsinghua.edu.cn,2024-10-21,,,,,,,,,,,,,
量子密钥分发速率,Mbps,2022-10-10,QKD-2022-011,国家密码管理局,https://www.nsa.gov,2024-10-21,,,,,,,,,,,,,
量子计算机规模,量子比特数,2023-09-05,QC-SIZE-2023-012,Nature 量子科技,https://www.nature.com/nquantum,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2021-11-30,QNET-LATENCY-2021-013,国际量子通信协会,http://www.iqca.org,2024-10-21,,,,,,,,,,,,,
量子耐热性,°C,2023-10-01,HEAT-2023-014,物理评论快报,https://journals.aps.org/prl/,2024-10-21,,,,,,,,,,,,,
量子算法效率,次/秒,2023-06-20,ALGORITHM-2023-015,中国人工智能学会,http://www.china-ai.org,2024-10-21,,,,,,,,,,,,,
量子模拟精度,%,2023-04-12,SIMULATION-2023-016,IEEE 量子科技,https://www.ieee.org,2024-10-21,,,,,,,,,,,,,
量子计算能耗,kW,2023-05-03,POWER-2023-017,中国科学技术新闻,http://www.castnews.com,2024-10-21,,,,,,,,,,,,,
量子纠缠深度,个,2022-01-15,ENTANGLE-2022-001,量子科技前沿,http://www.quantumfrontier.cn,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-03-10,ALGO-2023-002,科学日报,http://www.sciencedaily.com,2024-10-21,,,,,,,,,,,,,
量子噪声容忍度,dB,2023-05-20,NOISE-2023-003,量子信息与计算,http://www.qicjournal.org,2024-10-21,,,,,,,,,,,,,
单量子比特保真度,%,2023-07-01,QUBIT-2023-004,中国物理学会,http://www.cps.org.cn,2024-10-21,,,,,,,,,,,,,
量子通信加密强度,比特,2023-06-25,ENC-2023-005,网络安全技术,http://www.cybersecuritytech.cn,2024-10-21,,,,,,,,,,,,,
量子网络可扩展性,个,2023-08-15,SCALABILITY-2023-006,量子通讯,http://www.quantumcomm.cn,2024-10-21,,,,,,,,,,,,,
量子计算功耗,瓦特,2022-12-30,POWER-2022-007,能源科技,http://www.energytech.cn,2024-10-21,,,,,,,,,,,,,
多量子比特纠错能力,%,2023-09-05,ERROR-2023-008,全球量子论坛,http://www.globalquantumforum.org,2024-10-21,,,,,,,,,,,,,
量子计算机实际运行时间,小时,2023-10-10,RUN-2023-009,科学与技术前沿,http://www.scienceandtechfront.cn,2024-10-21,,,,,,,,,,,,,
量子存储时延,秒,2023-11-12,STORAGEDELAY-2023-010,国际量子研究,http://www.internationalquantumresearch.org,2024-10-21,,,,,,,,,,,,,
