合成生物技术适用范围,合成生物技术类型,生物多样性定义,生物多样性特征,实验活动人员,5P策略,实验活动设施、设备、环境,潜在风险影响程度,风险评估结论,采集来源,来源链接,采集时间,备注,,,,,,,
医疗、农业,基因组编辑,遗传多样性,适应性,生物学家、科研人员,产品、过程、人员、环境、政策,分子生物学实验室、PCR仪,中度影响,需进一步评估,中国科学院,http://www.ibp.cas.cn,2024-09-24,,,,,,,,
环保修复,生物修复,生态系统健康,物种恢复能力,环境科学家、实验室技术员,产品、过程、人员、环境、政策,废水处理站、实验室,轻度影响,风险可控,生态环境部,https://www.mee.gov.cn,2024-09-24,,,,,,,,
生物农业,转基因植物,作物多样性,基因流动,农业科学研究员,产品、过程、人员、环境、政策,温室、基因组分析设备,重度影响,需进一步评估,国际农业研究磋商组织,https://www.cgiar.org,2024-09-24,,,,,,,,
合成生态,合成微生物,微生物多样性,栖息地适应性,微生物学家、技术专家,产品、过程、人员、环境、政策,生物反应器、培养基,中度影响,风险可控,上海交通大学,http://www.sjtu.edu.cn,2024-09-24,,,,,,,,
能源生产,藻类生物燃料,生态系统多样性,可再生资源,能源科学家、研究生,产品、过程、人员、环境、政策,藻类培养设施、发酵罐,轻度影响,风险可控,清华大学,https://www.tsinghua.edu.cn,2024-09-24,,,,,,,,
农业生态,新型生物农药,昆虫多样性,生态平衡,农艺师、生态学家,产品、过程、人员、环境、政策,实验室、田间试验场,重度影响,需进一步评估,云南农业大学,http://www.ynau.edu.cn,2024-09-24,,,,,,,,
公共卫生,疫苗开发,免疫多样性,种群适应性,公共卫生专家、研发人员,产品、过程、人员、环境、政策,疫苗实验室、生物安全设施,中度影响,风险可控,中国疾病预防控制中心,http://www.chinacdc.cn,2024-09-24,,,,,,,,
食品安全,合成肉,农业生产多样性,资源有效利用,食品科学家、营养专家,产品、过程、人员、环境、政策,食品实验室、培养设备,轻度影响,风险可控,浙江大学食品科学与营养工程学院,http://www.zju.edu.cn,2024-09-24,,,,,,,,
合成生态系统,合成微生物群落,生态环境多样性,相互作用网络,生态学家、合成生物学家,产品、过程、人员、环境、政策,生态实验室、生物信息系统,中度影响,需进一步评估,北京师范大学,https://www.bnu.edu.cn,2024-09-24,,,,,,,,
分子农业,基因叠加技术,植物多样性,适应性基因,植物生物学家、博士生,产品、过程、人员、环境、政策,植物工厂、分析仪器,重度影响,需进一步评估,华南农业大学,http://www.scau.edu.cn,2024-09-24,,,,,,,,
生态恢复,生物修复,基因组多样性,物种适应能力,生态学家、技术人员,产品、过程、人员、环境、政策,野外实验站、样品采集工具,中度影响,风险可控,上海交通大学,http://www.sjtu.edu.cn,2024-09-24,,,,,,,,
疫苗研究,合成疫苗,生态系统服务,病原体多样性,流行病学专家、分子生物学家,产品、过程、人员、环境、政策,实验室、PCR仪器,重度影响,需进一步评估,广州中医药大学,http://www.gzucm.edu.cn,2024-09-24,,,,,,,,
有机农业,转基因作物,种群多样性,抗逆境能力,农业科学家、田野调查员,产品、过程、人员、环境、政策,温室、实验田,轻度影响,风险可控,中国农业科学院,http://www.caas.cn,2024-09-24,,,,,,,,
人造食品,细胞培养肉,生态场景多样性,食物链完整性,食品科学家、营养学家,产品、过程、人员、环境、政策,实验室、培养基,中度影响,风险可控,南京农业大学,http://www.njau.edu.cn,2024-09-24,,,,,,,,
海洋生物技术,人工合成藻类,遗传多样性,生态系统稳定性,海洋生物学家、技术工程师,产品、过程、人员、环境、政策,海洋实验平台、水质监测设备,重度影响,需进一步评估,中山大学,http://www.sysu.edu.cn,2024-09-24,,,,,,,,
药物开发,基因药物,群落多样性,物种富饶度,药理学家、分子生物学家,产品、过程、人员、环境、政策,药物研发中心、动物实验室,轻度影响,风险可控,复旦大学,http://www.fudan.edu.cn,2024-09-24,,,,,,,,
环境监测,合成探针,功能性多样性,生态功能,环境科学家、数据分析师,产品、过程、人员、环境、政策,监测站、数据中心,中度影响,风险可控,西安交通大学,http://www.xjtu.edu.cn,2024-09-24,,,,,,,,
人类基因组研究,CRISPR技术,种群遗传多样性,适应性变异,遗传学专家、操作员,产品、过程、人员、环境、政策,基因组实验室、基因编辑设备,重度影响,需进一步评估,北京协和医院,http://www.puhua.com,2024-09-24,,,,,,,,
合成生态,生态系统合成,社区多样性,相互关系复杂性,生态工程师、研究科学家,产品、过程、人员、环境、政策,生态监测场所、实验室,中度影响,风险可控,哈工大,http://www.haust.edu.cn,2024-09-24,,,,,,,,
医疗、修复疗法,基因合成,遗传多样性,基因组完整性,研究科学家、志愿者,产品、过程、人员、环境、政策,基因合成设备、昆虫细胞培养箱,轻度影响,风险可控,上海交通大学,https://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
农业、生态恢复,基因工程作物,生态互作多样性,植物与动物的互作关系,农学专家,产品、过程、人员、环境、政策,温室、土壤分析设备,中度影响,需进一步评估,中国农业大学,https://www.cau.edu.cn/,2024-09-24,,,,,,,,
环境监测,合成微生物,生物体的基因多样性,微生物群落组成,环境学者、技术专家,产品、过程、人员、环境、政策,实验室、气体监控设备,重度影响,风险可控,武汉大学,http://www.whu.edu.cn/,2024-09-24,,,,,,,,
食品工业,合成味道,食物链多样性,食物成分多样性,食品科学家,产品、过程、人员、环境、政策,味道分析设备、食品实验室,轻度影响,风险可控,中山大学,https://www.sysu.edu.cn/,2024-09-24,,,,,,,,
能源转化,合成生物燃料,生物种群多样性,微生物种群多样性,能源工程师、研究助理,产品、过程、人员、环境、政策,生物反应器、气体分析仪,中度影响,风险可控,清华大学,https://www.tsinghua.edu.cn/,2024-09-24,,,,,,,,
水资源管理,合成微生物水处理,水域生物多样性,水生生物种类,水资源博士、实习生,产品、过程、人员、环境、政策,净水器、实验室,轻度影响,风险可控,东南大学,https://www.seu.edu.cn/,2024-09-24,,,,,,,,
生物制药,药物合成,微生物多样性,抗生素生产能力,制药工程师、科学家,产品、过程、人员、环境、政策,发酵罐、实验室设备,重度影响,需进一步评估,复旦大学,https://www.fudan.edu.cn/,2024-09-24,,,,,,,,
合成材料,合成生物材料,合成生物体的多样性,材料特性,材料科学家、工程师,产品、过程、人员、环境、政策,合成材料实验室、成型设备,中度影响,风险可控,南方科技大学,https://www.sustech.edu.cn/,2024-09-24,,,,,,,,
生物监测,合成传感器,环境监测多样性,化学物质检测能力,环境监控专家、技术人员,产品、过程、人员、环境、政策,传感器、采样设备,轻度影响,风险可控,中国科学院生物物理研究所,http://www.ibp.cas.cn/,2024-09-24,,,,,,,,
环境修复,合成微生物,生态系统的恢复能力,对于污染的恢复,环境科学家、技术支持人员,产品、过程、人员、环境、政策,实验室、污染检测仪器,中度影响,风险可控,中国环境科学研究院,https://www.cneri.org.cn,2024-09-24,,,,,,,,
营养农业,转基因作物,农作物的遗传多样性,对气候变化的适应能力,农业生物学家,产品、过程、人员、环境、政策,温室、基因编辑器,重度影响,需进一步评估,中国农业大学,http://www.cau.edu.cn,2024-09-24,,,,,,,,
新药开发,合成生物学药物,微生物多样性,药物生产的微生物菌种,药理学专家,产品、过程、人员、环境、政策,药物开发实验室、培养水槽,中度影响,风险可控,复旦大学药学院,https://pharmacy.fudan.edu.cn,2024-09-24,,,,,,,,
生物监测,智能传感器,生物体的生态关系,系统在生态网络中的功能,数据科学家、生态学者,产品、过程、人员、环境、政策,监测站、传感器设备,轻度影响,风险可控,中国科学院遥感与数字地球研究所,http://www.ias.ac.cn,2024-09-24,,,,,,,,
生物能源生产,合成生物制氢,生物资源的可再生性,生态系统服务功能,能源研究员、环境工程师,产品、过程、人员、环境、政策,实验室、发酵反应器,中度影响,需进一步评估,清华大学环境学院,https://www.env.tsinghua.edu.cn,2024-09-24,,,,,,,,
食品工程,代謝工程,微生物的生态系统多样性,食物链中的生物多样性,食品科学家,产品、过程、人员、环境、政策,食品实验室、培养箱,重度影响,风险需评估,浙江大学食品科学与营养学系,http://www.zju.edu.cn,2024-09-24,,,,,,,,
生物安全,生物防治,有害生物的生态特征,栖息地的可持续性,农学家、生物安全专家,产品、过程、人员、环境、政策,生物实验室、气候控制室,中度影响,风险可控,中国农业科学院,http://www.caas.cn,2024-09-24,,,,,,,,
水体修复,基因工程微生物,水生生物的多样性,对水质监测的影响,水生态学者,产品、过程、人员、环境、政策,水处理设施、水质监测设备,重度影响,需进一步评估,南方科技大学,http://www.sustech.edu.cn,2024-09-24,,,,,,,,
可持续发展,植物合成生物学,植物种群的遗传变异,对生态系统稳定性的重要性,生态学研究员,产品、过程、人员、环境、政策,生态实验室、温室环境,轻度影响,风险可控,湖北大学生物科学学院,http://www.hubu.edu.cn,2024-09-24,,,,,,,,
食品安全,合成生物制造,种群多样性,胚胎发育的复杂性,食品科学家、营养师,产品、过程、人员、环境、政策,实验室、食品分析仪,中度影响,需加强监测,国家食品安全风险评估中心,https://www.nfsra.org.cn/,2024-09-24,,,,,,,,
医药开发,细胞疗法,生态遗传多样性,基因组的多样性,医药研究员、临床医生,产品、过程、人员、环境、政策,细胞培养室、实验室,重度影响,风险高，需立即评估,中科院生物物理研究所,https://www.ibp.cas.cn/,2024-09-24,,,,,,,,
生态恢复,生态工程,基因多样性,物种适应性,生态学家、环境工程师,产品、过程、人员、环境、政策,现场监测设备、分析实验室,轻度影响,风险可控，但需监督,自然资源保护协会,https://www.nrd.org/,2024-09-24,,,,,,,,
生物材料,塑料生物合成,生态系统服务,资源的再生能力,材料科学家、化学工程师,产品、过程、人员、环境、政策,材料测试实验室、生物反应器,中度影响,存在风险，需优化,清华大学材料学院,https://www.mat.tsinghua.edu.cn/,2024-09-24,,,,,,,,
水资源管理,微生物处理,水体多样性,水域生态平衡,水质检验员、环境科学家,产品、过程、人员、环境、政策,水质监测平台、处理设施,重度影响,需进一步评估,环境保护部水与生态环境司,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
疫苗研发,重组蛋白疫苗,致病微生物多样性,病原体的适应性,生物医药研发人员,产品、过程、人员、环境、政策,生物实验室、动物实验室,中度影响,监控必需,中国疫苗研发中心,https://www.chinavaccine.com/,2024-09-24,,,,,,,,
畜牧业,转基因动植物,家畜与野生动物的关系,基因污染风险,畜牧专家、遗传学家,产品、过程、人员、环境、政策,实验室、农田,重度影响,高度关注，需评估,农业农村部,https://www.moa.gov.cn/,2024-09-24,,,,,,,,
生物信息学,大数据分析,生物数据多样性,信息安全和隐私,数据科学家、信息安全专家,产品、过程、人员、环境、政策,计算机实验室、数据存储设备,中度影响,定期审查必需,国家生物信息学中心,https://www.ncbi.nlm.nih.gov/,2024-09-24,,,,,,,,
自然保护区管理,基因筛选,生物种群遗传多样性,生物适应性变异,生态监测人员、生物统计学家,产品、过程、人员、环境、政策,野外监测设备、实验室,轻度影响,风险可控,世界自然保护联盟,https://www.iucn.org/,2024-09-24,,,,,,,,
医疗、环境修复,基因合成,基因多样性,种群适应性,科研人员、医生,产品、过程、人员、环境、政策,实验室、基因合成仪,轻度影响,风险可控,上海交通大学,https://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
农业、草地管理,转基因技术,景观多样性,栖息地破碎化,农学专家、土壤科学家,产品、过程、人员、环境、政策,田野试验、土壤分析设备,中度影响,需进一步评估,中国农业科学院,http://www.caas.cn/,2024-09-24,,,,,,,,
食品工业,微生物发酵,微生物多样性,生态功能,食品工程师、微生物学家,产品、过程、人员、环境、政策,发酵罐、实验室,重度影响,公众关注,华南农业大学,http://www.scau.edu.cn/,2024-09-24,,,,,,,,
药物研发,合成生物技术,物种存续,生态系统耐受性,制药工程师、生态学家,产品、过程、人员、环境、政策,药物研发实验室、生物反应器,中度影响,可以管理,药物研究开发中心,http://www.drugdev.com/,2024-09-24,,,,,,,,
工业生物技术,代谢工程,生态系统服务,物种互补性,生物工程师、环境科学家,产品、过程、人员、环境、政策,工业设施、发酵罐,中度影响,需关注,清华大学,https://www.tsinghua.edu.cn/,2024-09-24,,,,,,,,
生物传感器开发,合成生物学,基因组多样性,生物相互作用,生物传感器专家、数据分析员,产品、过程、人员、环境、政策,标准化实验室、传感器测试设备,轻度影响,风险可控,中科院合成生物学研究所,https://www.synbio.cas.cn/,2024-09-24,,,,,,,,
污染治理,生物修复,生态稳定性,营养级多样性,环境工程师、生态学家,产品、过程、人员、环境、政策,生物修复场、生态恢复区,重度影响,需进一步评估,中国环境科学院,http://www.ieechina.org/,2024-09-24,,,,,,,,
气候变化应对,合成生物碳捕获,种群动态,多样性指标,气候科学家、环境保护专家,产品、过程、人员、环境、政策,气候实验室、模型仿真设备,中度影响,风险可控,生态与气候研究所,http://www.climateinstitute.org/,2024-09-24,,,,,,,,
水资源管理,生物监测,水生生物多样性,物种丰富度,水资源工程师、生态学家,产品、过程、人员、环境、政策,水质监测站、实验室,中度影响,需要关注,水利部,http://www.mwr.gov.cn/,2024-09-24,,,,,,,,
食品加工,合成生物技术,生态系统的多样性,物种相互依存性,食品科学家、化学家,产品、过程、人员、环境、政策,食品实验室、发酵罐,轻度影响,风险可控,中国农业大学,http://www.cau.edu.cn,2024-09-24,,,,,,,,
环境修复,基因工程,功能多样性,生态系统功能,生态学家、研究人员,产品、过程、人员、环境、政策,野外实验基地、水质分析设备,中度影响,需进一步评估,国家环境保护部,http://www.mee.gov.cn,2024-09-24,,,,,,,,
医疗健康,细胞疗法,遗传多样性,基因组变化,生物医学工程师、临床医生,产品、过程、人员、环境、政策,医院、分析仪器、实验室,重度影响,需进一步评估,上海交通大学医学院,http://www.sjtu.edu.cn,2024-09-24,,,,,,,,
智能农业,植物基因编辑,作物多样性,农作物生产力,农业工程师、生态专家,产品、过程、人员、环境、政策,试验田、温室,中度影响,风险可控,江苏省农业科学院,http://www.jsau.edu.cn,2024-09-24,,,,,,,,
合成材料,生物基塑料,生态效益,可生物降解特性,材料科学家、环境工程师,产品、过程、人员、环境、政策,化工实验室、机械设备,轻度影响,风险可控,清华大学材料学院,http://www.tsinghua.edu.cn,2024-09-24,,,,,,,,
能源生产,微生物发酵,生态系统的脆弱性,生物相互作用,生物工程师、能源专家,产品、过程、人员、环境、政策,发酵罐、分离设备,中度影响,需进一步评估,中国科学院过程工程研究所,http://www.ipe.cas.cn,2024-09-24,,,,,,,,
水资源管理,转基因微生物,物种入侵风险,生物群落变动,环境科学家、微生物学家,产品、过程、人员、环境、政策,水质监测实验室、样本分析设备,重度影响,风险可控,华南农业大学,http://www.scau.edu.cn,2024-09-24,,,,,,,,
生物监测,环境DNA技术,生态系统健康,种群动态,生物监测专家、生态评估师,产品、过程、人员、环境、政策,环境实验室、测序仪,轻度影响,风险可控,中科院生物物理研究所,http://www.ibp.cas.cn,2024-09-24,,,,,,,,
生物技术教育,科普活动,公众认知,生物多样性保护意识,教育工作者、学生,产品、过程、人员、环境、政策,教室、实验室,轻度影响,风险可控,教育部生物技术教育中心,http://www.moe.gov.cn,2024-09-24,,,,,,,,
医疗、农业、高校教育,合成基因组,遗传多样性,基因库的丰富性,研究生、博士后,产品、过程、人员、环境、政策,基因库、分析仪,轻度影响,风险可控需监测,中国科学院分子生物学研究所,https://www.im.ac.cn,2024-09-24,,,,,,,,
环境修复,生物降解技术,生态系统的功能,生态位的稳定性,环保机构人员,产品、过程、人员、环境、政策,生物处理设施、采样工具,中度影响,需进一步评估,环境保护部,http://www.mee.gov.cn,2024-09-24,,,,,,,,
食品安全,合成生物技术食品营销,种群多样性,生物间相互作用,食品科学专家,产品、过程、人员、环境、政策,实验室、感官评估室,轻度影响,风险较低,食品药品监督管理局,http://www.nmpa.gov.cn,2024-09-24,,,,,,,,
合成药物开发,蛋白质工程,微生物多样性,群落结构的变异,制药公司研究员,产品、过程、人员、环境、政策,生物反应器、细胞培养室,中度影响,需进行长期监控,制药行业协会,http://www.pharmabio.org,2024-09-24,,,,,,,,
生态农业,生物催化,功能多样性,土壤生物的多样性,农业科学工作者,产品、过程、人员、环境、政策,温室、土壤分析工具,轻度影响,风险可控需评估,农业农村部,http://www.moa.gov.cn,2024-09-24,,,,,,,,
新材料,纳米生物技术,物种相互关系,生境稳定性的影响,纳米技术研究员,产品、过程、人员、环境、政策,纳米测试设备、实验室,重度影响,需严格监督,中科院纳米技术研究所,http://www.nano.cas.cn,2024-09-24,,,,,,,,
肿瘤治疗,细胞治疗,物种间相互作用,特殊细胞的适应性,肿瘤研究中心医生,产品、过程、人员、环境、政策,生物安全实验室、临床试验中心,轻度影响,风险可控,肿瘤医院研究中心,http://www.cancer.gov.cn,2024-09-24,,,,,,,,
生物防治,基因驱动技术,遗传多样性的保护,长期生存能力,生态保护员,产品、过程、人员、环境、政策,生态实验室、监测装置,轻度影响,需评估长效影响,生态环境部,http://www.mee.gov.cn,2024-09-24,,,,,,,,
生物信息学,数据分析与建模,整体生态多样性,生态网络的连通性,生物信息学专家,产品、过程、人员、环境、政策,数据中心、高性能计算机,轻度影响,风险较低,高校生物信息学协会,http://www.bioinformatics.org,2024-09-24,,,,,,,,
气候变化研究,合成生态系统,多样性指数,气候适应性的评估,气候科学家,产品、过程、人员、环境、政策,气候模拟室、实验室,中度影响,需长期监控,国家气候中心,http://www.ncc.ncc,2024-09-24,,,,,,,,
生物医学,细胞治疗,物种多样性,基因组结构的多样性,医务工作者、科研人员,产品、过程、人员、环境、政策,实验室、冷冻储存设备,中度影响,风险可控,浙江大学生物医学研究所,https://www.zju.edu.cn,2024-09-24,,,,,,,,
生态修复,植物改良,生态系统的多样性,生物栖息地的多样性,环境科学家、农艺师,产品、过程、人员、环境、政策,植物温室、分子生物学实验室,轻度影响,风险可控,中国科学院生态环境研究中心,https://www.ihes.cas.cn,2024-09-24,,,,,,,,
药物合成,合成生物学,物种多样性,控制药物资源的多样性,药物研发人员、化学家,产品、过程、人员、环境、政策,化学实验室、高通量筛选设备,重度影响,需进一步评估,复旦大学药学院,https://www.fudan.edu.cn,2024-09-24,,,,,,,,
农业,基因组编辑,作物多样性,高产作物与传统品种的对比,植物生物学家、农民,产品、过程、人员、环境、政策,试验田、气候控制室,中度影响,风险可控,华南农业大学,https://www.scau.edu.cn,2024-09-24,,,,,,,,
食品科学,发酵技术,微生物多样性,发酵菌种的多样性,食品科学家、微生物学家,产品、过程、人员、环境、政策,发酵罐、实验室,轻度影响,风险可控,南京农业大学,https://www.njau.edu.cn,2024-09-24,,,,,,,,
环境监测,生物指示剂,生态指标,水体及土壤生物的多样性,环境监测员、生态学家,产品、过程、人员、环境、政策,监测站、实验室,重度影响,需进一步评估,武汉大学环境科学研究中心,https://www.whu.edu.cn,2024-09-24,,,,,,,,
天然药物开发,代谢工程,生物分子多样性,天然产物结构的多样性,研究团队、制药工程师,产品、过程、人员、环境、政策,化学合成实验室、生物分析仪器,中度影响,风险可控,上海交通大学,https://www.sjtu.edu.cn,2024-09-24,,,,,,,,
气候变化应对,碳捕集技术,功能多样性,生物碳库的稳定性,气候科学家、环保专家,产品、过程、人员、环境、政策,研究所、城市生态实验室,轻度影响,风险可控,中国气候变化研究中心,https://www.cma.gov.cn,2024-09-24,,,,,,,,
合成生物肥料,微生物修复,土壤生物多样性,微生物群落的多样性,农业科学家、微生物学家,产品、过程、人员、环境、政策,实验室、田野试验,中度影响,风险可控,重庆大学农业与生物学院,https://www.cq.edu.cn,2024-09-24,,,,,,,,
水产养殖,基因改良,物种多样性,水体生态平衡,海洋生物学家、高级技术人员,产品、过程、人员、环境、政策,水族箱、基因筛选设备,中度影响,需进一步评估,国家海洋局,https://www.soa.gov.cn/,2024-09-24,,,,,,,,
植物改良,基因组编辑,物种多样性,农作物的遗传多样性,农业科学研究员,产品、过程、人员、环境、政策,温室、基因编辑机,轻度影响,风险可控,中国农业科学院,http://caas.cn/,2024-09-24,,,,,,,,
环境修复,合成微生物,生态系统的多样性,土壤生物组成,环境科学家、技术支持,产品、过程、人员、环境、政策,实验室、土壤样品分析设备,重度影响,风险需严密监控,广州环境保护技术研究中心,https://www.gdepb.gov.cn/,2024-09-24,,,,,,,,
新型疫苗开发,病毒载体,基因多样性,疫苗对群体免疫的影响,免疫学研究者,产品、过程、人员、环境、政策,生物实验室、生化分析仪,中度影响,风险可控,上海公共卫生临床中心,http://www.sphcc.cn/,2024-09-24,,,,,,,,
生物材料,生物聚合物合成,生态系统服务,生物降解能力,材料科学家、生物工程师,产品、过程、人员、环境、政策,材料实验室、分析仪器,轻度影响,风险可控,浙江大学材料科学与工程学系,http://www.zju.edu.cn/,2024-09-24,,,,,,,,
合成生态系统,模拟生态圈,生态系统功能多样性,生态相互作用,生态学研究员、实验技术员,产品、过程、人员、环境、政策,生态实验室、监测设备,重度影响,需进一步评估,中国科学院生态环境研究中心,http://www.iei.cas.cn/,2024-09-24,,,,,,,,
替代蛋白生产,微生物发酵,食物链多样性,生物营养的丰富性,营养学专家、生物技术研发人员,产品、过程、人员、环境、政策,发酵罐、质谱仪,中度影响,风险可控,中科院微生物研究所,http://www.im.ac.cn/,2024-09-24,,,,,,,,
合成组织工程,组织再生,细胞多样性,组织构成,生物医学工程师,产品、过程、人员、环境、政策,组织实验室、成像设备,轻度影响,风险可控,南京医科大学器官工程研究中心,http://www.njmu.edu.cn/,2024-09-24,,,,,,,,
合成毒素消减,工程微生物,毒素在生态中的影响,生态清理效率,环境生物学家、毒理学专家,产品、过程、人员、环境、政策,实验室、分析设备,重度影响,需严格监控,复旦大学环境科学系,http://www.fudan.edu.cn/,2024-09-24,,,,,,,,
环境修复,植物改良,生态功能多样性,物种间相互依赖性,环境科学家、植物生物学家,产品、过程、人员、环境、政策,实验室、温室、环境监测设备,低度影响,风险可控,浙江大学,https://www.zju.edu.cn,2024-09-24,,,,,,,,
生物医学,细胞治疗,基因多样性,遗传特征变化,医学研究员、技术助理,产品、过程、人员、环境、政策,细胞培养室、分析仪器,适度影响,需进一步评估,清华大学,https://www.tsinghua.edu.cn,2024-09-24,,,,,,,,
农业,转基因作物,群落多样性,生态位的分化,农业科学家、农民,产品、过程、人员、环境、政策,田野、实验室、基因测序设备,适度影响,风险可控,中国农业大学,https://www.cau.edu.cn,2024-09-24,,,,,,,,
微生物应用,合成微生物,生态系统服务功能,微生物群落结构,微生物学家、实验室助理,产品、过程、人员、环境、政策,实验室、生物反应器,适度影响,需进一步评估,国家海洋局,http://www.soa.gov.cn,2024-09-24,,,,,,,,
环保技术,合成生物材料,土壤生物多样性,生物相互作用,化学工程师、生态学家,产品、过程、人员、环境、政策,实验室、化学品处理设施,中度影响,风险可控,上海交通大学,https://www.sjtu.edu.cn,2024-09-24,,,,,,,,
合成疫苗,转基因技术,感染病原体多样性,多种病原体的适应能力,疫苗研究员、公共卫生专家,产品、过程、人员、环境、政策,生物实验室、疫苗分析中心,高度影响,需进一步评估,中国疾病预防控制中心,http://www.chinacdc.cn,2024-09-24,,,,,,,,
细胞工程,人造生物体,影響物种生存的基因因素,基因组编辑的可预测性,合成生物学家、分析科学家,产品、过程、人员、环境、政策,基因编辑实验室、高通量筛选设备,中度影响,风险可控,中科院分子细胞生物学研究所,https://www.imcb.ac.cn,2024-09-24,,,,,,,,
转基因动物,基因修饰,家禽多样性,遗传适应性,动物科学家、繁育专家,产品、过程、人员、环境、政策,动物实验室、饲养设施,中度影响,需进一步评估,南京农业大学,https://www.njau.edu.cn,2024-09-24,,,,,,,,
合成食物,实验室培育,食品链的多样性,营养成分的多样化,食品科学家、营养师,产品、过程、人员、环境、政策,食品安全实验室、感官评估室,适度影响,风险可控,中国食品科技研究院,http://www.cfsa.org.cn,2024-09-24,,,,,,,,
合成生物技术教育,公众意识提升,生物安全知识的普及,公众参与度,教育工作者、志愿者,产品、过程、人员、环境、政策,教育中心、讲习室,轻度影响,风险可控,北京师范大学,https://www.bnu.edu.cn,2024-09-24,,,,,,,,
医疗、环境治理,基因合成,生态系统的多样性,物种相互依存性,生物信息学专家、实验室技术员,产品、过程、人员、环境、政策,生物样品库、PCR仪,轻度影响,风险可控,上海交通大学,https://www.sjtu.edu.cn,2024-09-24,,,,,,,,
农业生物技术,CRISPR技术,遗传多样性,农作物的遗传稳定性,农业科学家、研究生,产品、过程、人员、环境、政策,实验室、田野试验场,中度影响,需进一步评估,中国农业大学,https://www.cau.edu.cn,2024-09-24,,,,,,,,
环境修复,合成微生物,生态功能多样性,生态系统恢复能力,环境科学家、工程师,产品、过程、人员、环境、政策,湿地修复场、分析仪器,重度影响,风险需监控,中山大学,https://www.sysu.edu.cn,2024-09-24,,,,,,,,
新药研发,蛋白质工程,基因组多样性,新兴病原体的变异,药物化学家、分析师,产品、过程、人员、环境、政策,药物开发实验室、色谱仪,中度影响,风险可控,复旦大学,https://www.fudan.edu.cn,2024-09-24,,,,,,,,
生物农业,表型分析,生态位多样性,物种适应性变化,农业生态学家、数据分析师,产品、过程、人员、环境、政策,温室、传感器,轻度影响,风险可控,南京农业大学,https://www.njau.edu.cn,2024-09-24,,,,,,,,
水域生态修复,基因驱动,群落多样性,水生生物群落的多样性,水生态学家、科研助理,产品、过程、人员、环境、政策,水质监测仪、实验室,中度影响,需进一步评估,中国科学院水生生物研究所,http://www.ihe.ac.cn,2024-09-24,,,,,,,,
食品技术,合成酵母,微生物多样性,发酵工艺中的微生物多样性,食品科学家、生产技术人员,产品、过程、人员、环境、政策,发酵实验室、分析设备,轻度影响,风险可控,华南农业大学,http://www.scau.edu.cn,2024-09-24,,,,,,,,
生物监测,基因追踪,种群多样性,遗传多样性在种群中的表现,生物监测专家、研究生,产品、过程、人员、环境、政策,基因组测序仪、实验室,中度影响,需进一步评估,浙江大学,https://www.zju.edu.cn,2024-09-24,,,,,,,,
合成生态,人工生态系统,生态互作多样性,生态系统的相互依赖性,生态学家、项目管理者,产品、过程、人员、环境、政策,生态实验室、计算机模拟,重度影响,风险需监控,东北师范大学,https://www.nenu.edu.cn,2024-09-24,,,,,,,,
药物开发、农业生物技术,合成基因组学,基因多样性,遗传物质的变异性,生物学家、药剂师,产品、过程、人员、环境、政策,核酸合成仪、基因编辑仪器,中度影响,风险可控,中山大学,https://www.sysu.edu.cn/,2024-09-24,,,,,,,,
环境修复,合成微生物,生态系统服务,功能多样性,环保科研人员、工程师,产品、过程、人员、环境、政策,污水处理设施、基因检测实验室,轻度影响,可接受的风险,国家环保局,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
食物安全,转基因食品,生态位多样性,种群的适应性,食品科学家、农业技术员,产品、过程、人员、环境、政策,实验室、分析仪器,重度影响,需进一步评估,农业部,http://www.moa.gov.cn/,2024-09-24,,,,,,,,
合成食品,细胞工厂,物种丰富度,生物种群数量,食品工程师、研究员,产品、过程、人员、环境、政策,发酵设备、冷藏室,轻度影响,风险可控,华南理工大学,http://www.scut.edu.cn/,2024-09-24,,,,,,,,
疫苗开发,DNA疫苗,基因组多样性,抗性基因的多样性,免疫学家、临床研究员,产品、过程、人员、环境、政策,临床实验室、动物实验设施,中度影响,需要监控,复旦大学,http://www.fudan.edu.cn/,2024-09-24,,,,,,,,
海洋生物技术,水生物合成,群落结构,海洋生物的相互关系,海洋生物学家、生态学家,产品、过程、人员、环境、政策,海洋研究实验室、潜水设备,重度影响,需根据情况调整,中国海洋大学,http://www.ouc.edu.cn/,2024-09-24,,,,,,,,
人造肉开发,组织工程,另类食品多样性,生不繁殖，又能维持种群,产品开发专家、营养师,产品、过程、人员、环境、政策,细胞培养实验室、成型设备,中度影响,监控适宜,农业农村部研究中心,http://www.moa.gov.cn/,2024-09-24,,,,,,,,
公共健康,生物传感器,生态平衡,物种间相互影响,公共卫生专家、生物工程师,产品、过程、人员、环境、政策,生物检测实验室、数据分析平台,重度影响,急需管理策略,国家公共卫生研究院,http://www.nhc.gov.cn/,2024-09-24,,,,,,,,
环境监测,合成生物传感器,活性物种多样性,适应性强的生物,生态保护人员、环境监测员,产品、过程、人员、环境、政策,遥感设备、环境分析实验室,轻度影响,风险可控,华东师范大学,http://www.ecnu.edu.cn/,2024-09-24,,,,,,,,
