合成生物技术名称,合成生物技术类型,作用类型,适应群体,实施方式,全球最高研究状态,技术目标,技术内容,重点发展领域,合作结构,所属产业类别,其他研发单位,合成生物技术概述,采集来源,来源链接,采集时间,备注,,,
生物材料开发,新材料技术,材料替代,制造业、医药,实验室研究,发展中,创造可降解材料,通过合成生物学开发可再生的生物基材料,可持续产品,企业合作开发,新材料产业,苏黎世联邦理工学院,生物材料的开发为城市和工业带来新机遇，致力于可持续发展。,国际可持续发展协会,https://www.sustainabledevelopment.un.org/,2024-09-22,,,,
合成氨生产,微生物制造,资源回收,农业、化工,工业化应用,持续进展,提高可再生氨的生产,利用工程化微生物将废物转化为氨,绿色化学,企业与研究机构联合,化工产业,北京化工大学,合成氨生产技术可以通过微生物过程帮助实现氨的可再生生产。,中国化工信息中心,https://www.ccia.org.cn/,2024-09-22,,,,
细胞重编程技术,细胞工程,细胞再生,医疗、组织工程,临床试验,发展中,恢复组织功能,通过基因导入实现细胞重编程,再生医学,跨国科研合作,生物医学产业,斯坦福大学,细胞重编程技术为再生医学提供新思路，通过重塑细胞功能修复组织。,国际细胞再生研究会,https://www.cell.com/,2024-09-22,,,,
合成基因驱动,基因编辑,基因传播,生态保护,野外实验,前沿,减少病媒生物种群,合成基因驱动技术用于控制生物种群,生态系统管理,政府院校合作,环境技术,加州大学伯克利分校,合成基因驱动技术用于提升种群控制效率，为生态保护提供新选择。,生态保护国际论坛,https://www.esa.org/,2024-09-22,,,,
生物传感器技术,生物检测,环境监测,环境科学、公共健康,现场监测,成熟,实时监测污染物,利用合成生物学原理开发生物传感器,环境保护,产业合作、科研支持,环境产业,清华大学,生物传感器技术为环境监测提供新手段，实时捕捉污染数据。,中国环境保护部,http://www.cjc.org.cn/,2024-09-22,,,,
合成疫苗技术,疫苗开发,疾病预防,公共卫生,大规模生产,领先,快速响应疾病爆发,利用合成生物学原理设计新型疫苗,公共健康,政府与生物制药公司合作,制药产业,辉瑞制药,合成疫苗技术在传染病迅速响应和预防中表现出极大潜力。,全球疫苗免疫联盟,https://www.gavi.org/,2024-09-22,,,,
合成食品技术,食品生物技术,食品生产,消费者、食品工业,商业化生产,快速发展,替代传统食品成分,利用微生物合成食品成分,可持续食品生产,企业合作、研发支持,食品产业,Impossible Foods,合成食品技术在提升食品可持续性与营养价值方面发挥重要作用。,全球食品科技会议,https://www.foodtechconnect.com/,2024-09-22,,,,
合成生物材料,材料科学,材料替代,工业、汽车,材料开发,前沿,环保替代材料,合成生物材料用于减少传统材料使用,可再生资源,学术研究与产业合作,材料产业,麻省理工学院,合成生物材料提供了经济与环保的新解决方案，推动了材料科学的进步。,国际可再生材料协会,https://www.bioplasticsnews.com/,2024-09-22,,,,
光合细菌合成技术,微生物技术,能量转换,能源行业,实验室开发,快速发展,高效能源生产,利用光合细菌进行能量捕获与转化,可再生能源,跨国研究合作,能源产业,华南理工大学,光合细菌合成技术正在为可再生能源领域带来新的突破。,中国可再生能源学会,https://www.creia.org.cn/,2024-09-22,,,,
生物监测系统,数据分析,健康监测,医院、研究机构,数据网络集成,成熟,提升公共健康监测能力,基于合成生物学的监测系统分析生物信号,公共卫生,科研单位与企业合作,健康技术产业,麻省理工学院生物工程系,生物监测系统能够实时监控公共健康数据，改善疾病预防与管理。,公共卫生国际协作平台,https://www.who.int/,2024-09-22,,,,
生物医药合成技术,药物开发,药物合成,制药公司,商业化生产,持续进展,高效合成生物药物,利用细胞工厂合成药物,生物制药,行业企业联盟,生物技术产业,诺华研究所,生物医药合成技术推进了新药研发，提升了药物生产效率。,国际生物制药协会,https://www.iatrogenics.com/,2024-09-22,,,,
生物塑料合成技术,材料合成,新材料开发,包装、工业,工业化生产,发展中,生产可降解塑料,利用微生物合成可生物降解的聚合物,可持续材料,企业主导、公众合作,材料行业,德克萨斯大学,生物塑料合成技术致力于减少塑料污染，提供可持续替代品。,国家环保局,https://www.epa.gov/,2024-09-22,,,,
植物合成生物技术,植物工程,增强植物特性,农业、食品,实验室研究,前沿,提高作物抗逆性,通过基因改造提高农作物的抗病虫能力,现代农业,国际科研合作,农业,国际农作物研究所,植物合成生物技术旨在通过改良作物提高食物安全和环境适应性。,FAO,https://www.fao.org/,2024-09-22,,,,
合成疫苗研发,疫苗技术,免疫增强,公共卫生,临床研究,领先,快速生产疫苗,利用合成生物学技术快速开发针对新病原体的疫苗,公共卫生,政府机构、学术联盟,生物医疗,洛克菲勒大学,合成疫苗研发利用高通量技术加速疫苗开发流程，增强免疫防护。,世界卫生组织,https://www.who.int/,2024-09-22,,,,
合成生物探测器,生物传感器,环境监测,环境科学,实验室测试,发展中,实时监测环境变化,利用合成生物学技术开发敏感性生物探测器,环境保护,科研单位与非政府组织,环境科技,斯坦福大学,合成生物探测器通过实时监测污染物，保护生态环境。,国家环境监测中心,https://www.cnemc.cn/,2024-09-22,,,,
微生物修复技术,环境修复,污染治理,环保行业,现场应用,成熟,治理土壤污染,通过特定微生物去除土壤中的有害污染物,环保技术,企业主导、政府法规,环保产业,清华大学,微生物修复技术通过天然微生物修复受污染的土壤，实现环境恢复。,环保部,https://www.mee.gov.cn/,2024-09-22,,,,
合成生物催化剂,工业催化,化学合成,制药、化工,工业应用,不断进步,提高催化效率,利用工程化酶催化复杂的化学反应,绿色化学,企业、学术研究合作,化工产业,爱丁堡大学,合成生物催化剂通过优化酶活性，提高化学合成过程的可持续性。,化工新材料研究院,https://www.chem.org/,2024-09-22,,,,
合成基因组学,基因组工程,基因组设计,学术研究、制药,实验室研究,前沿,完整基因组的合成与改造,构建完整的合成基因组以功能分析,基础科学,国际合作研究,生物技术产业,加州大学伯克利分校,合成基因组学推动对生命基本单元理解的进展，具有重要的科学意义。,美国国立卫生研究院,https://www.nih.gov/,2024-09-22,,,,
合成生物计算,计算生物学,数据分析与模拟,医学、环境,计算机模拟,发展中,数据驱动的生物研究,运用计算工具分析合成生物数据,大数据、生物科技,高校与科技公司合作,信息技术,普林斯顿大学,合成生物计算通过数据分析推动合成生物学的发展。,ACM数字图书馆,https://dl.acm.org/,2024-09-22,,,,
生物催化转化技术,催化剂工程,能源转化,能源、化工,工业化应用,成熟,提高能源转化效率,利用生物催化剂转化生物质为能源,可再生能源,企业合作、科研支持,能源产业,麻省理工学院,生物催化转化技术为可再生能源的开发带来新机遇，助力能源可持续发展。,国际能源署,https://www.iea.org/,2024-09-22,,,,
基于植物的合成生物技术,植物工程,抗病性增强,农业,田间试验,发展中,提高作物抗病性,利用合成生物技术提高植物对疾病的抵抗力,农业,企业和科研机构联合,生物技术产业,加州大学伯克利分校,基于植物的合成生物技术有助于开发抗病作物，提高粮食安全。,全球农业科技倡议,https://www.cgiar.org/,2024-09-22,,,,
转基因微藻,微藻工程,生物燃料生产,能源,实验室研究,前沿,高效生产生物燃料,基因工程微藻以提高油脂产量,可再生能源,国际研究网络,能源产业,麻省理工学院,转基因微藻通过提高脂质产量来生产生物燃料，推动绿色能源发展。,国际生物能源协会,https://www.biofuelsdigest.com/,2024-09-22,,,,
合成生物合成抗生素,合成生物学,抗生素开发,制药,中试研究,不断创新,开发新型抗生素,利用合成生物方法合成新的抗生素分子,制药,企业与高校合作,生物制药,斯克里普斯研究所,合成生物合成抗生素为抗药性带来了新的解决方案，旨在应对全球抗生素危机。,全球卫生组织,https://www.who.int/,2024-09-22,,,,
生物塑料合成,材料科学,可降解材料生产,环境保护,工业化生产,成熟,减少塑料污染,利用改造微生物生产可降解塑料,环保,政府与科技公司协作,材料产业,东京大学,生物塑料合成可以有效降低传统塑料对环境的影响，推动可持续发展。,国际塑料协会,https://www.plasticseurope.org/,2024-09-22,,,,
合成上皮细胞,细胞工程,组织修复,医疗,临床试验,前沿,促进组织再生,通过合成生物技术生成用于皮肤修复的上皮细胞,再生医学,国际联合研究,生物医学,约翰霍普金斯大学,合成上皮细胞有助于治疗各种皮肤损伤，提高伤口愈合速度。,医学前沿杂志,https://www.frontiersin.org/journals/medicine,2024-09-22,,,,
纳米生物传感器,纳米技术,检测及监测,环境监测,实验室开发,发展中,实时监测污染物,开发基于合成生物的纳米传感器进行环境监控,环境保护,科研机构与政府支持,环境科技,苏黎世联邦理工学院,纳米生物传感器能够快速准确地监测环境污染，为环境治理提供支持。,环境科学与技术杂志,https://pubs.acs.org/journal/esthag,2024-09-22,,,,
合成人工免疫细胞,免疫治疗,肿瘤治疗,医疗,临床试验,前沿,增强免疫反应,合成针对肿瘤细胞的特异性免疫细胞,肿瘤学,跨国公司与生物科技公司合作,生物科技产业,巴斯德研究所,合成人工免疫细胞提高人体对癌症的抗击能力，展现出优越的治疗潜力。,癌症研究协会,https://www.cancer.org/,2024-09-22,,,,
基因组改造技术,基因编辑,基因改造,农业、生物技术,实验室研究,领先,优化生物特性,应用技术对植物和动物基因组进行精准改造,农业和畜牧业,学术机构与企业合作,生物技术产业,威斯康星大学,基因组改造技术可使动植物获得更好的品质和产量，有助于满足日益增长的食品需求。,联合国粮农组织,https://www.fao.org/,2024-09-22,,,,
合成粘合剂,生物材料,环保粘合剂,工业,工业化生产,成熟,减少化学品使用,利用生物合成途径生产可生物降解的粘合剂,环保材料,私营企业和大学合作,材料产业,丹麦技术大学,合成粘合剂为工业应用提供了环保选择，减少了传统化学粘合剂带来的环境影响。,环境友好材料杂志,https://www.sciencedirect.com/journal/environmentally-friendly-materials,2024-09-22,,,,
