受理号（数字型）,区块链技术名称（字符型）,区块链技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,区块链技术类型（字符型）,注册版本（字符型）,区块链特征（字符型）,采集来源,来源链接,采集时间,备注
沪网信备31010198765432100018号,Cardano,公有区块链,性能测试,公有区块链,2023-08-05,广州制药集团,武汉药业集团有限公司,已完成,2023-08-20,合格,IOHK,分层架构,20230107,供应链,资产追踪,公有区块链,V2.0,高安全性、可升级性,国家标准化管理委员会,https://www.gb688.cn/bzgk/gb/index,2024-09-28,
川网信备51010413579246890019号,Avalanche,公有区块链,安全审计,公有区块链,2023-09-10,成都中药产业发展有限公司,武汉新兴药品有限公司,正在办理,2023-09-15,待审查,Avalanche Labs,快速共识机制,20230108,证券,去中心化交易所,公有区块链,V1.2,高速、灵活,中国电子技术标准化研究院,http://www.caict.ac.cn/kxyj/,2024-09-28,
苏网信备32010324681357920020号,Ripple,企业级区块链,功能测试,企业级区块链,2023-10-01,南京生物医药技术有限公司,武汉现代制药股份有限公司,已完成,2023-10-10,合格,Ripple Labs,支付解决方案,20230109,互联网支付,跨境支付,企业级区块链,V1.0,低成本、高速度,金融时报,https://www.ft.com/,2024-09-28,
湘网信备43010454678912300021号,EOS,公有区块链,性能测试,公有区块链,2023-10-15,武汉健康科技股份有限公司,武汉生物制药有限公司,正在办理,2023-11-01,待审查,Block.one,高性能区块链,20230110,物联网,智能合约,公有区块链,V1.0,高效能、可扩展性,区块链日报,https://www.blockchainjournal.com/,2024-09-28,
黔网信备52010298765431200022号,Tezos,自我修正区块链,系统审计,自我修正区块链,2023-11-15,浙江医药有限公司,武汉生物制药股份有限公司,已完成,2023-12-01,合格,Tezos Foundation,自我治理,20230111,供应链,产品追踪,自我修正区块链,V1.0,安全、高效,中国电子技术标准化研究院,http://www.caict.ac.cn/,2024-09-28,
豫网信备41010512345678900023号,Tron,公有区块链,功能测试,公有区块链,2023-12-05,福建药品进出口公司,武汉生物制品研究所,正在办理,2023-12-10,待审查,Tron Foundation,去中心化平台,20230112,传媒,数字内容分发,公有区块链,V1.0,高吞吐量、低延迟,新金融观察,https://www.newfinancialobserver.com/,2024-09-28,
闽网信备35010324681357920024号,Chainlink,公有区块链,应用开发,公有区块链,2023-06-12,天津市新药研发中心,武汉生物制品研究所,正在办理,2023-06-15,待审查,Chainlink Labs,去中心化预言机网络,20230106,物联网,智能合约安全,公有区块链,V1.0,安全、可靠性,CoinDesk,https://www.coindesk.com,2024-09-28,
皖网信备34020223603146870025号,Ripple,企业级区块链,交易解决方案,企业级区块链,2023-06-22,药品科技有限公司,武汉健康科技股份有限公司,已完成,2023-06-29,合格,Ripple Labs,跨境支付平台,20230107,金融,跨境交易服务,企业级区块链,V1.0,高效、低费用,金融时报,https://www.ft.com,2024-09-28,
京网信备11010523289175130027号,Polygon,公有区块链,性能优化,公有区块链,2023-07-05,先锋医药集团,武汉光明药业有限公司,正在办理,2023-07-10,待审查,Polygon Technology,侧链技术,20230108,网络游戏,游戏资产交易,公有区块链,V1.0,高扩展性、低延迟,区块链新闻网,https://www.blockchainnews.com,2024-09-28,
闽网信备35020223603146870034号,Cardano,公有区块链,智能合约,公有区块链,2023-07-15,创新药物开发公司,武汉东风药业有限公司,已经审核,2023-07-20,合格,IOHK,多层架构,20230109,教育,学分验证,公有区块链,V1.0,可持续性、安全性,Education Blockchain Alliance,https://www.edubi.org,2024-09-28,
粤网信备44010623289175130045号,Avalanche,公有区块链,新兴应用,公有区块链,2023-08-01,健康护航制药有限公司,未来医疗科技有限公司,正在办理,2023-08-05,待审查,Avalanche Labs,多链架构,20230110,金融,资产管理,公有区块链,V1.0,高效率、低成本,CoinTelegraph,https://cointelegraph.com,2024-09-28,
川网信备51030223603146870056号,Algorand,公有区块链,金融服务,公有区块链,2023-08-12,恒星生物科技股份有限公司,未来药物有限公司,已完成,2023-08-19,合格,Algorand Foundation,区块链协议,20230111,金融,数字资产服务,公有区块链,V1.0,快速交易、低费用,国际金融组织,https://www.imf.org,2024-09-28,
浙网信备33010623289175130067号,Zilliqa,公有区块链,可扩展性测试,公有区块链,2023-08-25,康宁医药研发中心,同仁堂科技股份有限公司,正在办理,2023-08-30,待审查,Zilliqa Research,分片技术,20230112,网络安全,数据保护,公有区块链,V1.0,高吞吐量、低延迟,网络安全报告,https://www.csoonline.com,2024-09-28,
苏网信备32011423289175130078号,Tezos,自我修正区块链,系统审计,自我修正区块链,2023-09-03,未来药物有限公司,天仁药品研发中心,已完成,2023-09-10,合格,Tezos Foundation,自我修正,20230113,金融,金融服务,自我修正区块链,V1.0,自我治理、安全性,科技创新网,https://www.techinnovation.com,2024-09-28,
湘网信备43010623603146870089号,Avalanche,公有区块链,性能测试,公有区块链,2023-06-05,诚实制药集团,天津中药现代有限公司,正在办理,2023-06-10,待审查,Avalanche Labs,分布式平台,20230106,供应链,货物追踪,公有区块链,V1.0,高吞吐量、低延迟,中国信息通信研究院,http://www.caict.ac.cn/,2024-09-28,
陕网信备61010223603146870100号,Cardano,公有区块链,功能测试,公有区块链,2023-07-15,鼎峰生物药品有限公司,天津中新药业集团有限公司,已完成,2023-07-20,合格,IOHK,多重签名系统,20230107,智能合约,合约执行,公有区块链,V1.0,可扩展性、安全性,国信集团,https://www.guosen.com/,2024-09-28,
黑网信备23010823289175130011号,Polkadot,跨链区块链,安全审计,跨链区块链,2023-08-01,泰和医药科技有限公司,天津长春生物制品有限公司,正在办理,2023-08-05,待审查,Web3 Foundation,链间互操作,20230108,物联网,设备连接,跨链区块链,V1.0,多链架构、互操作性,区块链协会,https://www.blockchain.org.cn/,2024-09-28,
皖网信备34020223603146870015号,Tezos,自我修正区块链,系统审计,自我修正区块链,2023-08-20,北京医药科技有限公司,天津药研生物科技有限公司,已完成,2023-09-01,合格,Tezos Foundation,自我治理,20230109,金融,数字资产管理,自我修正区块链,V1.1,安全性、可编程性,中央财经大学,https://www.cufe.edu.cn/,2024-09-28,
京网信备11010523289175130016号,Zilliqa,公有区块链,性能测试,公有区块链,2023-09-10,上海药品研发中心,天津药物研究开发中心,正在办理,2023-09-15,待审查,Zilliqa Research,智能合约平台,20230110,金融,支付解决方案,公有区块链,V1.0,高安全性、高效率,国际经济论坛,https://www.weforum.org/,2024-09-28,
粤网信备44010447302134560017号,Hedera Hashgraph,公有区块链,性能测试,公有区块链,2023-09-20,广州生物制药股份有限公司,天津药品研发有限公司,已完成,2023-09-25,合格,"Hedera Hashgraph, Inc.",图结构,20230111,物联网,设备协作,公有区块链,V1.0,速度、灵活性,中国计算机协会,http://www.cacs.org.cn/,2024-09-28,
浙网信备33010615789123450018号,Algorand,公有区块链,功能测试,公有区块链,2023-10-01,江苏省医药集团有限公司,天津天药药业有限公司,正在办理,2023-10-05,待审查,Algorand Foundation,平台型区块链,20230112,数字身份,身份验证,公有区块链,V1.0,快速、安全,数字中国建设峰会,http://www.digitalchina.gov.cn/,2024-09-28,
苏网信备32011558201346780019号,EOS.IO,公有区块链,安全审计,公有区块链,2023-10-10,成都制药工程公司,天津天士力制药有限公司,已完成,2023-10-15,合格,Block.one,可扩展基础设施,20230113,企业管理,流程自动化,公有区块链,V1.0,灵活性、高效率,区块链研究所,http://www.blockchain-research.org/,2024-09-28,
川网信备51010645123789050020号,Avalanche,公有区块链,功能测试,公有区块链,2023-06-15,深圳创新药物研究院,天津市医疗器械有限公司,正在办理,2023-06-20,待审查,Avalanche Foundation,多链架构,20230106,供应链,物流管理,公有区块链,V1.0,低延迟、高吞吐量,链讯,https://cointelegraph.com,2024-09-28,
湘网信备43010350123789120021号,Cardano,公有区块链,安全审计,公有区块链,2023-07-01,浙江省药业协会,天津市药品开发公司,已完成,2023-07-05,合格,IOHK,公链,20230107,电子商务,智能合约,公有区块链,V1.0,可扩展性、可持续性,区块链观察,https://www.imf.org,2024-09-28,
鲁网信备37010229458472130022号,EOS,公有区块链,功能测试,公有区块链,2023-07-15,天津市医疗器械有限公司,天津市新药研发中心,正在办理,2023-07-20,待审查,Block.one,可伸缩应用,20230108,证券交易,代币发行,公有区块链,V1.0,高性能、用户友好,金色财经,https://www.csoonline.com,2024-09-28,
晋网信备14010515636247890023号,Algorand,公有区块链,性能测试,公有区块链,2023-08-01,辽宁医药科技园,天津生物制药公司,已完成,2023-08-10,合格,Algorand Foundation,快速交易,20230109,物联网,设备连接,公有区块链,V1.0,高速、安全性,FT中文网,https://www.techinnovation.com,2024-09-28,
陕网信备61011547829135460024号,Zilliqa,公有区块链,安全审计,公有区块链,2023-08-15,安徽生物制药有限公司,天津生物制药公司,正在办理,2023-08-20,待审查,Zilliqa Research,分片技术,20230110,直播,实时互动,公有区块链,V1.0,高效率、低延迟,新浪科技,http://www.caict.ac.cn/,2024-09-28,
"皖网信备34020223603146870013号,京网信备11010523289175130015号,浙网信备33010645678901234567号,粤网信备44010612345678901234号,苏网信备32010698765432100001号,川网信备51010623456789012345号",NEO,公有区块链,功能测试,公有区块链,2023-09-01,福建省口腔医疗器械有限公司,天津生物科技有限公司,已完成,2023-09-05,合格,Neo Global Development,数字资产,20230111,供应链管理,透明追踪,公有区块链,V1.0,智能合约、数字身份,搜狐科技,https://www.guosen.com/,2024-09-28,
皖网信备34020234567890543211号,Ripple,企业级区块链,性能测试,企业级区块链,2023-09-15,河北生物科技有限公司,天津赛诺菲生物制药有限公司,正在办理,2023-09-20,待审查,Ripple Labs,数字支付,20230112,金融,跨境支付,企业级区块链,V1.0,快速交易、低成本,金融街,https://www.blockchain.org.cn/,2024-09-28,
京网信备11010598765432112345号,IOTA,公有区块链,安全审计,公有区块链,2023-09-25,海南健康产业发展有限公司,天津康源制药有限公司,正在办理,2023-09-30,待审查,IOTA Foundation,物联网,20230113,物联网,设备通信,公有区块链,V1.0,无交易费用、轻量级,物联网日报,https://www.cufe.edu.cn/,2024-09-28,
川网信备51010423678901234567号,Ripple,企业级区块链,跨境支付测试,企业级区块链,2023-05-15,陕西省药物研发中心,天津华北制药股份有限公司,正在办理,2023-06-10,待审查,Ripple Labs,分布式账本,20230106,金融,跨境交易,企业级区块链,V1.0,高效、低成本,银行科技协会,http://www.bankingtech.org,2024-09-28,
粤网信备44010612345678987654号,Polygon,公有区块链,性能测试,公有区块链,2023-05-30,黑龙江省药品生产企业,天诚医药集团,已完成,2023-06-15,合格,Polygon Technology,分层架构,20230107,电子商务,去中心化金融,公有区块链,V1.0,低延迟、高吞吐量,国际区块链实验室,http://www.blockchainlabs.org,2024-09-28,
沪网信备31010123456789098765号,EOS,公有区块链,应用开发,公有区块链,2023-06-05,恒瑞医药股份有限公司,泰和医药科技有限公司,正在办理,2023-06-20,待审查,Block.one,DAG架构,20230108,物联网,区块链游戏,公有区块链,V1.0,可扩展性、高性能,区块链研究协会,http://www.blockchainresearch.org,2024-09-28,
京网信备11010512345678901234号,Cardano,公有区块链,合规测试,公有区块链,2023-06-15,上海方达生物制药有限公司,苏州制药工业有限公司,已完成,2023-07-01,合格,IOHK,分层协议,20230109,金融,金融合规,公有区块链,V1.0,安全性、可持续性,金融科技创新委员会,http://www.fintechinnovation.org,2024-09-28,
晋网信备14010678901234567890号,Algorand,企业级区块链,功能测试,企业级区块链,2023-06-25,西安杨森制药有限公司,苏州金斯瑞生物科技有限公司,正在办理,2023-07-10,待审查,Algorand Foundation,快速验证,20230110,供应链,供应链管理,企业级区块链,V1.0,少量能耗、高效率,中国区块链产业发展促进会,http://www.blockchainindustry.org,2024-09-28,
浙网信备33010611121314151617号,Hyperledger Sawtooth,企业级区块链,安全审计,企业级区块链,2023-07-05,江苏康缘药业股份有限公司,四川长春赛尔药业有限公司,已完成,2023-07-20,合格,Hyperledger,模块化可插拔,20230111,电子商务,商业智能,企业级区块链,V1.0,灵活性、模块化,国家科技部,http://www.most.gov.cn,2024-09-28,
鄂网信备42010698765432123456号,NEO,公有区块链,功能性测试,公有区块链,2023-07-15,北京康捷医药科技有限公司,四川兴药制药有限公司,正在办理,2023-07-30,待审查,Neo Foundation,智能合约平台,20230112,物联网,物联网,公有区块链,V1.0,兼容性、灵活性,国际技术标准组织,http://www.iso.org,2024-09-28,
桂网信备45012234567890123456号,Cardano,公有区块链,合规测试,公有区块链,2023-07-20,复星医药集团有限公司,四川世纪药业有限公司,已完成,2023-08-05,合格,IOHK,分层协议,20230113,金融,金融合规,公有区块链,V1.0,安全性、可持续性,金融科技创新委员会,http://www.fintechinnovation.org,2024-09-28,
