登记号（字符型）,地方标准（字符型）,区块链技术名称（字符型）,区块链技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,采集来源,来源链接,采集时间,备注,,,
京网信备 11010119124326610018 号,DB52/T 1474-2019,Cardano,公有区块链,已完成,第一阶段,功能测试,IOHK,华中科技大学,2023-08-22,2023-09-01,2023-12-15,2023-12-16,华中科技大学,技术验证,加密货币观察,https://www.cryptoobserver.com,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1475-2019,Algorand,公有区块链,进行中,第二阶段,安全测试,Algorand Foundation,厦门大学,2023-09-15,2023-09-20,2024-04-20,2024-04-21,厦门大学,技术审计,区块链技术发展中心,https://www.btcdevelopment.org,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1476-2019,Chainlink,公有区块链,正在进行,第一阶段,功能测试,Chainlink Labs,武汉大学,2023-10-05,2023-10-10,2024-03-10,2024-03-11,武汉大学,特定应用验证,区块链日报,https://www.blockchaindaily.com,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1477-2019,Polkadot,公有区块链,已完成,第二阶段,性能测试,Web3 Foundation,哈尔滨工业大学,2023-11-01,2023-11-05,2024-01-31,2024-02-01,哈尔滨工业大学,技术测试,区块链观察,https://www.blockchainobserver.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1478-2019,Fantom,公有区块链,进行中,第三阶段,技术测试,Fantom Foundation,南方科技大学,2023-12-15,2024-01-01,2024-06-30,2024-07-01,南方科技大学,技术验证,区块链技术研究所,https://www.blockchainresearchinstitute.org,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1479-2019,Polkadot,公有区块链,正在进行,第一阶段,功能测试,Parity Technologies,复旦大学,2023-06-15,2023-07-01,2024-01-15,2024-01-16,复旦大学,可行性研究,中国科技标准化研究院,http://www.standards.org.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1467-2019,Avalanche,公有区块链,已完成,第二阶段,安全测试,Avalanche Foundation,南方科技大学,2023-07-05,2023-07-20,2023-12-15,2023-12-16,南方科技大学,安全审计,国家信息技术标准化研究院,http://www.nitsri.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1468-2019,EOSIO,公有区块链,进行中,第一阶段,性能测试,Block.one,北京航空航天大学,2023-08-10,2023-08-15,2024-01-05,2024-01-06,北京航空航天大学,技术评估,中国网络安全产业发展中心,http://www.cnic.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1469-2019,Cardano,公有区块链,已完成,第二阶段,安全测试,IOHK,同济大学,2023-08-25,2023-09-01,2023-12-31,2024-01-01,同济大学,系统审计,中国电子信息技术标准化研究院,http://www.ceti.org.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1470-2019,Tezos,公有区块链,正在进行,第三阶段,性能测试,Tezos Foundation,哈尔滨工业大学,2023-09-05,2023-09-10,2024-03-15,2024-03-16,哈尔滨工业大学,功能测试,中国区块链技术标准化推广中心,http://www.btc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1471-2019,Algorand,公有区块链,进行中,第一阶段,功能测试,Algorand Foundation,西安交通大学,2023-09-12,2023-09-20,2024-02-01,2024-02-02,西安交通大学,技术标准,国家区块链和大数据研究院,http://www.nbdc.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1472-2019,NEO,公有区块链,已完成,第二阶段,安全测试,NEO Foundation,中国科技大学,2023-09-20,2023-10-01,2024-01-10,2024-01-11,中国科技大学,系统审计,区块链技术研究中心,http://www.btc.net.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1473-2019,RChain,公有区块链,进行中,第一阶段,技术测试,RChain Cooperative,电子科技大学,2023-09-25,2023-10-05,2024-02-28,2024-03-01,电子科技大学,技术标准,全国区块链技术标准化管理平台,http://www.nbstd.org/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1474-2019,Avalanche,公有区块链,正在进行,第一阶段,功能测试,Avalanche Foundation,复旦大学,2023-06-01,2023-07-01,2024-07-01,2024-07-02,复旦大学,技术转让,复旦大学科技成果转化中心,https://www.fudan.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1475-2019,Polkadot,联盟链,已完成,第二阶段,安全测试,Parity Technologies,南开大学,2023-06-15,2023-07-15,2024-01-15,2024-01-16,南开大学,技术标准,国家数字化技术标准化管理中心,http://www.sac.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1476-2019,Ripple,公有区块链,进行中,第一阶段,性能测试,Ripple Labs,北京航空航天大学,2023-07-01,2023-08-01,2024-08-01,2024-08-02,北京航空航天大学,应用案例,新经济研究院,http://www.nerc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1470-2019,Cardano,公有区块链,已完成,第三阶段,功能测试,IOHK,浙江大学,2023-08-10,2023-09-01,2024-03-01,2024-03-02,浙江大学,项目审核,中国科学技术协会,https://www.cast.org.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1471-2019,NEO,公有区块链,进行中,第一阶段,安全测试,NEO Foundation,华中科技大学,2023-09-01,2023-09-15,2024-09-15,2024-09-16,华中科技大学,标准制定,国家标准化管理委员会,http://www.sac.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1472-2019,Chainlink,联盟链,已完成,第二阶段,功能测试,Chainlink Labs,山东大学,2023-09-15,2023-10-01,2024-04-01,2024-04-02,山东大学,技术评估,中国区块链技术研究中心,http://www.cbtc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1473-2019,Hedera,公有区块链,进行中,第一阶段,性能测试,Hedera Hashgraph,华北电力大学,2023-10-05,2023-10-15,2024-10-15,2024-10-16,华北电力大学,技术测试,中国互联网协会,http://www.isc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1474-2019,Algorand,公有区块链,已完成,第三阶段,安全测试,Algorand Foundation,西安交通大学,2023-11-01,2023-11-15,2024-05-15,2024-05-16,西安交通大学,技术评审,中国软件行业协会,http://www.csia.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1475-2019,Ripple,公有区块链,正在进行,第一阶段,功能测试,Ripple Labs,华东师范大学,2023-02-10,2023-03-15,2024-03-15,2024-03-16,华东师范大学,技术标准,中国区块链应用研究中心,http://www.blockchain-corp.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1476-2019,Chainlink,公有区块链,已完成,第二阶段,性能测试,Chainlink Labs,南方科技大学,2023-03-05,2023-04-01,2023-10-30,2023-11-01,南方科技大学,技术评估,中央人民政府,http://www.gov.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1477-2019,Cardano,公有区块链,正在进行,第三阶段,安全测试,IOHK,复旦大学,2023-04-15,2023-05-10,2024-05-10,2024-05-11,复旦大学,合规审计,信息产业部,http://www.miit.gov.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1478-2019,Algorand,公有区块链,已完成,第一阶段,技术测试,Algorand Foundation,浙江大学,2023-01-10,2023-02-01,2023-09-01,2023-09-10,浙江大学,技术文档审查,中国标准化协会,http://www.sac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1479-2019,Polygon,公有区块链,进行中,第二阶段,安全测试,Polygon Technology,西安交通大学,2023-03-18,2023-05-01,2024-01-01,2024-01-02,西安交通大学,功能测试,全国区块链技术标准化工作组,http://www.blockchainstandard.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1467-2019,Stellar,公有区块链,已完成,第一阶段,技术验证,Stellar Development Foundation,哈尔滨工业大学,2023-06-20,2023-07-01,2023-12-30,2023-12-31,哈尔滨工业大学,系统审计,国家市场监督管理总局,http://www.samr.gov.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1468-2019,VeChain,公有区块链,进行中,第三阶段,性能测试,VeChain Foundation,东北大学,2023-08-15,2023-09-01,2024-09-01,2024-09-02,东北大学,技术标准,中国信息产业部,http://www.miit.gov.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1469-2019,EOSIO,企业级区块链,正在进行,第一阶段,安全测试,Block.one,中南大学,2023-09-10,2023-09-20,2024-09-20,2024-09-21,中南大学,合规审计,中国电子信息产业研究院,http://www.caei.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1470-2019,Polygon,公有区块链,完成,第三阶段,安全测试,Polygon基金会,南京大学,2023-06-01,2023-06-15,2023-12-15,2023-12-16,南京大学,技术审查,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1471-2019,Cardano,公有区块链,正在进行,第一阶段,功能测试,Input Output Hong Kong,复旦大学,2023-07-01,2023-07-10,2024-01-10,2024-01-11,复旦大学,技术开发,全国标准信息公共服务平台,https://std.samr.gov.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1472-2019,Avalanche,公有区块链,已完成,第二阶段,性能测试,Avalanche开发团队,中山大学,2023-08-15,2023-09-01,2023-10-15,2023-10-16,中山大学,技术评估,腾讯科技,https://www.tencent.com,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1473-2019,Waves,联盟链,进行中,第一阶段,应用测试,Waves Association,电子科技大学,2023-09-10,2023-09-20,2024-03-20,2024-03-21,电子科技大学,技术示范,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1474-2019,Algorand,公有区块链,正在进行,第三阶段,安全审计,Algorand Foundation,同济大学,2023-10-01,2023-10-10,2024-04-10,2024-04-11,同济大学,技术创新,前瞻网,https://www.wooz.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1475-2019,EOS,公有区块链,已完成,第二阶段,功能测试,Block.one,浙江大学,2023-10-15,2023-10-20,2024-01-15,2024-01-16,浙江大学,项目审核,搜狐科技,https://www.sohu.com,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1476-2019,Tezos,公有区块链,进行中,第一阶段,安全测试,Tezos Foundation,西安交通大学,2023-10-20,2023-10-25,2024-01-25,2024-01-26,西安交通大学,技术应用,国家互联网信息办公室,http://www.cac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1470-2019,Ripple,公有区块链,已完成,第二阶段,性能测试,Ripple Labs Inc.,哈工大,2023-10-30,2023-11-01,2024-01-01,2024-01-02,哈工大,策略制定,区块链观察,https://www.blockchainwatch.com,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1471-2019,Cardano,公有区块链,正在进行,第一阶段,功能测试,IOHK,复旦大学,2023-06-01,2023-06-15,2024-06-15,2024-06-16,复旦大学,功能验证,中国区块链研究中心,http://www.bochain.org,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1472-2020,Polkadot,联盟链,已完成,第二阶段,性能测试,Parity Technologies,武汉大学,2023-06-20,2023-07-01,2023-11-30,2023-12-01,武汉大学,技术评估,全国区块链标准化技术委员会,http://www.zt.org.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1473-2020,Polygon,企业级区块链,进行中,第一阶段,功能测试,Polygon Technology,浙江大学,2023-07-10,2023-07-20,2024-07-20,2024-07-21,浙江大学,技术验证,清华区块链实验室,http://www.tsinghua.edu.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1474-2021,NEO,公有区块链,已完成,第三阶段,安全测试,NEO Foundation,南开大学,2023-08-05,2023-08-15,2023-12-01,2023-12-02,南开大学,安全审计,深圳区块链技术研究院,http://www.szbchain.com,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1475-2021,Avalanche,公有区块链,进行中,第二阶段,性能测试,Avalanche Labs,香港科技大学,2023-09-12,2023-09-20,2024-09-20,2024-09-21,香港科技大学,技术测试,全球区块链技术联盟,http://www.bca.org,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1476-2022,Hedera,公有链,已完成,第三阶段,安全测试,Hedera Hashgraph,西安交通大学,2023-09-25,2023-10-05,2024-02-01,2024-02-02,西安交通大学,安全审计,全球区块链治理中心,http://www.hgc.org,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1477-2022,Cosmos,联盟链,进行中,第一阶段,功能测试,Tendermint,东北大学,2023-10-10,2023-10-20,2024-10-20,2024-10-21,东北大学,功能创新,区块链与分布式技术研究会,http://www.bsdtr.org,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1478-2023,Tezos,企业级区块链,已完成,第二阶段,应用测试,Tezos Foundation,天津大学,2023-10-15,2023-10-25,2024-05-25,2024-05-26,天津大学,系统审计,中国信息安全技术中心,http://www.cstic.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1479-2023,Chainlink,联盟链,进行中,第一阶段,技术测试,SmartContract,同济大学,2023-11-01,2023-11-10,2024-11-10,2024-11-11,同济大学,技术测试,国际区块链标准化组织,http://www.ibso.org,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1467-2019,Avalanche,公有区块链,正在进行,第一阶段,功能测试,Avalanche Foundation,中山大学,2023-05-15,2023-06-01,2024-06-01,2024-06-02,中山大学,新技术标准,中国互联网金融协会,https://www.nifa.org.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1468-2019,Polygon,公有区块链,已完成,第二阶段,性能测试,Polygon Technology,复旦大学,2023-06-10,2023-07-01,2023-12-15,2023-12-16,复旦大学,技术评估,中国电子信息产业发展研究院,http://www.cnnic.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1469-2019,Cardano,公有区块链,进行中,第一阶段,安全测试,IOHK,南开大学,2023-07-05,2023-08-01,2023-12-31,2024-01-01,南开大学,安全审计,中国软件行业协会,http://www.csia.org.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1470-2019,Ripple,企业级区块链,已完成,第三阶段,功能测试,Ripple Labs,北京师范大学,2023-08-12,2023-09-01,2023-11-30,2023-12-01,北京师范大学,技术验证,国家互联网信息办公室,http://www.cac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1471-2019,Tezos,公有区块链,进行中,第一阶段,应用测试,Tezos Foundation,武汉大学,2023-09-20,2023-10-01,2024-01-15,2024-01-16,武汉大学,技术测试,科技日报,http://www.stdaily.com,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1472-2019,EOS.IO,公有区块链,已完成,第二阶段,功能测试,Block.one,华中科技大学,2023-10-12,2023-11-01,2024-01-20,2024-01-21,华中科技大学,安全审计,央广网,http://www.cnr.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1473-2019,Algorand,公有区块链,进行中,第一阶段,性能测试,Algorand Foundation,西安交通大学,2023-11-15,2023-12-01,2024-03-01,2024-03-02,西安交通大学,新技术标准,中国财经报,http://www.cfb.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1474-2019,EOS,公有区块链,已完成,第三阶段,功能测试,Block.one,东南大学,2023-12-20,2024-01-01,2024-06-30,2024-07-01,东南大学,安全审计,人民网,http://www.people.com.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1475-2019,Polygon,公有区块链,已完成,第三阶段,功能测试,Polygon Foundation,中山大学,2023-06-05,2023-06-10,2023-11-30,2023-12-01,中山大学,技术开发,中国区块链技术研究中心,http://www.cbtc.org.cn/zh-hans/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1476-2019,Ripple,联盟链,正在进行,第二阶段,性能测试,Ripple Labs,复旦大学,2023-07-10,2023-08-01,2024-01-31,2024-02-01,复旦大学,系统评估,复旦大学科研平台,http://www.fudan.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB53/T 1578-2020,Tezos,公有区块链,已完成,第三阶段,安全测试,Tezos Foundation,南开大学,2023-08-15,2023-09-01,2023-12-15,2023-12-16,南开大学,技术验证,国家电子技术标准化研究院,http://www.sae.org.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB54/T 1689-2021,Chainlink,公共区块链,正在进行,第一阶段,功能测试,Chainlink Labs,北京理工大学,2023-09-05,2023-09-15,2024-03-15,2024-03-16,北京理工大学,技术测试,中国区块链发展中心,http://www.bcc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB55/T 1790-2022,Avalanche,企业级区块链,即将开始,筹备阶段,技术验证,Avalanche Labs,武汉大学,2023-09-20,2023-11-01,2024-04-30,2023-10-01,武汉大学,技术开发,武汉大学科研处,http://www.whu.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB56/T 1901-2023,Cosmos,公有链,已完成,完成阶段,安全审计,Interchain Foundation,浙江大学,2023-10-05,2023-10-10,2024-01-05,2024-01-06,浙江大学,系统审计,中华人民共和国市场监督管理局,http://www.samr.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB57/T 2012-2019,Cardano,公有区块链,进行中,第一区域,技术开发,IOHK,华中科技大学,2023-10-15,2023-11-01,2024-06-30,2024-07-01,华中科技大学,新技术标准,中国科技部,http://www.most.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB58/T 2123-2020,Stellar,联盟链,已完成,第三阶段,性能测试,Stellar Development Foundation,南京大学,2023-10-20,2023-10-25,2024-04-30,2024-05-01,南京大学,功能测试,南京大学科技处,http://www.nju.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB59/T 2234-2021,Avalanche,公有区块链,正在进行,第一阶段,性能测试,Avalanche Foundation,复旦大学,2023-06-01,2023-06-15,2024-06-14,2024-06-15,复旦大学,技术评估,复旦大学科技信息平台,http://www.fudan.edu.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB60/T 2345-2022,Cardano,公有区块链,已完成,第二阶段,智能合约测试,Cardano Foundation,浙江大学,2023-05-10,2023-05-20,2023-10-10,2023-10-11,浙江大学,安全审计,浙江大学区块链研究中心,http://www.zju.edu.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB61/T 2456-2020,Polkadot,联盟链,进行中,第三阶段,集成测试,Web3 Foundation,南开大学,2023-07-20,2023-08-01,2024-05-01,2024-05-02,南开大学,技术验证,南开大学区块链项目组,http://www.nankai.edu.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB62/T 2567-2023,Chainlink,公有区块链,已完成,第一阶段,数据传输测试,Chainlink Labs,哈尔滨工业大学,2023-08-10,2023-08-20,2023-11-19,2023-11-20,哈尔滨工业大学,功能测试,哈尔滨工业大学研究院,http://www.hust.edu.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1567-2020,Quantum Blockchain,混合型区块链,正在进行,第二阶段,安全测试,Quantum Computing Lab,南京大学,2023-09-15,2023-10-01,2024-01-01,2024-01-02,南京大学,新技术标准,南京大学创新实验室,http://www.nju.edu.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1688-2021,IOTA,公有区块链,已完成,第一阶段,功能测试,IOTA Foundation,中山大学,2023-07-02,2023-07-15,2023-12-01,2023-12-02,中山大学,技术验证,中山大学区块链研究团队,http://www.sysu.edu.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1745-2019,Fantom,联盟链,正在进行,第二阶段,集成测试,Fantom Foundation,武汉大学,2023-08-15,2023-09-01,2024-03-01,2024-03-02,武汉大学,应用测试,武汉大学技术创新中心,http://www.whu.edu.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1423-2018,Tron,公有区块链,已完成,第一阶段,智能合约测试,Tron Foundation,东南大学,2023-09-30,2023-10-05,2023-11-20,2023-11-21,东南大学,功能测试,东南大学区块链实验室,http://www.seu.edu.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1598-2020,Polygon,公有区块链,已完成,第一阶段,功能测试,Polygon Technology,浙江大学,2023-06-15,2023-07-01,2023-10-30,2023-11-01,浙江大学,技术标准,中国电子技术标准化研究院,http://www.caict.ac.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1756-2021,Avalanche,公有区块链,进行中,第二阶段,性能测试,Avalanche Labs,南开大学,2023-07-20,2023-08-01,2024-01-31,2024-02-01,南开大学,技术评估,国家标准化管理委员会,https://www.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1503-2020,Cardano,公有区块链,已完成,第一阶段,安全测试,IOHK,复旦大学,2023-05-12,2023-05-20,2023-10-10,2023-10-15,复旦大学,安全审计,中国信息通信研究院,http://www.caict.ac.cn/kxyj/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1629-2019,Ripple,企业级区块链,进行中,第二阶段,应用测试,Ripple Labs,华中科技大学,2023-06-05,2023-06-15,2024-06-15,2024-06-16,华中科技大学,新技术评估,全国标准信息公共服务平台,https://std.samr.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1804-2022,Tezos,公有区块链,进行中,第三阶段,功能测试,Tezos Foundation,南京大学,2023-07-10,2023-08-01,2024-02-28,2024-03-01,南京大学,系统审计,中国电子技术标准化研究院,http://www.caict.ac.cn/kxyj/qwfb/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1456-2018,NEO,公有区块链,已完成,第一阶段,功能测试,NEO Foundation,清华大学,2023-06-10,2023-06-20,2023-09-20,2023-09-21,清华大学,技术评估,国家标准化管理委员会,https://www.gov.cn/zhengce/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1470-2019,Zilliqa,公有区块链,进行中,第二阶段,安全测试,Zilliqa Research,武汉大学,2023-06-20,2023-07-01,2024-01-01,2024-01-02,武汉大学,功能测试,中国信息通信研究院,http://www.caict.ac.cn/xwdt/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1471-2019,EOS,公有区块链,进行中,第一阶段,性能测试,Block.one,厦门大学,2023-07-25,2023-08-01,2024-03-01,2024-03-02,厦门大学,技术标准,全国标准信息公共服务平台,https://std.samr.gov.cn/db/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1472-2019,Algorand,公有区块链,正在进行,第一阶段,性能测试,Algorand Foundation,复旦大学,2023-06-01,2023-06-15,2024-06-15,2024-06-16,复旦大学,新技术标准,中国移动通信集团,https://www.chinamobileltd.com/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1473-2019,Polkadot,联盟链,已完成,第二阶段,安全测试,Parity Technologies,浙江大学,2023-07-05,2023-07-10,2023-12-01,2023-12-02,浙江大学,技术评估,国家标准化管理委员会,https://www.sac.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1474-2019,Cardano,公有区块链,正在进行,第三阶段,应用测试,Input Output Hong Kong,南开大学,2023-08-01,2023-08-10,2024-08-10,2024-08-11,南开大学,系统审计,国家信息安全发展研究中心,http://www.nisc.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1475-2019,Tezos,公有区块链,进行中,第一阶段,功能测试,Tezos Foundation,深圳大学,2023-09-15,2023-09-20,2024-09-20,2024-09-21,深圳大学,新技术标准,企业信息网,https://www.qichacha.com/,2024-09-28,,,,
京网信备 11010119124563210012 号,DB52/T 1476-2019,Flow,公有区块链,已完成,第二阶段,性能测试,Dapper Labs,北京航空航天大学,2023-10-10,2023-10-15,2024-04-15,2024-04-16,北京航空航天大学,技术评估,新华网,http://www.xinhuanet.com/,2024-09-28,,,,
京网信备 11010119124594410015 号,DB52/T 1477-2019,Stacks,公有区块链,进行中,第一阶段,安全测试,Blockstack PBC,哈尔滨工业大学,2023-11-01,2023-11-05,2024-11-05,2024-11-06,哈尔滨工业大学,系统审计,搜狐科技,http://www.sohu.com/,2024-09-28,,,,
京网信备 11010119124605810013 号,DB52/T 1478-2019,Zilliqa,公有区块链,已完成,第二阶段,应用测试,Zilliqa Research,电子科技大学,2023-12-01,2023-12-05,2024-12-05,2025-01-01,电子科技大学,技术评估,新浪科技,http://tech.sina.com.cn/,2024-09-28,,,,
京网信备 11010119124427610011 号,DB52/T 1479-2019,Near Protocol,公有区块链,进行中,第一阶段,性能测试,Near Collective,兰州大学,2024-01-10,2024-01-15,2025-01-15,2025-01-16,兰州大学,新技术标准,央视新闻,http://www.cctv.com/,2024-09-28,,,,
京网信备 11010119124748110019 号,DB52/T 1467-2019,Polygon,公有区块链,已完成,第三阶段,安全测试,Polygon Technology,西安交通大学,2023-06-01,2023-06-15,2023-10-15,2023-10-16,西安交通大学,系统审计,中国区块链技术协会,http://www.cbta.org.cn/,2024-09-28,,,,
京网信备 11010119124876910017 号,DB52/T 1468-2019,EOS,公有区块链,正在进行,第一阶段,功能测试,Block.one,东南大学,2023-07-02,2023-07-10,2024-01-10,2023-08-01,东南大学,技术验证,全国技术质量监督机构,http://www.aqsiq.gov.cn/,2024-09-28,,,,
京网信备 11010119124373210016 号,DB52/T 1469-2019,Avalanche,企业级区块链,已完成,第二阶段,性能测试,Ava Labs,南京大学,2023-08-15,2023-08-20,2023-12-20,2023-12-21,南京大学,技术评估,南京高新技术产业园区,http://www.njhs.gov.cn/,2024-09-28,,,,
京网信备 11010119124901210018 号,DB52/T 1470-2019,Cardano,公有区块链,正在进行,第三阶段,安全测试,IOHK,大连理工大学,2023-09-10,2023-09-15,2024-03-15,2024-03-16,大连理工大学,系统审计,国家发展改革委员会,http://www.ndrc.gov.cn/,2024-09-28,,,,
京网信备 11010119124684310020 号,DB52/T 1471-2019,Tezos,企业级区块链,已完成,第一阶段,功能测试,Tezos Foundation,浙江大学,2023-10-01,2023-10-05,2024-04-01,2024-04-02,浙江大学,技术评估,国家信息中心,http://www.nic.gov.cn/,2024-09-28,,,,
京网信备 11010119124501910021 号,DB52/T 1472-2019,Hyperledger Sawtooth,联盟链,正在进行,第一阶段,技术测试,Hyperledger,武汉大学,2023-11-05,2023-11-10,2024-05-10,2024-05-11,武汉大学,功能测试,华中科技大学,http://www.hust.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1473-2019,NEM,公有区块链,已完成,第二阶段,安全测试,NEM Foundation,南昌大学,2023-12-01,2023-12-05,2024-05-05,2024-05-06,南昌大学,系统审计,国家信息技术标准化技术委员会,http://www.nitsc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1474-2019,Waves,公有区块链,正在进行,第三阶段,功能测试,Waves Platform,哈尔滨工业大学,2024-01-05,2024-01-10,2024-07-10,2024-01-11,哈尔滨工业大学,技术评估,冰城科技论坛,http://www.hit.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1475-2019,Avalanche,公有区块链,已完成,第三阶段,合作测试,Avalanche Foundation,复旦大学,2023-06-05,2023-06-10,2024-06-10,2024-06-11,复旦大学,技术整合,复旦大学区块链研究中心,http://www.fudan.edu.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1476-2019,Cardano,公有区块链,正在进行,第一阶段,安全性测试,Input Output Hong Kong,南开大学,2023-07-10,2023-07-15,2024-07-15,2024-07-16,南开大学,技术测试,南开大学计算机学院,http://www.nankai.edu.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1467-2019,Polkadot,联盟链,已完成,第二阶段,性能测试,Web3 Foundation,浙江大学,2023-08-20,2023-09-01,2024-03-01,2024-03-02,浙江大学,应用验证,知乎网,https://www.zhihu.com,2024-09-28,,,,
